Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B
INVAR-1, Run: 049, P, 0, 2, 0, 0, 0, 0, 62, 14, 62, 0, 0
INVAR-1, Run: 050, P, 0, 31, 0, 0, 0, 0, 27, 11, 27, 0, 0
INVAR-1, Run: 051, P, 0, 15, 0, 0, 0, 0, 45, 12, 45, 0, 0
INVAR-1, Run: 052, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 053, P, 0, 13, 0, 0, 0, 0, 45, 11, 45, 0, 0
INVAR-1, Run: 054, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 055, P, 0, 64, 0, 0, 0, 14, 14, 0, 0, 1, 0
INVAR-1, Run: 056, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 057, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 058, P, 0, 32, 0, 0, 0, 0, 28, 12, 28, 0, 0
INVAR-1, Run: 059, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 060, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 061, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 062, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 063, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 064, P, 0, 24, 0, 0, 0, 0, 36, 12, 36, 0, 0
INVAR-1, Run: 065, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 066, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 067, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 068, P, 0, 36, 0, 0, 0, 0, 24, 12, 24, 0, 0
INVAR-1, Run: 069, P, 0, 55, 0, 0, 0, 1, 6, 11, 5, 0, 0
INVAR-1, Run: 070, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 071, P, 0, 7, 0, 0, 0, 0, 49, 10, 49, 0, 0
INVAR-1, Run: 072, P, 0, 47, 0, 0, 0, 0, 13, 12, 13, 0, 0
INVAR-1, Run: 073, P, 0, 28, 0, 0, 0, 0, 32, 12, 32, 0, 0
INVAR-1, Run: 074, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 075, P, 0, 29, 0, 0, 0, 0, 31, 12, 31, 0, 0
INVAR-1, Run: 076, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0
INVAR-1, Run: 077, P, 0, 12, 0, 0, 0, 0, 48, 12, 48, 0, 0
INVAR-1, Run: 078, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 079, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 080, P, 0, 6, 0, 0, 0, 0, 56, 13, 56, 0, 0
INVAR-1, Run: 081, P, 0, 4, 0, 0, 0, 0, 54, 11, 54, 0, 0
INVAR-1, Run: 082, P, 0, 31, 0, 0, 0, 0, 29, 12, 29, 0, 0
INVAR-1, Run: 083, P, 0, 32, 0, 0, 0, 0, 24, 10, 24, 0, 0
INVAR-1, Run: 084, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 085, P, 0, 25, 0, 0, 0, 0, 37, 13, 37, 0, 0
INVAR-1, Run: 086, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 087, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 088, P, 0, 20, 0, 0, 0, 0, 40, 12, 40, 0, 0
INVAR-1, Run: 089, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 090, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 091, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0
INVAR-1, Run: 092, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 093, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 094, P, 0, 3, 0, 0, 0, 0, 59, 13, 59, 0, 0
INVAR-1, Run: 095, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 096, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 097, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 098, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0
INVAR-1, Run: 099, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0
INVAR-1, Run: 100, P, 0, 39, 0, 0, 0, 0, 23, 13, 23, 0, 0
INVAR-10, Run: 001, P, 0, 34, 0, 0, 0, 0, 584, 109, 584, 0, 0
INVAR-10, Run: 002, P, 0, 614, 0, 0, 0, 107, 107, 0, 0, 1, 0
INVAR-10, Run: 003, P, 0, 245, 0, 0, 0, 0, 385, 115, 385, 0, 0
INVAR-10, Run: 004, P, 0, 622, 0, 0, 0, 111, 111, 0, 0, 1, 0
INVAR-10, Run: 005, P, 0, 620, 0, 0, 0, 110, 110, 0, 0, 1, 0
INVAR-10, Run: 006, P, 0, 610, 0, 0, 0, 105, 105, 0, 0, 1, 0
INVAR-10, Run: 007, P, 0, 86, 0, 0, 0, 0, 534, 110, 534, 0, 0
INVAR-10, Run: 008, P, 0, 154, 0, 0, 0, 0, 472, 113, 472, 0, 0
