Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E
INVAR-1, Run: 054, F, 41, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 055, F, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 056, F, 41, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 057, F, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 058, F, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 059, F, 52, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 060, F, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 061, F, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 062, F, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 063, F, 31, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 064, F, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 065, F, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 066, F, 32, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 067, F, 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 068, F, 44, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 069, F, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 070, F, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 071, F, 56, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 072, F, 43, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 073, F, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 074, F, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 075, F, 49, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 076, F, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
