Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
6, Run: 047, F, 431, 0, 0, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 048, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 049, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 050, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 051, F, 435, 0, 0, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 052, F, 434, 0, 1, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 053, F, 447, 0, 0, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 054, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 055, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 056, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 057, F, 446, 0, 1, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 058, F, 434, 0, 1, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 059, F, 430, 0, 1, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 060, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 061, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 062, F, 446, 0, 1, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 063, F, 430, 0, 1, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 064, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 065, F, 431, 0, 0, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 066, F, 447, 0, 0, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 067, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 068, F, 430, 0, 1, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 069, F, 447, 0, 0, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 070, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 071, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 072, F, 438, 0, 1, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 073, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 074, F, 430, 0, 1, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 075, F, 426, 0, 1, 0, 1, 0, 1, 0, 476, 87, 0
6, Run: 076, F, 447, 0, 0, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 077, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 078, F, 434, 0, 1, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 079, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 080, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 081, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 082, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 083, F, 423, 0, 0, 0, 1, 0, 1, 0, 474, 87, 0
6, Run: 084, F, 447, 0, 0, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 085, F, 430, 0, 1, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 086, F, 446, 0, 1, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 087, F, 431, 0, 0, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 088, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 089, F, 435, 0, 0, 0, 1, 0, 1, 0, 480, 87, 0
6, Run: 090, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 091, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 092, F, 442, 0, 1, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 093, F, 450, 0, 1, 0, 1, 0, 1, 0, 488, 87, 0
6, Run: 094, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 095, F, 446, 0, 1, 0, 1, 0, 1, 0, 486, 87, 0
6, Run: 096, F, 439, 0, 0, 0, 1, 0, 1, 0, 482, 87, 0
6, Run: 097, F, 443, 0, 0, 0, 1, 0, 1, 0, 484, 87, 0
6, Run: 098, F, 430, 0, 1, 0, 1, 0, 1, 0, 478, 87, 0
6, Run: 099, F, 458, 0, 1, 0, 1, 0, 1, 0, 492, 87, 0
6, Run: 100, F, 446, 0, 1, 0, 1, 0, 1, 0, 486, 87, 0
