Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 096, P, 0, 0, 0, 100, 100, 0, 0, 1, 0, 0, 0, 200, 723, 0, 100, 56, 43, 100, 0, 0, 823, 0
INVAR-10, Run: 097, P, 0, 0, 0, 100, 100, 0, 0, 1, 0, 0, 0, 200, 599, 0, 100, 70, 29, 100, 0, 0, 699, 0
INVAR-10, Run: 098, P, 0, 0, 0, 100, 100, 0, 0, 1, 0, 0, 0, 200, 901, 0, 100, 56, 43, 100, 0, 0, 1001, 0
INVAR-10, Run: 099, P, 0, 0, 0, 100, 100, 0, 0, 1, 0, 0, 0, 200, 969, 0, 100, 64, 35, 100, 0, 0, 1069, 0
INVAR-10, Run: 100, P, 0, 0, 0, 100, 100, 0, 0, 1, 0, 0, 0, 200, 778, 0, 100, 62, 37, 100, 0, 0, 878, 0
INVAR-2, Run: 001, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 91, 0, 28, 18, 9, 28, 0, 0, 119, 0
INVAR-2, Run: 002, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 79, 0, 28, 14, 13, 28, 0, 0, 107, 0
INVAR-2, Run: 003, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 94, 0, 28, 16, 11, 28, 0, 0, 122, 0
INVAR-2, Run: 004, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 113, 0, 28, 19, 8, 28, 0, 0, 141, 0
INVAR-2, Run: 005, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 61, 0, 28, 18, 9, 28, 0, 0, 89, 0
INVAR-2, Run: 006, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 109, 0, 28, 19, 8, 28, 0, 0, 137, 0
INVAR-2, Run: 007, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 132, 0, 28, 19, 8, 28, 0, 0, 160, 0
INVAR-2, Run: 008, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 95, 0, 28, 18, 9, 28, 0, 0, 123, 0
INVAR-2, Run: 009, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 144, 0, 28, 18, 9, 28, 0, 0, 172, 0
INVAR-2, Run: 010, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 88, 0, 28, 19, 8, 28, 0, 0, 116, 0
