Input Number, Run_Number, Result@ 100, prey_mrna595, prey_g594, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 058, F, 67722, 163218, 1, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 3, 47594, 1, 2, 3, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 059, F, 67757, 163259, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48278, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 060, F, 67739, 162856, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48258, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 061, F, 67942, 163259, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 48018, 1, 1, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 062, F, 67515, 162980, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 48235, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 063, F, 67624, 162964, 1, 2, 0, 1, 1, 1, 0, 0, 3, 2, 0, 1, 0, 0, 3, 47867, 1, 1, 1, 0, 0, 0, 3, 0, 1
INVAR-1, Run: 064, F, 67670, 163516, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 3, 47851, 1, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 065, F, 67324, 163672, 1, 1, 0, 1, 0, 1, 2, 0, 2, 0, 0, 1, 0, 0, 5, 47663, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 066, F, 67469, 163372, 1, 3, 0, 0, 0, 1, 0, 0, 2, 2, 0, 7, 0, 0, 1, 47496, 1, 0, 0, 0, 0, 2, 0, 0, 1
INVAR-1, Run: 067, F, 67769, 163609, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 47534, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 068, F, 68207, 164028, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 4, 47667, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 069, F, 67966, 163582, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 5, 47981, 1, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 070, F, 67353, 163407, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 5, 47681, 1, 2, 3, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 071, F, 67134, 162920, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 10, 48256, 1, 1, 3, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 072, F, 67279, 162901, 1, 4, 0, 1, 3, 1, 0, 0, 3, 3, 0, 2, 0, 0, 1, 47783, 1, 1, 2, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 073, F, 67309, 163218, 1, 1, 0, 0, 0, 1, 2, 1, 2, 1, 0, 0, 0, 0, 3, 47707, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 074, F, 67421, 163153, 1, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 5, 0, 0, 6, 47585, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 075, F, 67903, 163160, 1, 2, 0, 2, 1, 1, 1, 0, 3, 1, 0, 2, 0, 0, 3, 47355, 1, 2, 5, 0, 0, 0, 0, 0, 1
