Input Number, Run_Number, Result@ 100, X1, Y, X2
INVAR-14, Run: 016, F, 0, 113, 0
INVAR-14, Run: 017, F, 1, 87, 0
INVAR-14, Run: 018, F, 0, 103, 0
INVAR-14, Run: 019, F, 0, 99, 0
INVAR-14, Run: 020, F, 0, 101, 0
INVAR-14, Run: 021, F, 1, 114, 0
INVAR-14, Run: 022, F, 0, 94, 0
INVAR-14, Run: 023, F, 0, 97, 0
INVAR-14, Run: 024, F, 2, 110, 0
INVAR-14, Run: 025, F, 0, 97, 0
INVAR-14, Run: 026, F, 3, 98, 0
INVAR-14, Run: 027, F, 3, 102, 0
INVAR-14, Run: 028, F, 1, 93, 0
INVAR-14, Run: 029, F, 2, 108, 0
INVAR-14, Run: 030, F, 0, 99, 0
INVAR-14, Run: 031, F, 0, 99, 0
INVAR-14, Run: 032, F, 1, 116, 0
INVAR-14, Run: 033, F, 1, 102, 0
INVAR-14, Run: 034, F, 0, 101, 0
INVAR-14, Run: 035, F, 0, 107, 0
INVAR-14, Run: 036, F, 2, 110, 0
INVAR-14, Run: 037, F, 0, 131, 0
INVAR-14, Run: 038, F, 0, 114, 0
INVAR-14, Run: 039, F, 1, 114, 0
INVAR-14, Run: 040, F, 1, 101, 0
INVAR-14, Run: 041, F, 1, 117, 0
INVAR-14, Run: 042, F, 0, 105, 0
INVAR-14, Run: 043, F, 2, 106, 0
INVAR-14, Run: 044, F, 0, 110, 0
INVAR-14, Run: 045, F, 1, 113, 0
INVAR-14, Run: 046, F, 0, 107, 0
INVAR-14, Run: 047, F, 0, 105, 0
INVAR-14, Run: 048, F, 1, 120, 0
INVAR-14, Run: 049, F, 0, 108, 0
INVAR-14, Run: 050, F, 1, 105, 0
INVAR-14, Run: 051, F, 1, 120, 0
INVAR-14, Run: 052, F, 0, 109, 0
INVAR-14, Run: 053, F, 1, 110, 0
INVAR-14, Run: 054, F, 0, 99, 0
INVAR-14, Run: 055, F, 2, 104, 0
INVAR-14, Run: 056, F, 1, 121, 0
INVAR-14, Run: 057, F, 2, 94, 0
INVAR-14, Run: 058, F, 2, 86, 0
INVAR-14, Run: 059, F, 1, 112, 0
INVAR-14, Run: 060, F, 2, 111, 0
INVAR-14, Run: 061, F, 5, 107, 0
INVAR-14, Run: 062, F, 1, 117, 0
INVAR-14, Run: 063, F, 1, 119, 0
INVAR-14, Run: 064, F, 0, 114, 0
INVAR-14, Run: 065, F, 1, 123, 0
INVAR-14, Run: 066, F, 1, 116, 0
