Input Number, Run_Number, Result@ 100, PE, X1, M, Y, H, PO, CE, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 008, F, 0, 0, 0, 69, 0, 0, 5, 63, 0, 600, 0, 64, 136, 71, 2012, 68, 4, 0, 68, 200, 300, 76, 2012
INVAR-10, Run: 009, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 177, 2242, 69, 8, 0, 69, 200, 300, 177, 2842
INVAR-10, Run: 010, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 115, 2405, 68, 4, 1, 68, 200, 300, 115, 3005
INVAR-10, Run: 011, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 191, 3274, 68, 5, 0, 68, 200, 300, 191, 3874
INVAR-10, Run: 012, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 227, 3502, 68, 5, 0, 68, 200, 300, 227, 4102
INVAR-10, Run: 013, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 127, 2681, 69, 8, 0, 69, 200, 300, 127, 3281
INVAR-10, Run: 014, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 143, 2048, 69, 8, 0, 69, 200, 300, 143, 2648
INVAR-10, Run: 015, F, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0, 60, 140, 78, 2167, 70, 8, 1, 70, 200, 300, 148, 2167
INVAR-10, Run: 016, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 92, 2426, 68, 5, 0, 68, 200, 300, 92, 3026
INVAR-10, Run: 017, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 145, 3298, 68, 4, 1, 68, 200, 300, 145, 3898
INVAR-10, Run: 018, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 79, 2962, 69, 5, 1, 69, 200, 300, 148, 2962
INVAR-10, Run: 019, F, 0, 0, 0, 665, 1, 1, 0, 67, 600, 0, 0, 65, 135, 47, 2380, 67, 2, 0, 67, 200, 300, 47, 2980
INVAR-10, Run: 020, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 114, 2518, 69, 8, 0, 69, 200, 300, 114, 3118
INVAR-10, Run: 021, F, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0, 64, 136, 75, 2814, 68, 3, 0, 68, 200, 300, 143, 2814
INVAR-10, Run: 022, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 110, 3402, 69, 7, 1, 69, 200, 300, 110, 4002
INVAR-10, Run: 023, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 89, 2345, 68, 5, 0, 68, 200, 300, 89, 2945
INVAR-10, Run: 024, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 89, 2111, 69, 6, 2, 69, 200, 300, 89, 2711
INVAR-10, Run: 025, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 209, 2736, 68, 5, 0, 68, 200, 300, 209, 3336
INVAR-10, Run: 026, F, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0, 60, 140, 49, 2749, 70, 9, 0, 70, 200, 300, 119, 2749
INVAR-10, Run: 027, F, 0, 0, 0, 92, 0, 0, 32, 38, 0, 600, 0, 60, 140, 40, 1988, 70, 10, 0, 70, 200, 300, 72, 1988
INVAR-10, Run: 028, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 95, 2675, 69, 6, 0, 69, 200, 300, 164, 2675
INVAR-10, Run: 029, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 111, 2174, 68, 5, 0, 68, 200, 300, 111, 2774
INVAR-10, Run: 030, F, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0, 64, 136, 122, 2894, 68, 3, 0, 68, 200, 300, 190, 2894
INVAR-10, Run: 031, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 85, 2463, 69, 6, 0, 69, 200, 300, 154, 2463
INVAR-10, Run: 032, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 102, 2241, 69, 7, 1, 69, 200, 300, 102, 2841
