Input Number, Run_Number, Result@ 100, V, X, Y
4, Run: 024, P, 1, 0, 0
4, Run: 025, P, 1, 0, 0
4, Run: 026, P, 1, 0, 0
4, Run: 027, P, 2, 0, 0
4, Run: 028, P, 1, 0, 0
4, Run: 029, P, 1, 0, 0
4, Run: 030, P, 1, 0, 0
4, Run: 031, P, 8, 0, 0
4, Run: 032, P, 4, 0, 0
4, Run: 033, P, 10, 0, 0
4, Run: 034, P, 2, 0, 0
4, Run: 035, P, 5, 0, 0
4, Run: 036, P, 1, 0, 0
4, Run: 037, P, 8, 0, 0
4, Run: 038, P, 3, 0, 0
4, Run: 039, P, 1, 0, 0
4, Run: 040, P, 1, 0, 0
4, Run: 041, P, 1, 0, 0
4, Run: 042, P, 2, 0, 0
4, Run: 043, P, 2, 0, 0
4, Run: 044, P, 6, 0, 0
4, Run: 045, P, 1, 0, 0
4, Run: 046, P, 1, 0, 0
4, Run: 047, P, 1, 0, 0
4, Run: 048, P, 7, 0, 0
4, Run: 049, P, 1, 0, 0
4, Run: 050, P, 1, 0, 0
4, Run: 051, P, 2, 0, 0
4, Run: 052, P, 1, 0, 0
4, Run: 053, P, 1, 0, 0
4, Run: 054, P, 1, 0, 0
4, Run: 055, P, 2, 0, 0
4, Run: 056, P, 3, 0, 0
4, Run: 057, P, 3, 0, 0
4, Run: 058, P, 1, 0, 0
4, Run: 059, P, 2, 0, 0
4, Run: 060, P, 1, 0, 0
4, Run: 061, P, 1, 0, 0
4, Run: 062, P, 1, 0, 0
4, Run: 063, P, 8, 0, 0
4, Run: 064, P, 2, 0, 0
4, Run: 065, P, 4, 0, 0
4, Run: 066, P, 1, 0, 0
4, Run: 067, P, 2, 0, 0
4, Run: 068, P, 1, 0, 0
4, Run: 069, P, 1, 0, 0
4, Run: 070, P, 1, 0, 0
4, Run: 071, P, 2, 0, 0
4, Run: 072, P, 5, 0, 0
4, Run: 073, P, 2, 0, 0
4, Run: 074, P, 1, 0, 0
4, Run: 075, P, 1, 0, 0
4, Run: 076, P, 4, 0, 0
4, Run: 077, P, 1, 0, 0
4, Run: 078, P, 8, 0, 0
4, Run: 079, P, 4, 0, 0
4, Run: 080, P, 1, 0, 0
4, Run: 081, P, 9, 0, 0
4, Run: 082, P, 1, 0, 0
4, Run: 083, P, 4, 0, 0
4, Run: 084, P, 4, 0, 0
4, Run: 085, P, 7, 0, 0
4, Run: 086, P, 2, 0, 0
4, Run: 087, P, 1, 0, 0
4, Run: 088, P, 4, 0, 0
4, Run: 089, P, 2, 0, 0
4, Run: 090, P, 2, 0, 0
4, Run: 091, P, 1, 0, 0
4, Run: 092, P, 6, 0, 0
4, Run: 093, P, 3, 0, 0
4, Run: 094, P, 2, 0, 0
4, Run: 095, P, 3, 0, 0
4, Run: 096, P, 1, 0, 0
4, Run: 097, P, 3, 0, 0
4, Run: 098, P, 2, 0, 0
4, Run: 099, P, 2, 0, 0
4, Run: 100, P, 3, 0, 0
5, Run: 001, P, 7, 0, 0
5, Run: 002, P, 6, 0, 0
5, Run: 003, P, 1, 0, 0
5, Run: 004, P, 20, 0, 0
5, Run: 005, P, 31, 0, 0
5, Run: 006, P, 2, 0, 0
5, Run: 007, P, 10, 0, 0
5, Run: 008, P, 11, 0, 0
5, Run: 009, P, 32, 0, 0
5, Run: 010, P, 13, 0, 0
5, Run: 011, P, 6, 0, 0
5, Run: 012, P, 8, 0, 0
5, Run: 013, P, 1, 0, 0
5, Run: 014, P, 1, 0, 0
