Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E
4, Run: 093, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 094, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 095, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 096, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 097, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 098, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 099, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 132, 0, 27
4, Run: 100, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
5, Run: 001, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 002, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 003, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 178, 0, 36
5, Run: 004, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 166, 0, 30
5, Run: 005, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 006, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 007, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 008, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 009, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 010, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 011, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 012, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 013, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 014, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 015, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 016, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 017, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 018, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 019, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 020, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 021, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 022, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 166, 0, 30
5, Run: 023, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 024, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 025, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 026, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 027, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 028, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 029, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 030, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 031, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 032, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 033, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 034, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 035, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 036, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 180, 0, 37
5, Run: 037, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 038, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 178, 0, 36
5, Run: 039, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 164, 0, 29
5, Run: 040, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 041, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 042, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 178, 0, 36
5, Run: 043, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 044, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 045, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 046, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 047, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 048, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 049, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 050, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 051, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 052, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 164, 0, 29
5, Run: 053, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 054, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 055, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 056, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 057, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 058, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 059, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 060, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 061, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 062, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 063, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 064, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 065, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 066, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 067, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 068, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 166, 0, 30
5, Run: 069, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 070, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 071, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 072, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 073, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 074, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 075, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
