Input Number, Run_Number, Result@ 100, Y, X2
INVAR-1, Run: 099, P, 56, 0
INVAR-1, Run: 100, P, 75, 0
INVAR-10, Run: 001, P, 52, 0
INVAR-10, Run: 002, P, 57, 0
INVAR-10, Run: 003, P, 61, 0
INVAR-10, Run: 004, P, 63, 0
INVAR-10, Run: 005, P, 43, 0
INVAR-10, Run: 006, P, 68, 0
INVAR-10, Run: 007, P, 70, 0
INVAR-10, Run: 008, P, 69, 0
INVAR-10, Run: 009, P, 49, 0
INVAR-10, Run: 010, P, 47, 0
INVAR-10, Run: 011, P, 47, 0
INVAR-10, Run: 012, P, 49, 0
INVAR-10, Run: 013, P, 64, 0
INVAR-10, Run: 014, P, 38, 0
INVAR-10, Run: 015, P, 59, 0
INVAR-10, Run: 016, P, 52, 0
INVAR-10, Run: 017, P, 56, 0
INVAR-10, Run: 018, P, 59, 0
INVAR-10, Run: 019, P, 56, 0
INVAR-10, Run: 020, P, 62, 0
INVAR-10, Run: 021, P, 70, 0
INVAR-10, Run: 022, P, 44, 0
INVAR-10, Run: 023, P, 58, 0
INVAR-10, Run: 024, P, 52, 0
INVAR-10, Run: 025, P, 66, 0
INVAR-10, Run: 026, P, 80, 0
INVAR-10, Run: 027, P, 57, 0
INVAR-10, Run: 028, P, 67, 0
INVAR-10, Run: 029, P, 42, 0
INVAR-10, Run: 030, P, 56, 0
INVAR-10, Run: 031, P, 57, 0
INVAR-10, Run: 032, P, 54, 0
INVAR-10, Run: 033, P, 62, 0
INVAR-10, Run: 034, P, 59, 0
INVAR-10, Run: 035, P, 61, 0
INVAR-10, Run: 036, P, 54, 0
INVAR-10, Run: 037, P, 71, 0
INVAR-10, Run: 038, P, 42, 0
INVAR-10, Run: 039, P, 43, 0
INVAR-10, Run: 040, P, 51, 0
INVAR-10, Run: 041, P, 66, 0
INVAR-10, Run: 042, P, 62, 0
INVAR-10, Run: 043, P, 71, 0
INVAR-10, Run: 044, P, 56, 0
INVAR-10, Run: 045, P, 56, 0
INVAR-10, Run: 046, P, 59, 0
INVAR-10, Run: 047, P, 54, 0
INVAR-10, Run: 048, P, 57, 0
INVAR-10, Run: 049, P, 51, 0
INVAR-10, Run: 050, P, 57, 0
INVAR-10, Run: 051, P, 68, 0
INVAR-10, Run: 052, P, 48, 0
INVAR-10, Run: 053, P, 58, 0
INVAR-10, Run: 054, P, 53, 0
INVAR-10, Run: 055, P, 58, 0
INVAR-10, Run: 056, P, 62, 0
INVAR-10, Run: 057, P, 48, 0
INVAR-10, Run: 058, P, 58, 0
INVAR-10, Run: 059, P, 36, 0
INVAR-10, Run: 060, P, 70, 0
INVAR-10, Run: 061, P, 56, 0
INVAR-10, Run: 062, P, 54, 0
INVAR-10, Run: 063, P, 61, 0
INVAR-10, Run: 064, P, 61, 0
INVAR-10, Run: 065, P, 43, 0
INVAR-10, Run: 066, P, 59, 0
INVAR-10, Run: 067, P, 68, 0
INVAR-10, Run: 068, P, 73, 0
INVAR-10, Run: 069, P, 55, 0
INVAR-10, Run: 070, P, 53, 0
INVAR-10, Run: 071, P, 73, 0
INVAR-10, Run: 072, P, 59, 0
INVAR-10, Run: 073, P, 49, 0
INVAR-10, Run: 074, P, 51, 0
INVAR-10, Run: 075, P, 57, 0
INVAR-10, Run: 076, P, 57, 0
INVAR-10, Run: 077, P, 64, 0
INVAR-10, Run: 078, P, 70, 0
INVAR-10, Run: 079, P, 62, 0
INVAR-10, Run: 080, P, 54, 0
INVAR-10, Run: 081, P, 67, 0
INVAR-10, Run: 082, P, 59, 0
INVAR-10, Run: 083, P, 54, 0
INVAR-10, Run: 084, P, 48, 0
INVAR-10, Run: 085, P, 56, 0
INVAR-10, Run: 086, P, 50, 0
INVAR-10, Run: 087, P, 71, 0
INVAR-10, Run: 088, P, 54, 0
INVAR-10, Run: 089, P, 38, 0
INVAR-10, Run: 090, P, 55, 0
INVAR-10, Run: 091, P, 63, 0
INVAR-10, Run: 092, P, 74, 0
INVAR-10, Run: 093, P, 63, 0
INVAR-10, Run: 094, P, 52, 0
INVAR-10, Run: 095, P, 56, 0
INVAR-10, Run: 096, P, 50, 0
INVAR-10, Run: 097, P, 60, 0
INVAR-10, Run: 098, P, 66, 0
INVAR-10, Run: 099, P, 43, 0
INVAR-10, Run: 100, P, 73, 0
INVAR-11, Run: 001, P, 45, 0
INVAR-11, Run: 002, P, 44, 0
INVAR-11, Run: 003, P, 34, 0
INVAR-11, Run: 004, P, 31, 0
INVAR-11, Run: 005, P, 32, 0
INVAR-11, Run: 006, P, 28, 0
INVAR-11, Run: 007, P, 34, 0
INVAR-11, Run: 008, P, 40, 0
INVAR-11, Run: 009, P, 51, 0
INVAR-11, Run: 010, P, 53, 0
INVAR-11, Run: 011, P, 41, 0
INVAR-11, Run: 012, P, 24, 0
INVAR-11, Run: 013, P, 31, 0
INVAR-11, Run: 014, P, 53, 0
INVAR-11, Run: 015, P, 59, 0
INVAR-11, Run: 016, P, 59, 0
INVAR-11, Run: 017, P, 41, 0
INVAR-11, Run: 018, P, 38, 0
INVAR-11, Run: 019, P, 25, 0
INVAR-11, Run: 020, P, 47, 0
INVAR-11, Run: 021, P, 38, 0
INVAR-11, Run: 022, P, 40, 0
INVAR-11, Run: 023, P, 52, 0
INVAR-11, Run: 024, P, 45, 0
INVAR-11, Run: 025, P, 50, 0
INVAR-11, Run: 026, P, 50, 0
INVAR-11, Run: 027, P, 13, 0
INVAR-11, Run: 028, P, 41, 0
INVAR-11, Run: 029, P, 43, 0
INVAR-11, Run: 030, P, 43, 0
INVAR-11, Run: 031, P, 45, 0
INVAR-11, Run: 032, P, 28, 0
INVAR-11, Run: 033, P, 49, 0
INVAR-11, Run: 034, P, 56, 0
INVAR-11, Run: 035, P, 35, 0
INVAR-11, Run: 036, P, 24, 0
INVAR-11, Run: 037, P, 34, 0
INVAR-11, Run: 038, P, 44, 0
INVAR-11, Run: 039, P, 43, 0
INVAR-11, Run: 040, P, 47, 0
INVAR-11, Run: 041, P, 42, 0
INVAR-11, Run: 042, P, 59, 0
INVAR-11, Run: 043, P, 48, 0
INVAR-11, Run: 044, P, 50, 0
INVAR-11, Run: 045, P, 27, 0
INVAR-11, Run: 046, P, 33, 0
INVAR-11, Run: 047, P, 44, 0
INVAR-11, Run: 048, P, 37, 0
INVAR-11, Run: 049, P, 35, 0
INVAR-11, Run: 050, P, 63, 0
INVAR-11, Run: 051, P, 32, 0
INVAR-11, Run: 052, P, 39, 0
INVAR-11, Run: 053, P, 38, 0
INVAR-11, Run: 054, P, 33, 0
INVAR-11, Run: 055, P, 46, 0
INVAR-11, Run: 056, P, 49, 0
INVAR-11, Run: 057, P, 37, 0
INVAR-11, Run: 058, P, 55, 0
INVAR-11, Run: 059, P, 41, 0
INVAR-11, Run: 060, P, 38, 0
INVAR-11, Run: 061, P, 36, 0
INVAR-11, Run: 062, P, 46, 0
INVAR-11, Run: 063, P, 60, 0
INVAR-11, Run: 064, P, 43, 0
INVAR-11, Run: 065, P, 23, 0
INVAR-11, Run: 066, P, 40, 0
INVAR-11, Run: 067, P, 35, 0
INVAR-11, Run: 068, P, 36, 0
INVAR-11, Run: 069, P, 32, 0
INVAR-11, Run: 070, P, 30, 0
INVAR-11, Run: 071, P, 40, 0
INVAR-11, Run: 072, P, 42, 0
INVAR-11, Run: 073, P, 41, 0
INVAR-11, Run: 074, P, 48, 0
INVAR-11, Run: 075, P, 24, 0
INVAR-11, Run: 076, P, 32, 0
INVAR-11, Run: 077, P, 59, 0
INVAR-11, Run: 078, P, 22, 0
INVAR-11, Run: 079, P, 41, 0
INVAR-11, Run: 080, P, 45, 0
INVAR-11, Run: 081, P, 45, 0
INVAR-11, Run: 082, P, 44, 0
INVAR-11, Run: 083, P, 29, 0
INVAR-11, Run: 084, P, 33, 0
INVAR-11, Run: 085, P, 39, 0
INVAR-11, Run: 086, P, 27, 0
INVAR-11, Run: 087, P, 36, 0
INVAR-11, Run: 088, P, 47, 0
INVAR-11, Run: 089, P, 64, 0
INVAR-11, Run: 090, P, 35, 0
INVAR-11, Run: 091, P, 42, 0
INVAR-11, Run: 092, P, 39, 0
INVAR-11, Run: 093, P, 44, 0
INVAR-11, Run: 094, P, 54, 0
INVAR-11, Run: 095, P, 35, 0
INVAR-11, Run: 096, P, 60, 0
INVAR-11, Run: 097, P, 51, 0
INVAR-11, Run: 098, P, 43, 0
INVAR-11, Run: 099, P, 55, 0
INVAR-11, Run: 100, P, 42, 0
INVAR-12, Run: 001, P, 0, 44
INVAR-12, Run: 002, P, 0, 40
INVAR-12, Run: 003, P, 0, 34
INVAR-12, Run: 004, P, 0, 24
