Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-11, Run: 045, F, 2, 0, 1, 86, 19, 61, 1, 4, 76
INVAR-11, Run: 046, F, 1, 0, 0, 115, 19, 71, 1, 23, 68
INVAR-11, Run: 047, F, 1, 0, 1, 91, 19, 63, 1, 25, 57
INVAR-11, Run: 048, F, 2, 0, 0, 101, 18, 65, 4, 24, 63
INVAR-11, Run: 049, F, 0, 0, 1, 111, 19, 70, 1, 19, 70
INVAR-11, Run: 050, F, 1, 0, 1, 106, 19, 68, 1, 18, 69
INVAR-11, Run: 051, F, 0, 0, 1, 72, 18, 56, 4, 17, 60
INVAR-11, Run: 052, F, 1, 0, 0, 100, 19, 66, 1, 11, 75
INVAR-11, Run: 053, F, 2, 0, 0, 92, 18, 62, 4, 28, 56
INVAR-11, Run: 054, F, 2, 0, 1, 119, 18, 71, 4, 20, 72
INVAR-11, Run: 055, F, 1, 0, 1, 85, 19, 61, 1, 22, 58
INVAR-11, Run: 056, F, 0, 0, 1, 102, 18, 66, 4, 29, 58
INVAR-11, Run: 057, F, 2, 0, 0, 95, 19, 64, 1, 17, 67
INVAR-11, Run: 058, F, 3, 0, 0, 108, 18, 67, 4, 37, 52
INVAR-11, Run: 059, F, 3, 0, 0, 84, 18, 59, 4, 25, 56
INVAR-11, Run: 060, F, 1, 0, 1, 88, 18, 61, 4, 28, 54
INVAR-11, Run: 061, F, 0, 0, 1, 120, 19, 73, 1, 6, 86
INVAR-11, Run: 062, F, 2, 0, 0, 104, 19, 67, 1, 33, 54
INVAR-11, Run: 063, F, 0, 0, 1, 93, 18, 63, 4, 39, 45
INVAR-11, Run: 064, F, 1, 0, 0, 91, 19, 63, 1, 25, 58
INVAR-11, Run: 065, F, 2, 0, 0, 95, 19, 64, 1, 18, 66
INVAR-11, Run: 066, F, 2, 0, 0, 104, 18, 66, 4, 12, 76
INVAR-11, Run: 067, F, 2, 0, 0, 107, 18, 67, 4, 21, 68
INVAR-11, Run: 068, F, 2, 0, 0, 107, 19, 68, 1, 4, 84
INVAR-11, Run: 069, F, 2, 0, 0, 95, 19, 64, 1, 23, 61
INVAR-11, Run: 070, F, 2, 0, 0, 95, 19, 64, 1, 29, 55
INVAR-11, Run: 071, F, 2, 0, 0, 116, 19, 71, 1, 3, 88
INVAR-11, Run: 072, F, 1, 0, 1, 94, 18, 63, 4, 18, 66
INVAR-11, Run: 073, F, 2, 0, 0, 95, 19, 64, 1, 24, 60
INVAR-11, Run: 074, F, 0, 0, 1, 81, 18, 59, 4, 29, 51
INVAR-11, Run: 075, F, 1, 0, 0, 91, 19, 63, 1, 16, 67
INVAR-11, Run: 076, F, 2, 0, 0, 101, 18, 65, 4, 31, 56
INVAR-11, Run: 077, F, 2, 0, 0, 89, 19, 62, 1, 26, 56
INVAR-11, Run: 078, F, 1, 0, 1, 88, 19, 62, 1, 3, 78
INVAR-11, Run: 079, F, 2, 0, 0, 101, 18, 65, 4, 30, 57
INVAR-11, Run: 080, F, 2, 0, 1, 95, 17, 62, 7, 19, 66
INVAR-11, Run: 081, F, 0, 0, 1, 111, 19, 70, 1, 2, 87
INVAR-11, Run: 082, F, 2, 0, 0, 98, 19, 65, 1, 22, 63
INVAR-11, Run: 083, F, 0, 0, 1, 99, 18, 65, 4, 22, 64
INVAR-11, Run: 084, F, 1, 0, 0, 88, 19, 62, 1, 3, 79
INVAR-11, Run: 085, F, 2, 0, 0, 92, 18, 62, 4, 32, 52
INVAR-11, Run: 086, F, 2, 0, 0, 74, 18, 56, 4, 17, 61
INVAR-11, Run: 087, F, 0, 0, 1, 111, 18, 69, 4, 21, 69
INVAR-11, Run: 088, F, 2, 0, 0, 107, 19, 68, 1, 41, 47
INVAR-11, Run: 089, F, 3, 0, 1, 111, 19, 69, 1, 5, 83
INVAR-11, Run: 090, F, 0, 0, 1, 99, 19, 66, 1, 22, 63
INVAR-11, Run: 091, F, 0, 0, 1, 111, 19, 70, 1, 22, 67
INVAR-11, Run: 092, F, 0, 0, 1, 96, 19, 65, 1, 14, 70
INVAR-11, Run: 093, F, 2, 0, 0, 92, 18, 62, 4, 11, 73
INVAR-11, Run: 094, F, 1, 0, 1, 97, 18, 64, 4, 17, 68
INVAR-11, Run: 095, F, 2, 0, 0, 110, 18, 68, 4, 32, 58
INVAR-11, Run: 096, F, 4, 0, 0, 103, 18, 65, 4, 21, 66
INVAR-11, Run: 097, F, 2, 0, 1, 92, 19, 63, 1, 27, 55
INVAR-11, Run: 098, F, 1, 0, 1, 103, 19, 67, 1, 23, 63
INVAR-11, Run: 099, F, 1, 0, 0, 103, 19, 67, 1, 35, 52
INVAR-11, Run: 100, F, 0, 0, 1, 93, 19, 64, 1, 9, 74
INVAR-12, Run: 001, F, 1, 0, 0, 99, 42, 98, 4, 28, 116
INVAR-12, Run: 002, F, 2, 0, 0, 100, 42, 98, 4, 28, 116
INVAR-12, Run: 003, F, 1, 0, 1, 105, 42, 100, 4, 24, 121
INVAR-12, Run: 004, F, 0, 0, 1, 104, 43, 101, 1, 45, 99
INVAR-12, Run: 005, F, 0, 0, 1, 95, 42, 97, 4, 53, 89
INVAR-12, Run: 006, F, 0, 0, 1, 107, 43, 102, 1, 23, 122
INVAR-12, Run: 007, F, 0, 0, 1, 113, 42, 103, 4, 75, 73
INVAR-12, Run: 008, F, 1, 0, 1, 96, 43, 98, 1, 44, 97
INVAR-12, Run: 009, F, 1, 0, 1, 108, 42, 101, 4, 29, 117
INVAR-12, Run: 010, F, 0, 0, 1, 95, 42, 97, 4, 45, 97
INVAR-12, Run: 011, F, 2, 0, 1, 94, 42, 96, 4, 66, 75
INVAR-12, Run: 012, F, 1, 0, 0, 90, 42, 95, 4, 48, 93
INVAR-12, Run: 013, F, 2, 0, 0, 82, 43, 93, 1, 39, 98
INVAR-12, Run: 014, F, 2, 0, 0, 121, 42, 105, 4, 83, 68
INVAR-12, Run: 015, F, 2, 0, 0, 103, 42, 99, 4, 76, 69
INVAR-12, Run: 016, F, 1, 0, 0, 93, 41, 95, 7, 91, 52
INVAR-12, Run: 017, F, 2, 0, 0, 121, 42, 105, 4, 44, 107
INVAR-12, Run: 018, F, 2, 0, 0, 91, 43, 96, 1, 32, 108
INVAR-12, Run: 019, F, 2, 0, 0, 109, 42, 101, 4, 70, 77
INVAR-12, Run: 020, F, 1, 0, 0, 81, 42, 92, 4, 38, 100
INVAR-12, Run: 021, F, 1, 0, 0, 99, 42, 98, 4, 75, 69
INVAR-12, Run: 022, F, 1, 0, 0, 93, 43, 97, 1, 56, 85
INVAR-12, Run: 023, F, 2, 0, 0, 97, 42, 97, 4, 69, 74
INVAR-12, Run: 024, F, 1, 0, 0, 99, 43, 99, 1, 12, 131
INVAR-12, Run: 025, F, 2, 0, 0, 88, 42, 94, 4, 25, 115
INVAR-12, Run: 026, F, 0, 0, 1, 98, 42, 98, 4, 60, 83
INVAR-12, Run: 027, F, 1, 0, 0, 102, 43, 100, 1, 17, 127
INVAR-12, Run: 028, F, 2, 0, 0, 106, 43, 101, 1, 30, 115
INVAR-12, Run: 029, F, 0, 0, 1, 95, 42, 97, 4, 57, 85
INVAR-12, Run: 030, F, 1, 0, 1, 93, 42, 96, 4, 91, 50
INVAR-12, Run: 031, F, 1, 0, 2, 105, 42, 100, 4, 41, 103
INVAR-12, Run: 032, F, 0, 0, 1, 101, 42, 99, 4, 60, 84
INVAR-12, Run: 033, F, 0, 0, 1, 107, 42, 101, 4, 104, 42
INVAR-12, Run: 034, F, 1, 0, 0, 96, 42, 97, 4, 96, 47
INVAR-12, Run: 035, F, 3, 0, 0, 101, 43, 99, 1, 38, 105
INVAR-12, Run: 036, F, 1, 0, 0, 96, 43, 98, 1, 44, 98
INVAR-12, Run: 037, F, 1, 0, 1, 99, 41, 97, 7, 55, 89
INVAR-12, Run: 038, F, 1, 0, 1, 102, 42, 99, 4, 96, 48
INVAR-12, Run: 039, F, 0, 0, 1, 113, 43, 104, 1, 18, 129
INVAR-12, Run: 040, F, 0, 0, 1, 86, 42, 94, 4, 34, 105
INVAR-12, Run: 041, F, 0, 0, 1, 113, 42, 103, 4, 89, 59
INVAR-12, Run: 042, F, 0, 0, 1, 83, 43, 94, 1, 45, 92
INVAR-12, Run: 043, F, 1, 0, 0, 93, 42, 96, 4, 64, 78
INVAR-12, Run: 044, F, 0, 0, 1, 107, 42, 101, 4, 92, 54
INVAR-12, Run: 045, F, 1, 0, 1, 111, 42, 102, 4, 14, 133
INVAR-12, Run: 046, F, 2, 0, 0, 100, 42, 98, 4, 77, 67
INVAR-12, Run: 047, F, 0, 0, 1, 86, 42, 94, 4, 100, 39
