Input Number, Run_Number, Result@ 100, V, Y, X
1, Run: 070, P, 0, 0, 2
1, Run: 071, P, 0, 0, 1
1, Run: 072, P, 0, 0, 2
1, Run: 073, P, 0, 0, 2
1, Run: 074, P, 0, 0, 2
1, Run: 075, F, 13, 0, 0
1, Run: 076, P, 0, 0, 1
1, Run: 077, P, 0, 0, 1
1, Run: 078, F, 12, 0, 0
1, Run: 079, F, 17, 0, 0
1, Run: 080, F, 4, 0, 0
1, Run: 081, F, 4, 0, 0
1, Run: 082, F, 15, 0, 0
1, Run: 083, P, 0, 0, 1
1, Run: 084, P, 0, 0, 2
1, Run: 085, P, 0, 0, 1
1, Run: 086, P, 0, 0, 1
1, Run: 087, F, 11, 0, 0
1, Run: 088, F, 8, 0, 0
1, Run: 089, P, 0, 0, 1
1, Run: 090, F, 15, 0, 0
1, Run: 091, F, 4, 0, 0
1, Run: 092, P, 0, 0, 2
1, Run: 093, F, 14, 0, 0
1, Run: 094, F, 11, 0, 0
1, Run: 095, P, 0, 0, 1
1, Run: 096, F, 4, 0, 0
1, Run: 097, F, 6, 0, 0
1, Run: 098, P, 0, 0, 1
1, Run: 099, P, 0, 0, 2
1, Run: 100, P, 0, 0, 1
10, Run: 001, F, 5, 0, 0
10, Run: 002, P, 0, 0, 1
10, Run: 003, F, 4, 0, 0
10, Run: 004, F, 8, 0, 0
10, Run: 005, F, 1, 0, 0
10, Run: 006, F, 4, 0, 0
10, Run: 007, P, 0, 0, 2
10, Run: 008, P, 0, 0, 1
10, Run: 009, F, 2, 0, 0
10, Run: 010, F, 4, 0, 0
10, Run: 011, P, 0, 0, 2
10, Run: 012, P, 0, 0, 1
10, Run: 013, P, 0, 0, 1
10, Run: 014, F, 4, 0, 0
10, Run: 015, F, 1, 0, 0
10, Run: 016, P, 0, 0, 2
10, Run: 017, P, 0, 0, 2
10, Run: 018, P, 0, 0, 2
10, Run: 019, P, 0, 0, 2
10, Run: 020, P, 0, 0, 2
10, Run: 021, F, 1, 0, 0
10, Run: 022, P, 0, 0, 2
10, Run: 023, P, 0, 0, 2
10, Run: 024, F, 5, 0, 0
10, Run: 025, P, 0, 0, 1
10, Run: 026, P, 0, 0, 1
10, Run: 027, P, 0, 0, 2
10, Run: 028, P, 0, 0, 1
10, Run: 029, P, 0, 0, 1
10, Run: 030, F, 1, 0, 0
10, Run: 031, P, 0, 0, 2
10, Run: 032, P, 0, 0, 1
10, Run: 033, P, 0, 0, 1
10, Run: 034, P, 0, 0, 1
10, Run: 035, F, 1, 0, 0
10, Run: 036, P, 0, 0, 2
10, Run: 037, P, 0, 0, 1
10, Run: 038, P, 0, 0, 2
10, Run: 039, P, 0, 0, 2
10, Run: 040, F, 5, 0, 0
10, Run: 041, P, 0, 0, 2
10, Run: 042, F, 3, 0, 0
10, Run: 043, F, 5, 0, 0
10, Run: 044, P, 0, 0, 1
10, Run: 045, F, 6, 0, 0
10, Run: 046, P, 0, 0, 1
10, Run: 047, P, 0, 0, 2
10, Run: 048, F, 2, 0, 0
10, Run: 049, P, 0, 0, 2
10, Run: 050, F, 1, 0, 0
10, Run: 051, F, 1, 0, 0
10, Run: 052, F, 1, 0, 0
10, Run: 053, P, 0, 0, 1
10, Run: 054, P, 0, 0, 2
10, Run: 055, F, 7, 0, 0
10, Run: 056, P, 0, 0, 1
10, Run: 057, P, 0, 0, 2
10, Run: 058, F, 5, 0, 0
10, Run: 059, P, 0, 0, 2
10, Run: 060, P, 0, 0, 2
10, Run: 061, P, 0, 0, 2
10, Run: 062, P, 0, 0, 1
10, Run: 063, P, 0, 0, 2
10, Run: 064, F, 2, 0, 0
10, Run: 065, P, 0, 0, 1
10, Run: 066, F, 6, 0, 0
10, Run: 067, P, 0, 0, 1
