Input Number, Run_Number, Result@ 100, Y, X2
In05, Run: 001, E, 41, 0
In05, Run: 002, E, 27, 0
In05, Run: 003, E, 28, 0
In05, Run: 004, E, 7, 0
In05, Run: 005, E, 30, 0
In05, Run: 006, E, 32, 0
In05, Run: 007, E, 28, 0
In05, Run: 008, E, 31, 0
In05, Run: 009, E, 22, 0
In05, Run: 010, E, 28, 0
In05, Run: 011, E, 18, 0
In05, Run: 012, E, 33, 0
In05, Run: 013, E, 45, 0
In05, Run: 014, E, 44, 0
In05, Run: 015, E, 25, 0
In05, Run: 016, E, 30, 0
In05, Run: 017, E, 46, 0
In05, Run: 018, E, 16, 0
In05, Run: 019, E, 57, 0
In05, Run: 020, E, 38, 0
In05, Run: 021, E, 32, 0
In05, Run: 022, E, 32, 0
In05, Run: 023, E, 34, 0
In05, Run: 024, E, 30, 0
In05, Run: 025, E, 45, 0
In05, Run: 026, E, 25, 0
In05, Run: 027, E, 19, 0
In05, Run: 028, E, 28, 0
In05, Run: 029, E, 31, 0
In05, Run: 030, E, 14, 0
In05, Run: 031, E, 3, 0
In05, Run: 032, E, 26, 0
In05, Run: 033, E, 33, 0
In05, Run: 034, E, 20, 0
In05, Run: 035, E, 30, 0
In05, Run: 036, E, 14, 0
In05, Run: 037, E, 44, 0
In05, Run: 038, E, 20, 0
In05, Run: 039, E, 20, 0
In05, Run: 040, E, 41, 0
In05, Run: 041, E, 16, 0
In05, Run: 042, E, 21, 0
In05, Run: 043, E, 29, 0
In05, Run: 044, E, 28, 0
In05, Run: 045, E, 23, 0
In05, Run: 046, E, 35, 0
In05, Run: 047, E, 21, 0
In05, Run: 048, E, 20, 0
In05, Run: 049, E, 24, 0
In05, Run: 050, E, 32, 0
In05, Run: 051, E, 44, 0
In05, Run: 052, E, 28, 0
In05, Run: 053, E, 48, 0
In05, Run: 054, E, 34, 0
In05, Run: 055, E, 21, 0
In05, Run: 056, E, 17, 0
In05, Run: 057, E, 22, 0
In05, Run: 058, E, 29, 0
In05, Run: 059, E, 36, 0
In05, Run: 060, E, 16, 0
In05, Run: 061, E, 35, 0
In05, Run: 062, E, 27, 0
In05, Run: 063, E, 39, 0
In05, Run: 064, E, 32, 0
In05, Run: 065, E, 3, 0
In05, Run: 066, E, 33, 0
In05, Run: 067, E, 20, 0
In05, Run: 068, E, 32, 0
In05, Run: 069, E, 0, 4
In05, Run: 070, E, 27, 0
In05, Run: 071, E, 43, 0
In05, Run: 072, E, 46, 0
In05, Run: 073, E, 23, 0
In05, Run: 074, E, 30, 0
In05, Run: 075, E, 22, 0
In05, Run: 076, E, 35, 0
In05, Run: 077, E, 39, 0
In05, Run: 078, E, 19, 0
In05, Run: 079, E, 41, 0
In05, Run: 080, E, 23, 0
In05, Run: 081, E, 32, 0
In05, Run: 082, E, 35, 0
In05, Run: 083, E, 14, 0
In05, Run: 084, E, 32, 0
In05, Run: 085, E, 26, 0
In05, Run: 086, E, 33, 0
In05, Run: 087, E, 22, 0
In05, Run: 088, E, 33, 0
In05, Run: 089, E, 37, 0
In05, Run: 090, E, 55, 0
In05, Run: 091, E, 43, 0
In05, Run: 092, E, 23, 0
In05, Run: 093, E, 45, 0
In05, Run: 094, E, 32, 0
In05, Run: 095, E, 23, 0
In05, Run: 096, E, 16, 0
In05, Run: 097, E, 21, 0
In05, Run: 098, E, 41, 0
In05, Run: 099, E, 26, 0
In05, Run: 100, E, 29, 0
In06, Run: 001, E, 0, 104
In06, Run: 002, E, 0, 100
In06, Run: 003, E, 0, 94
In06, Run: 004, E, 0, 99
In06, Run: 005, E, 0, 97
In06, Run: 006, E, 0, 96
