Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
ASE6,In20,100,46,0,0,0,46
ASE6,In21,100,48,0,0,0,48
ASE6,In22,100,52,0,0,0,52
ASE6,In23,100,49,0,0,0,49
ASE6,In24,100,97,0,0,0,97
ASE6,In25,100,58,0,0,0,58
ASE6,In26,100,44,0,0,0,44
ASE6,In27,100,57,0,0,0,57
ASE6,In28,100,55,0,0,0,55
ASE6,In29,100,41,0,0,0,41
ASE6,In30,100,53,0,0,0,53
ASE6,In32,100,42,0,0,0,42
ASE6,In33,100,52,0,0,0,52
ASE6,In34,100,46,0,0,0,46
ASE6,In35,100,55,0,0,0,55
ASE6,In36,100,58,0,0,0,58
ASE6,In37,100,98,0,0,0,98
ASE6,In38,100,57,0,0,0,57
ASE6,In39,100,50,0,0,0,50
ASE6,In40,100,96,0,0,0,96
ASE6,In41,100,52,0,0,0,52
ASE6,In42,100,55,0,0,0,55
ASE6,In43,100,60,0,0,0,60
ASE7,In01,100,50,0,0,0,50
ASE7,In02,100,37,0,0,0,37
ASE7,In03,100,87,0,0,0,87
ASE7,In04,100,9,0,0,0,9
ASE7,In05,100,47,0,0,0,47
ASE7,In06,100,98,0,0,0,98
ASE7,In07,100,38,0,0,0,38
ASE7,In08,100,22,0,0,0,22
ASE7,In09,100,17,0,0,0,17
ASE7,In10,100,42,0,0,0,42
ASE7,In11,100,5,0,0,0,5
ASE7,In12,100,98,0,0,0,98
ASE7,In13,100,27,0,0,0,27
ASE7,In14,100,46,0,0,0,46
ASE7,In15,100,98,0,0,0,98
ASE7,In17,100,23,0,0,0,23
ASE7,In19,100,5,0,0,0,5
ASE7,In20,100,8,0,0,0,8
ASE7,In21,100,26,0,0,0,26
ASE7,In22,100,28,0,0,0,28
ASE7,In23,100,9,0,0,0,9
ASE7,In24,100,97,0,0,0,97
ASE7,In25,100,50,0,0,0,50
ASE7,In26,100,0,0,0,0,0
ASE7,In27,100,0,0,0,0,0
ASE7,In28,100,45,0,0,0,45
ASE7,In29,100,1,0,0,0,1
ASE7,In30,100,0,0,0,0,0
ASE7,In32,100,0,0,0,0,0
ASE7,In33,100,18,0,0,0,18
ASE7,In34,100,0,0,0,0,0
ASE7,In35,100,51,0,0,0,51
ASE7,In36,100,1,0,0,0,1
ASE7,In37,100,98,0,0,0,98
ASE7,In38,100,45,0,0,0,45
ASE7,In39,100,31,0,0,0,31
ASE7,In40,100,96,0,0,0,96
ASE7,In41,100,0,0,0,0,0
ASE7,In42,100,12,0,0,0,12
ASE7,In43,100,0,0,0,0,0
ASE8,In01,100,19,0,0,0,19
ASE8,In02,100,4,0,0,0,4
ASE8,In03,100,0,0,0,0,0
ASE8,In04,100,44,0,0,0,44
ASE8,In05,100,0,0,0,0,0
ASE8,In06,100,93,0,0,0,93
ASE8,In10,100,19,0,0,0,19
ASE8,In11,100,3,0,0,0,3
ASE8,In12,100,16,0,0,0,16
ASE8,In13,100,43,0,0,0,43
ASE8,In14,100,0,0,0,0,0
ASE8,In15,100,93,0,0,0,93
ASE8,In17,100,1,0,0,0,1
ASE8,In22,100,16,0,0,0,16
ASE8,In23,100,1,0,0,0,1
ASE8,In24,100,0,0,0,0,0
ASE8,In35,100,3,0,0,0,3
ASE8,In36,100,3,0,0,0,3
ASE8,In37,100,0,0,0,0,0
ASE8,In38,100,15,0,0,0,15
ASE8,In39,100,0,0,0,0,0
ASE8,In40,100,0,0,0,0,0
ASE9,In01,100,100,0,0,0,100
ASE9,In02,100,100,0,0,0,100
ASE9,In03,100,1,0,0,0,1
ASE9,In04,100,100,0,0,0,100
ASE9,In05,100,99,0,0,0,99
ASE9,In06,100,0,0,0,0,0
ASE9,In07,100,100,0,0,0,100
ASE9,In08,100,88,0,0,0,88
ASE9,In09,100,0,0,0,0,0
ASE9,In10,100,100,0,0,0,100
ASE9,In11,100,64,0,0,0,64
ASE9,In12,100,1,0,0,0,1
ASE9,In13,100,100,0,0,0,100
ASE9,In14,100,74,0,0,0,74
ASE9,In15,100,0,0,0,0,0
ASE9,In16,100,100,0,0,0,100
ASE9,In17,100,98,0,0,0,98
ASE9,In18,100,2,0,0,0,2
ASE9,In19,100,100,0,0,0,100
ASE9,In20,100,79,0,0,0,79
ASE9,In21,100,3,0,0,0,3
ASE9,In22,100,100,0,0,0,100
ASE9,In23,100,53,0,0,0,53
ASE9,In24,100,0,0,0,0,0
ASE9,In25,100,100,0,0,0,100
ASE9,In26,100,91,0,0,0,91
ASE9,In27,100,0,0,0,0,0
ASE9,In28,100,100,0,0,0,100
ASE9,In29,100,100,0,0,0,100
ASE9,In30,100,52,0,0,0,52
ASE9,In31,100,100,0,0,0,100
ASE9,In32,100,100,0,0,0,100
ASE9,In33,100,56,0,0,0,56
ASE9,In34,100,1,0,0,0,1
ASE9,In35,100,100,0,0,0,100
ASE9,In36,100,59,0,0,0,59
ASE9,In37,100,0,0,0,0,0
ASE9,In38,100,100,0,0,0,100
ASE9,In39,100,58,0,0,0,58
ASE9,In40,100,0,0,0,0,0
ASE9,In41,100,100,0,0,0,100
ASE9,In42,100,61,0,0,0,61
ASE9,In43,100,2,0,0,0,2
ASE9,In44,100,100,0,0,0,100
ASE9,In45,100,58,0,0,0,58
ASE9,In46,100,2,0,0,0,2
