Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 070, P, 0, 0, 76, 52, 24, 76, 24
INVAR-1, Run: 071, P, 0, 0, 114, 90, 24, 114, 24
INVAR-1, Run: 072, P, 0, 0, 112, 88, 24, 112, 24
INVAR-1, Run: 073, P, 0, 0, 100, 76, 24, 100, 24
INVAR-1, Run: 074, P, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 075, P, 0, 0, 93, 69, 24, 93, 24
INVAR-1, Run: 076, P, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 077, P, 0, 0, 100, 76, 24, 100, 24
INVAR-1, Run: 078, P, 0, 0, 91, 67, 24, 91, 24
INVAR-1, Run: 079, P, 0, 0, 98, 74, 24, 98, 24
INVAR-1, Run: 080, P, 0, 0, 99, 75, 24, 99, 24
INVAR-1, Run: 081, P, 0, 0, 104, 80, 24, 104, 24
INVAR-1, Run: 082, P, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 083, P, 0, 0, 111, 87, 24, 111, 24
INVAR-1, Run: 084, P, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 085, P, 0, 0, 108, 84, 24, 108, 24
INVAR-1, Run: 086, P, 0, 0, 96, 72, 24, 96, 24
INVAR-1, Run: 087, P, 0, 0, 100, 76, 24, 100, 24
INVAR-1, Run: 088, P, 0, 0, 98, 74, 24, 98, 24
INVAR-1, Run: 089, P, 0, 0, 117, 93, 24, 117, 24
INVAR-1, Run: 090, P, 0, 0, 78, 54, 24, 78, 24
INVAR-1, Run: 091, P, 0, 0, 110, 86, 24, 110, 24
INVAR-1, Run: 092, P, 0, 0, 103, 79, 24, 103, 24
INVAR-1, Run: 093, P, 0, 0, 79, 55, 24, 79, 24
INVAR-1, Run: 094, P, 0, 0, 94, 70, 24, 94, 24
INVAR-1, Run: 095, P, 0, 0, 119, 95, 24, 119, 24
INVAR-1, Run: 096, P, 0, 0, 88, 64, 24, 88, 24
INVAR-1, Run: 097, P, 0, 0, 106, 82, 24, 106, 24
INVAR-1, Run: 098, P, 0, 0, 104, 80, 24, 104, 24
INVAR-1, Run: 099, P, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 100, P, 0, 0, 104, 80, 24, 104, 24
INVAR-10, Run: 001, P, 0, 0, 96, 54, 42, 96, 42
INVAR-10, Run: 002, P, 0, 0, 99, 57, 42, 99, 42
INVAR-10, Run: 003, P, 0, 0, 83, 41, 42, 83, 42
INVAR-10, Run: 004, P, 0, 0, 101, 59, 42, 101, 42
INVAR-10, Run: 005, P, 0, 0, 115, 73, 42, 115, 42
INVAR-10, Run: 006, P, 0, 0, 102, 60, 42, 102, 42
INVAR-10, Run: 007, P, 0, 0, 106, 64, 42, 106, 42
INVAR-10, Run: 008, P, 0, 0, 98, 56, 42, 98, 42
INVAR-10, Run: 009, P, 0, 0, 113, 71, 42, 113, 42
INVAR-10, Run: 010, P, 0, 0, 90, 48, 42, 90, 42
INVAR-10, Run: 011, P, 0, 0, 84, 42, 42, 84, 42
INVAR-10, Run: 012, P, 0, 0, 105, 63, 42, 105, 42
INVAR-10, Run: 013, P, 0, 0, 116, 74, 42, 116, 42
INVAR-10, Run: 014, P, 0, 0, 89, 47, 42, 89, 42
INVAR-10, Run: 015, P, 0, 0, 111, 69, 42, 111, 42
INVAR-10, Run: 016, P, 0, 0, 107, 65, 42, 107, 42
INVAR-10, Run: 017, P, 0, 0, 102, 60, 42, 102, 42
INVAR-10, Run: 018, P, 0, 0, 102, 60, 42, 102, 42
INVAR-10, Run: 019, P, 0, 0, 122, 80, 42, 122, 42
INVAR-10, Run: 020, P, 0, 0, 117, 75, 42, 117, 42
INVAR-10, Run: 021, P, 0, 0, 110, 68, 42, 110, 42
INVAR-10, Run: 022, P, 0, 0, 100, 58, 42, 100, 42
INVAR-10, Run: 023, P, 0, 0, 86, 44, 42, 86, 42
INVAR-10, Run: 024, P, 0, 0, 106, 64, 42, 106, 42
INVAR-10, Run: 025, P, 0, 0, 101, 59, 42, 101, 42
INVAR-10, Run: 026, P, 0, 0, 101, 59, 42, 101, 42
INVAR-10, Run: 027, P, 0, 0, 98, 56, 42, 98, 42
INVAR-10, Run: 028, P, 0, 0, 88, 46, 42, 88, 42
INVAR-10, Run: 029, P, 0, 0, 82, 40, 42, 82, 42
INVAR-10, Run: 030, P, 0, 0, 113, 71, 42, 113, 42
INVAR-10, Run: 031, P, 0, 0, 123, 81, 42, 123, 42
INVAR-10, Run: 032, P, 0, 0, 104, 62, 42, 104, 42
INVAR-10, Run: 033, P, 0, 0, 105, 63, 42, 105, 42
INVAR-10, Run: 034, P, 0, 0, 102, 60, 42, 102, 42
INVAR-10, Run: 035, P, 0, 0, 100, 58, 42, 100, 42
INVAR-10, Run: 036, P, 0, 0, 100, 58, 42, 100, 42
INVAR-10, Run: 037, P, 0, 0, 98, 56, 42, 98, 42
INVAR-10, Run: 038, P, 0, 0, 104, 62, 42, 104, 42
INVAR-10, Run: 039, P, 0, 0, 93, 51, 42, 93, 42
INVAR-10, Run: 040, P, 0, 0, 107, 65, 42, 107, 42
INVAR-10, Run: 041, P, 0, 0, 99, 57, 42, 99, 42
INVAR-10, Run: 042, P, 0, 0, 105, 63, 42, 105, 42
INVAR-10, Run: 043, P, 0, 0, 90, 48, 42, 90, 42
INVAR-10, Run: 044, P, 0, 0, 104, 62, 42, 104, 42
INVAR-10, Run: 045, P, 0, 0, 112, 70, 42, 112, 42
INVAR-10, Run: 046, P, 0, 0, 98, 56, 42, 98, 42
INVAR-10, Run: 047, P, 0, 0, 95, 53, 42, 95, 42
INVAR-10, Run: 048, P, 0, 0, 99, 57, 42, 99, 42
INVAR-10, Run: 049, P, 0, 0, 120, 78, 42, 120, 42
INVAR-10, Run: 050, P, 0, 0, 101, 59, 42, 101, 42
INVAR-10, Run: 051, P, 0, 0, 107, 65, 42, 107, 42
INVAR-10, Run: 052, P, 0, 0, 94, 52, 42, 94, 42
INVAR-10, Run: 053, P, 0, 0, 93, 51, 42, 93, 42
INVAR-10, Run: 054, P, 0, 0, 94, 52, 42, 94, 42
INVAR-10, Run: 055, P, 0, 0, 95, 53, 42, 95, 42
INVAR-10, Run: 056, P, 0, 0, 104, 62, 42, 104, 42
INVAR-10, Run: 057, P, 0, 0, 102, 60, 42, 102, 42
INVAR-10, Run: 058, P, 0, 0, 109, 67, 42, 109, 42
INVAR-10, Run: 059, P, 0, 0, 96, 54, 42, 96, 42
INVAR-10, Run: 060, P, 0, 0, 104, 62, 42, 104, 42
INVAR-10, Run: 061, P, 0, 0, 105, 63, 42, 105, 42
INVAR-10, Run: 062, P, 0, 0, 97, 55, 42, 97, 42
INVAR-10, Run: 063, P, 0, 0, 107, 65, 42, 107, 42
INVAR-10, Run: 064, P, 0, 0, 100, 58, 42, 100, 42
INVAR-10, Run: 065, P, 0, 0, 104, 62, 42, 104, 42
INVAR-10, Run: 066, P, 0, 0, 110, 68, 42, 110, 42
INVAR-10, Run: 067, P, 0, 0, 102, 60, 42, 102, 42
INVAR-10, Run: 068, P, 0, 0, 102, 60, 42, 102, 42
INVAR-10, Run: 069, P, 0, 0, 109, 67, 42, 109, 42
INVAR-10, Run: 070, P, 0, 0, 108, 66, 42, 108, 42
INVAR-10, Run: 071, P, 0, 0, 99, 57, 42, 99, 42
INVAR-10, Run: 072, P, 0, 0, 94, 52, 42, 94, 42
INVAR-10, Run: 073, P, 0, 0, 82, 40, 42, 82, 42
INVAR-10, Run: 074, P, 0, 0, 91, 49, 42, 91, 42
INVAR-10, Run: 075, P, 0, 0, 90, 48, 42, 90, 42
INVAR-10, Run: 076, P, 0, 0, 93, 51, 42, 93, 42
INVAR-10, Run: 077, P, 0, 0, 105, 63, 42, 105, 42
INVAR-10, Run: 078, P, 0, 0, 104, 62, 42, 104, 42
INVAR-10, Run: 079, P, 0, 0, 92, 50, 42, 92, 42
INVAR-10, Run: 080, P, 0, 0, 90, 48, 42, 90, 42
INVAR-10, Run: 081, P, 0, 0, 93, 51, 42, 93, 42
INVAR-10, Run: 082, P, 0, 0, 84, 42, 42, 84, 42
INVAR-10, Run: 083, P, 0, 0, 97, 55, 42, 97, 42
INVAR-10, Run: 084, P, 0, 0, 107, 65, 42, 107, 42
INVAR-10, Run: 085, P, 0, 0, 96, 54, 42, 96, 42
INVAR-10, Run: 086, P, 0, 0, 103, 61, 42, 103, 42
INVAR-10, Run: 087, P, 0, 0, 95, 53, 42, 95, 42
INVAR-10, Run: 088, P, 0, 0, 107, 65, 42, 107, 42
INVAR-10, Run: 089, P, 0, 0, 110, 68, 42, 110, 42
INVAR-10, Run: 090, P, 0, 0, 101, 59, 42, 101, 42
INVAR-10, Run: 091, P, 0, 0, 96, 54, 42, 96, 42
INVAR-10, Run: 092, P, 0, 0, 100, 58, 42, 100, 42
INVAR-10, Run: 093, P, 0, 0, 94, 52, 42, 94, 42
INVAR-10, Run: 094, P, 0, 0, 109, 67, 42, 109, 42
INVAR-10, Run: 095, P, 0, 0, 99, 57, 42, 99, 42
INVAR-10, Run: 096, P, 0, 0, 95, 53, 42, 95, 42
INVAR-10, Run: 097, P, 0, 0, 90, 48, 42, 90, 42
INVAR-10, Run: 098, P, 0, 0, 100, 58, 42, 100, 42
INVAR-10, Run: 099, P, 0, 0, 110, 68, 42, 110, 42
INVAR-10, Run: 100, P, 0, 0, 100, 58, 42, 100, 42
INVAR-11, Run: 001, P, 0, 0, 95, 37, 58, 95, 58
INVAR-11, Run: 002, P, 0, 0, 112, 54, 58, 112, 58
INVAR-11, Run: 003, P, 0, 0, 88, 30, 58, 88, 58
INVAR-11, Run: 004, P, 0, 0, 100, 42, 58, 100, 58
INVAR-11, Run: 005, P, 0, 0, 103, 45, 58, 103, 58
INVAR-11, Run: 006, P, 0, 0, 98, 40, 58, 98, 58
INVAR-11, Run: 007, P, 0, 0, 84, 26, 58, 84, 58
INVAR-11, Run: 008, P, 0, 0, 110, 52, 58, 110, 58
INVAR-11, Run: 009, P, 0, 0, 105, 47, 58, 105, 58
INVAR-11, Run: 010, P, 0, 0, 96, 38, 58, 96, 58
INVAR-11, Run: 011, P, 0, 0, 123, 65, 58, 123, 58
INVAR-11, Run: 012, P, 0, 0, 100, 42, 58, 100, 58
INVAR-11, Run: 013, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 014, P, 0, 0, 87, 29, 58, 87, 58
INVAR-11, Run: 015, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 016, P, 0, 0, 107, 49, 58, 107, 58
INVAR-11, Run: 017, P, 0, 0, 82, 24, 58, 82, 58
INVAR-11, Run: 018, P, 0, 0, 106, 48, 58, 106, 58
INVAR-11, Run: 019, P, 0, 0, 110, 52, 58, 110, 58
INVAR-11, Run: 020, P, 0, 0, 103, 45, 58, 103, 58
INVAR-11, Run: 021, P, 0, 0, 96, 38, 58, 96, 58
INVAR-11, Run: 022, P, 0, 0, 115, 57, 58, 115, 58
INVAR-11, Run: 023, P, 0, 0, 111, 53, 58, 111, 58
INVAR-11, Run: 024, P, 0, 0, 107, 49, 58, 107, 58
INVAR-11, Run: 025, P, 0, 0, 84, 26, 58, 84, 58
INVAR-11, Run: 026, P, 0, 0, 81, 23, 58, 81, 58
INVAR-11, Run: 027, P, 0, 0, 113, 55, 58, 113, 58
INVAR-11, Run: 028, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 029, P, 0, 0, 98, 40, 58, 98, 58
INVAR-11, Run: 030, P, 0, 0, 89, 31, 58, 89, 58
INVAR-11, Run: 031, P, 0, 0, 127, 69, 58, 127, 58
INVAR-11, Run: 032, P, 0, 0, 105, 47, 58, 105, 58
INVAR-11, Run: 033, P, 0, 0, 91, 33, 58, 91, 58
INVAR-11, Run: 034, P, 0, 0, 87, 29, 58, 87, 58
INVAR-11, Run: 035, P, 0, 0, 111, 53, 58, 111, 58
INVAR-11, Run: 036, P, 0, 0, 108, 50, 58, 108, 58
INVAR-11, Run: 037, P, 0, 0, 97, 39, 58, 97, 58
INVAR-11, Run: 038, P, 0, 0, 104, 46, 58, 104, 58
INVAR-11, Run: 039, P, 0, 0, 109, 51, 58, 109, 58
INVAR-11, Run: 040, P, 0, 0, 96, 38, 58, 96, 58
INVAR-11, Run: 041, P, 0, 0, 74, 16, 58, 74, 58
INVAR-11, Run: 042, P, 0, 0, 79, 21, 58, 79, 58
INVAR-11, Run: 043, P, 0, 0, 115, 57, 58, 115, 58
INVAR-11, Run: 044, P, 0, 0, 101, 43, 58, 101, 58
INVAR-11, Run: 045, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 046, P, 0, 0, 88, 30, 58, 88, 58
INVAR-11, Run: 047, P, 0, 0, 112, 54, 58, 112, 58
INVAR-11, Run: 048, P, 0, 0, 90, 32, 58, 90, 58
INVAR-11, Run: 049, P, 0, 0, 89, 31, 58, 89, 58
INVAR-11, Run: 050, P, 0, 0, 103, 45, 58, 103, 58
INVAR-11, Run: 051, P, 0, 0, 85, 27, 58, 85, 58
INVAR-11, Run: 052, P, 0, 0, 82, 24, 58, 82, 58
INVAR-11, Run: 053, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 054, P, 0, 0, 101, 43, 58, 101, 58
INVAR-11, Run: 055, P, 0, 0, 106, 48, 58, 106, 58
INVAR-11, Run: 056, P, 0, 0, 80, 22, 58, 80, 58
INVAR-11, Run: 057, P, 0, 0, 103, 45, 58, 103, 58
INVAR-11, Run: 058, P, 0, 0, 106, 48, 58, 106, 58
INVAR-11, Run: 059, P, 0, 0, 99, 41, 58, 99, 58
INVAR-11, Run: 060, P, 0, 0, 103, 45, 58, 103, 58
INVAR-11, Run: 061, P, 0, 0, 97, 39, 58, 97, 58
INVAR-11, Run: 062, P, 0, 0, 109, 51, 58, 109, 58
INVAR-11, Run: 063, P, 0, 0, 112, 54, 58, 112, 58
INVAR-11, Run: 064, P, 0, 0, 86, 28, 58, 86, 58
INVAR-11, Run: 065, P, 0, 0, 111, 53, 58, 111, 58
INVAR-11, Run: 066, P, 0, 0, 104, 46, 58, 104, 58
INVAR-11, Run: 067, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 068, P, 0, 0, 104, 46, 58, 104, 58
INVAR-11, Run: 069, P, 0, 0, 96, 38, 58, 96, 58
INVAR-11, Run: 070, P, 0, 0, 83, 25, 58, 83, 58
INVAR-11, Run: 071, P, 0, 0, 91, 33, 58, 91, 58
INVAR-11, Run: 072, P, 0, 0, 104, 46, 58, 104, 58
INVAR-11, Run: 073, P, 0, 0, 113, 55, 58, 113, 58
INVAR-11, Run: 074, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 075, P, 0, 0, 104, 46, 58, 104, 58
INVAR-11, Run: 076, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 077, P, 0, 0, 103, 45, 58, 103, 58
INVAR-11, Run: 078, P, 0, 0, 105, 47, 58, 105, 58
INVAR-11, Run: 079, P, 0, 0, 94, 36, 58, 94, 58
INVAR-11, Run: 080, P, 0, 0, 101, 43, 58, 101, 58
INVAR-11, Run: 081, P, 0, 0, 106, 48, 58, 106, 58
INVAR-11, Run: 082, P, 0, 0, 90, 32, 58, 90, 58
INVAR-11, Run: 083, P, 0, 0, 99, 41, 58, 99, 58
INVAR-11, Run: 084, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 085, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 086, P, 0, 0, 108, 50, 58, 108, 58
INVAR-11, Run: 087, P, 0, 0, 93, 35, 58, 93, 58
INVAR-11, Run: 088, P, 0, 0, 85, 27, 58, 85, 58
INVAR-11, Run: 089, P, 0, 0, 115, 57, 58, 115, 58
INVAR-11, Run: 090, P, 0, 0, 107, 49, 58, 107, 58
INVAR-11, Run: 091, P, 0, 0, 92, 34, 58, 92, 58
INVAR-11, Run: 092, P, 0, 0, 112, 54, 58, 112, 58
INVAR-11, Run: 093, P, 0, 0, 111, 53, 58, 111, 58
INVAR-11, Run: 094, P, 0, 0, 85, 27, 58, 85, 58
INVAR-11, Run: 095, P, 0, 0, 104, 46, 58, 104, 58
INVAR-11, Run: 096, P, 0, 0, 75, 17, 58, 75, 58
INVAR-11, Run: 097, P, 0, 0, 103, 45, 58, 103, 58
INVAR-11, Run: 098, P, 0, 0, 100, 42, 58, 100, 58
INVAR-11, Run: 099, P, 0, 0, 114, 56, 58, 114, 58
INVAR-11, Run: 100, P, 0, 0, 92, 34, 58, 92, 58
INVAR-12, Run: 001, P, 0, 32, 130, 0, 130, 98, 98
INVAR-12, Run: 002, P, 0, 13, 130, 0, 130, 117, 117
INVAR-12, Run: 003, P, 0, 13, 130, 0, 130, 117, 117
INVAR-12, Run: 004, P, 0, 29, 130, 0, 130, 101, 101
INVAR-12, Run: 005, P, 0, 16, 130, 0, 130, 114, 114
INVAR-12, Run: 006, P, 0, 19, 130, 0, 130, 111, 111
INVAR-12, Run: 007, P, 0, 40, 130, 0, 130, 90, 90
INVAR-12, Run: 008, P, 0, 32, 130, 0, 130, 98, 98
INVAR-12, Run: 009, P, 0, 22, 130, 0, 130, 108, 108
INVAR-12, Run: 010, P, 0, 49, 130, 0, 130, 81, 81
INVAR-12, Run: 011, P, 0, 24, 130, 0, 130, 106, 106
INVAR-12, Run: 012, P, 0, 42, 130, 0, 130, 88, 88
INVAR-12, Run: 013, P, 0, 9, 130, 0, 130, 121, 121
INVAR-12, Run: 014, P, 0, 36, 130, 0, 130, 94, 94
INVAR-12, Run: 015, P, 0, 29, 130, 0, 130, 101, 101
INVAR-12, Run: 016, P, 0, 40, 130, 0, 130, 90, 90
INVAR-12, Run: 017, P, 0, 42, 130, 0, 130, 88, 88
INVAR-12, Run: 018, P, 0, 17, 130, 0, 130, 113, 113
INVAR-12, Run: 019, P, 0, 40, 130, 0, 130, 90, 90
INVAR-12, Run: 020, P, 0, 34, 130, 0, 130, 96, 96
INVAR-12, Run: 021, P, 0, 32, 130, 0, 130, 98, 98
INVAR-12, Run: 022, P, 0, 16, 130, 0, 130, 114, 114
INVAR-12, Run: 023, P, 0, 35, 130, 0, 130, 95, 95
INVAR-12, Run: 024, P, 0, 37, 130, 0, 130, 93, 93
INVAR-12, Run: 025, P, 0, 23, 130, 0, 130, 107, 107
INVAR-12, Run: 026, P, 0, 22, 130, 0, 130, 108, 108
INVAR-12, Run: 027, P, 0, 34, 130, 0, 130, 96, 96
INVAR-12, Run: 028, P, 0, 34, 130, 0, 130, 96, 96
INVAR-12, Run: 029, P, 0, 22, 130, 0, 130, 108, 108
INVAR-12, Run: 030, P, 0, 30, 130, 0, 130, 100, 100
INVAR-12, Run: 031, P, 0, 28, 130, 0, 130, 102, 102
INVAR-12, Run: 032, P, 0, 33, 130, 0, 130, 97, 97
INVAR-12, Run: 033, P, 0, 40, 130, 0, 130, 90, 90
INVAR-12, Run: 034, P, 0, 21, 130, 0, 130, 109, 109
INVAR-12, Run: 035, P, 0, 15, 130, 0, 130, 115, 115
INVAR-12, Run: 036, P, 0, 33, 130, 0, 130, 97, 97
INVAR-12, Run: 037, P, 0, 29, 130, 0, 130, 101, 101
INVAR-12, Run: 038, P, 0, 15, 130, 0, 130, 115, 115
INVAR-12, Run: 039, P, 0, 29, 130, 0, 130, 101, 101
INVAR-12, Run: 040, P, 0, 30, 130, 0, 130, 100, 100
INVAR-12, Run: 041, P, 0, 14, 130, 0, 130, 116, 116
INVAR-12, Run: 042, P, 0, 38, 130, 0, 130, 92, 92
INVAR-12, Run: 043, P, 0, 33, 130, 0, 130, 97, 97
INVAR-12, Run: 044, P, 0, 31, 130, 0, 130, 99, 99
INVAR-12, Run: 045, P, 0, 31, 130, 0, 130, 99, 99
INVAR-12, Run: 046, P, 0, 29, 130, 0, 130, 101, 101
INVAR-12, Run: 047, P, 0, 24, 130, 0, 130, 106, 106
INVAR-12, Run: 048, P, 0, 38, 130, 0, 130, 92, 92
INVAR-12, Run: 049, P, 0, 29, 130, 0, 130, 101, 101
INVAR-12, Run: 050, P, 0, 43, 130, 0, 130, 87, 87
INVAR-12, Run: 051, P, 0, 23, 130, 0, 130, 107, 107
INVAR-12, Run: 052, P, 0, 22, 130, 0, 130, 108, 108
INVAR-12, Run: 053, P, 0, 27, 130, 0, 130, 103, 103
INVAR-12, Run: 054, P, 0, 25, 130, 0, 130, 105, 105
INVAR-12, Run: 055, P, 0, 44, 130, 0, 130, 86, 86
INVAR-12, Run: 056, P, 0, 31, 130, 0, 130, 99, 99
INVAR-12, Run: 057, P, 0, 50, 130, 0, 130, 80, 80
INVAR-12, Run: 058, P, 0, 15, 130, 0, 130, 115, 115
INVAR-12, Run: 059, P, 0, 29, 130, 0, 130, 101, 101
INVAR-12, Run: 060, P, 0, 46, 130, 0, 130, 84, 84
INVAR-12, Run: 061, P, 0, 36, 130, 0, 130, 94, 94
INVAR-12, Run: 062, P, 0, 29, 130, 0, 130, 101, 101
INVAR-12, Run: 063, P, 0, 28, 130, 0, 130, 102, 102
INVAR-12, Run: 064, P, 0, 42, 130, 0, 130, 88, 88
INVAR-12, Run: 065, P, 0, 20, 130, 0, 130, 110, 110
INVAR-12, Run: 066, P, 0, 25, 130, 0, 130, 105, 105
INVAR-12, Run: 067, P, 0, 36, 130, 0, 130, 94, 94
INVAR-12, Run: 068, P, 0, 16, 130, 0, 130, 114, 114
INVAR-12, Run: 069, P, 0, 32, 130, 0, 130, 98, 98
INVAR-12, Run: 070, P, 0, 43, 130, 0, 130, 87, 87
INVAR-12, Run: 071, P, 0, 34, 130, 0, 130, 96, 96
INVAR-12, Run: 072, P, 0, 30, 130, 0, 130, 100, 100
INVAR-12, Run: 073, P, 0, 32, 130, 0, 130, 98, 98
INVAR-12, Run: 074, P, 0, 30, 130, 0, 130, 100, 100
INVAR-12, Run: 075, P, 0, 18, 130, 0, 130, 112, 112
INVAR-12, Run: 076, P, 0, 17, 130, 0, 130, 113, 113
INVAR-12, Run: 077, P, 0, 33, 130, 0, 130, 97, 97
INVAR-12, Run: 078, P, 0, 25, 130, 0, 130, 105, 105
INVAR-12, Run: 079, P, 0, 27, 130, 0, 130, 103, 103
INVAR-12, Run: 080, P, 0, 32, 130, 0, 130, 98, 98
INVAR-12, Run: 081, P, 0, 30, 130, 0, 130, 100, 100
INVAR-12, Run: 082, P, 0, 31, 130, 0, 130, 99, 99
INVAR-12, Run: 083, P, 0, 34, 130, 0, 130, 96, 96
INVAR-12, Run: 084, P, 0, 25, 130, 0, 130, 105, 105
INVAR-12, Run: 085, P, 0, 56, 130, 0, 130, 74, 74
INVAR-12, Run: 086, P, 0, 19, 130, 0, 130, 111, 111
