Input Number, Run_Number, Result@ 100, H, X1, M, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 053, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 13, 135, 9, 6, 2, 6, 18, 27, 19, 135
INVAR-1, Run: 054, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 9, 75, 9, 4, 4, 6, 18, 27, 15, 75
INVAR-1, Run: 055, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 4, 94, 9, 6, 2, 8, 18, 27, 12, 94
INVAR-1, Run: 056, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 17, 92, 9, 6, 2, 7, 18, 27, 24, 92
INVAR-1, Run: 057, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 8, 90, 9, 4, 4, 6, 18, 27, 14, 90
INVAR-1, Run: 058, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 18, 86, 9, 6, 2, 6, 18, 27, 24, 86
INVAR-1, Run: 059, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 14, 125, 9, 8, 0, 8, 18, 27, 22, 125
INVAR-1, Run: 060, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 15, 128, 9, 4, 4, 8, 18, 27, 23, 128
INVAR-1, Run: 061, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 21, 157, 9, 6, 2, 7, 18, 27, 28, 157
INVAR-1, Run: 062, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 14, 160, 9, 6, 2, 7, 18, 27, 21, 160
INVAR-1, Run: 063, P, 0, 0, 0, 0, 4, 4, 0, 0, 1, 54, 0, 10, 18, 5, 102, 9, 2, 6, 4, 18, 27, 9, 102
INVAR-1, Run: 064, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 7, 74, 9, 6, 2, 8, 18, 27, 15, 74
INVAR-1, Run: 065, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 21, 201, 9, 7, 1, 6, 18, 27, 27, 201
INVAR-1, Run: 066, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 125, 9, 8, 0, 7, 18, 27, 15, 125
INVAR-1, Run: 067, P, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 12, 18, 6, 104, 9, 7, 1, 3, 18, 27, 9, 104
INVAR-1, Run: 068, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 13, 49, 9, 2, 6, 7, 18, 27, 20, 49
INVAR-1, Run: 069, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 18, 122, 9, 4, 4, 7, 18, 27, 25, 122
INVAR-1, Run: 070, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 14, 119, 9, 5, 3, 6, 18, 27, 20, 119
INVAR-1, Run: 071, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 11, 126, 9, 5, 3, 7, 18, 27, 18, 126
INVAR-1, Run: 072, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 7, 43, 9, 5, 3, 8, 18, 27, 15, 43
INVAR-1, Run: 073, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 17, 90, 9, 4, 4, 6, 18, 27, 23, 90
