Input Number, Run_Number, Result@ 100, V, Y, X, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-18, Run: 038, F, 0, 0, 2, 11, 54, 51, 1, 92, 14
INVAR-18, Run: 039, F, 0, 0, 2, 8, 54, 52, 1, 100, 7
INVAR-18, Run: 040, F, 81, 0, 0, 9, 54, 51, 3, 17, 10
INVAR-18, Run: 041, F, 92, 0, 0, 9, 54, 51, 3, 6, 10
INVAR-18, Run: 042, F, 0, 0, 2, 8, 54, 52, 1, 101, 6
INVAR-18, Run: 043, F, 80, 0, 0, 9, 55, 52, 0, 18, 9
INVAR-18, Run: 044, F, 55, 0, 0, 9, 55, 52, 0, 39, 13
INVAR-18, Run: 045, F, 46, 0, 0, 9, 55, 52, 0, 56, 5
INVAR-18, Run: 046, F, 0, 0, 1, 13, 54, 50, 2, 90, 16
INVAR-18, Run: 047, F, 0, 0, 2, 8, 54, 52, 1, 100, 7
INVAR-18, Run: 048, F, 0, 0, 1, 16, 54, 49, 2, 100, 5
INVAR-18, Run: 049, F, 0, 0, 1, 10, 54, 51, 2, 100, 7
INVAR-18, Run: 050, F, 84, 0, 0, 6, 54, 52, 3, 18, 7
INVAR-18, Run: 051, F, 0, 0, 2, 8, 54, 52, 1, 102, 5
INVAR-18, Run: 052, F, 0, 0, 1, 4, 54, 53, 2, 99, 10
INVAR-18, Run: 053, F, 0, 0, 2, 11, 54, 51, 1, 95, 11
INVAR-18, Run: 054, F, 90, 0, 0, 6, 55, 53, 0, 11, 7
INVAR-18, Run: 055, F, 0, 0, 2, 8, 54, 52, 1, 101, 6
INVAR-18, Run: 056, F, 0, 0, 2, 5, 54, 53, 1, 97, 11
INVAR-18, Run: 057, F, 0, 0, 1, 7, 54, 52, 2, 102, 6
INVAR-18, Run: 058, F, 0, 0, 2, 8, 54, 52, 1, 96, 11
INVAR-18, Run: 059, F, 70, 0, 0, 9, 55, 52, 0, 34, 3
INVAR-18, Run: 060, F, 19, 0, 0, 3, 54, 53, 3, 84, 7
INVAR-18, Run: 061, F, 0, 0, 2, 8, 53, 51, 4, 105, 3
INVAR-18, Run: 062, F, 0, 0, 2, 8, 54, 52, 1, 98, 9
INVAR-18, Run: 063, F, 0, 0, 2, 11, 54, 51, 1, 97, 9
INVAR-18, Run: 064, F, 69, 0, 0, 9, 55, 52, 0, 33, 5
INVAR-18, Run: 065, F, 0, 0, 2, 14, 54, 50, 1, 93, 12
INVAR-18, Run: 066, F, 0, 0, 2, 11, 54, 51, 1, 101, 5
INVAR-18, Run: 067, F, 46, 0, 0, 12, 55, 51, 0, 55, 5
INVAR-18, Run: 068, F, 0, 0, 1, 13, 54, 50, 2, 96, 10
INVAR-18, Run: 069, F, 0, 0, 2, 11, 54, 51, 1, 94, 12
INVAR-18, Run: 070, F, 83, 0, 0, 6, 55, 53, 0, 18, 7
INVAR-18, Run: 071, F, 0, 0, 2, 11, 54, 51, 1, 98, 8
INVAR-18, Run: 072, F, 51, 0, 0, 9, 54, 51, 3, 51, 6
INVAR-18, Run: 073, F, 0, 0, 2, 8, 54, 52, 1, 98, 9
