Input Number, Run_Number, Result@ 100, A1, F1, F1P, A2, F2, F2P
INVAR-1, Run: 037, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 038, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 039, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 040, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 041, E, 22, 0, 0, 34, 0, 0
INVAR-1, Run: 042, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 043, E, 21, 0, 0, 33, 0, 0
INVAR-1, Run: 044, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 045, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 046, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 047, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 048, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 049, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 050, E, 21, 0, 0, 33, 0, 0
INVAR-1, Run: 051, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 052, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 053, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 054, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 055, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 056, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 057, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 058, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 059, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 060, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 061, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 062, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 063, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 064, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 065, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 066, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 067, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 068, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 069, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 070, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 071, E, 20, 0, 0, 35, 0, 0
INVAR-1, Run: 072, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 073, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 074, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 075, E, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 076, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 077, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 078, E, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 079, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 080, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 081, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 082, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 083, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 084, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 085, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 086, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 087, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 088, E, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 089, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 090, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 091, E, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 092, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 093, E, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 094, E, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 095, E, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 096, E, 20, 0, 0, 33, 0, 0
