Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, D, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, L3
INVAR-1, Run: 044, F, 0, 10, 0, 0, 0, 67, 0, 0, 73, 0, 0, 3, 4, 2, 1, 1, 6, 0, 0
INVAR-1, Run: 045, F, 0, 10, 0, 0, 0, 78, 0, 0, 66, 1, 2, 1, 0, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 046, F, 0, 10, 0, 0, 0, 73, 0, 0, 71, 0, 3, 0, 2, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 047, F, 0, 10, 0, 0, 0, 69, 0, 0, 73, 0, 0, 2, 3, 1, 2, 1, 6, 0, 0
INVAR-1, Run: 048, F, 0, 10, 0, 0, 0, 75, 0, 0, 69, 0, 2, 0, 1, 2, 1, 1, 6, 0, 0
INVAR-1, Run: 049, F, 0, 10, 0, 0, 0, 61, 0, 0, 75, 1, 2, 2, 4, 2, 3, 1, 6, 0, 0
INVAR-1, Run: 050, F, 0, 10, 0, 0, 0, 73, 0, 0, 72, 0, 0, 1, 0, 2, 2, 1, 6, 0, 0
INVAR-1, Run: 051, F, 0, 10, 0, 0, 0, 78, 0, 0, 65, 0, 2, 0, 3, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 052, F, 0, 10, 0, 0, 0, 74, 0, 0, 74, 0, 1, 1, 0, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 053, F, 0, 10, 0, 0, 0, 75, 0, 0, 71, 1, 0, 0, 0, 0, 3, 1, 6, 0, 0
INVAR-1, Run: 054, F, 0, 10, 0, 0, 0, 62, 0, 0, 80, 0, 0, 1, 1, 4, 2, 1, 6, 0, 0
INVAR-1, Run: 055, F, 0, 10, 0, 0, 0, 67, 0, 0, 78, 2, 1, 1, 0, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 056, F, 0, 10, 0, 0, 0, 69, 0, 0, 73, 1, 2, 2, 1, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 057, F, 0, 0, 0, 10, 0, 71, 0, 0, 69, 2, 2, 1, 1, 2, 2, 1, 6, 0, 0
INVAR-1, Run: 058, F, 0, 10, 0, 0, 0, 70, 0, 0, 77, 0, 0, 0, 1, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 059, F, 0, 10, 0, 0, 0, 71, 0, 0, 74, 0, 2, 0, 1, 2, 0, 1, 6, 0, 0
INVAR-1, Run: 060, F, 0, 10, 0, 0, 0, 80, 0, 0, 56, 3, 8, 1, 1, 1, 0, 1, 6, 0, 0
INVAR-1, Run: 061, F, 0, 10, 0, 0, 0, 67, 0, 0, 78, 2, 1, 1, 0, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 062, F, 0, 10, 0, 0, 0, 67, 0, 0, 79, 0, 1, 0, 1, 0, 2, 1, 6, 0, 0
INVAR-1, Run: 063, F, 0, 10, 0, 0, 0, 65, 0, 0, 80, 4, 0, 0, 1, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 064, F, 0, 0, 0, 10, 0, 66, 0, 0, 76, 1, 0, 1, 3, 0, 3, 1, 6, 0, 0
INVAR-1, Run: 065, F, 0, 10, 0, 0, 0, 90, 0, 0, 48, 0, 3, 2, 3, 2, 2, 1, 6, 0, 0
INVAR-1, Run: 066, F, 0, 10, 0, 0, 0, 65, 0, 0, 74, 1, 2, 3, 1, 2, 2, 1, 6, 0, 0
INVAR-1, Run: 067, F, 0, 0, 0, 10, 0, 72, 0, 0, 73, 1, 1, 0, 0, 1, 2, 1, 6, 0, 0
INVAR-1, Run: 068, F, 0, 10, 0, 0, 0, 75, 0, 0, 66, 3, 2, 2, 1, 1, 0, 1, 6, 0, 0
INVAR-1, Run: 069, F, 0, 10, 0, 0, 0, 68, 0, 0, 73, 2, 3, 1, 2, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 070, F, 0, 10, 0, 0, 0, 75, 0, 0, 66, 1, 0, 2, 1, 1, 4, 1, 6, 0, 0
INVAR-1, Run: 071, F, 0, 0, 0, 10, 0, 72, 0, 0, 70, 1, 3, 2, 1, 1, 0, 1, 6, 0, 0
INVAR-1, Run: 072, F, 0, 10, 0, 0, 0, 69, 0, 0, 75, 1, 0, 1, 1, 0, 3, 1, 6, 0, 0
INVAR-1, Run: 073, F, 0, 10, 0, 0, 0, 71, 0, 0, 72, 1, 1, 1, 1, 1, 2, 1, 6, 0, 0
INVAR-1, Run: 074, F, 10, 0, 0, 0, 0, 60, 0, 0, 88, 1, 1, 0, 0, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 075, F, 0, 10, 0, 0, 0, 72, 0, 0, 74, 0, 1, 0, 0, 3, 0, 1, 6, 0, 0
INVAR-1, Run: 076, F, 0, 10, 0, 0, 0, 66, 0, 0, 82, 0, 0, 1, 0, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 077, F, 0, 10, 0, 0, 0, 74, 0, 0, 72, 0, 1, 1, 0, 2, 0, 1, 6, 0, 0
INVAR-1, Run: 078, F, 0, 10, 0, 0, 0, 63, 0, 0, 80, 1, 1, 2, 2, 1, 0, 1, 6, 0, 0
INVAR-1, Run: 079, F, 0, 10, 0, 0, 0, 79, 0, 0, 64, 2, 0, 0, 1, 2, 2, 1, 6, 0, 0
INVAR-1, Run: 080, F, 0, 10, 0, 0, 0, 75, 0, 0, 72, 1, 0, 2, 0, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 081, F, 10, 0, 0, 0, 0, 62, 0, 0, 84, 1, 1, 0, 0, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 082, F, 0, 10, 0, 0, 0, 62, 0, 0, 76, 2, 1, 4, 1, 2, 2, 1, 6, 0, 0
INVAR-1, Run: 083, F, 0, 10, 0, 0, 0, 78, 0, 0, 58, 1, 2, 4, 2, 4, 1, 1, 6, 0, 0
INVAR-1, Run: 084, F, 0, 10, 0, 0, 0, 75, 0, 0, 69, 2, 0, 2, 0, 0, 2, 1, 6, 0, 0
INVAR-1, Run: 085, F, 0, 10, 0, 0, 0, 77, 0, 0, 65, 0, 1, 4, 1, 0, 2, 1, 6, 0, 0
INVAR-1, Run: 086, F, 10, 0, 0, 0, 0, 76, 0, 0, 68, 1, 2, 1, 0, 2, 0, 1, 6, 0, 0
INVAR-1, Run: 087, F, 0, 10, 0, 0, 0, 81, 0, 0, 64, 1, 0, 0, 0, 3, 1, 1, 6, 0, 0
INVAR-1, Run: 088, F, 10, 0, 0, 0, 0, 69, 0, 0, 69, 2, 2, 1, 6, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 089, F, 0, 10, 0, 0, 0, 67, 0, 0, 74, 1, 1, 0, 2, 3, 2, 1, 6, 0, 0
INVAR-1, Run: 090, F, 0, 10, 0, 0, 0, 67, 0, 0, 77, 0, 1, 1, 3, 0, 1, 1, 6, 0, 0
