Input Number, Run_Number, Result@ 1000, A, B, H, C, T1, L3, L4, L1, L5, Y, T2, T3, T4, T5, T6, R, U, L2, D, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 011, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 61, 39, 81, 3298, 3268, 3235, 3208, 3191, 30, 521, 33, 27, 17, 22, 3169, 3169, 377, 331, 270, 231, 144, 96
INVAR-1, Run: 012, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 106, 64, 103, 4813, 4771, 4732, 4682, 4652, 42, 811, 39, 50, 30, 37, 4615, 4615, 553, 423, 317, 253, 258, 180
INVAR-1, Run: 013, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 28, 11, 26, 5471, 5428, 5397, 5358, 5311, 43, 282, 31, 39, 47, 39, 5272, 5272, 215, 215, 187, 176, 67, 50
INVAR-1, Run: 014, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 140, 87, 111, 3364, 3325, 3294, 3261, 3223, 39, 1165, 31, 33, 38, 25, 3198, 3198, 719, 488, 348, 261, 446, 281
INVAR-1, Run: 015, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 1, 2, 3, 1, 50, 2, 2, 1, 3750, 3718, 3689, 3658, 3628, 32, 121, 29, 31, 30, 25, 3603, 3603, 110, 155, 153, 151, 11, 5
INVAR-1, Run: 016, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 69, 45, 107, 3039, 3016, 2987, 2958, 2927, 23, 601, 29, 29, 31, 22, 2905, 2905, 440, 371, 302, 257, 161, 119
INVAR-1, Run: 017, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 12, 3, 4, 12, 50, 95, 57, 75, 3708, 3675, 3642, 3609, 3589, 33, 805, 33, 33, 20, 26, 3563, 3563, 484, 377, 282, 225, 321, 157
INVAR-1, Run: 018, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 165, 89, 279, 4341, 4304, 4259, 4217, 4183, 37, 1191, 45, 42, 34, 34, 4149, 4149, 846, 683, 518, 429, 345, 213
INVAR-1, Run: 019, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 72, 31, 47, 5252, 5198, 5146, 5087, 5037, 54, 613, 52, 59, 50, 46, 4991, 4991, 389, 300, 228, 197, 224, 139
INVAR-1, Run: 020, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 1, 6, 0, 1, 14, 15, 6, 14, 49, 154, 66, 132, 3005, 2980, 2958, 2930, 2904, 25, 1148, 22, 28, 26, 18, 2886, 2885, 707, 501, 347, 281, 441, 255
