Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 050, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 84, 7, 7, 84, 9, 5, 3, 3, 12, 18, 84, 45
INVAR-1, Run: 051, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 55, 5, 5, 55, 9, 5, 3, 5, 11, 18, 46, 25
INVAR-1, Run: 052, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 55, 5, 5, 55, 9, 5, 3, 5, 11, 18, 140, 72
INVAR-1, Run: 053, F, 0, 1, 0, 0, 0, 0, 54, 0, 2, 1, 2, 7, 1, 18, 134, 5, 3, 134, 9, 6, 2, 7, 9, 18, 58, 29
INVAR-1, Run: 054, F, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0, 1, 8, 18, 93, 2, 2, 93, 9, 6, 2, 1, 13, 18, 34, 21
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 136, 5, 5, 136, 9, 5, 3, 5, 11, 18, 74, 39
INVAR-1, Run: 056, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 94, 1, 1, 94, 9, 5, 3, 5, 11, 18, 100, 52
INVAR-1, Run: 057, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 52, 5, 5, 52, 9, 5, 3, 4, 11, 18, 86, 45
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 38, 5, 5, 38, 9, 6, 2, 5, 11, 18, 78, 41
INVAR-1, Run: 059, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 97, 7, 7, 97, 9, 8, 0, 3, 12, 18, 92, 49
INVAR-1, Run: 060, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7, 2, 18, 91, 8, 8, 91, 9, 5, 3, 7, 10, 18, 50, 26
INVAR-1, Run: 061, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 149, 3, 3, 149, 9, 7, 1, 4, 11, 18, 146, 75
INVAR-1, Run: 062, F, 0, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 2, 6, 18, 112, 4, 2, 112, 9, 5, 3, 2, 12, 18, 116, 61
INVAR-1, Run: 063, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 99, 1, 1, 99, 9, 5, 3, 6, 10, 18, 84, 43
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 107, 5, 5, 107, 9, 5, 3, 3, 12, 18, 224, 115
INVAR-1, Run: 065, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 99, 1, 1, 99, 9, 3, 5, 4, 11, 18, 168, 86
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 108, 0, 0, 108, 9, 5, 3, 9, 9, 18, 104, 52
INVAR-1, Run: 067, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 106, 3, 3, 106, 9, 7, 1, 4, 11, 18, 80, 42
INVAR-1, Run: 068, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 97, 5, 5, 97, 9, 3, 5, 6, 10, 18, 92, 47
INVAR-1, Run: 069, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7, 2, 18, 116, 7, 7, 116, 9, 4, 4, 7, 10, 18, 68, 35
INVAR-1, Run: 070, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 100, 5, 5, 100, 9, 7, 1, 5, 11, 18, 116, 60
INVAR-1, Run: 071, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 91, 1, 1, 91, 9, 5, 3, 6, 10, 18, 78, 40
INVAR-1, Run: 072, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 71, 3, 3, 71, 9, 5, 3, 4, 11, 18, 90, 47
INVAR-1, Run: 073, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 48, 6, 6, 48, 9, 5, 3, 4, 11, 18, 54, 29
INVAR-1, Run: 074, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 68, 6, 6, 68, 9, 5, 3, 3, 12, 18, 94, 50
INVAR-1, Run: 075, F, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3, 5, 18, 29, 8, 6, 29, 9, 5, 3, 3, 11, 18, 48, 26
INVAR-1, Run: 076, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 109, 5, 5, 109, 9, 8, 0, 6, 10, 18, 30, 16
INVAR-1, Run: 077, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 71, 8, 8, 71, 9, 5, 3, 4, 11, 18, 16, 10
INVAR-1, Run: 078, F, 0, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 6, 2, 18, 41, 8, 6, 41, 9, 5, 3, 6, 10, 18, 194, 98
INVAR-1, Run: 079, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 138, 5, 5, 138, 9, 7, 1, 5, 11, 18, 224, 114
INVAR-1, Run: 080, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 122, 3, 3, 122, 9, 5, 3, 6, 10, 18, 98, 50
INVAR-1, Run: 081, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 136, 5, 5, 136, 9, 6, 2, 4, 11, 18, 62, 33
INVAR-1, Run: 082, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 126, 5, 5, 126, 9, 5, 3, 4, 11, 18, 42, 23
INVAR-1, Run: 083, F, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3, 5, 18, 54, 8, 6, 54, 9, 5, 3, 3, 11, 18, 134, 69
INVAR-1, Run: 084, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 58, 8, 8, 58, 9, 5, 3, 3, 12, 18, 82, 44
INVAR-1, Run: 085, F, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 76, 6, 4, 76, 9, 4, 4, 4, 11, 18, 280, 142
INVAR-1, Run: 086, F, 0, 1, 0, 0, 0, 0, 54, 0, 0, 1, 0, 8, 1, 18, 52, 5, 5, 52, 9, 7, 1, 8, 9, 18, 40, 20
INVAR-1, Run: 087, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 105, 10, 10, 105, 9, 4, 4, 5, 11, 18, 52, 28
