Input Number, Run_Number, Result@ 100, A1, F1, F1P, F2, F2P, Y
10, Run: 074, F, 1, 0, 5, 5, 0, 0
10, Run: 075, F, 1, 0, 5, 5, 0, 0
10, Run: 076, F, 1, 0, 5, 5, 0, 0
10, Run: 077, F, 1, 0, 5, 5, 0, 0
10, Run: 078, F, 1, 0, 5, 5, 0, 0
10, Run: 079, F, 2, 0, 5, 5, 0, 0
10, Run: 080, F, 2, 0, 5, 5, 0, 0
10, Run: 081, F, 1, 0, 5, 5, 0, 0
10, Run: 082, F, 2, 0, 5, 5, 0, 0
10, Run: 083, F, 2, 0, 5, 5, 0, 0
10, Run: 084, F, 1, 0, 5, 5, 0, 0
10, Run: 085, F, 1, 0, 5, 5, 0, 0
10, Run: 086, F, 2, 0, 5, 5, 0, 0
10, Run: 087, F, 2, 0, 5, 5, 0, 0
10, Run: 088, F, 2, 0, 5, 5, 0, 0
10, Run: 089, F, 2, 0, 5, 5, 0, 0
10, Run: 090, F, 3, 0, 5, 5, 0, 0
10, Run: 091, F, 3, 0, 5, 5, 0, 0
10, Run: 092, F, 1, 0, 5, 5, 0, 0
10, Run: 093, F, 2, 0, 5, 5, 0, 0
10, Run: 094, F, 3, 0, 5, 5, 0, 0
10, Run: 095, F, 2, 0, 5, 5, 0, 0
10, Run: 096, F, 1, 0, 5, 5, 0, 0
10, Run: 097, F, 0, 0, 5, 5, 0, 0
10, Run: 098, F, 2, 0, 5, 5, 0, 0
10, Run: 099, F, 1, 0, 5, 5, 0, 0
10, Run: 100, F, 2, 0, 5, 5, 0, 0
11, Run: 001, F, 88, 0, 5, 5, 0, 0
11, Run: 002, F, 88, 0, 5, 5, 0, 0
11, Run: 003, F, 88, 0, 5, 5, 0, 0
11, Run: 004, F, 88, 0, 5, 5, 0, 0
11, Run: 005, F, 88, 0, 5, 5, 0, 0
11, Run: 006, F, 88, 0, 5, 5, 0, 0
11, Run: 007, F, 88, 0, 5, 5, 0, 0
11, Run: 008, F, 88, 0, 5, 5, 0, 0
11, Run: 009, F, 88, 0, 5, 5, 0, 0
11, Run: 010, F, 88, 0, 5, 5, 0, 0
11, Run: 011, F, 88, 0, 5, 5, 0, 0
11, Run: 012, F, 88, 0, 5, 5, 0, 0
11, Run: 013, F, 88, 0, 5, 5, 0, 0
11, Run: 014, F, 88, 0, 5, 5, 0, 0
11, Run: 015, F, 88, 0, 5, 5, 0, 0
11, Run: 016, F, 88, 0, 5, 5, 0, 0
11, Run: 017, F, 88, 0, 5, 5, 0, 0
11, Run: 018, F, 89, 0, 5, 5, 0, 0
11, Run: 019, F, 88, 0, 5, 5, 0, 0
11, Run: 020, F, 88, 0, 5, 5, 0, 0
11, Run: 021, F, 88, 0, 5, 5, 0, 0
11, Run: 022, F, 88, 0, 5, 5, 0, 0
11, Run: 023, F, 88, 0, 5, 5, 0, 0
11, Run: 024, F, 88, 0, 5, 5, 0, 0
11, Run: 025, F, 88, 0, 5, 5, 0, 0
11, Run: 026, F, 88, 0, 5, 5, 0, 0
11, Run: 027, F, 89, 0, 5, 5, 0, 0
11, Run: 028, F, 88, 0, 5, 5, 0, 0
11, Run: 029, F, 88, 0, 5, 5, 0, 0
11, Run: 030, F, 88, 0, 5, 5, 0, 0
11, Run: 031, F, 88, 0, 5, 5, 0, 0
11, Run: 032, F, 88, 0, 5, 5, 0, 0
11, Run: 033, F, 88, 0, 5, 5, 0, 0
11, Run: 034, F, 88, 0, 5, 5, 0, 0
11, Run: 035, F, 88, 0, 5, 5, 0, 0
11, Run: 036, F, 89, 0, 5, 5, 0, 0
11, Run: 037, F, 88, 0, 5, 5, 0, 0
11, Run: 038, F, 89, 0, 5, 5, 0, 0
11, Run: 039, F, 89, 0, 5, 5, 0, 0
11, Run: 040, F, 88, 0, 5, 5, 0, 0
11, Run: 041, F, 88, 0, 5, 5, 0, 0
11, Run: 042, F, 88, 0, 5, 5, 0, 0
11, Run: 043, F, 89, 0, 5, 5, 0, 0
11, Run: 044, F, 88, 0, 5, 5, 0, 0
11, Run: 045, F, 88, 0, 5, 5, 0, 0
11, Run: 046, F, 88, 0, 5, 5, 0, 0
11, Run: 047, F, 88, 0, 5, 5, 0, 0
11, Run: 048, F, 88, 0, 5, 5, 0, 0
11, Run: 049, F, 88, 0, 5, 5, 0, 0
11, Run: 050, F, 88, 0, 5, 5, 0, 0
11, Run: 051, F, 88, 0, 5, 5, 0, 0
11, Run: 052, F, 88, 0, 5, 5, 0, 0
11, Run: 053, F, 88, 0, 5, 5, 0, 0
11, Run: 054, F, 88, 0, 5, 5, 0, 0
11, Run: 055, F, 88, 0, 5, 5, 0, 0
11, Run: 056, F, 88, 0, 5, 5, 0, 0
11, Run: 057, F, 88, 0, 5, 5, 0, 0
