Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 020, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 11, 52, 7, 2, 4, 11, 18, 27, 22, 52
INVAR-1, Run: 021, P, 0, 7, 0, 0, 0, 0, 53, 12, 53, 0, 0, 6, 18, 14, 50, 6, 4, 2, 12, 18, 27, 14, 103
INVAR-1, Run: 022, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 8, 48, 7, 3, 3, 11, 18, 27, 19, 48
INVAR-1, Run: 023, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 17, 86, 7, 3, 3, 11, 18, 27, 28, 86
INVAR-1, Run: 024, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 10, 39, 6, 2, 3, 12, 18, 27, 22, 39
INVAR-1, Run: 025, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 15, 69, 7, 5, 1, 11, 18, 27, 26, 69
INVAR-1, Run: 026, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 23, 76, 8, 2, 5, 10, 18, 27, 33, 76
INVAR-1, Run: 027, P, 0, 10, 0, 0, 0, 0, 50, 12, 50, 0, 0, 6, 18, 12, 21, 6, 3, 3, 12, 18, 27, 12, 71
INVAR-1, Run: 028, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 19, 95, 7, 5, 1, 11, 18, 27, 30, 95
INVAR-1, Run: 029, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 23, 134, 6, 3, 2, 12, 18, 27, 35, 134
INVAR-1, Run: 030, P, 0, 36, 0, 0, 0, 0, 24, 12, 24, 0, 0, 6, 18, 32, 127, 6, 5, 1, 12, 18, 27, 32, 151
INVAR-1, Run: 031, P, 0, 36, 0, 0, 0, 0, 24, 12, 24, 0, 0, 6, 18, 12, 23, 6, 4, 2, 12, 18, 27, 12, 47
INVAR-1, Run: 032, P, 0, 9, 0, 0, 0, 0, 49, 11, 49, 0, 0, 4, 18, 28, 102, 7, 3, 4, 11, 18, 27, 28, 151
INVAR-1, Run: 033, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 19, 108, 6, 3, 2, 12, 18, 27, 31, 108
INVAR-1, Run: 034, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 14, 50, 7, 1, 5, 11, 18, 27, 25, 50
INVAR-1, Run: 035, P, 0, 1, 0, 0, 0, 0, 59, 12, 59, 0, 0, 6, 18, 15, 65, 6, 4, 2, 12, 18, 27, 15, 124
INVAR-1, Run: 036, P, 0, 29, 0, 0, 0, 0, 33, 13, 33, 0, 0, 8, 18, 17, 66, 5, 4, 1, 13, 18, 27, 17, 99
INVAR-1, Run: 037, P, 0, 6, 0, 0, 0, 0, 54, 12, 54, 0, 0, 6, 18, 12, 24, 6, 1, 5, 12, 18, 27, 12, 78
INVAR-1, Run: 038, P, 0, 46, 0, 0, 0, 0, 14, 12, 14, 0, 0, 6, 18, 14, 59, 6, 5, 1, 12, 18, 27, 14, 73
INVAR-1, Run: 039, P, 0, 46, 0, 0, 0, 0, 14, 12, 14, 0, 0, 6, 18, 24, 105, 6, 5, 1, 12, 18, 27, 24, 119
INVAR-1, Run: 040, P, 0, 3, 0, 0, 0, 0, 59, 13, 59, 0, 0, 8, 18, 14, 67, 5, 5, 0, 13, 18, 27, 14, 126
INVAR-1, Run: 041, P, 0, 5, 0, 0, 0, 0, 55, 12, 55, 0, 0, 6, 18, 12, 52, 6, 5, 1, 12, 18, 27, 12, 107
INVAR-1, Run: 042, P, 0, 22, 0, 0, 0, 0, 40, 13, 40, 0, 0, 8, 18, 11, 58, 5, 5, 0, 13, 18, 27, 11, 98
INVAR-1, Run: 043, P, 0, 24, 0, 0, 0, 0, 38, 13, 38, 0, 0, 8, 18, 20, 50, 5, 3, 2, 13, 18, 27, 20, 88
INVAR-1, Run: 044, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 15, 51, 8, 3, 4, 10, 18, 27, 25, 51
INVAR-1, Run: 045, P, 0, 33, 0, 0, 0, 0, 29, 13, 29, 0, 0, 8, 18, 5, 37, 5, 4, 1, 13, 18, 27, 5, 66
INVAR-1, Run: 046, P, 0, 25, 0, 0, 0, 0, 37, 13, 37, 0, 0, 8, 18, 4, 54, 5, 4, 1, 13, 18, 27, 4, 91
INVAR-1, Run: 047, P, 0, 23, 0, 0, 0, 0, 41, 14, 41, 0, 0, 10, 18, 13, 16, 4, 2, 2, 14, 18, 27, 13, 57
INVAR-1, Run: 048, P, 0, 17, 0, 0, 0, 0, 43, 12, 43, 0, 0, 6, 18, 14, 61, 6, 4, 2, 12, 18, 27, 14, 104
INVAR-1, Run: 049, P, 0, 28, 0, 0, 0, 0, 32, 12, 32, 0, 0, 6, 18, 31, 72, 6, 4, 2, 12, 18, 27, 31, 104
INVAR-1, Run: 050, P, 0, 27, 0, 0, 0, 0, 35, 13, 35, 0, 0, 8, 18, 13, 65, 5, 5, 0, 13, 18, 27, 13, 100
INVAR-1, Run: 051, P, 0, 37, 0, 0, 0, 0, 23, 12, 23, 0, 0, 6, 18, 11, 33, 6, 3, 3, 12, 18, 27, 11, 56
INVAR-1, Run: 052, P, 0, 15, 0, 0, 0, 0, 45, 12, 45, 0, 0, 6, 18, 29, 103, 6, 4, 2, 12, 18, 27, 29, 148
INVAR-1, Run: 053, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 8, 41, 7, 5, 1, 11, 18, 27, 19, 41
INVAR-1, Run: 054, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 33, 72, 6, 3, 2, 12, 18, 27, 45, 72
INVAR-1, Run: 055, P, 0, 21, 0, 0, 0, 0, 41, 13, 41, 0, 0, 8, 18, 22, 43, 5, 4, 1, 13, 18, 27, 22, 84
INVAR-1, Run: 056, P, 0, 6, 0, 0, 0, 0, 52, 11, 52, 0, 0, 4, 18, 19, 68, 7, 7, 0, 11, 18, 27, 19, 120
INVAR-1, Run: 057, P, 0, 5, 0, 0, 0, 0, 55, 12, 55, 0, 0, 6, 18, 11, 62, 6, 3, 3, 12, 18, 27, 11, 117
INVAR-1, Run: 058, P, 0, 8, 0, 0, 0, 0, 48, 10, 48, 0, 0, 2, 18, 10, 44, 8, 6, 2, 10, 18, 27, 10, 92
INVAR-1, Run: 059, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 17, 62, 8, 6, 1, 10, 18, 27, 27, 62
INVAR-1, Run: 060, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 26, 151, 6, 5, 0, 12, 18, 27, 38, 151
INVAR-1, Run: 061, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 15, 35, 7, 4, 2, 11, 18, 27, 26, 35
INVAR-1, Run: 062, P, 0, 19, 0, 0, 0, 0, 37, 10, 37, 0, 0, 2, 18, 22, 110, 8, 6, 2, 10, 18, 27, 22, 147
INVAR-1, Run: 063, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 11, 52, 7, 5, 1, 11, 18, 27, 22, 52
INVAR-1, Run: 064, P, 0, 17, 0, 0, 0, 0, 43, 12, 43, 0, 0, 6, 18, 10, 19, 6, 5, 1, 12, 18, 27, 10, 62
INVAR-1, Run: 065, P, 0, 62, 0, 0, 0, 13, 13, 0, 0, 1, 0, 8, 18, 12, 66, 5, 4, 0, 13, 18, 27, 25, 66
INVAR-1, Run: 066, P, 0, 52, 0, 0, 0, 1, 7, 10, 6, 0, 0, 4, 18, 25, 60, 7, 3, 4, 11, 18, 27, 26, 66
INVAR-1, Run: 067, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 10, 93, 6, 4, 1, 12, 18, 27, 22, 93
INVAR-1, Run: 068, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 15, 52, 8, 5, 2, 10, 18, 27, 25, 52
INVAR-1, Run: 069, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 15, 35, 8, 3, 4, 10, 18, 27, 25, 35
INVAR-1, Run: 070, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 1, 66, 8, 7, 0, 10, 18, 27, 11, 66
INVAR-1, Run: 071, P, 0, 22, 0, 0, 0, 0, 40, 13, 40, 0, 0, 8, 18, 11, 34, 5, 3, 2, 13, 18, 27, 11, 74
INVAR-1, Run: 072, P, 0, 54, 0, 0, 0, 9, 9, 0, 0, 1, 0, 0, 18, 9, 36, 9, 4, 4, 9, 18, 27, 18, 36
INVAR-1, Run: 073, P, 0, 64, 0, 0, 0, 14, 14, 0, 0, 1, 0, 10, 18, 25, 100, 4, 3, 0, 14, 18, 27, 39, 100
INVAR-1, Run: 074, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 7, 24, 7, 6, 0, 11, 18, 27, 18, 24
INVAR-1, Run: 075, P, 0, 6, 0, 0, 0, 0, 56, 13, 56, 0, 0, 8, 18, 10, 45, 5, 3, 2, 13, 18, 27, 10, 101
INVAR-1, Run: 076, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 13, 57, 7, 5, 1, 11, 18, 27, 24, 57
INVAR-1, Run: 077, P, 0, 24, 0, 0, 0, 0, 40, 14, 40, 0, 0, 10, 18, 10, 56, 4, 4, 0, 14, 18, 27, 10, 96
INVAR-1, Run: 078, P, 0, 34, 0, 0, 0, 0, 28, 13, 28, 0, 0, 8, 18, 15, 59, 5, 3, 2, 13, 18, 27, 15, 87
INVAR-1, Run: 079, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 17, 96, 7, 2, 4, 11, 18, 27, 28, 96
INVAR-1, Run: 080, P, 0, 13, 0, 0, 0, 0, 45, 11, 45, 0, 0, 4, 18, 6, 45, 7, 7, 0, 11, 18, 27, 6, 90
INVAR-1, Run: 081, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 27, 78, 6, 3, 2, 12, 18, 27, 39, 78
INVAR-1, Run: 082, P, 0, 6, 0, 0, 0, 0, 54, 12, 54, 0, 0, 6, 18, 15, 49, 6, 3, 3, 12, 18, 27, 15, 103
INVAR-1, Run: 083, P, 0, 21, 0, 0, 0, 0, 39, 12, 39, 0, 0, 6, 18, 17, 45, 6, 4, 2, 12, 18, 27, 17, 84
INVAR-1, Run: 084, P, 0, 28, 0, 0, 0, 0, 34, 13, 34, 0, 0, 8, 18, 8, 44, 5, 5, 0, 13, 18, 27, 8, 78
INVAR-1, Run: 085, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 14, 103, 7, 5, 1, 11, 18, 27, 25, 103
INVAR-1, Run: 086, P, 0, 2, 0, 0, 0, 0, 60, 13, 60, 0, 0, 8, 18, 7, 24, 5, 3, 2, 13, 18, 27, 7, 84
INVAR-1, Run: 087, P, 0, 33, 0, 0, 0, 0, 25, 11, 25, 0, 0, 4, 18, 11, 32, 7, 2, 5, 11, 18, 27, 11, 57
INVAR-1, Run: 088, P, 0, 1, 0, 0, 0, 0, 57, 11, 57, 0, 0, 4, 18, 13, 31, 7, 3, 4, 11, 18, 27, 13, 88
INVAR-1, Run: 089, P, 0, 16, 0, 0, 0, 0, 44, 12, 44, 0, 0, 6, 18, 19, 131, 6, 6, 0, 12, 18, 27, 19, 175
INVAR-1, Run: 090, P, 0, 5, 0, 0, 0, 0, 57, 13, 57, 0, 0, 8, 18, 23, 86, 5, 3, 2, 13, 18, 27, 23, 143
INVAR-1, Run: 091, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 5, 31, 8, 4, 3, 10, 18, 27, 15, 31
INVAR-1, Run: 092, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 17, 119, 7, 6, 0, 11, 18, 27, 28, 119
INVAR-1, Run: 093, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 39, 136, 7, 4, 2, 11, 18, 27, 50, 136
INVAR-1, Run: 094, P, 0, 28, 0, 0, 0, 0, 30, 11, 30, 0, 0, 4, 18, 13, 42, 7, 5, 2, 11, 18, 27, 13, 72
INVAR-1, Run: 095, P, 0, 58, 0, 0, 0, 11, 11, 0, 0, 1, 0, 4, 18, 19, 121, 7, 5, 1, 11, 18, 27, 30, 121
INVAR-1, Run: 096, P, 0, 56, 0, 0, 0, 10, 10, 0, 0, 1, 0, 2, 18, 8, 57, 8, 4, 3, 10, 18, 27, 18, 57
INVAR-1, Run: 097, P, 0, 60, 0, 0, 0, 12, 12, 0, 0, 1, 0, 6, 18, 21, 83, 6, 4, 1, 12, 18, 27, 33, 83
INVAR-1, Run: 098, P, 0, 19, 0, 0, 0, 0, 41, 12, 41, 0, 0, 6, 18, 21, 124, 6, 5, 1, 12, 18, 27, 21, 165
INVAR-1, Run: 099, P, 0, 12, 0, 0, 0, 0, 50, 13, 50, 0, 0, 8, 18, 3, 36, 5, 4, 1, 13, 18, 27, 3, 86
INVAR-1, Run: 100, P, 0, 24, 0, 0, 0, 0, 38, 13, 38, 0, 0, 8, 18, 14, 62, 5, 3, 2, 13, 18, 27, 14, 100
INVAR-10, Run: 001, P, 0, 624, 0, 0, 0, 112, 112, 0, 0, 1, 0, 24, 200, 760, 4278, 88, 57, 30, 112, 200, 300, 872, 4278
INVAR-10, Run: 002, P, 0, 15, 0, 0, 0, 0, 611, 113, 611, 0, 0, 26, 200, 758, 4547, 87, 68, 19, 113, 200, 300, 758, 5158
INVAR-10, Run: 003, P, 0, 620, 0, 0, 0, 110, 110, 0, 0, 1, 0, 20, 200, 871, 5195, 90, 56, 33, 110, 200, 300, 981, 5195
INVAR-10, Run: 004, P, 0, 620, 0, 0, 0, 110, 110, 0, 0, 1, 0, 20, 200, 992, 5082, 90, 46, 43, 110, 200, 300, 1102, 5082
INVAR-10, Run: 005, P, 0, 616, 0, 0, 0, 108, 108, 0, 0, 1, 0, 16, 200, 810, 4456, 92, 55, 36, 108, 200, 300, 918, 4456
INVAR-10, Run: 006, P, 0, 278, 0, 0, 0, 0, 344, 111, 344, 0, 0, 22, 200, 834, 4320, 89, 47, 42, 111, 200, 300, 834, 4664
INVAR-10, Run: 007, P, 0, 57, 0, 0, 0, 0, 563, 110, 563, 0, 0, 20, 200, 1070, 4281, 90, 55, 35, 110, 200, 300, 1070, 4844
INVAR-10, Run: 008, P, 0, 624, 0, 0, 0, 112, 112, 0, 0, 1, 0, 24, 200, 1083, 4830, 88, 49, 38, 112, 200, 300, 1195, 4830
INVAR-10, Run: 009, P, 0, 521, 0, 0, 0, 0, 101, 111, 101, 0, 0, 22, 200, 849, 3678, 89, 61, 28, 111, 200, 300, 849, 3779
INVAR-10, Run: 010, P, 0, 241, 0, 0, 0, 0, 379, 110, 379, 0, 0, 20, 200, 842, 4688, 90, 63, 27, 110, 200, 300, 842, 5067
INVAR-10, Run: 011, P, 0, 18, 0, 0, 0, 0, 604, 111, 604, 0, 0, 22, 200, 727, 3790, 89, 57, 32, 111, 200, 300, 727, 4394
INVAR-10, Run: 012, P, 0, 279, 0, 0, 0, 0, 345, 112, 345, 0, 0, 24, 200, 912, 4988, 88, 52, 36, 112, 200, 300, 912, 5333
INVAR-10, Run: 013, P, 0, 624, 0, 0, 0, 112, 112, 0, 0, 1, 0, 24, 200, 786, 4183, 88, 57, 30, 112, 200, 300, 898, 4183
INVAR-10, Run: 014, P, 0, 11, 0, 0, 0, 0, 607, 109, 607, 0, 0, 18, 200, 877, 4348, 91, 63, 28, 109, 200, 300, 877, 4955
INVAR-10, Run: 015, P, 0, 626, 0, 0, 0, 113, 113, 0, 0, 1, 0, 26, 200, 796, 4927, 87, 48, 38, 113, 200, 300, 909, 4927
INVAR-10, Run: 016, P, 0, 616, 0, 0, 0, 108, 108, 0, 0, 1, 0, 16, 200, 824, 5633, 92, 66, 25, 108, 200, 300, 932, 5633
INVAR-10, Run: 017, P, 0, 624, 0, 0, 0, 112, 112, 0, 0, 1, 0, 24, 200, 716, 4810, 88, 54, 33, 112, 200, 300, 828, 4810
INVAR-10, Run: 018, P, 0, 618, 0, 0, 0, 109, 109, 0, 0, 1, 0, 18, 200, 738, 3537, 91, 56, 34, 109, 200, 300, 847, 3537
INVAR-10, Run: 019, P, 0, 618, 0, 0, 0, 109, 109, 0, 0, 1, 0, 18, 200, 1201, 5219, 91, 55, 35, 109, 200, 300, 1310, 5219
INVAR-10, Run: 020, P, 0, 24, 0, 0, 0, 0, 596, 110, 596, 0, 0, 20, 200, 684, 4172, 90, 59, 31, 110, 200, 300, 684, 4768
INVAR-10, Run: 021, P, 0, 405, 0, 0, 0, 0, 217, 111, 217, 0, 0, 22, 200, 729, 5008, 89, 61, 28, 111, 200, 300, 729, 5225
INVAR-10, Run: 022, P, 0, 46, 0, 0, 0, 0, 576, 111, 576, 0, 0, 22, 200, 804, 4191, 89, 53, 36, 111, 200, 300, 804, 4767
INVAR-10, Run: 023, P, 0, 612, 0, 0, 0, 106, 106, 0, 0, 1, 0, 12, 200, 829, 5090, 94, 47, 46, 106, 200, 300, 935, 5090
INVAR-10, Run: 024, P, 0, 295, 0, 0, 0, 0, 321, 108, 321, 0, 0, 16, 200, 1029, 3603, 92, 49, 43, 108, 200, 300, 1029, 3924
INVAR-10, Run: 025, P, 0, 275, 0, 0, 0, 0, 341, 108, 341, 0, 0, 16, 200, 895, 4010, 92, 49, 43, 108, 200, 300, 895, 4351
INVAR-10, Run: 026, P, 0, 624, 0, 0, 0, 112, 112, 0, 0, 1, 0, 24, 200, 960, 4190, 88, 51, 36, 112, 200, 300, 1072, 4190
INVAR-10, Run: 027, P, 0, 616, 0, 0, 0, 108, 108, 0, 0, 1, 0, 16, 200, 834, 3636, 92, 61, 30, 108, 200, 300, 942, 3636
INVAR-10, Run: 028, P, 0, 593, 0, 0, 0, 3, 28, 106, 25, 0, 0, 18, 200, 870, 4309, 91, 52, 39, 109, 200, 300, 873, 4334
INVAR-10, Run: 029, P, 0, 161, 0, 0, 0, 0, 459, 110, 459, 0, 0, 20, 200, 828, 3941, 90, 49, 41, 110, 200, 300, 828, 4400
INVAR-10, Run: 030, P, 0, 612, 0, 0, 0, 106, 106, 0, 0, 1, 0, 12, 200, 913, 5240, 94, 60, 33, 106, 200, 300, 1019, 5240
INVAR-10, Run: 031, P, 0, 614, 0, 0, 0, 107, 107, 0, 0, 1, 0, 14, 200, 746, 4721, 93, 67, 25, 107, 200, 300, 853, 4721
INVAR-10, Run: 032, P, 0, 483, 0, 0, 0, 0, 139, 111, 139, 0, 0, 22, 200, 909, 4588, 89, 63, 26, 111, 200, 300, 909, 4727
INVAR-10, Run: 033, P, 0, 614, 0, 0, 0, 107, 107, 0, 0, 1, 0, 14, 200, 909, 3233, 93, 59, 33, 107, 200, 300, 1016, 3233
INVAR-10, Run: 034, P, 0, 183, 0, 0, 0, 0, 439, 111, 439, 0, 0, 22, 200, 768, 3955, 89, 59, 30, 111, 200, 300, 768, 4394
INVAR-10, Run: 035, P, 0, 15, 0, 0, 0, 0, 615, 115, 615, 0, 0, 30, 200, 597, 2898, 85, 46, 39, 115, 200, 300, 597, 3513
INVAR-10, Run: 036, P, 0, 618, 0, 0, 0, 109, 109, 0, 0, 1, 0, 18, 200, 905, 3923, 91, 54, 36, 109, 200, 300, 1014, 3923
INVAR-10, Run: 037, P, 0, 628, 0, 0, 0, 114, 114, 0, 0, 1, 0, 28, 200, 842, 4764, 86, 50, 35, 114, 200, 300, 956, 4764
INVAR-10, Run: 038, P, 0, 337, 0, 0, 0, 0, 287, 112, 287, 0, 0, 24, 200, 753, 3961, 88, 55, 33, 112, 200, 300, 753, 4248
INVAR-10, Run: 039, P, 0, 462, 0, 0, 0, 0, 160, 111, 160, 0, 0, 22, 200, 739, 3833, 89, 55, 34, 111, 200, 300, 739, 3993
INVAR-10, Run: 040, P, 0, 3, 0, 0, 0, 0, 621, 112, 621, 0, 0, 24, 200, 735, 5304, 88, 59, 29, 112, 200, 300, 735, 5925
INVAR-10, Run: 041, P, 0, 331, 0, 0, 0, 0, 285, 108, 285, 0, 0, 16, 200, 879, 4505, 92, 61, 31, 108, 200, 300, 879, 4790
INVAR-10, Run: 042, P, 0, 626, 0, 0, 0, 113, 113, 0, 0, 1, 0, 26, 200, 789, 4310, 87, 56, 30, 113, 200, 300, 902, 4310
INVAR-10, Run: 043, P, 0, 616, 0, 0, 0, 108, 108, 0, 0, 1, 0, 16, 200, 867, 4588, 92, 51, 40, 108, 200, 300, 975, 4588
INVAR-10, Run: 044, P, 0, 54, 0, 0, 0, 0, 562, 108, 562, 0, 0, 16, 200, 814, 5179, 92, 54, 38, 108, 200, 300, 814, 5741
INVAR-10, Run: 045, P, 0, 507, 0, 0, 0, 0, 109, 108, 109, 0, 0, 16, 200, 968, 5939, 92, 58, 34, 108, 200, 300, 968, 6048
INVAR-10, Run: 046, P, 0, 270, 0, 0, 0, 0, 348, 109, 348, 0, 0, 18, 200, 988, 4808, 91, 63, 28, 109, 200, 300, 988, 5156
INVAR-10, Run: 047, P, 0, 252, 0, 0, 0, 0, 368, 110, 368, 0, 0, 20, 200, 1034, 4899, 90, 59, 31, 110, 200, 300, 1034, 5267
INVAR-10, Run: 048, P, 0, 72, 0, 0, 0, 0, 548, 110, 548, 0, 0, 20, 200, 629, 3932, 90, 64, 26, 110, 200, 300, 629, 4480
INVAR-10, Run: 049, P, 0, 60, 0, 0, 0, 0, 558, 109, 558, 0, 0, 18, 200, 880, 3330, 91, 50, 41, 109, 200, 300, 880, 3888
INVAR-10, Run: 050, P, 0, 222, 0, 0, 0, 0, 404, 113, 404, 0, 0, 26, 200, 901, 4496, 87, 59, 28, 113, 200, 300, 901, 4900
INVAR-10, Run: 051, P, 0, 420, 0, 0, 0, 0, 200, 110, 200, 0, 0, 20, 200, 949, 5369, 90, 65, 25, 110, 200, 300, 949, 5569
INVAR-10, Run: 052, P, 0, 620, 0, 0, 0, 110, 110, 0, 0, 1, 0, 20, 200, 902, 3549, 90, 47, 42, 110, 200, 300, 1012, 3549
INVAR-10, Run: 053, P, 0, 337, 0, 0, 0, 0, 287, 112, 287, 0, 0, 24, 200, 929, 5531, 88, 55, 33, 112, 200, 300, 929, 5818
INVAR-10, Run: 054, P, 0, 616, 0, 0, 0, 108, 108, 0, 0, 1, 0, 16, 200, 957, 4366, 92, 55, 36, 108, 200, 300, 1065, 4366
INVAR-10, Run: 055, P, 0, 622, 0, 0, 0, 111, 111, 0, 0, 1, 0, 22, 200, 969, 4160, 89, 60, 28, 111, 200, 300, 1080, 4160
INVAR-10, Run: 056, P, 0, 169, 0, 0, 0, 0, 453, 111, 453, 0, 0, 22, 200, 849, 3830, 89, 49, 40, 111, 200, 300, 849, 4283
INVAR-10, Run: 057, P, 0, 192, 0, 0, 0, 0, 436, 114, 436, 0, 0, 28, 200, 724, 4591, 86, 53, 33, 114, 200, 300, 724, 5027
INVAR-10, Run: 058, P, 0, 618, 0, 0, 0, 109, 109, 0, 0, 1, 0, 18, 200, 911, 4219, 91, 56, 34, 109, 200, 300, 1020, 4219
INVAR-10, Run: 059, P, 0, 513, 0, 0, 0, 0, 103, 108, 103, 0, 0, 16, 200, 736, 3969, 92, 54, 38, 108, 200, 300, 736, 4072
INVAR-10, Run: 060, P, 0, 624, 0, 0, 0, 112, 112, 0, 0, 1, 0, 24, 200, 927, 5129, 88, 43, 44, 112, 200, 300, 1039, 5129
INVAR-10, Run: 061, P, 0, 620, 0, 0, 0, 110, 110, 0, 0, 1, 0, 20, 200, 685, 5180, 90, 52, 37, 110, 200, 300, 795, 5180
INVAR-10, Run: 062, P, 0, 26, 0, 0, 0, 0, 594, 110, 594, 0, 0, 20, 200, 707, 4646, 90, 50, 40, 110, 200, 300, 707, 5240
