Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 066, P, 0, 0, 0, 0, 9, 9, 0, 0, 5, 54, 0, 18, 8, 16, 9, 4, 9, 18, 27, 17, 16
INVAR-1, Run: 067, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 84, 9, 8, 9, 18, 27, 22, 84
INVAR-1, Run: 068, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 89, 9, 8, 9, 18, 27, 25, 89
INVAR-1, Run: 069, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 29, 143, 9, 8, 9, 18, 27, 38, 143
INVAR-1, Run: 070, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 30, 123, 9, 8, 9, 18, 27, 39, 123
INVAR-1, Run: 071, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 17, 94, 9, 7, 9, 18, 27, 26, 94
INVAR-1, Run: 072, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 21, 79, 9, 6, 9, 18, 27, 30, 79
INVAR-1, Run: 073, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 17, 116, 9, 8, 9, 18, 27, 26, 116
INVAR-1, Run: 074, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 9, 105, 9, 8, 9, 18, 27, 18, 105
INVAR-1, Run: 075, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 12, 76, 9, 7, 9, 18, 27, 21, 76
INVAR-1, Run: 076, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 17, 87, 9, 7, 9, 18, 27, 26, 87
INVAR-1, Run: 077, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 149, 9, 8, 9, 18, 27, 25, 149
INVAR-1, Run: 078, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 115, 9, 8, 9, 18, 27, 27, 115
INVAR-1, Run: 079, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 97, 9, 8, 9, 18, 27, 27, 97
INVAR-1, Run: 080, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 13, 70, 9, 7, 9, 18, 27, 22, 70
INVAR-1, Run: 081, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 35, 148, 9, 8, 9, 18, 27, 44, 148
INVAR-1, Run: 082, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 13, 51, 9, 7, 9, 18, 27, 22, 51
INVAR-1, Run: 083, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 28, 158, 9, 8, 9, 18, 27, 37, 158
INVAR-1, Run: 084, P, 0, 0, 0, 0, 9, 9, 0, 0, 2, 54, 0, 18, 24, 149, 9, 7, 9, 18, 27, 33, 149
INVAR-1, Run: 085, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 11, 88, 9, 6, 9, 18, 27, 20, 88
INVAR-1, Run: 086, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 7, 65, 9, 8, 9, 18, 27, 16, 65
INVAR-1, Run: 087, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 30, 144, 9, 8, 9, 18, 27, 39, 144
INVAR-1, Run: 088, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 136, 9, 8, 9, 18, 27, 20, 136
INVAR-1, Run: 089, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 114, 9, 8, 9, 18, 27, 21, 114
INVAR-1, Run: 090, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 120, 9, 8, 9, 18, 27, 22, 120
INVAR-1, Run: 091, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 30, 115, 9, 6, 9, 18, 27, 39, 115
INVAR-1, Run: 092, P, 0, 0, 0, 0, 9, 9, 0, 0, 5, 54, 0, 18, 18, 46, 9, 4, 9, 18, 27, 27, 46
INVAR-1, Run: 093, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 26, 124, 9, 8, 9, 18, 27, 35, 124
INVAR-1, Run: 094, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 72, 9, 8, 9, 18, 27, 21, 72
INVAR-1, Run: 095, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 21, 92, 9, 6, 9, 18, 27, 30, 92
INVAR-1, Run: 096, P, 0, 0, 0, 0, 9, 9, 0, 0, 3, 54, 0, 18, 21, 67, 9, 6, 9, 18, 27, 30, 67
