Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3
1, Run: 089, P, 0, 10, 0, 0, 0, 95, 5, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 090, P, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 091, P, 0, 10, 0, 0, 0, 96, 4, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 092, F, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 0, 3, 0, 1, 0, 1, 0, 46, 0
1, Run: 093, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 094, P, 0, 10, 0, 0, 0, 0, 0, 1, 100, 0, 1, 1, 0, 1, 0, 1, 0, 47, 0
1, Run: 095, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 096, F, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 0, 0, 0, 2, 0, 1, 0, 48, 0
1, Run: 097, P, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 098, F, 0, 10, 0, 0, 0, 82, 17, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 1
1, Run: 099, P, 0, 0, 0, 10, 0, 96, 4, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 100, F, 0, 10, 0, 0, 0, 93, 7, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 001, P, 0, 0, 0, 100, 0, 96, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 3
2, Run: 002, P, 100, 0, 0, 0, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
2, Run: 003, P, 100, 0, 0, 0, 2, 94, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 2
2, Run: 004, P, 0, 100, 0, 0, 6, 46, 6, 0, 2, 17, 7, 11, 4, 5, 1, 1, 24, 5, 16
2, Run: 005, P, 0, 0, 0, 100, 5, 69, 5, 0, 0, 50, 0, 0, 0, 0, 0, 1, 17, 0, 4
2, Run: 006, P, 0, 0, 0, 100, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
