Input Number, Run_Number, Result@ 100, H, PO, X1, M, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 007, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 800, 4799, 110, 72, 37, 90, 200, 300, 890, 4799
INVAR-10, Run: 008, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 948, 6000, 107, 60, 46, 93, 200, 300, 1041, 6000
INVAR-10, Run: 009, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 838, 3977, 111, 70, 40, 89, 200, 300, 927, 3977
INVAR-10, Run: 010, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 806, 4377, 106, 67, 38, 94, 200, 300, 900, 4377
INVAR-10, Run: 011, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 700, 5077, 108, 69, 38, 92, 200, 300, 792, 5077
INVAR-10, Run: 012, P, 0, 0, 0, 0, 95, 95, 0, 0, 1, 600, 0, 10, 200, 663, 5538, 105, 70, 34, 95, 200, 300, 758, 5538
INVAR-10, Run: 013, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 826, 6175, 111, 67, 43, 89, 200, 300, 915, 6175
INVAR-10, Run: 014, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 944, 7790, 109, 61, 47, 91, 200, 300, 1035, 7790
INVAR-10, Run: 015, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 1020, 7671, 109, 63, 45, 91, 200, 300, 1111, 7671
INVAR-10, Run: 016, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 800, 5182, 106, 68, 37, 94, 200, 300, 894, 5182
INVAR-10, Run: 017, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 896, 4857, 109, 58, 50, 91, 200, 300, 987, 4857
INVAR-10, Run: 018, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 951, 6054, 109, 58, 50, 91, 200, 300, 1042, 6054
INVAR-10, Run: 019, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 763, 4664, 107, 64, 42, 93, 200, 300, 856, 4664
INVAR-10, Run: 020, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 1003, 6472, 109, 77, 31, 91, 200, 300, 1094, 6472
INVAR-10, Run: 021, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 1061, 6626, 108, 63, 44, 92, 200, 300, 1153, 6626
INVAR-10, Run: 022, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 816, 4318, 108, 60, 47, 92, 200, 300, 908, 4318
INVAR-10, Run: 023, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 1035, 6386, 109, 74, 34, 91, 200, 300, 1126, 6386
INVAR-10, Run: 024, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 897, 4676, 106, 59, 46, 94, 200, 300, 991, 4676
INVAR-10, Run: 025, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 830, 6068, 111, 74, 36, 89, 200, 300, 919, 6068
INVAR-10, Run: 026, P, 0, 0, 0, 0, 88, 88, 0, 0, 1, 600, 0, 24, 200, 821, 5942, 112, 76, 35, 88, 200, 300, 909, 5942
INVAR-10, Run: 027, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 922, 5968, 106, 64, 41, 94, 200, 300, 1016, 5968
INVAR-10, Run: 028, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 910, 5218, 108, 65, 42, 92, 200, 300, 1002, 5218
INVAR-10, Run: 029, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 869, 5126, 108, 73, 34, 92, 200, 300, 961, 5126
INVAR-10, Run: 030, P, 0, 0, 0, 0, 88, 88, 0, 0, 1, 600, 0, 24, 200, 751, 6142, 112, 78, 33, 88, 200, 300, 839, 6142
INVAR-10, Run: 031, P, 0, 0, 0, 0, 85, 85, 0, 0, 1, 600, 0, 30, 200, 868, 6827, 115, 68, 46, 85, 200, 300, 953, 6827
INVAR-10, Run: 032, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 1122, 5766, 108, 62, 45, 92, 200, 300, 1214, 5766
INVAR-10, Run: 033, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 748, 6361, 109, 73, 35, 91, 200, 300, 839, 6361
INVAR-10, Run: 034, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 848, 6951, 106, 77, 28, 94, 200, 300, 942, 6951
INVAR-10, Run: 035, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 675, 6006, 109, 75, 33, 91, 200, 300, 766, 6006
INVAR-10, Run: 036, P, 0, 0, 0, 0, 87, 87, 0, 0, 1, 600, 0, 26, 200, 941, 5863, 113, 63, 49, 87, 200, 300, 1028, 5863
INVAR-10, Run: 037, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 769, 5594, 110, 67, 42, 90, 200, 300, 859, 5594
INVAR-10, Run: 038, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 832, 4442, 109, 61, 47, 91, 200, 300, 923, 4442
INVAR-10, Run: 039, P, 0, 0, 0, 0, 87, 87, 0, 0, 1, 600, 0, 26, 200, 855, 5696, 113, 79, 33, 87, 200, 300, 942, 5696
INVAR-10, Run: 040, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 1065, 6506, 111, 74, 36, 89, 200, 300, 1154, 6506
INVAR-10, Run: 041, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 922, 4710, 107, 66, 40, 93, 200, 300, 1015, 4710
INVAR-10, Run: 042, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 873, 5494, 109, 70, 38, 91, 200, 300, 964, 5494
INVAR-10, Run: 043, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 773, 4733, 108, 64, 43, 92, 200, 300, 865, 4733
INVAR-10, Run: 044, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 826, 5610, 107, 68, 38, 93, 200, 300, 919, 5610
INVAR-10, Run: 045, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 742, 6526, 109, 74, 34, 91, 200, 300, 833, 6526
INVAR-10, Run: 046, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 1045, 7764, 110, 58, 51, 90, 200, 300, 1135, 7764
INVAR-10, Run: 047, P, 0, 0, 0, 0, 87, 87, 0, 0, 1, 600, 0, 26, 200, 1048, 5955, 113, 76, 36, 87, 200, 300, 1135, 5955
INVAR-10, Run: 048, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 1099, 6586, 110, 69, 40, 90, 200, 300, 1189, 6586
INVAR-10, Run: 049, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 791, 4312, 111, 71, 39, 89, 200, 300, 880, 4312
INVAR-10, Run: 050, P, 0, 0, 0, 0, 87, 87, 0, 0, 1, 600, 0, 26, 200, 995, 5821, 113, 67, 45, 87, 200, 300, 1082, 5821
INVAR-10, Run: 051, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 870, 5380, 110, 72, 37, 90, 200, 300, 960, 5380
INVAR-10, Run: 052, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 812, 5115, 109, 63, 45, 91, 200, 300, 903, 5115
INVAR-10, Run: 053, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 811, 4671, 109, 61, 47, 91, 200, 300, 902, 4671
INVAR-10, Run: 054, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 882, 6504, 110, 66, 43, 90, 200, 300, 972, 6504
INVAR-10, Run: 055, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 750, 4452, 109, 64, 44, 91, 200, 300, 841, 4452
INVAR-10, Run: 056, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 1049, 6150, 108, 73, 34, 92, 200, 300, 1141, 6150
INVAR-10, Run: 057, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 779, 5372, 108, 68, 39, 92, 200, 300, 871, 5372
INVAR-10, Run: 058, P, 0, 0, 0, 0, 87, 87, 0, 0, 1, 600, 0, 26, 200, 1009, 6125, 113, 67, 45, 87, 200, 300, 1096, 6125
INVAR-10, Run: 059, P, 0, 0, 0, 0, 86, 86, 0, 0, 1, 600, 0, 28, 200, 707, 4927, 114, 73, 40, 86, 200, 300, 793, 4927
INVAR-10, Run: 060, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 896, 5666, 110, 65, 44, 90, 200, 300, 986, 5666
