Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7, 2, 18, 79, 6, 6, 79, 9, 4, 4, 7, 10, 18, 120, 61
INVAR-1, Run: 014, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 80, 5, 5, 80, 9, 6, 2, 4, 11, 18, 118, 61
INVAR-1, Run: 015, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 37, 6, 6, 37, 9, 5, 3, 6, 10, 18, 26, 14
INVAR-1, Run: 016, P, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5, 3, 18, 120, 6, 4, 120, 9, 4, 4, 5, 10, 18, 138, 70
INVAR-1, Run: 017, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 93, 5, 5, 93, 9, 4, 4, 4, 11, 18, 158, 81
INVAR-1, Run: 018, P, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 79, 3, 3, 79, 9, 7, 1, 2, 12, 18, 172, 89
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 69, 3, 3, 69, 9, 2, 6, 3, 12, 18, 76, 41
INVAR-1, Run: 020, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 90, 6, 6, 90, 9, 4, 4, 4, 11, 18, 60, 32
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 67, 4, 4, 67, 9, 6, 2, 5, 11, 18, 498, 251
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 129, 8, 6, 129, 9, 7, 1, 4, 11, 18, 350, 177
INVAR-1, Run: 023, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 136, 2, 2, 136, 9, 7, 1, 4, 11, 18, 56, 30
INVAR-1, Run: 024, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 70, 5, 5, 70, 9, 6, 2, 6, 10, 18, 78, 40
INVAR-1, Run: 025, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 116, 0, 0, 116, 9, 5, 3, 6, 10, 18, 78, 40
INVAR-1, Run: 026, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 176, 10, 10, 176, 9, 6, 2, 4, 11, 18, 204, 104
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7, 2, 18, 119, 7, 7, 119, 9, 4, 4, 7, 10, 18, 102, 52
INVAR-1, Run: 028, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 62, 3, 3, 62, 9, 4, 4, 4, 11, 18, 58, 31
INVAR-1, Run: 029, P, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 95, 7, 7, 95, 9, 5, 3, 4, 11, 18, 162, 83
