Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, F, 1, 0, 0, 0, 0, 0, 0, 1, 6, 8, 45, 4, 18, 2, 36, 9, 3, 2, 9, 18, 29, 3, 41
INVAR-1, Run: 012, F, 10, 0, 1, 0, 0, 0, 0, 0, 17, 9, 31, 7, 18, 8, 42, 9, 1, 1, 9, 18, 30, 8, 59
INVAR-1, Run: 013, F, 24, 0, 1, 0, 0, 0, 0, 0, 29, 9, 21, 5, 18, 4, 44, 9, 4, 0, 9, 18, 29, 4, 73
INVAR-1, Run: 014, F, 12, 0, 0, 0, 0, 0, 0, 0, 16, 9, 34, 4, 18, 2, 71, 9, 4, 1, 9, 18, 29, 2, 87
INVAR-1, Run: 015, F, 21, 0, 1, 0, 0, 0, 0, 0, 26, 9, 24, 5, 18, 5, 48, 9, 3, 1, 9, 18, 29, 5, 74
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 0, 0, 2, 10, 7, 38, 8, 18, 5, 20, 9, 0, 1, 9, 18, 31, 7, 28
INVAR-1, Run: 017, F, 22, 0, 1, 0, 0, 0, 0, 0, 27, 9, 23, 5, 18, 6, 67, 9, 3, 1, 9, 18, 29, 6, 94
INVAR-1, Run: 018, F, 22, 0, 0, 0, 0, 0, 0, 0, 28, 9, 20, 6, 18, 11, 64, 9, 1, 2, 9, 18, 30, 11, 92
INVAR-1, Run: 019, F, 14, 0, 1, 0, 0, 0, 0, 0, 17, 9, 35, 3, 18, 19, 91, 9, 6, 0, 9, 18, 28, 19, 108
INVAR-1, Run: 020, F, 14, 0, 1, 0, 0, 0, 0, 0, 21, 9, 27, 7, 18, 8, 40, 9, 2, 0, 9, 18, 30, 8, 61
INVAR-1, Run: 021, F, 12, 0, 0, 0, 0, 0, 0, 0, 18, 9, 30, 6, 18, 2, 63, 9, 2, 1, 9, 18, 30, 2, 81
INVAR-1, Run: 022, F, 11, 0, 1, 0, 0, 0, 0, 0, 16, 9, 34, 5, 18, 17, 78, 9, 4, 0, 9, 18, 29, 17, 94
INVAR-1, Run: 023, F, 30, 0, 1, 0, 0, 0, 0, 0, 35, 9, 15, 5, 18, 14, 74, 9, 3, 1, 9, 18, 29, 14, 109
INVAR-1, Run: 024, F, 7, 0, 1, 0, 0, 0, 0, 1, 13, 8, 38, 5, 18, 5, 78, 9, 4, 0, 9, 18, 29, 6, 90
INVAR-1, Run: 025, F, 9, 0, 0, 0, 0, 0, 0, 0, 13, 9, 37, 4, 18, 8, 69, 9, 4, 1, 9, 18, 29, 8, 82
INVAR-1, Run: 026, F, 16, 0, 0, 0, 0, 0, 0, 0, 22, 9, 26, 6, 18, 7, 49, 9, 3, 0, 9, 18, 30, 7, 71
INVAR-1, Run: 027, F, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49, 3, 18, 9, 40, 9, 4, 1, 9, 18, 28, 18, 43
INVAR-1, Run: 028, F, 25, 0, 0, 0, 0, 0, 0, 0, 31, 9, 17, 6, 18, 3, 19, 9, 2, 1, 9, 18, 30, 3, 50
INVAR-1, Run: 029, F, 16, 0, 0, 0, 0, 0, 0, 0, 22, 9, 26, 6, 18, 8, 31, 9, 3, 0, 9, 18, 30, 8, 53
INVAR-1, Run: 030, F, 10, 0, 0, 0, 0, 0, 0, 1, 17, 8, 32, 6, 18, 4, 57, 9, 3, 0, 9, 18, 30, 5, 73
INVAR-1, Run: 031, F, 37, 0, 0, 0, 0, 0, 0, 0, 43, 9, 5, 6, 18, 12, 33, 9, 2, 1, 9, 18, 30, 12, 76
INVAR-1, Run: 032, F, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49, 3, 18, 4, 79, 9, 4, 1, 9, 18, 28, 13, 82
INVAR-1, Run: 033, F, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45, 5, 18, 6, 54, 9, 3, 0, 9, 18, 29, 15, 59
INVAR-1, Run: 034, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46, 4, 18, 3, 60, 9, 2, 2, 9, 18, 29, 12, 64
INVAR-1, Run: 035, F, 37, 0, 1, 0, 0, 0, 0, 0, 42, 9, 8, 5, 18, 7, 28, 9, 4, 0, 9, 18, 29, 7, 70
INVAR-1, Run: 036, F, 0, 0, 1, 0, 0, 0, 0, 0, 7, 9, 41, 7, 18, 1, 38, 9, 2, 0, 9, 18, 30, 1, 45
INVAR-1, Run: 037, F, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49, 3, 18, 13, 42, 9, 3, 2, 9, 18, 28, 22, 45
INVAR-1, Run: 038, F, 23, 0, 0, 0, 0, 0, 0, 0, 29, 9, 19, 6, 18, 8, 25, 9, 2, 1, 9, 18, 30, 8, 54
INVAR-1, Run: 039, F, 13, 0, 0, 0, 0, 0, 0, 0, 19, 9, 29, 6, 18, 7, 31, 9, 2, 1, 9, 18, 30, 7, 50
INVAR-1, Run: 040, F, 10, 0, 1, 0, 0, 0, 0, 1, 16, 8, 35, 5, 18, 6, 49, 9, 2, 2, 9, 18, 29, 7, 64
INVAR-1, Run: 041, F, 31, 0, 1, 0, 0, 0, 0, 0, 36, 9, 14, 5, 18, 1, 29, 9, 4, 0, 9, 18, 29, 1, 65
INVAR-1, Run: 042, F, 5, 0, 0, 0, 0, 0, 0, 0, 11, 9, 37, 6, 18, 9, 35, 9, 2, 1, 9, 18, 30, 9, 46
INVAR-1, Run: 043, F, 0, 0, 1, 0, 0, 0, 0, 3, 8, 6, 45, 5, 18, 7, 32, 9, 3, 1, 9, 18, 29, 10, 37
INVAR-1, Run: 044, F, 7, 0, 0, 0, 0, 0, 0, 1, 14, 8, 35, 6, 18, 8, 64, 9, 3, 0, 9, 18, 30, 9, 77
INVAR-1, Run: 045, F, 27, 0, 1, 0, 0, 0, 0, 0, 32, 9, 18, 5, 18, 7, 29, 9, 2, 2, 9, 18, 29, 7, 61
INVAR-1, Run: 046, F, 3, 0, 1, 0, 0, 0, 0, 1, 9, 8, 42, 5, 18, 4, 57, 9, 4, 0, 9, 18, 29, 5, 65
INVAR-1, Run: 047, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46, 4, 18, 10, 57, 9, 3, 1, 9, 18, 29, 19, 61
INVAR-1, Run: 048, F, 0, 0, 1, 0, 0, 0, 0, 2, 7, 7, 45, 5, 18, 6, 49, 9, 3, 1, 9, 18, 29, 8, 54
INVAR-1, Run: 049, F, 0, 0, 1, 0, 0, 0, 0, 3, 8, 6, 45, 5, 18, 3, 50, 9, 4, 0, 9, 18, 29, 6, 55
INVAR-1, Run: 050, F, 2, 0, 0, 0, 0, 0, 0, 1, 7, 8, 44, 4, 18, 6, 62, 9, 2, 3, 9, 18, 29, 7, 68
INVAR-1, Run: 051, F, 1, 0, 1, 0, 0, 0, 0, 1, 5, 8, 48, 3, 18, 18, 50, 9, 1, 5, 9, 18, 28, 19, 54
INVAR-1, Run: 052, F, 1, 0, 1, 0, 0, 0, 0, 2, 8, 7, 44, 5, 18, 10, 52, 9, 3, 1, 9, 18, 29, 12, 58
INVAR-1, Run: 053, F, 16, 0, 1, 0, 0, 0, 0, 0, 21, 9, 29, 5, 18, 7, 42, 9, 2, 2, 9, 18, 29, 7, 63
INVAR-1, Run: 054, F, 9, 0, 0, 0, 0, 0, 0, 0, 15, 9, 33, 6, 18, 3, 52, 9, 2, 1, 9, 18, 30, 3, 67
INVAR-1, Run: 055, F, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45, 5, 18, 3, 28, 9, 2, 1, 9, 18, 29, 12, 33
INVAR-1, Run: 056, F, 3, 0, 0, 0, 0, 0, 0, 2, 9, 7, 43, 4, 18, 12, 62, 9, 4, 1, 9, 18, 29, 14, 69
INVAR-1, Run: 057, F, 13, 0, 0, 0, 0, 0, 0, 0, 17, 9, 33, 4, 18, 2, 30, 9, 5, 0, 9, 18, 29, 2, 47
INVAR-1, Run: 058, F, 35, 0, 0, 0, 0, 0, 0, 0, 37, 9, 15, 2, 18, 4, 27, 9, 7, 0, 9, 18, 28, 4, 64
INVAR-1, Run: 059, F, 19, 0, 1, 0, 0, 0, 0, 0, 26, 9, 22, 7, 18, 4, 30, 9, 2, 0, 9, 18, 30, 4, 56
INVAR-1, Run: 060, F, 10, 0, 0, 0, 0, 0, 0, 0, 16, 9, 32, 6, 18, 3, 52, 9, 2, 1, 9, 18, 30, 3, 68
INVAR-1, Run: 061, F, 17, 0, 1, 0, 0, 0, 0, 0, 24, 9, 24, 7, 18, 14, 46, 9, 2, 0, 9, 18, 30, 14, 70
INVAR-1, Run: 062, F, 3, 0, 1, 0, 0, 0, 0, 0, 6, 9, 46, 3, 18, 7, 35, 9, 4, 2, 9, 18, 28, 7, 41
INVAR-1, Run: 063, F, 32, 0, 1, 0, 0, 0, 0, 0, 39, 9, 9, 7, 18, 4, 105, 9, 1, 1, 9, 18, 30, 4, 144
INVAR-1, Run: 064, F, 13, 0, 0, 0, 0, 0, 0, 0, 19, 9, 29, 6, 18, 3, 41, 9, 2, 1, 9, 18, 30, 3, 60
INVAR-1, Run: 065, F, 22, 0, 1, 0, 0, 0, 0, 0, 29, 9, 19, 7, 18, 10, 64, 9, 2, 0, 9, 18, 30, 10, 93
INVAR-1, Run: 066, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46, 4, 18, 10, 30, 9, 3, 1, 9, 18, 29, 19, 34
INVAR-1, Run: 067, F, 7, 0, 0, 0, 0, 0, 0, 0, 11, 9, 39, 4, 18, 13, 40, 9, 2, 3, 9, 18, 29, 13, 51
INVAR-1, Run: 068, F, 0, 1, 0, 0, 0, 0, 0, 9, 15, 0, 42, 6, 18, 12, 82, 9, 2, 0, 9, 18, 30, 21, 88
INVAR-1, Run: 069, F, 14, 0, 0, 0, 0, 0, 0, 0, 20, 9, 28, 6, 18, 5, 20, 9, 3, 0, 9, 18, 30, 5, 40
INVAR-1, Run: 070, F, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49, 3, 18, 16, 62, 9, 4, 1, 9, 18, 28, 25, 65
INVAR-1, Run: 071, F, 14, 0, 0, 0, 0, 0, 0, 1, 21, 8, 28, 6, 18, 5, 35, 9, 3, 0, 9, 18, 30, 6, 55
INVAR-1, Run: 072, F, 27, 0, 0, 0, 0, 0, 0, 0, 31, 9, 19, 4, 18, 6, 27, 9, 5, 0, 9, 18, 29, 6, 58
INVAR-1, Run: 073, F, 26, 0, 1, 0, 0, 0, 0, 0, 31, 9, 19, 5, 18, 12, 17, 9, 4, 0, 9, 18, 29, 12, 48
INVAR-1, Run: 074, F, 11, 0, 0, 0, 0, 0, 0, 0, 17, 9, 31, 6, 18, 0, 43, 9, 2, 1, 9, 18, 30, 0, 60
INVAR-1, Run: 075, F, 20, 0, 0, 0, 0, 0, 0, 1, 27, 8, 22, 6, 18, 6, 53, 9, 2, 1, 9, 18, 30, 7, 79
INVAR-1, Run: 076, F, 32, 0, 0, 0, 0, 0, 0, 0, 36, 9, 14, 4, 18, 4, 29, 9, 4, 1, 9, 18, 29, 4, 65
INVAR-1, Run: 077, F, 25, 0, 0, 0, 0, 0, 0, 0, 31, 9, 17, 6, 18, 4, 22, 9, 1, 2, 9, 18, 30, 4, 53
INVAR-1, Run: 078, F, 14, 0, 0, 0, 0, 0, 0, 0, 22, 9, 24, 8, 18, 6, 97, 9, 1, 0, 9, 18, 31, 6, 119
INVAR-1, Run: 079, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46, 4, 18, 3, 62, 9, 3, 1, 9, 18, 29, 12, 66
INVAR-1, Run: 080, F, 1, 0, 0, 0, 0, 0, 0, 3, 8, 6, 45, 4, 18, 8, 24, 9, 2, 3, 9, 18, 29, 11, 29
INVAR-1, Run: 081, F, 16, 0, 0, 0, 0, 0, 0, 1, 21, 8, 30, 4, 18, 4, 49, 9, 4, 1, 9, 18, 29, 5, 69
INVAR-1, Run: 082, F, 0, 1, 0, 0, 0, 0, 0, 9, 13, 0, 46, 4, 18, 14, 71, 9, 4, 0, 9, 18, 29, 23, 75
INVAR-1, Run: 083, F, 1, 0, 0, 0, 0, 0, 0, 1, 6, 8, 45, 4, 18, 7, 43, 9, 5, 0, 9, 18, 29, 8, 48
INVAR-1, Run: 084, F, 33, 0, 1, 0, 0, 0, 0, 0, 38, 9, 12, 5, 18, 5, 59, 9, 3, 1, 9, 18, 29, 5, 97
INVAR-1, Run: 085, F, 17, 0, 1, 0, 0, 0, 0, 0, 24, 9, 24, 7, 18, 5, 85, 9, 1, 1, 9, 18, 30, 5, 109
INVAR-1, Run: 086, F, 13, 0, 0, 0, 0, 0, 0, 0, 19, 9, 29, 6, 18, 5, 56, 9, 1, 2, 9, 18, 30, 5, 75
INVAR-1, Run: 087, F, 26, 0, 0, 0, 0, 0, 0, 0, 32, 9, 16, 6, 18, 5, 33, 9, 2, 1, 9, 18, 30, 5, 65
INVAR-1, Run: 088, F, 10, 0, 1, 0, 0, 0, 0, 0, 15, 9, 35, 5, 18, 3, 27, 9, 4, 0, 9, 18, 29, 3, 42
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 0, 0, 2, 6, 7, 46, 4, 18, 12, 44, 9, 4, 1, 9, 18, 29, 14, 48
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 0, 0, 1, 7, 8, 42, 6, 18, 5, 36, 9, 2, 1, 9, 18, 30, 6, 42
INVAR-1, Run: 091, F, 9, 0, 1, 0, 0, 0, 0, 0, 14, 9, 36, 5, 18, 9, 43, 9, 3, 1, 9, 18, 29, 9, 57
INVAR-1, Run: 092, F, 19, 0, 1, 0, 0, 0, 0, 1, 25, 8, 26, 5, 18, 9, 75, 9, 2, 2, 9, 18, 29, 10, 99
INVAR-1, Run: 093, F, 31, 0, 0, 0, 0, 0, 0, 0, 35, 9, 15, 4, 18, 5, 46, 9, 4, 1, 9, 18, 29, 5, 81
INVAR-1, Run: 094, F, 16, 0, 0, 0, 0, 0, 0, 0, 20, 9, 30, 4, 18, 3, 35, 9, 4, 1, 9, 18, 29, 3, 55
INVAR-1, Run: 095, F, 0, 0, 0, 0, 0, 0, 0, 1, 5, 8, 46, 4, 18, 0, 37, 9, 5, 0, 9, 18, 29, 1, 41
INVAR-1, Run: 096, F, 21, 0, 0, 0, 0, 0, 0, 0, 25, 9, 25, 4, 18, 5, 37, 9, 5, 0, 9, 18, 29, 5, 62
INVAR-1, Run: 097, F, 19, 0, 1, 0, 0, 0, 0, 0, 24, 9, 26, 5, 18, 6, 22, 9, 3, 1, 9, 18, 29, 6, 46
INVAR-1, Run: 098, F, 0, 1, 1, 0, 0, 0, 0, 9, 14, 0, 45, 5, 18, 6, 59, 9, 2, 1, 9, 18, 29, 15, 64
INVAR-1, Run: 099, F, 0, 1, 1, 0, 0, 0, 0, 9, 12, 0, 49, 3, 18, 14, 76, 9, 4, 1, 9, 18, 28, 23, 79
INVAR-1, Run: 100, F, 34, 0, 1, 0, 0, 0, 0, 0, 39, 9, 11, 5, 18, 5, 23, 9, 3, 1, 9, 18, 29, 5, 62
INVAR-10, Run: 001, F, 83, 0, 0, 0, 0, 0, 0, 0, 133, 100, 417, 50, 200, 285, 3193, 100, 36, 14, 100, 200, 325, 285, 3326
INVAR-10, Run: 002, F, 238, 0, 1, 0, 0, 0, 0, 0, 289, 100, 261, 51, 200, 233, 3016, 100, 38, 11, 100, 200, 325, 233, 3305
INVAR-10, Run: 003, F, 89, 0, 1, 0, 0, 0, 0, 4, 138, 96, 422, 45, 200, 282, 3666, 100, 35, 20, 100, 200, 322, 286, 3800
INVAR-10, Run: 004, F, 458, 0, 1, 0, 0, 0, 0, 0, 505, 100, 49, 47, 200, 261, 2651, 100, 39, 14, 100, 200, 323, 261, 3156
INVAR-10, Run: 005, F, 143, 0, 1, 0, 0, 0, 0, 1, 195, 99, 356, 51, 200, 214, 2170, 100, 38, 11, 100, 200, 325, 215, 2364
INVAR-10, Run: 006, F, 415, 0, 1, 0, 0, 0, 0, 0, 462, 100, 92, 47, 200, 335, 3182, 100, 38, 15, 100, 200, 323, 335, 3644
INVAR-10, Run: 007, F, 425, 0, 0, 0, 0, 0, 0, 0, 473, 100, 79, 48, 200, 300, 2813, 100, 38, 14, 100, 200, 324, 300, 3286
INVAR-10, Run: 008, F, 178, 0, 0, 0, 0, 0, 0, 0, 224, 100, 330, 46, 200, 225, 2707, 100, 35, 19, 100, 200, 323, 225, 2931
INVAR-10, Run: 009, F, 397, 0, 0, 0, 0, 0, 0, 0, 443, 100, 111, 46, 200, 237, 2414, 100, 36, 18, 100, 200, 323, 237, 2857
INVAR-10, Run: 010, F, 275, 0, 1, 0, 0, 0, 0, 0, 322, 100, 232, 47, 200, 302, 3234, 100, 38, 15, 100, 200, 323, 302, 3556
INVAR-10, Run: 011, F, 28, 0, 1, 0, 0, 0, 0, 1, 76, 99, 479, 47, 200, 303, 3173, 100, 39, 14, 100, 200, 323, 304, 3248
INVAR-10, Run: 012, F, 79, 0, 0, 0, 0, 0, 0, 1, 134, 99, 413, 54, 200, 271, 3462, 100, 29, 17, 100, 200, 327, 272, 3595
INVAR-10, Run: 013, F, 270, 0, 0, 0, 0, 0, 0, 0, 322, 100, 226, 52, 200, 240, 2787, 100, 27, 21, 100, 200, 326, 240, 3109
INVAR-10, Run: 014, F, 2, 0, 1, 0, 0, 0, 0, 4, 57, 96, 497, 51, 200, 519, 3261, 100, 38, 11, 100, 200, 325, 523, 3314
INVAR-10, Run: 015, F, 99, 0, 1, 0, 0, 0, 0, 0, 142, 100, 416, 43, 200, 260, 2396, 100, 33, 24, 100, 200, 321, 260, 2538
INVAR-10, Run: 016, F, 297, 0, 0, 0, 0, 0, 0, 0, 341, 100, 215, 44, 200, 264, 2171, 100, 30, 26, 100, 200, 322, 264, 2512
INVAR-10, Run: 017, F, 162, 0, 1, 0, 0, 0, 0, 1, 214, 99, 337, 51, 200, 211, 3026, 100, 34, 15, 100, 200, 325, 212, 3239
INVAR-10, Run: 018, F, 69, 0, 0, 0, 0, 0, 0, 1, 120, 99, 431, 50, 200, 260, 2301, 100, 35, 15, 100, 200, 325, 261, 2420
INVAR-10, Run: 019, F, 394, 0, 0, 0, 0, 0, 0, 0, 444, 100, 106, 50, 200, 207, 2809, 100, 36, 14, 100, 200, 325, 207, 3253
INVAR-10, Run: 020, F, 137, 0, 0, 0, 0, 0, 0, 0, 191, 100, 355, 54, 200, 293, 2946, 100, 32, 14, 100, 200, 327, 293, 3137
INVAR-10, Run: 021, F, 199, 0, 1, 0, 0, 0, 0, 0, 246, 100, 308, 47, 200, 213, 2819, 100, 34, 19, 100, 200, 323, 213, 3065
INVAR-10, Run: 022, F, 0, 1, 1, 0, 0, 0, 0, 100, 145, 0, 511, 45, 200, 288, 2560, 100, 36, 18, 100, 200, 322, 388, 2605
INVAR-10, Run: 023, F, 342, 0, 1, 0, 0, 0, 0, 0, 393, 100, 157, 51, 200, 243, 3005, 100, 34, 15, 100, 200, 325, 243, 3398
INVAR-10, Run: 024, F, 268, 0, 0, 0, 0, 0, 0, 0, 320, 100, 228, 52, 200, 275, 2600, 100, 38, 10, 100, 200, 326, 275, 2920
INVAR-10, Run: 025, F, 40, 0, 0, 0, 0, 0, 0, 0, 88, 100, 464, 48, 200, 222, 2916, 100, 34, 18, 100, 200, 324, 222, 3004
INVAR-10, Run: 026, F, 189, 0, 0, 0, 0, 0, 0, 1, 242, 99, 307, 52, 200, 269, 2912, 100, 36, 12, 100, 200, 326, 270, 3153
INVAR-10, Run: 027, F, 64, 0, 1, 0, 0, 0, 0, 1, 110, 99, 447, 45, 200, 222, 2924, 100, 36, 19, 100, 200, 322, 223, 3033
INVAR-10, Run: 028, F, 383, 0, 0, 0, 0, 0, 0, 0, 431, 100, 121, 48, 200, 240, 1852, 100, 40, 12, 100, 200, 324, 240, 2283
INVAR-10, Run: 029, F, 136, 0, 1, 0, 0, 0, 0, 0, 181, 100, 375, 45, 200, 366, 2704, 100, 39, 16, 100, 200, 322, 366, 2885
INVAR-10, Run: 030, F, 183, 0, 0, 0, 0, 0, 0, 0, 227, 100, 329, 44, 200, 288, 2995, 100, 39, 17, 100, 200, 322, 288, 3222
INVAR-10, Run: 031, F, 145, 0, 0, 0, 0, 0, 0, 0, 191, 100, 363, 46, 200, 303, 3188, 100, 43, 11, 100, 200, 323, 303, 3379
INVAR-10, Run: 032, F, 69, 0, 1, 0, 0, 0, 0, 2, 124, 98, 426, 53, 200, 310, 3404, 100, 31, 16, 100, 200, 326, 312, 3526
INVAR-10, Run: 033, F, 321, 0, 1, 0, 0, 0, 0, 0, 372, 100, 178, 51, 200, 205, 2507, 100, 36, 13, 100, 200, 325, 205, 2879
INVAR-10, Run: 034, F, 89, 0, 0, 0, 0, 0, 0, 0, 139, 100, 411, 50, 200, 194, 3104, 100, 38, 12, 100, 200, 325, 194, 3243
INVAR-10, Run: 035, F, 47, 0, 1, 0, 0, 0, 0, 0, 106, 100, 436, 59, 200, 284, 2787, 100, 27, 14, 100, 200, 329, 284, 2893
INVAR-10, Run: 036, F, 77, 0, 1, 0, 0, 0, 0, 0, 122, 100, 434, 45, 200, 208, 2561, 100, 39, 16, 100, 200, 322, 208, 2683
INVAR-10, Run: 037, F, 176, 0, 1, 0, 0, 0, 0, 0, 223, 100, 331, 47, 200, 311, 2405, 100, 32, 21, 100, 200, 323, 311, 2628
INVAR-10, Run: 038, F, 50, 0, 1, 0, 0, 0, 0, 1, 94, 99, 465, 43, 200, 308, 3159, 100, 43, 14, 100, 200, 321, 309, 3252
INVAR-10, Run: 039, F, 360, 0, 1, 0, 0, 0, 0, 0, 413, 100, 135, 53, 200, 312, 2612, 100, 29, 18, 100, 200, 326, 312, 3025
INVAR-10, Run: 040, F, 108, 0, 1, 0, 0, 0, 0, 0, 155, 100, 399, 47, 200, 325, 2884, 100, 39, 14, 100, 200, 323, 325, 3039
INVAR-10, Run: 041, F, 228, 0, 1, 0, 0, 0, 0, 0, 279, 100, 271, 51, 200, 275, 2335, 100, 39, 10, 100, 200, 325, 275, 2614
INVAR-10, Run: 042, F, 48, 0, 1, 0, 0, 0, 0, 0, 99, 100, 451, 51, 200, 185, 2196, 100, 32, 17, 100, 200, 325, 185, 2295
INVAR-10, Run: 043, F, 88, 0, 0, 0, 0, 0, 0, 0, 130, 100, 428, 42, 200, 344, 3208, 100, 34, 24, 100, 200, 321, 344, 3338
INVAR-10, Run: 044, F, 138, 0, 0, 0, 0, 0, 0, 2, 188, 98, 366, 48, 200, 252, 3102, 100, 42, 10, 100, 200, 324, 254, 3288
INVAR-10, Run: 045, F, 159, 0, 0, 0, 0, 0, 0, 0, 213, 100, 333, 54, 200, 265, 3049, 100, 35, 11, 100, 200, 327, 265, 3262
INVAR-10, Run: 046, F, 362, 0, 1, 0, 0, 0, 0, 0, 417, 100, 129, 55, 200, 260, 3122, 100, 32, 13, 100, 200, 327, 260, 3539
INVAR-10, Run: 047, F, 124, 0, 0, 0, 0, 0, 0, 0, 174, 100, 376, 50, 200, 256, 2983, 100, 38, 12, 100, 200, 325, 256, 3157
INVAR-10, Run: 048, F, 225, 0, 1, 0, 0, 0, 0, 0, 276, 100, 274, 51, 200, 239, 2892, 100, 29, 20, 100, 200, 325, 239, 3168
INVAR-10, Run: 049, F, 429, 0, 0, 0, 0, 0, 0, 0, 479, 100, 71, 50, 200, 249, 2867, 100, 39, 11, 100, 200, 325, 249, 3346
INVAR-10, Run: 050, F, 81, 0, 0, 0, 0, 0, 0, 0, 131, 100, 419, 50, 200, 292, 2729, 100, 34, 16, 100, 200, 325, 292, 2860
INVAR-10, Run: 051, F, 315, 0, 1, 0, 0, 0, 0, 0, 368, 100, 180, 53, 200, 242, 2369, 100, 31, 16, 100, 200, 326, 242, 2737
INVAR-10, Run: 052, F, 161, 0, 0, 0, 0, 0, 0, 0, 207, 100, 347, 46, 200, 283, 3114, 100, 31, 23, 100, 200, 323, 283, 3321
INVAR-10, Run: 053, F, 16, 0, 0, 0, 0, 0, 0, 3, 63, 97, 496, 44, 200, 263, 3320, 100, 38, 18, 100, 200, 322, 266, 3380
INVAR-10, Run: 054, F, 386, 0, 0, 0, 0, 0, 0, 0, 434, 100, 118, 48, 200, 261, 2459, 100, 35, 17, 100, 200, 324, 261, 2893
INVAR-10, Run: 055, F, 0, 1, 0, 0, 0, 0, 0, 100, 146, 0, 508, 46, 200, 245, 2841, 100, 38, 15, 100, 200, 323, 345, 2887
INVAR-10, Run: 056, F, 437, 0, 0, 0, 0, 0, 0, 0, 489, 100, 59, 52, 200, 158, 2531, 100, 34, 14, 100, 200, 326, 158, 3020
INVAR-10, Run: 057, F, 246, 0, 0, 0, 0, 0, 0, 0, 294, 100, 258, 48, 200, 275, 2694, 100, 24, 28, 100, 200, 324, 275, 2988
INVAR-10, Run: 058, F, 41, 0, 0, 0, 0, 0, 0, 2, 89, 98, 467, 46, 200, 305, 3106, 100, 36, 18, 100, 200, 323, 307, 3193
INVAR-10, Run: 059, F, 185, 0, 0, 0, 0, 0, 0, 1, 236, 99, 315, 50, 200, 250, 2796, 100, 34, 16, 100, 200, 325, 251, 3031
INVAR-10, Run: 060, F, 0, 1, 1, 0, 0, 0, 0, 100, 145, 0, 511, 45, 200, 250, 2484, 100, 41, 13, 100, 200, 322, 350, 2529
INVAR-10, Run: 061, F, 354, 0, 0, 0, 0, 0, 0, 0, 410, 100, 134, 56, 200, 186, 2322, 100, 36, 8, 100, 200, 328, 186, 2732
INVAR-10, Run: 062, F, 0, 1, 1, 0, 0, 0, 0, 100, 147, 0, 507, 47, 200, 241, 2056, 100, 36, 16, 100, 200, 323, 341, 2103
