Input Number, Run_Number, Result@ 100, X, V, Y
1, Run: 093, P, 0, 0, 2
1, Run: 094, P, 0, 0, 2
1, Run: 095, F, 1, 15, 0
1, Run: 096, F, 1, 20, 0
1, Run: 097, P, 0, 0, 2
1, Run: 098, P, 0, 0, 2
1, Run: 099, F, 1, 11, 0
1, Run: 100, F, 1, 14, 0
10, Run: 001, P, 0, 0, 1
10, Run: 002, F, 2, 2, 0
10, Run: 003, P, 0, 0, 1
10, Run: 004, P, 0, 0, 1
10, Run: 005, P, 0, 0, 1
10, Run: 006, F, 2, 4, 0
10, Run: 007, F, 2, 6, 0
10, Run: 008, P, 0, 0, 1
10, Run: 009, P, 0, 0, 1
10, Run: 010, P, 0, 0, 1
10, Run: 011, F, 2, 7, 0
10, Run: 012, F, 2, 7, 0
10, Run: 013, P, 0, 0, 1
10, Run: 014, P, 0, 0, 1
10, Run: 015, P, 0, 0, 1
10, Run: 016, P, 0, 0, 1
10, Run: 017, F, 2, 6, 0
10, Run: 018, P, 0, 0, 1
10, Run: 019, P, 0, 0, 1
10, Run: 020, P, 0, 0, 1
10, Run: 021, F, 2, 7, 0
10, Run: 022, F, 2, 4, 0
10, Run: 023, P, 0, 0, 1
10, Run: 024, P, 0, 0, 1
10, Run: 025, P, 0, 0, 1
10, Run: 026, P, 0, 0, 1
10, Run: 027, F, 2, 7, 0
10, Run: 028, P, 0, 0, 1
10, Run: 029, P, 0, 0, 1
10, Run: 030, P, 0, 0, 1
10, Run: 031, F, 2, 6, 0
10, Run: 032, P, 0, 0, 1
10, Run: 033, P, 0, 0, 1
10, Run: 034, F, 2, 2, 0
10, Run: 035, P, 0, 0, 1
10, Run: 036, P, 0, 0, 1
10, Run: 037, F, 2, 5, 0
10, Run: 038, F, 2, 7, 0
10, Run: 039, P, 0, 0, 1
10, Run: 040, F, 2, 7, 0
10, Run: 041, P, 0, 0, 1
10, Run: 042, P, 0, 0, 1
10, Run: 043, F, 2, 7, 0
10, Run: 044, F, 2, 6, 0
10, Run: 045, F, 2, 6, 0
10, Run: 046, P, 0, 0, 1
10, Run: 047, F, 2, 5, 0
10, Run: 048, P, 0, 0, 1
10, Run: 049, F, 2, 7, 0
10, Run: 050, P, 0, 0, 1
10, Run: 051, P, 0, 0, 1
10, Run: 052, F, 2, 6, 0
10, Run: 053, P, 0, 0, 1
10, Run: 054, P, 0, 0, 1
10, Run: 055, F, 2, 6, 0
10, Run: 056, F, 2, 5, 0
10, Run: 057, F, 2, 7, 0
10, Run: 058, F, 2, 5, 0
10, Run: 059, F, 2, 7, 0
10, Run: 060, F, 2, 6, 0
10, Run: 061, F, 2, 4, 0
10, Run: 062, F, 2, 5, 0
10, Run: 063, P, 0, 0, 1
10, Run: 064, P, 0, 0, 1
10, Run: 065, P, 0, 0, 1
10, Run: 066, P, 0, 0, 1
10, Run: 067, P, 0, 0, 1
10, Run: 068, F, 2, 5, 0
10, Run: 069, F, 2, 5, 0
