Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E
7, Run: 037, P, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 038, P, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 039, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 040, P, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 041, P, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 042, P, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 043, P, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 044, P, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 045, P, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 046, P, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 047, P, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 048, P, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 049, P, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 050, P, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 051, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 052, P, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 053, P, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 054, P, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 055, P, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 056, P, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 057, P, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 058, P, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 059, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 060, P, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 061, P, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 062, P, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 063, P, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 064, P, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 065, P, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 066, P, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 067, P, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 068, P, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 069, P, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 070, P, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 071, P, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 072, P, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 073, P, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 074, P, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 075, P, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 076, P, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 077, P, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
