Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
2, Run: 025, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 424, 1
2, Run: 026, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 564, 0
2, Run: 027, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 520, 1
2, Run: 028, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 544, 1
2, Run: 029, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 444, 0
2, Run: 030, P, 4, 0, 0, 0, 28, 28, 0, 0, 1, 498, 0
2, Run: 031, P, 4, 0, 0, 0, 28, 28, 0, 0, 1, 454, 1
2, Run: 032, P, 3, 0, 0, 0, 28, 28, 0, 0, 1, 448, 1
2, Run: 033, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
2, Run: 034, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
2, Run: 035, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
2, Run: 036, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 414, 0
2, Run: 037, P, 4, 0, 0, 0, 28, 28, 0, 0, 1, 498, 0
2, Run: 038, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
2, Run: 039, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 436, 1
2, Run: 040, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 426, 0
2, Run: 041, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 474, 0
2, Run: 042, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 496, 1
2, Run: 043, P, 3, 0, 0, 0, 28, 28, 0, 0, 1, 498, 0
2, Run: 044, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 414, 0
2, Run: 045, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 426, 0
2, Run: 046, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 448, 1
2, Run: 047, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 454, 1
2, Run: 048, P, 4, 0, 0, 0, 28, 28, 0, 0, 1, 514, 1
2, Run: 049, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 478, 1
2, Run: 050, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
2, Run: 051, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 474, 0
2, Run: 052, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
2, Run: 053, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 486, 0
2, Run: 054, P, 3, 0, 0, 0, 28, 28, 0, 0, 1, 432, 0
2, Run: 055, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 466, 1
2, Run: 056, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 480, 0
2, Run: 057, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 448, 1
2, Run: 058, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 412, 1
2, Run: 059, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 444, 0
2, Run: 060, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
2, Run: 061, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 456, 0
2, Run: 062, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 478, 1
2, Run: 063, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
2, Run: 064, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 442, 1
2, Run: 065, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 496, 1
2, Run: 066, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 466, 1
2, Run: 067, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 438, 0
2, Run: 068, P, 3, 0, 0, 0, 28, 28, 0, 0, 1, 492, 0
