Input Number, Run_Number, Result@ 100, Y, X2
INVAR-10, Run: 055, E, 63, 0
INVAR-10, Run: 056, E, 55, 0
INVAR-10, Run: 057, E, 53, 0
INVAR-10, Run: 058, E, 51, 0
INVAR-10, Run: 059, E, 56, 0
INVAR-10, Run: 060, E, 59, 0
INVAR-10, Run: 061, E, 43, 0
INVAR-10, Run: 062, E, 66, 0
INVAR-10, Run: 063, E, 55, 0
INVAR-10, Run: 064, E, 64, 0
INVAR-10, Run: 065, E, 58, 0
INVAR-10, Run: 066, E, 74, 0
INVAR-10, Run: 067, E, 69, 0
INVAR-10, Run: 068, E, 34, 0
INVAR-10, Run: 069, E, 67, 0
INVAR-10, Run: 070, E, 75, 0
INVAR-10, Run: 071, E, 68, 0
INVAR-10, Run: 072, E, 63, 0
INVAR-10, Run: 073, E, 66, 0
INVAR-10, Run: 074, E, 50, 0
INVAR-10, Run: 075, E, 64, 0
INVAR-10, Run: 076, E, 67, 0
INVAR-10, Run: 077, E, 43, 0
INVAR-10, Run: 078, E, 66, 0
INVAR-10, Run: 079, E, 54, 0
INVAR-10, Run: 080, E, 61, 0
INVAR-10, Run: 081, E, 45, 0
INVAR-10, Run: 082, E, 57, 0
INVAR-10, Run: 083, E, 61, 0
INVAR-10, Run: 084, E, 64, 0
INVAR-10, Run: 085, E, 64, 0
INVAR-10, Run: 086, E, 67, 0
INVAR-10, Run: 087, E, 42, 0
INVAR-10, Run: 088, E, 57, 0
INVAR-10, Run: 089, E, 72, 0
INVAR-10, Run: 090, E, 64, 0
INVAR-10, Run: 091, E, 67, 0
INVAR-10, Run: 092, E, 67, 0
INVAR-10, Run: 093, E, 65, 0
INVAR-10, Run: 094, E, 59, 0
INVAR-10, Run: 095, E, 74, 0
INVAR-10, Run: 096, E, 51, 0
INVAR-10, Run: 097, E, 63, 0
INVAR-10, Run: 098, E, 66, 0
INVAR-10, Run: 099, E, 61, 0
INVAR-10, Run: 100, E, 38, 0
INVAR-11, Run: 001, E, 41, 0
INVAR-11, Run: 002, E, 46, 0
INVAR-11, Run: 003, E, 56, 0
INVAR-11, Run: 004, E, 59, 0
INVAR-11, Run: 005, E, 40, 0
INVAR-11, Run: 006, E, 35, 0
INVAR-11, Run: 007, E, 44, 0
INVAR-11, Run: 008, E, 49, 0
INVAR-11, Run: 009, E, 47, 0
INVAR-11, Run: 010, E, 59, 0
INVAR-11, Run: 011, E, 41, 0
INVAR-11, Run: 012, E, 50, 0
INVAR-11, Run: 013, E, 50, 0
INVAR-11, Run: 014, E, 46, 0
INVAR-11, Run: 015, E, 61, 0
INVAR-11, Run: 016, E, 42, 0
INVAR-11, Run: 017, E, 34, 0
INVAR-11, Run: 018, E, 45, 0
INVAR-11, Run: 019, E, 44, 0
INVAR-11, Run: 020, E, 40, 0
INVAR-11, Run: 021, E, 39, 0
INVAR-11, Run: 022, E, 39, 0
INVAR-11, Run: 023, E, 33, 0
INVAR-11, Run: 024, E, 35, 0
INVAR-11, Run: 025, E, 52, 0
