Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, P, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 106, 12, 80, 70, 68, 100, 100, 85, 69, 62, 11, 106, 11, 16, 35, 21, 39, 105, 9, 9, 5, 110, 87, 128, 126, 99, 99, 81, 79, 103, 61, 45, 9, 87, 7, 24, 25, 42, 27, 27, 21, 21, 102, 63, 85, 12, 12
INVAR-1, Run: 012, P, 1, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 104, 26, 85, 94, 94, 92, 91, 96, 66, 62, 22, 104, 22, 29, 40, 22, 35, 81, 8, 8, 19, 99, 111, 111, 111, 108, 107, 96, 96, 86, 56, 36, 14, 111, 14, 14, 22, 29, 22, 22, 22, 22, 95, 60, 90, 14, 14
INVAR-1, Run: 013, P, 1, 2, 0, 0, 0, 1, 0, 1, 1, 2, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 112, 26, 83, 82, 82, 110, 110, 118, 92, 76, 26, 110, 26, 25, 37, 31, 30, 83, 14, 13, 11, 94, 111, 95, 95, 114, 114, 102, 101, 112, 64, 58, 21, 109, 20, 27, 36, 48, 37, 37, 31, 31, 114, 83, 82, 19, 19
INVAR-1, Run: 014, P, 1, 1, 0, 1, 1, 1, 0, 0, 2, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0, 1, 1, 0, 1, 115, 23, 93, 92, 91, 99, 99, 105, 74, 77, 30, 114, 30, 31, 34, 32, 34, 79, 18, 18, 18, 96, 115, 89, 89, 106, 104, 96, 94, 99, 65, 63, 24, 114, 24, 30, 41, 34, 43, 42, 33, 33, 109, 73, 102, 21, 21
INVAR-1, Run: 015, P, 1, 2, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 1, 97, 21, 79, 80, 80, 99, 98, 104, 81, 104, 39, 95, 39, 22, 52, 32, 26, 82, 23, 22, 25, 105, 91, 108, 108, 95, 93, 96, 95, 88, 53, 74, 27, 90, 26, 40, 51, 35, 52, 52, 34, 33, 122, 96, 80, 21, 21
INVAR-1, Run: 016, P, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 3, 0, 1, 0, 0, 0, 0, 1, 86, 8, 63, 61, 60, 98, 98, 110, 81, 52, 25, 85, 25, 29, 28, 25, 26, 79, 21, 21, 17, 95, 71, 94, 92, 113, 110, 132, 132, 109, 56, 55, 31, 71, 31, 30, 24, 52, 24, 24, 25, 25, 81, 55, 84, 13, 13
INVAR-1, Run: 017, P, 1, 1, 1, 3, 0, 1, 3, 1, 1, 3, 0, 1, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 112, 16, 84, 88, 88, 107, 104, 115, 89, 49, 14, 111, 13, 25, 19, 29, 43, 84, 19, 19, 14, 95, 98, 84, 84, 100, 100, 90, 90, 95, 66, 61, 15, 96, 15, 31, 25, 29, 27, 27, 30, 30, 104, 60, 96, 14, 13
INVAR-1, Run: 018, P, 1, 0, 0, 0, 0, 1, 3, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 111, 31, 74, 96, 96, 87, 84, 75, 49, 80, 36, 111, 36, 23, 41, 43, 29, 73, 20, 20, 25, 98, 89, 106, 105, 91, 90, 101, 101, 111, 69, 82, 32, 89, 32, 38, 39, 42, 39, 39, 44, 44, 99, 70, 66, 28, 28
INVAR-1, Run: 019, P, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 104, 40, 70, 70, 69, 82, 82, 86, 61, 79, 54, 104, 53, 25, 36, 35, 35, 82, 31, 31, 19, 101, 93, 118, 118, 105, 104, 110, 109, 112, 62, 79, 47, 92, 47, 42, 43, 49, 43, 43, 36, 36, 114, 79, 57, 31, 31
INVAR-1, Run: 020, P, 1, 0, 1, 1, 3, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 2, 3, 2, 0, 1, 0, 0, 0, 95, 32, 79, 55, 52, 100, 99, 103, 82, 46, 63, 95, 61, 21, 26, 37, 29, 80, 13, 13, 16, 96, 109, 82, 82, 98, 96, 99, 95, 111, 74, 80, 13, 107, 12, 40, 18, 35, 20, 20, 40, 40, 87, 58, 69, 28, 27
