Input Number, Run_Number, Result@ 100, CO, X1, A, B, C, PO, D, Y, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 20, 18, 147, 9, 9, 147, 9, 7, 1, 9, 9, 18, 160, 80
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 30, 18, 107, 6, 6, 107, 9, 8, 0, 9, 9, 18, 224, 112
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 39, 18, 136, 7, 7, 136, 9, 4, 4, 9, 9, 18, 76, 38
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 26, 18, 109, 3, 3, 109, 9, 6, 2, 9, 9, 18, 38, 19
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 70, 18, 80, 8, 8, 80, 9, 3, 5, 9, 9, 18, 78, 39
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 11, 18, 74, 10, 10, 74, 9, 4, 4, 9, 9, 18, 118, 59
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 38, 18, 153, 3, 3, 153, 9, 6, 2, 9, 9, 18, 138, 69
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 49, 18, 93, 8, 8, 93, 9, 2, 6, 9, 9, 18, 160, 80
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 24, 18, 93, 4, 4, 93, 9, 6, 2, 9, 9, 18, 58, 29
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 11, 18, 71, 5, 5, 71, 9, 6, 2, 9, 9, 18, 76, 38
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 161, 18, 110, 10, 10, 110, 9, 5, 3, 9, 9, 18, 26, 13
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 22, 18, 61, 5, 3, 61, 9, 7, 1, 8, 9, 18, 94, 47
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 14, 18, 84, 15, 13, 84, 9, 2, 6, 8, 9, 18, 156, 78
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 118, 18, 126, 5, 3, 126, 9, 7, 1, 8, 9, 18, 96, 48
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 20, 18, 103, 8, 6, 103, 9, 2, 6, 8, 9, 18, 242, 121
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 13, 18, 82, 5, 5, 82, 9, 4, 4, 9, 9, 18, 22, 11
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 28, 18, 59, 6, 4, 59, 9, 5, 3, 8, 9, 18, 62, 31
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 72, 18, 188, 8, 8, 188, 9, 6, 2, 9, 9, 18, 86, 43
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 78, 18, 104, 8, 8, 104, 9, 2, 6, 9, 9, 18, 112, 56
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 42, 18, 92, 4, 4, 92, 9, 8, 0, 9, 9, 18, 38, 19
