Input Number, Run_Number, Result@ 1000, A, B, H, C, T2, R, L4, L1, L5, Y, T1, T3, T4, T5, T6, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 026, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 64, 41, 67, 4085, 2872, 2070, 1515, 1132, 1163, 470, 802, 555, 383, 303, 829, 829, 353, 272, 208, 167, 117, 81
INVAR-1, Run: 027, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 44, 21, 34, 5646, 4094, 3055, 2243, 1662, 1502, 395, 1039, 812, 581, 412, 1250, 1250, 277, 199, 155, 134, 118, 78
INVAR-1, Run: 028, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 51, 29, 51, 3922, 2649, 1888, 1315, 931, 1223, 491, 761, 573, 384, 291, 640, 640, 325, 231, 180, 151, 166, 94
INVAR-1, Run: 029, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 81, 45, 46, 4413, 3153, 2329, 1730, 1312, 1210, 647, 824, 599, 418, 310, 1002, 1002, 409, 272, 191, 146, 238, 137
INVAR-1, Run: 030, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 95, 53, 116, 3631, 2403, 1612, 1088, 747, 1178, 675, 791, 524, 341, 250, 497, 497, 489, 364, 269, 216, 186, 125
INVAR-1, Run: 031, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 58, 39, 58, 4094, 2832, 2060, 1461, 1037, 1212, 582, 772, 599, 424, 291, 746, 746, 369, 255, 197, 158, 213, 114
INVAR-1, Run: 032, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 43, 36, 31, 4888, 3476, 2504, 1798, 1350, 1362, 447, 972, 706, 448, 354, 996, 996, 287, 210, 167, 131, 160, 77
INVAR-1, Run: 033, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 88, 69, 58, 3178, 2050, 1388, 934, 662, 1078, 784, 662, 454, 272, 173, 489, 489, 479, 315, 227, 158, 305, 164
INVAR-1, Run: 034, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 53, 34, 40, 4120, 2911, 2081, 1478, 1064, 1159, 448, 830, 603, 414, 293, 771, 771, 307, 227, 174, 140, 141, 80
INVAR-1, Run: 035, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 99, 63, 108, 3496, 2269, 1545, 1079, 748, 1177, 777, 724, 466, 331, 213, 535, 535, 510, 370, 271, 208, 267, 140
INVAR-1, Run: 036, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 60, 44, 57, 5804, 4262, 3170, 2332, 1737, 1492, 545, 1092, 838, 595, 425, 1312, 1312, 373, 261, 201, 157, 172, 112
INVAR-1, Run: 037, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 40, 31, 27, 5435, 3864, 2832, 2083, 1569, 1521, 472, 1032, 749, 514, 379, 1190, 1190, 293, 198, 158, 127, 179, 95
INVAR-1, Run: 038, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 82, 52, 65, 4708, 3226, 2274, 1608, 1161, 1432, 700, 952, 666, 447, 349, 812, 812, 458, 299, 217, 165, 242, 159
INVAR-1, Run: 039, P, 0, 0, 0, 10, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 10, 1, 9, 50, 128, 69, 161, 4035, 2573, 1681, 1134, 771, 1412, 1028, 892, 547, 363, 248, 523, 523, 653, 458, 330, 261, 375, 195
INVAR-1, Run: 040, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 65, 47, 63, 2583, 1630, 1072, 722, 488, 903, 600, 558, 350, 234, 166, 322, 322, 398, 275, 210, 163, 202, 123
INVAR-1, Run: 041, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 97, 64, 121, 5686, 4016, 2819, 2015, 1435, 1620, 767, 1197, 804, 580, 372, 1063, 1063, 539, 382, 285, 221, 228, 157
INVAR-1, Run: 042, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 101, 56, 91, 4099, 2602, 1781, 1228, 873, 1447, 823, 821, 553, 355, 255, 618, 618, 519, 348, 247, 191, 304, 171
INVAR-1, Run: 043, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 52, 34, 23, 4289, 2989, 2136, 1517, 1048, 1250, 390, 853, 619, 469, 288, 760, 760, 273, 209, 157, 123, 117, 64
INVAR-1, Run: 044, P, 10, 0, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 14, 15, 16, 14, 50, 54, 45, 51, 4295, 2902, 2022, 1410, 999, 1343, 618, 880, 612, 411, 270, 729, 729, 371, 250, 196, 151, 247, 121
INVAR-1, Run: 045, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 101, 57, 157, 4025, 2592, 1689, 1182, 823, 1383, 797, 903, 507, 359, 267, 556, 556, 570, 415, 314, 257, 227, 155
INVAR-1, Run: 046, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 56, 44, 119, 4192, 2925, 2093, 1475, 1048, 1217, 534, 832, 618, 427, 293, 755, 755, 402, 319, 263, 219, 132, 83
INVAR-1, Run: 047, P, 0, 0, 0, 10, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 8, 9, 0, 8, 50, 50, 27, 30, 5792, 4204, 3094, 2329, 1800, 1538, 510, 1110, 765, 529, 441, 1359, 1359, 302, 207, 157, 130, 208, 95
INVAR-1, Run: 048, P, 0, 0, 0, 10, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 10, 1, 9, 50, 51, 25, 46, 3722, 2734, 2033, 1527, 1146, 938, 391, 701, 506, 381, 272, 874, 874, 295, 222, 171, 146, 96, 73
INVAR-1, Run: 049, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 15, 6, 7, 15, 50, 82, 72, 69, 4079, 2856, 2086, 1520, 1119, 1173, 796, 770, 566, 401, 293, 826, 826, 466, 323, 241, 169, 330, 143
