Input Number, Run_Number, Result@ 100, CE, B, PE, X1, H, M, PO, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 092, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 16, 120, 9, 4, 13, 9, 18, 31, 25, 120
INVAR-1, Run: 093, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 32, 185, 9, 5, 12, 9, 18, 31, 41, 185
INVAR-1, Run: 094, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 10, 130, 9, 7, 10, 9, 18, 31, 19, 130
INVAR-1, Run: 095, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 12, 88, 9, 5, 12, 9, 18, 31, 21, 88
INVAR-1, Run: 096, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 11, 66, 9, 4, 13, 9, 18, 31, 20, 66
INVAR-1, Run: 097, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 19, 192, 9, 3, 14, 9, 18, 31, 28, 192
INVAR-1, Run: 098, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 14, 144, 9, 7, 10, 9, 18, 31, 23, 144
INVAR-1, Run: 099, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 11, 76, 9, 4, 13, 9, 18, 31, 20, 76
INVAR-1, Run: 100, P, 0, 1, 1, 0, 0, 0, 0, 9, 0, 0, 46, 9, 18, 7, 71, 9, 5, 12, 9, 18, 31, 16, 71
INVAR-10, Run: 001, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 805, 5431, 100, 73, 126, 100, 200, 350, 905, 5431
INVAR-10, Run: 002, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 893, 3437, 100, 60, 139, 100, 200, 350, 993, 3437
INVAR-10, Run: 003, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 923, 4284, 100, 66, 133, 100, 200, 350, 1023, 4284
INVAR-10, Run: 004, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 738, 4443, 100, 69, 130, 100, 200, 350, 838, 4443
INVAR-10, Run: 005, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1075, 5640, 100, 64, 135, 100, 200, 350, 1175, 5640
INVAR-10, Run: 006, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1133, 3950, 100, 63, 136, 100, 200, 350, 1233, 3950
