Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
INVAR-10, Run: 036, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 948, 0
INVAR-10, Run: 037, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 038, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 930, 0
INVAR-10, Run: 039, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 940, 1
INVAR-10, Run: 040, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 918, 0
INVAR-10, Run: 041, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 906, 0
INVAR-10, Run: 042, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 940, 1
INVAR-10, Run: 043, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 868, 1
INVAR-10, Run: 044, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 910, 1
INVAR-10, Run: 045, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 046, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
INVAR-10, Run: 047, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 868, 1
INVAR-10, Run: 048, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 864, 0
INVAR-10, Run: 049, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 894, 0
INVAR-10, Run: 050, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 922, 1
INVAR-10, Run: 051, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 874, 1
INVAR-10, Run: 052, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 898, 1
INVAR-10, Run: 053, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 924, 0
INVAR-10, Run: 054, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 912, 0
INVAR-10, Run: 055, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 906, 0
INVAR-10, Run: 056, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 898, 1
