Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B
INVAR-2, Run: 098, P, 0, 0, 0, 0, 43, 43, 0, 0, 1, 78, 0
INVAR-2, Run: 099, P, 0, 0, 0, 0, 38, 38, 0, 0, 1, 108, 0
INVAR-2, Run: 100, P, 0, 0, 0, 0, 45, 45, 0, 0, 1, 66, 0
INVAR-3, Run: 001, P, 0, 0, 0, 0, 127, 127, 0, 0, 1, 222, 0
INVAR-3, Run: 002, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 003, P, 0, 0, 0, 0, 128, 128, 0, 0, 1, 216, 0
INVAR-3, Run: 004, P, 0, 0, 0, 0, 119, 119, 0, 0, 1, 270, 0
INVAR-3, Run: 005, P, 0, 0, 0, 0, 126, 126, 0, 0, 1, 228, 0
INVAR-3, Run: 006, P, 0, 1, 0, 0, 124, 124, 0, 0, 1, 238, 1
INVAR-3, Run: 007, P, 0, 0, 0, 0, 124, 124, 0, 0, 1, 240, 0
INVAR-3, Run: 008, P, 0, 1, 0, 0, 124, 124, 0, 0, 1, 238, 1
INVAR-3, Run: 009, P, 0, 0, 0, 0, 120, 120, 0, 0, 1, 264, 0
INVAR-3, Run: 010, P, 0, 0, 0, 0, 120, 120, 0, 0, 1, 264, 0
INVAR-3, Run: 011, P, 0, 0, 0, 0, 125, 125, 0, 0, 1, 234, 0
INVAR-3, Run: 012, P, 0, 0, 0, 0, 120, 120, 0, 0, 1, 264, 0
INVAR-3, Run: 013, P, 0, 0, 0, 0, 120, 120, 0, 0, 1, 264, 0
INVAR-3, Run: 014, P, 0, 0, 0, 0, 124, 124, 0, 0, 1, 240, 0
INVAR-3, Run: 015, P, 0, 1, 0, 0, 121, 121, 0, 0, 1, 256, 1
INVAR-3, Run: 016, P, 0, 1, 0, 0, 123, 123, 0, 0, 1, 244, 1
INVAR-3, Run: 017, P, 0, 0, 0, 0, 121, 121, 0, 0, 1, 258, 0
INVAR-3, Run: 018, P, 0, 1, 0, 0, 118, 118, 0, 0, 1, 274, 1
INVAR-3, Run: 019, P, 0, 1, 0, 0, 127, 127, 0, 0, 1, 220, 1
INVAR-3, Run: 020, P, 0, 0, 0, 0, 121, 121, 0, 0, 1, 258, 0
INVAR-3, Run: 021, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 022, P, 0, 1, 0, 0, 121, 121, 0, 0, 1, 256, 1
INVAR-3, Run: 023, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 024, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 025, P, 0, 0, 0, 0, 125, 125, 0, 0, 1, 234, 0
INVAR-3, Run: 026, P, 0, 0, 0, 0, 124, 124, 0, 0, 1, 240, 0
INVAR-3, Run: 027, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 028, P, 0, 1, 0, 0, 121, 121, 0, 0, 1, 256, 1
INVAR-3, Run: 029, P, 0, 1, 0, 0, 117, 117, 0, 0, 1, 280, 1
INVAR-3, Run: 030, P, 0, 0, 0, 0, 125, 125, 0, 0, 1, 234, 0
INVAR-3, Run: 031, P, 0, 1, 0, 0, 129, 129, 0, 0, 1, 208, 1
INVAR-3, Run: 032, P, 0, 1, 0, 0, 124, 124, 0, 0, 1, 238, 1
INVAR-3, Run: 033, P, 0, 0, 0, 0, 123, 123, 0, 0, 1, 246, 0
INVAR-3, Run: 034, P, 0, 1, 0, 0, 118, 118, 0, 0, 1, 274, 1
INVAR-3, Run: 035, P, 0, 0, 0, 0, 119, 119, 0, 0, 1, 270, 0
INVAR-3, Run: 036, P, 0, 0, 0, 0, 127, 127, 0, 0, 1, 222, 0
INVAR-3, Run: 037, P, 0, 1, 0, 0, 124, 124, 0, 0, 1, 238, 1
INVAR-3, Run: 038, P, 0, 0, 0, 0, 122, 122, 0, 0, 1, 252, 0
INVAR-3, Run: 039, P, 0, 0, 0, 0, 125, 125, 0, 0, 1, 234, 0
INVAR-3, Run: 040, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 041, P, 0, 0, 0, 0, 123, 123, 0, 0, 1, 246, 0
INVAR-3, Run: 042, P, 0, 1, 0, 0, 115, 115, 0, 0, 1, 292, 1
INVAR-3, Run: 043, P, 0, 1, 0, 0, 124, 124, 0, 0, 1, 238, 1
INVAR-3, Run: 044, P, 0, 0, 0, 0, 122, 122, 0, 0, 1, 252, 0
INVAR-3, Run: 045, P, 0, 0, 0, 0, 121, 121, 0, 0, 1, 258, 0
INVAR-3, Run: 046, P, 0, 0, 0, 0, 119, 119, 0, 0, 1, 270, 0
INVAR-3, Run: 047, P, 0, 1, 0, 0, 124, 124, 0, 0, 1, 238, 1
INVAR-3, Run: 048, P, 0, 1, 0, 0, 124, 124, 0, 0, 1, 238, 1
INVAR-3, Run: 049, P, 0, 0, 0, 0, 120, 120, 0, 0, 1, 264, 0
INVAR-3, Run: 050, P, 0, 1, 0, 0, 120, 120, 0, 0, 1, 262, 1
INVAR-3, Run: 051, P, 0, 1, 0, 0, 120, 120, 0, 0, 1, 262, 1
INVAR-3, Run: 052, P, 0, 1, 0, 0, 118, 118, 0, 0, 1, 274, 1
INVAR-3, Run: 053, P, 0, 0, 0, 0, 125, 125, 0, 0, 1, 234, 0
INVAR-3, Run: 054, P, 0, 0, 0, 0, 119, 119, 0, 0, 1, 270, 0
INVAR-3, Run: 055, P, 0, 0, 0, 0, 121, 121, 0, 0, 1, 258, 0
INVAR-3, Run: 056, P, 0, 1, 0, 0, 121, 121, 0, 0, 1, 256, 1
INVAR-3, Run: 057, P, 0, 1, 0, 0, 120, 120, 0, 0, 1, 262, 1
INVAR-3, Run: 058, P, 0, 0, 0, 0, 125, 125, 0, 0, 1, 234, 0
INVAR-3, Run: 059, P, 0, 0, 0, 0, 132, 132, 0, 0, 1, 192, 0
INVAR-3, Run: 060, P, 0, 0, 0, 0, 128, 128, 0, 0, 1, 216, 0
INVAR-3, Run: 061, P, 0, 0, 0, 0, 129, 129, 0, 0, 1, 210, 0
INVAR-3, Run: 062, P, 0, 1, 0, 0, 118, 118, 0, 0, 1, 274, 1
INVAR-3, Run: 063, P, 0, 1, 0, 0, 125, 125, 0, 0, 1, 232, 1
INVAR-3, Run: 064, P, 0, 1, 0, 0, 120, 120, 0, 0, 1, 262, 1
INVAR-3, Run: 065, P, 0, 0, 0, 0, 123, 123, 0, 0, 1, 246, 0
INVAR-3, Run: 066, P, 0, 0, 0, 0, 121, 121, 0, 0, 1, 258, 0
INVAR-3, Run: 067, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 068, P, 0, 1, 0, 0, 123, 123, 0, 0, 1, 244, 1
INVAR-3, Run: 069, P, 0, 0, 0, 0, 126, 126, 0, 0, 1, 228, 0
INVAR-3, Run: 070, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 071, P, 0, 0, 0, 0, 126, 126, 0, 0, 1, 228, 0
INVAR-3, Run: 072, P, 0, 0, 0, 0, 125, 125, 0, 0, 1, 234, 0
INVAR-3, Run: 073, P, 0, 0, 0, 0, 122, 122, 0, 0, 1, 252, 0
INVAR-3, Run: 074, P, 0, 0, 0, 0, 128, 128, 0, 0, 1, 216, 0
INVAR-3, Run: 075, P, 0, 0, 0, 0, 124, 124, 0, 0, 1, 240, 0
INVAR-3, Run: 076, P, 0, 1, 0, 0, 123, 123, 0, 0, 1, 244, 1
INVAR-3, Run: 077, P, 0, 0, 0, 0, 122, 122, 0, 0, 1, 252, 0
INVAR-3, Run: 078, P, 0, 1, 0, 0, 119, 119, 0, 0, 1, 268, 1
INVAR-3, Run: 079, P, 0, 0, 0, 0, 122, 122, 0, 0, 1, 252, 0
INVAR-3, Run: 080, P, 0, 0, 0, 0, 128, 128, 0, 0, 1, 216, 0
INVAR-3, Run: 081, P, 0, 1, 0, 0, 120, 120, 0, 0, 1, 262, 1
INVAR-3, Run: 082, P, 0, 1, 0, 0, 118, 118, 0, 0, 1, 274, 1
INVAR-3, Run: 083, P, 0, 0, 0, 0, 117, 117, 0, 0, 1, 282, 0
INVAR-3, Run: 084, P, 0, 0, 0, 0, 120, 120, 0, 0, 1, 264, 0
INVAR-3, Run: 085, P, 0, 0, 0, 0, 126, 126, 0, 0, 1, 228, 0
INVAR-3, Run: 086, P, 0, 1, 0, 0, 123, 123, 0, 0, 1, 244, 1
INVAR-3, Run: 087, P, 0, 1, 0, 0, 124, 124, 0, 0, 1, 238, 1
INVAR-3, Run: 088, P, 0, 1, 0, 0, 119, 119, 0, 0, 1, 268, 1
INVAR-3, Run: 089, P, 0, 0, 0, 0, 119, 119, 0, 0, 1, 270, 0
INVAR-3, Run: 090, P, 0, 1, 0, 0, 123, 123, 0, 0, 1, 244, 1
INVAR-3, Run: 091, P, 0, 0, 0, 0, 123, 123, 0, 0, 1, 246, 0
INVAR-3, Run: 092, P, 0, 0, 0, 0, 126, 126, 0, 0, 1, 228, 0
INVAR-3, Run: 093, P, 0, 0, 0, 0, 125, 125, 0, 0, 1, 234, 0
INVAR-3, Run: 094, P, 0, 0, 0, 0, 121, 121, 0, 0, 1, 258, 0
INVAR-3, Run: 095, P, 0, 1, 0, 0, 122, 122, 0, 0, 1, 250, 1
INVAR-3, Run: 096, P, 0, 1, 0, 0, 121, 121, 0, 0, 1, 256, 1
INVAR-3, Run: 097, P, 0, 1, 0, 0, 120, 120, 0, 0, 1, 262, 1
INVAR-3, Run: 098, P, 0, 0, 0, 0, 132, 132, 0, 0, 1, 192, 0
INVAR-3, Run: 099, P, 0, 1, 0, 0, 118, 118, 0, 0, 1, 274, 1
INVAR-3, Run: 100, P, 0, 1, 0, 0, 127, 127, 0, 0, 1, 220, 1
INVAR-4, Run: 001, P, 0, 1, 0, 1, 0, 76, 26, 76, 0, 0, 1
INVAR-4, Run: 002, P, 0, 0, 0, 1, 0, 48, 31, 48, 0, 0, 0
INVAR-4, Run: 003, P, 0, 1, 0, 1, 0, 52, 30, 52, 0, 0, 1
INVAR-4, Run: 004, P, 0, 0, 0, 1, 0, 48, 31, 48, 0, 0, 0
INVAR-4, Run: 005, P, 0, 0, 0, 1, 0, 60, 29, 60, 0, 0, 0
INVAR-4, Run: 006, P, 0, 0, 0, 1, 0, 48, 31, 48, 0, 0, 0
INVAR-4, Run: 007, P, 0, 0, 0, 1, 0, 72, 27, 72, 0, 0, 0
INVAR-4, Run: 008, P, 0, 1, 0, 1, 0, 46, 31, 46, 0, 0, 1
INVAR-4, Run: 009, P, 0, 1, 0, 1, 0, 52, 30, 52, 0, 0, 1
INVAR-4, Run: 010, P, 0, 0, 0, 1, 0, 66, 28, 66, 0, 0, 0
INVAR-4, Run: 011, P, 0, 0, 0, 1, 0, 48, 31, 48, 0, 0, 0
INVAR-4, Run: 012, P, 0, 1, 0, 1, 0, 58, 29, 58, 0, 0, 1
INVAR-4, Run: 013, P, 0, 0, 0, 1, 0, 60, 29, 60, 0, 0, 0
INVAR-4, Run: 014, P, 0, 1, 0, 1, 0, 52, 30, 52, 0, 0, 1
INVAR-4, Run: 015, P, 0, 0, 0, 1, 0, 66, 28, 66, 0, 0, 0
