Input Number, Run_Number, Result@ 100, predator_g555, predator_mrna556, predator_H2, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_ccdB, predator_Q1a, predator_H1, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 055, F, 0, 0, 0, 1, 1, 1, 0, 4, 0, 1, 2, 0, 0, 1, 2, 1, 0, 3, 1, 1, 2, 1, 1, 0, 1, 3, 0, 1, 114, 21, 97, 107, 103, 3, 2, 1, 1, 92, 24, 113, 23, 0, 47, 29, 0, 55, 43, 43, 42, 95, 97, 82, 79, 87, 86, 104, 101, 93, 62, 60, 59, 96, 58, 27, 41, 30, 43, 42, 32, 29, 100, 99, 76, 19, 18
INVAR-1, Run: 056, F, 0, 0, 0, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 107, 13, 104, 85, 83, 1, 0, 0, 0, 98, 20, 106, 19, 0, 48, 31, 0, 69, 32, 32, 26, 95, 88, 100, 99, 89, 89, 106, 106, 84, 62, 58, 44, 86, 44, 27, 50, 22, 50, 50, 31, 31, 105, 104, 92, 15, 14
INVAR-1, Run: 057, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 1, 1, 103, 26, 114, 143, 143, 3, 2, 0, 0, 108, 24, 102, 24, 0, 59, 31, 0, 69, 37, 37, 28, 97, 114, 97, 97, 99, 98, 92, 92, 98, 53, 54, 28, 114, 28, 24, 44, 45, 48, 47, 30, 30, 117, 115, 88, 26, 26
INVAR-1, Run: 058, F, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 81, 13, 116, 120, 120, 1, 0, 2, 1, 53, 27, 79, 27, 1, 23, 29, 0, 93, 23, 23, 13, 104, 84, 133, 132, 91, 90, 99, 98, 97, 49, 55, 38, 83, 37, 27, 26, 48, 28, 28, 28, 28, 72, 71, 103, 16, 16
INVAR-1, Run: 059, F, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 91, 23, 106, 114, 113, 5, 4, 0, 0, 48, 28, 90, 28, 0, 17, 36, 0, 78, 19, 19, 19, 96, 64, 114, 113, 99, 99, 94, 94, 105, 71, 66, 26, 64, 26, 31, 31, 34, 31, 31, 35, 35, 50, 50, 85, 21, 21
INVAR-1, Run: 060, F, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 102, 20, 103, 100, 99, 2, 1, 5, 4, 111, 45, 102, 45, 1, 63, 40, 2, 73, 26, 26, 32, 104, 97, 112, 112, 112, 112, 119, 118, 124, 79, 73, 57, 97, 57, 34, 46, 45, 46, 46, 39, 39, 108, 105, 85, 21, 21
INVAR-1, Run: 061, F, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 98, 26, 95, 95, 95, 1, 0, 0, 0, 103, 29, 98, 28, 0, 50, 27, 0, 80, 28, 28, 35, 114, 107, 93, 91, 102, 102, 124, 122, 117, 74, 57, 77, 105, 75, 29, 51, 43, 53, 53, 28, 28, 101, 101, 69, 18, 18
INVAR-1, Run: 062, F, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 91, 22, 115, 100, 98, 1, 0, 1, 1, 111, 17, 91, 15, 0, 56, 25, 0, 68, 27, 26, 49, 117, 105, 117, 117, 100, 99, 134, 129, 148, 74, 62, 80, 103, 78, 34, 53, 74, 55, 55, 27, 27, 92, 92, 94, 15, 14
INVAR-1, Run: 063, F, 0, 0, 1, 1, 0, 0, 1, 4, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 119, 18, 90, 82, 78, 3, 2, 2, 1, 99, 22, 119, 20, 1, 55, 23, 0, 78, 30, 30, 25, 102, 113, 105, 105, 86, 86, 88, 88, 103, 46, 47, 24, 111, 24, 22, 43, 57, 44, 44, 25, 25, 100, 100, 73, 23, 23
INVAR-1, Run: 064, F, 0, 0, 0, 1, 3, 0, 0, 1, 0, 3, 0, 4, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 87, 7, 89, 106, 105, 2, 1, 2, 2, 66, 13, 84, 12, 0, 34, 32, 0, 64, 20, 20, 31, 95, 74, 84, 84, 107, 107, 89, 88, 96, 53, 55, 24, 69, 23, 23, 30, 43, 32, 31, 32, 32, 69, 66, 82, 7, 7
INVAR-1, Run: 065, F, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 103, 12, 100, 101, 101, 2, 1, 4, 4, 111, 22, 100, 22, 0, 55, 28, 3, 76, 18, 18, 13, 88, 98, 76, 75, 92, 92, 58, 56, 79, 63, 63, 14, 97, 14, 36, 56, 16, 56, 56, 27, 27, 109, 106, 88, 13, 13
INVAR-1, Run: 066, F, 0, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 95, 21, 98, 88, 86, 2, 1, 0, 0, 109, 45, 94, 45, 0, 63, 36, 0, 63, 33, 33, 20, 83, 105, 72, 71, 113, 111, 108, 107, 109, 80, 70, 47, 104, 47, 35, 46, 29, 46, 46, 35, 35, 99, 99, 78, 24, 24
INVAR-1, Run: 067, F, 0, 0, 1, 1, 0, 0, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 3, 2, 1, 1, 0, 0, 1, 1, 104, 27, 94, 94, 93, 2, 1, 0, 0, 116, 40, 104, 40, 0, 60, 30, 0, 66, 23, 23, 35, 101, 102, 107, 107, 106, 104, 99, 96, 101, 57, 73, 62, 102, 62, 42, 55, 42, 56, 56, 30, 30, 104, 104, 71, 31, 31
INVAR-1, Run: 068, F, 0, 0, 0, 1, 2, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 95, 18, 89, 63, 62, 2, 1, 0, 0, 77, 33, 93, 32, 0, 37, 33, 0, 76, 25, 24, 16, 91, 87, 110, 109, 98, 97, 90, 89, 108, 56, 66, 27, 86, 26, 33, 39, 52, 40, 40, 33, 33, 88, 87, 72, 31, 30
INVAR-1, Run: 069, F, 0, 0, 0, 1, 1, 1, 3, 6, 0, 3, 1, 2, 2, 1, 2, 0, 0, 4, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 127, 17, 96, 101, 95, 3, 2, 0, 0, 98, 31, 126, 28, 0, 45, 36, 0, 48, 47, 47, 48, 94, 135, 101, 97, 126, 126, 104, 103, 125, 71, 75, 69, 130, 69, 36, 51, 54, 52, 52, 39, 38, 106, 103, 82, 13, 12
INVAR-1, Run: 070, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 103, 12, 97, 81, 81, 3, 2, 1, 1, 133, 20, 102, 20, 0, 73, 27, 0, 49, 39, 39, 37, 86, 119, 90, 90, 87, 86, 91, 90, 86, 47, 51, 57, 118, 57, 25, 59, 38, 59, 59, 26, 26, 117, 116, 85, 18, 18
INVAR-1, Run: 071, F, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 1, 2, 2, 0, 0, 0, 0, 0, 1, 1, 94, 31, 92, 100, 97, 3, 2, 2, 1, 101, 59, 94, 59, 1, 60, 51, 1, 76, 21, 21, 33, 108, 117, 80, 77, 99, 97, 110, 108, 109, 75, 82, 46, 117, 46, 32, 41, 34, 41, 41, 50, 50, 105, 104, 61, 28, 28
INVAR-1, Run: 072, F, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 2, 2, 4, 0, 1, 0, 0, 1, 1, 93, 21, 94, 80, 79, 3, 2, 0, 0, 76, 23, 93, 22, 0, 36, 25, 0, 81, 14, 14, 20, 101, 117, 92, 92, 92, 90, 94, 92, 105, 67, 60, 18, 116, 18, 35, 38, 34, 39, 39, 25, 25, 101, 100, 76, 18, 18
INVAR-1, Run: 073, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 99, 9, 89, 94, 94, 1, 0, 0, 0, 83, 22, 99, 22, 0, 34, 44, 0, 92, 26, 26, 24, 114, 87, 109, 106, 103, 102, 87, 87, 101, 73, 76, 35, 87, 35, 32, 49, 28, 49, 49, 44, 43, 83, 83, 80, 17, 17
INVAR-1, Run: 074, F, 0, 0, 0, 1, 3, 0, 1, 1, 0, 3, 1, 3, 2, 1, 1, 0, 0, 2, 1, 0, 4, 0, 0, 0, 2, 1, 1, 1, 88, 18, 110, 112, 111, 2, 1, 0, 0, 69, 22, 85, 20, 0, 35, 34, 0, 92, 12, 12, 23, 114, 71, 126, 124, 87, 87, 97, 93, 95, 40, 65, 24, 66, 24, 29, 31, 55, 33, 31, 36, 35, 68, 65, 93, 17, 17
INVAR-1, Run: 075, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 93, 14, 92, 91, 91, 4, 3, 5, 2, 84, 32, 93, 31, 3, 50, 39, 4, 71, 25, 25, 20, 89, 106, 82, 80, 113, 112, 116, 115, 102, 70, 77, 26, 105, 26, 38, 33, 32, 34, 33, 39, 39, 95, 90, 78, 20, 20
INVAR-1, Run: 076, F, 0, 0, 0, 1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 82, 16, 90, 76, 74, 1, 0, 0, 0, 62, 29, 80, 28, 0, 27, 25, 0, 90, 23, 22, 22, 112, 85, 112, 111, 101, 100, 101, 97, 92, 51, 58, 31, 84, 30, 33, 34, 41, 35, 35, 25, 25, 82, 82, 74, 24, 23
INVAR-1, Run: 077, F, 0, 0, 1, 1, 1, 0, 2, 2, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 3, 1, 1, 1, 0, 0, 0, 1, 1, 90, 31, 112, 132, 130, 3, 2, 1, 1, 86, 33, 89, 33, 0, 43, 36, 0, 119, 11, 11, 2, 121, 90, 112, 112, 106, 103, 83, 80, 106, 65, 80, 13, 90, 11, 43, 41, 40, 43, 43, 36, 36, 108, 107, 83, 27, 27
INVAR-1, Run: 078, F, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 2, 2, 0, 1, 2, 3, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 91, 8, 96, 115, 114, 1, 0, 0, 0, 81, 20, 90, 20, 0, 41, 25, 0, 60, 33, 33, 37, 95, 100, 101, 101, 91, 91, 91, 86, 81, 51, 44, 44, 98, 41, 20, 34, 30, 38, 38, 24, 24, 76, 75, 89, 11, 11
INVAR-1, Run: 079, F, 0, 0, 1, 1, 5, 1, 0, 0, 0, 1, 1, 3, 1, 1, 1, 0, 0, 2, 1, 2, 2, 0, 0, 0, 0, 1, 0, 1, 107, 24, 98, 103, 103, 2, 1, 0, 0, 94, 42, 102, 40, 0, 49, 38, 0, 82, 32, 32, 19, 100, 89, 76, 74, 101, 99, 78, 76, 90, 59, 74, 56, 84, 56, 33, 44, 31, 44, 44, 41, 40, 99, 98, 74, 23, 22
INVAR-1, Run: 080, F, 0, 0, 0, 1, 3, 1, 1, 1, 0, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 99, 36, 91, 88, 87, 2, 1, 1, 1, 122, 42, 96, 41, 0, 68, 36, 1, 73, 20, 20, 15, 88, 111, 95, 94, 102, 101, 94, 93, 95, 67, 88, 32, 108, 31, 52, 52, 28, 53, 53, 36, 36, 108, 106, 56, 39, 38
INVAR-1, Run: 081, F, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0, 2, 0, 0, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 98, 9, 117, 93, 92, 4, 3, 3, 3, 107, 23, 96, 23, 0, 56, 31, 0, 65, 29, 28, 40, 102, 105, 84, 82, 106, 105, 102, 99, 87, 62, 62, 73, 103, 71, 29, 48, 24, 51, 51, 31, 30, 112, 112, 109, 19, 19
INVAR-1, Run: 082, F, 0, 0, 0, 1, 3, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 3, 1, 1, 0, 0, 0, 0, 1, 93, 15, 90, 84, 84, 6, 5, 10, 8, 55, 40, 90, 39, 2, 25, 42, 2, 83, 14, 13, 19, 101, 94, 83, 82, 105, 105, 101, 97, 101, 75, 88, 25, 92, 24, 45, 28, 25, 29, 29, 42, 42, 72, 69, 75, 30, 29
INVAR-1, Run: 083, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 94, 20, 97, 92, 92, 1, 0, 0, 0, 68, 26, 93, 25, 0, 33, 35, 0, 66, 34, 33, 23, 87, 101, 94, 94, 119, 118, 110, 107, 114, 65, 63, 36, 99, 34, 28, 31, 49, 34, 33, 35, 35, 81, 80, 77, 20, 20
INVAR-1, Run: 084, F, 0, 0, 1, 1, 1, 1, 2, 2, 0, 3, 4, 0, 3, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 102, 17, 83, 86, 84, 4, 3, 3, 3, 80, 33, 101, 29, 0, 44, 46, 0, 87, 19, 19, 8, 95, 79, 99, 98, 85, 85, 89, 87, 101, 62, 80, 31, 75, 30, 29, 29, 39, 32, 31, 50, 50, 85, 82, 68, 17, 16
INVAR-1, Run: 085, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 7, 0, 0, 1, 0, 0, 1, 1, 92, 12, 101, 73, 73, 4, 3, 2, 1, 79, 22, 92, 22, 1, 49, 25, 0, 72, 31, 31, 33, 104, 78, 111, 111, 91, 89, 116, 109, 88, 47, 51, 36, 78, 36, 27, 29, 41, 30, 30, 24, 24, 102, 102, 89, 13, 13
INVAR-1, Run: 086, F, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 3, 2, 1, 2, 1, 2, 5, 0, 0, 1, 0, 1, 1, 1, 104, 27, 80, 75, 74, 1, 0, 3, 2, 64, 49, 103, 48, 1, 34, 28, 1, 72, 25, 24, 28, 97, 87, 108, 106, 120, 118, 144, 136, 128, 75, 61, 63, 86, 60, 31, 26, 53, 30, 30, 30, 29, 75, 73, 54, 37, 37
INVAR-1, Run: 087, F, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 92, 26, 101, 95, 94, 1, 0, 0, 0, 114, 21, 92, 21, 0, 64, 42, 0, 57, 29, 29, 34, 90, 80, 76, 75, 96, 96, 110, 109, 96, 67, 79, 55, 80, 55, 37, 50, 28, 50, 50, 42, 41, 105, 105, 76, 23, 23
INVAR-1, Run: 088, F, 0, 0, 2, 1, 0, 0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 1, 1, 0, 0, 1, 1, 96, 29, 82, 83, 81, 1, 0, 0, 0, 88, 46, 96, 45, 0, 41, 33, 0, 68, 38, 38, 31, 98, 87, 110, 110, 108, 106, 100, 100, 86, 59, 71, 50, 85, 50, 35, 45, 26, 46, 46, 35, 35, 86, 86, 54, 34, 34
INVAR-1, Run: 089, F, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 2, 1, 2, 1, 1, 0, 2, 1, 0, 0, 1, 127, 16, 85, 93, 93, 3, 2, 4, 4, 105, 23, 127, 22, 0, 51, 28, 2, 53, 36, 35, 40, 92, 122, 101, 99, 95, 93, 106, 103, 104, 68, 70, 47, 120, 45, 42, 48, 35, 53, 52, 28, 28, 119, 116, 69, 19, 18
INVAR-1, Run: 090, F, 0, 0, 0, 1, 2, 0, 6, 6, 0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 80, 15, 100, 111, 105, 3, 2, 2, 2, 80, 17, 78, 16, 0, 38, 32, 0, 83, 23, 23, 14, 94, 94, 95, 95, 111, 111, 134, 134, 108, 71, 72, 42, 93, 42, 40, 42, 37, 42, 42, 32, 32, 77, 77, 91, 12, 12
INVAR-1, Run: 091, F, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 2, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 80, 22, 90, 94, 93, 5, 4, 7, 6, 86, 36, 79, 34, 1, 49, 43, 3, 78, 20, 19, 17, 94, 85, 99, 99, 91, 90, 92, 90, 110, 62, 68, 25, 82, 24, 21, 33, 48, 35, 34, 46, 45, 91, 84, 69, 21, 20
INVAR-1, Run: 092, F, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 5, 2, 1, 0, 2, 0, 0, 1, 3, 2, 1, 0, 0, 1, 0, 1, 1, 95, 9, 93, 103, 103, 1, 0, 2, 2, 77, 12, 94, 10, 0, 39, 28, 2, 53, 28, 28, 39, 92, 97, 96, 96, 107, 104, 94, 90, 98, 56, 58, 40, 90, 38, 29, 34, 41, 37, 36, 29, 29, 90, 87, 86, 10, 10
INVAR-1, Run: 093, F, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 107, 30, 102, 96, 95, 4, 3, 1, 0, 104, 30, 107, 30, 1, 37, 38, 0, 64, 32, 32, 26, 90, 117, 92, 92, 104, 103, 111, 110, 115, 72, 73, 61, 115, 61, 35, 66, 42, 67, 66, 37, 37, 110, 109, 73, 25, 25
INVAR-1, Run: 094, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 103, 20, 98, 113, 113, 1, 0, 0, 0, 113, 25, 102, 25, 0, 54, 30, 0, 79, 27, 27, 17, 96, 113, 105, 104, 99, 99, 114, 110, 102, 62, 52, 52, 111, 50, 23, 55, 40, 59, 58, 29, 29, 114, 113, 78, 20, 20
INVAR-1, Run: 095, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 4, 1, 1, 133, 12, 107, 89, 89, 4, 3, 1, 0, 128, 19, 133, 19, 1, 55, 18, 1, 84, 30, 29, 21, 104, 130, 110, 110, 99, 99, 89, 88, 65, 39, 47, 55, 130, 54, 26, 71, 26, 73, 73, 21, 17, 139, 138, 95, 13, 13
INVAR-1, Run: 096, F, 0, 0, 0, 1, 0, 1, 1, 3, 0, 0, 0, 0, 0, 1, 2, 0, 0, 3, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 86, 21, 108, 99, 96, 3, 2, 2, 1, 96, 38, 86, 37, 1, 55, 41, 0, 87, 23, 23, 27, 112, 93, 119, 116, 113, 113, 107, 105, 130, 78, 100, 33, 92, 33, 58, 41, 52, 41, 41, 42, 41, 76, 76, 88, 26, 25
INVAR-1, Run: 097, F, 0, 0, 0, 1, 3, 0, 1, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 94, 33, 98, 90, 89, 3, 2, 0, 0, 106, 40, 91, 40, 0, 54, 39, 0, 74, 32, 32, 23, 97, 89, 98, 98, 102, 102, 141, 141, 117, 86, 75, 47, 88, 47, 37, 50, 31, 51, 50, 38, 38, 102, 100, 66, 21, 21
INVAR-1, Run: 098, F, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 2, 3, 0, 0, 0, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 1, 1, 113, 29, 93, 95, 95, 1, 0, 0, 0, 120, 56, 112, 53, 0, 55, 37, 0, 51, 28, 27, 42, 93, 101, 75, 75, 96, 94, 89, 87, 83, 46, 66, 51, 96, 50, 27, 64, 36, 65, 65, 39, 39, 114, 114, 65, 26, 26
INVAR-1, Run: 099, F, 0, 0, 0, 1, 2, 0, 2, 1, 0, 1, 1, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 1, 108, 41, 104, 92, 91, 3, 2, 4, 2, 102, 39, 106, 38, 2, 43, 31, 0, 74, 38, 38, 32, 105, 105, 114, 114, 116, 116, 126, 126, 127, 70, 69, 66, 102, 66, 35, 58, 56, 58, 58, 33, 31, 112, 111, 65, 32, 32
INVAR-1, Run: 100, F, 0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 2, 1, 0, 2, 0, 1, 1, 1, 109, 11, 91, 87, 87, 2, 1, 1, 1, 134, 29, 107, 29, 0, 63, 30, 0, 69, 26, 25, 33, 102, 124, 102, 102, 102, 98, 84, 81, 103, 58, 65, 32, 124, 31, 34, 68, 44, 71, 71, 31, 30, 127, 125, 80, 18, 18
