Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3
1, Run: 059, F, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 3, 0
1, Run: 060, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 2, 0, 1, 0, 1, 6, 0, 24, 0
1, Run: 061, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 1, 0, 1, 6, 0, 48, 0
1, Run: 062, F, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0
1, Run: 063, F, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 3, 0
1, Run: 064, F, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0
1, Run: 065, P, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0
1, Run: 066, F, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 12, 0
1, Run: 067, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 1, 0, 1, 6, 0, 2, 0
1, Run: 068, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 0, 0, 1, 6, 0, 4, 0
1, Run: 069, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 3, 0
1, Run: 070, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 3, 0
1, Run: 071, F, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0
1, Run: 072, P, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 1, 0, 1, 1, 6, 0, 47, 0
1, Run: 073, F, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0
1, Run: 074, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 15, 0
1, Run: 075, P, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 12, 0
1, Run: 076, F, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 6, 0, 8, 0
