Input Number, Run_Number, Result@ 100, X1, X2, Y
INVAR-12, Run: 055, P, 100, 0, 70
INVAR-12, Run: 056, P, 103, 0, 64
INVAR-12, Run: 057, P, 102, 0, 66
INVAR-12, Run: 058, P, 102, 0, 66
INVAR-12, Run: 059, P, 101, 0, 68
INVAR-12, Run: 060, P, 98, 0, 74
INVAR-12, Run: 061, P, 101, 0, 68
INVAR-12, Run: 062, P, 105, 0, 60
INVAR-12, Run: 063, P, 98, 0, 74
INVAR-12, Run: 064, P, 95, 0, 80
INVAR-12, Run: 065, P, 97, 0, 76
INVAR-12, Run: 066, P, 105, 0, 60
INVAR-12, Run: 067, P, 98, 0, 74
INVAR-12, Run: 068, P, 98, 0, 74
INVAR-12, Run: 069, P, 107, 0, 56
INVAR-12, Run: 070, P, 98, 0, 74
INVAR-12, Run: 071, P, 97, 0, 76
INVAR-12, Run: 072, P, 100, 0, 70
INVAR-12, Run: 073, P, 97, 0, 76
INVAR-12, Run: 074, P, 101, 0, 68
INVAR-12, Run: 075, P, 97, 0, 76
INVAR-12, Run: 076, P, 101, 0, 68
INVAR-12, Run: 077, P, 99, 0, 72
INVAR-12, Run: 078, P, 99, 0, 72
INVAR-12, Run: 079, P, 102, 0, 66
INVAR-12, Run: 080, P, 105, 0, 60
INVAR-12, Run: 081, P, 98, 0, 74
INVAR-12, Run: 082, P, 101, 0, 68
INVAR-12, Run: 083, P, 101, 0, 68
INVAR-12, Run: 084, P, 99, 0, 72
INVAR-12, Run: 085, P, 99, 0, 72
INVAR-12, Run: 086, P, 103, 0, 64
INVAR-12, Run: 087, P, 98, 0, 74
INVAR-12, Run: 088, P, 99, 0, 72
INVAR-12, Run: 089, P, 105, 0, 60
INVAR-12, Run: 090, P, 103, 0, 64
INVAR-12, Run: 091, P, 102, 0, 66
INVAR-12, Run: 092, P, 92, 0, 86
INVAR-12, Run: 093, P, 99, 0, 72
INVAR-12, Run: 094, P, 98, 0, 74
INVAR-12, Run: 095, P, 100, 0, 70
INVAR-12, Run: 096, P, 97, 0, 76
INVAR-12, Run: 097, P, 104, 0, 62
INVAR-12, Run: 098, P, 99, 0, 72
INVAR-12, Run: 099, P, 98, 0, 74
INVAR-12, Run: 100, P, 100, 0, 70
INVAR-13, Run: 001, P, 14, 0, 3
INVAR-13, Run: 002, P, 14, 0, 3
INVAR-13, Run: 003, P, 13, 0, 5
INVAR-13, Run: 004, P, 13, 0, 5
INVAR-13, Run: 005, P, 14, 0, 3
INVAR-13, Run: 006, P, 13, 0, 5
INVAR-13, Run: 007, P, 13, 0, 5
INVAR-13, Run: 008, P, 13, 0, 5
INVAR-13, Run: 009, P, 14, 0, 3
INVAR-13, Run: 010, P, 13, 0, 5
INVAR-13, Run: 011, P, 15, 0, 1
INVAR-13, Run: 012, P, 14, 0, 3
INVAR-13, Run: 013, P, 14, 0, 3
INVAR-13, Run: 014, P, 14, 0, 3
INVAR-13, Run: 015, P, 13, 0, 5
INVAR-13, Run: 016, P, 13, 0, 5
INVAR-13, Run: 017, P, 15, 0, 1
INVAR-13, Run: 018, P, 13, 0, 5
INVAR-13, Run: 019, P, 14, 0, 3
INVAR-13, Run: 020, P, 14, 0, 3
INVAR-13, Run: 021, P, 13, 0, 5
INVAR-13, Run: 022, P, 13, 0, 5
INVAR-13, Run: 023, P, 13, 0, 5
INVAR-13, Run: 024, P, 13, 0, 5
INVAR-13, Run: 025, P, 14, 0, 3
INVAR-13, Run: 026, P, 14, 0, 3
INVAR-13, Run: 027, P, 14, 0, 3
INVAR-13, Run: 028, P, 14, 0, 3
INVAR-13, Run: 029, P, 13, 0, 5
INVAR-13, Run: 030, P, 14, 0, 3
INVAR-13, Run: 031, P, 14, 0, 3
INVAR-13, Run: 032, P, 14, 0, 3
INVAR-13, Run: 033, P, 13, 0, 5
INVAR-13, Run: 034, P, 14, 0, 3
INVAR-13, Run: 035, P, 13, 0, 5
INVAR-13, Run: 036, P, 13, 0, 5
INVAR-13, Run: 037, P, 14, 0, 3
INVAR-13, Run: 038, P, 14, 0, 3
INVAR-13, Run: 039, P, 13, 0, 5
INVAR-13, Run: 040, P, 13, 0, 5
INVAR-13, Run: 041, P, 14, 0, 3
INVAR-13, Run: 042, P, 13, 0, 5
INVAR-13, Run: 043, P, 14, 0, 3
INVAR-13, Run: 044, P, 13, 0, 5
INVAR-13, Run: 045, P, 13, 0, 5
INVAR-13, Run: 046, P, 13, 0, 5
INVAR-13, Run: 047, P, 13, 0, 5
INVAR-13, Run: 048, P, 13, 0, 5
INVAR-13, Run: 049, P, 13, 0, 5
INVAR-13, Run: 050, P, 13, 0, 5
INVAR-13, Run: 051, P, 14, 0, 3
INVAR-13, Run: 052, P, 13, 0, 5
INVAR-13, Run: 053, P, 14, 0, 3
INVAR-13, Run: 054, P, 15, 0, 1
INVAR-13, Run: 055, P, 13, 0, 5
INVAR-13, Run: 056, P, 13, 0, 5
INVAR-13, Run: 057, P, 13, 0, 5
INVAR-13, Run: 058, P, 14, 0, 3
INVAR-13, Run: 059, P, 14, 0, 3
INVAR-13, Run: 060, P, 13, 0, 5
INVAR-13, Run: 061, P, 14, 0, 3
INVAR-13, Run: 062, P, 13, 0, 5
INVAR-13, Run: 063, P, 13, 0, 5
INVAR-13, Run: 064, P, 14, 0, 3
INVAR-13, Run: 065, P, 13, 0, 5
INVAR-13, Run: 066, P, 13, 0, 5
INVAR-13, Run: 067, P, 14, 0, 3
INVAR-13, Run: 068, P, 14, 0, 3
INVAR-13, Run: 069, P, 13, 0, 5
INVAR-13, Run: 070, P, 14, 0, 3
INVAR-13, Run: 071, P, 14, 0, 3
INVAR-13, Run: 072, P, 14, 0, 3
INVAR-13, Run: 073, P, 14, 0, 3
INVAR-13, Run: 074, P, 14, 0, 3
INVAR-13, Run: 075, P, 13, 0, 5
INVAR-13, Run: 076, P, 13, 0, 5
INVAR-13, Run: 077, P, 14, 0, 3
INVAR-13, Run: 078, P, 13, 0, 5
INVAR-13, Run: 079, P, 13, 0, 5
INVAR-13, Run: 080, P, 14, 0, 3
INVAR-13, Run: 081, P, 13, 0, 5
INVAR-13, Run: 082, P, 13, 0, 5
INVAR-13, Run: 083, P, 14, 0, 3
INVAR-13, Run: 084, P, 13, 0, 5
INVAR-13, Run: 085, P, 14, 0, 3
INVAR-13, Run: 086, P, 13, 0, 5
INVAR-13, Run: 087, P, 13, 0, 5
INVAR-13, Run: 088, P, 14, 0, 3
INVAR-13, Run: 089, P, 14, 0, 3
INVAR-13, Run: 090, P, 14, 0, 3
INVAR-13, Run: 091, P, 13, 0, 5
