Input Number, Run_Number, Result@ 100, prey_H1, predator_g532, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2
INVAR-1, Run: 065, P, 0, 22, 1, 0, 1, 28, 26, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 066, P, 0, 14, 1, 2, 4, 17, 19, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 067, P, 0, 13, 1, 1, 1, 13, 5, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 068, P, 0, 14, 1, 2, 7, 23, 28, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 069, P, 0, 25, 1, 0, 2, 33, 23, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 070, P, 1, 14, 1, 1, 4, 12, 19, 1, 1, 0, 2, 1, 0, 3, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 071, P, 0, 16, 1, 4, 2, 19, 6, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0
INVAR-1, Run: 072, P, 1, 15, 1, 5, 3, 17, 26, 1, 2, 0, 4, 0, 0, 7, 0, 0, 0, 0, 1, 1, 1, 2, 3, 2, 0, 2, 0
INVAR-1, Run: 073, P, 0, 20, 1, 1, 4, 24, 19, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0
INVAR-1, Run: 074, P, 1, 14, 1, 3, 0, 11, 21, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 0, 0, 0, 1, 1, 0
INVAR-1, Run: 075, P, 0, 13, 1, 0, 4, 14, 10, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 3, 4, 0, 0, 1, 0
INVAR-1, Run: 076, P, 0, 36, 1, 1, 5, 49, 46, 1, 1, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 2, 0, 0
INVAR-1, Run: 077, P, 0, 17, 1, 1, 2, 19, 14, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 2
INVAR-1, Run: 078, P, 0, 18, 1, 0, 1, 19, 11, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1
INVAR-1, Run: 079, P, 0, 27, 1, 1, 2, 29, 24, 1, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 080, P, 0, 12, 1, 1, 5, 19, 17, 1, 2, 0, 0, 0, 1, 6, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 081, P, 1, 11, 1, 5, 4, 16, 12, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0
INVAR-1, Run: 082, P, 1, 12, 1, 0, 0, 14, 7, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0
INVAR-1, Run: 083, P, 0, 23, 1, 0, 4, 21, 33, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1
INVAR-1, Run: 084, P, 0, 16, 1, 0, 7, 24, 29, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 085, P, 0, 6, 1, 0, 2, 14, 7, 1, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 086, P, 0, 21, 1, 2, 3, 27, 22, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0
INVAR-1, Run: 087, P, 0, 13, 1, 0, 5, 16, 12, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 088, P, 0, 13, 1, 2, 3, 11, 7, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 2, 3, 1, 0, 0, 0
INVAR-1, Run: 089, P, 0, 11, 1, 1, 4, 16, 23, 1, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 1, 1, 4, 0, 1, 0, 0
INVAR-1, Run: 090, P, 0, 29, 1, 0, 2, 28, 35, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1
INVAR-1, Run: 091, P, 0, 25, 1, 0, 1, 26, 22, 1, 2, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 5, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 092, P, 0, 8, 1, 4, 1, 6, 4, 1, 3, 0, 5, 3, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0
INVAR-1, Run: 093, P, 0, 12, 1, 4, 4, 18, 10, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 3, 1, 1, 0, 0
INVAR-1, Run: 094, P, 1, 20, 1, 0, 3, 16, 22, 1, 1, 0, 0, 1, 1, 1, 0, 0, 2, 0, 1, 1, 1, 3, 1, 2, 0, 2, 0
INVAR-1, Run: 095, P, 0, 18, 1, 3, 3, 14, 12, 1, 3, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 096, P, 0, 17, 1, 1, 2, 22, 21, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2
INVAR-1, Run: 097, P, 0, 11, 1, 1, 3, 12, 14, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 098, P, 0, 6, 1, 0, 2, 7, 11, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 099, P, 0, 20, 1, 1, 4, 16, 26, 1, 2, 0, 2, 1, 0, 5, 0, 1, 1, 0, 0, 1, 1, 2, 3, 1, 0, 1, 0
INVAR-1, Run: 100, P, 0, 20, 1, 0, 6, 25, 33, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0
