Input Number, Run_Number, Result@ 100, prey_H1, predator_g532, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2
INVAR-1, Run: 024, F, 0, 22, 1, 1, 3, 22, 24, 1, 0, 0, 2, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 025, F, 0, 12, 1, 1, 1, 8, 15, 1, 1, 0, 3, 3, 0, 3, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 026, F, 0, 22, 1, 0, 1, 16, 19, 1, 0, 0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0
INVAR-1, Run: 027, F, 0, 18, 1, 0, 6, 25, 18, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 4, 1, 0, 0, 0
INVAR-1, Run: 028, F, 0, 18, 1, 0, 4, 18, 34, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 029, F, 0, 19, 1, 0, 2, 17, 21, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 030, F, 0, 21, 1, 1, 1, 16, 14, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0
INVAR-1, Run: 031, F, 0, 14, 1, 2, 2, 6, 12, 1, 0, 0, 1, 1, 0, 1, 0, 1, 3, 0, 0, 2, 1, 2, 4, 0, 0, 0, 0
INVAR-1, Run: 032, F, 0, 13, 1, 0, 1, 10, 12, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0
INVAR-1, Run: 033, F, 0, 26, 1, 0, 4, 21, 25, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 034, F, 1, 9, 1, 3, 0, 10, 12, 1, 3, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 035, F, 1, 27, 1, 1, 0, 28, 31, 1, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 2, 1, 2, 2, 0, 0, 0, 0
INVAR-1, Run: 036, F, 1, 27, 1, 0, 5, 34, 45, 1, 5, 0, 1, 3, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0
INVAR-1, Run: 037, F, 0, 37, 1, 0, 2, 38, 44, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0
INVAR-1, Run: 038, F, 0, 13, 1, 2, 3, 12, 18, 1, 1, 0, 0, 0, 0, 3, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0
INVAR-1, Run: 039, F, 0, 11, 1, 2, 7, 22, 10, 1, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0
INVAR-1, Run: 040, F, 0, 16, 1, 1, 4, 21, 25, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 2, 3, 2, 1, 1, 0
INVAR-1, Run: 041, F, 0, 15, 1, 1, 2, 13, 13, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 042, F, 1, 24, 1, 0, 3, 22, 28, 1, 2, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1, 3, 1, 2, 0, 0, 0
INVAR-1, Run: 043, F, 0, 12, 1, 1, 0, 14, 15, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 1, 2, 1, 2, 0, 0, 0
INVAR-1, Run: 044, F, 0, 20, 1, 2, 4, 21, 25, 1, 3, 0, 2, 1, 0, 4, 0, 1, 0, 1, 0, 1, 1, 3, 0, 0, 0, 1, 1
INVAR-1, Run: 045, F, 0, 23, 1, 0, 0, 24, 24, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 2, 0
INVAR-1, Run: 046, F, 0, 20, 1, 0, 3, 20, 23, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0
INVAR-1, Run: 047, F, 0, 17, 1, 0, 6, 15, 20, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 2, 2, 0, 2, 1
INVAR-1, Run: 048, F, 0, 19, 1, 5, 3, 20, 21, 1, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0
INVAR-1, Run: 049, F, 0, 17, 1, 0, 6, 24, 10, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 050, F, 0, 13, 1, 1, 1, 10, 9, 1, 1, 0, 2, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0
INVAR-1, Run: 051, F, 0, 6, 1, 1, 3, 12, 11, 1, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1
INVAR-1, Run: 052, F, 0, 18, 1, 0, 3, 18, 25, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 3, 1, 0, 0, 0
INVAR-1, Run: 053, F, 0, 21, 1, 1, 4, 21, 20, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 054, F, 0, 26, 1, 1, 8, 38, 33, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 4, 1, 1, 2, 0
INVAR-1, Run: 055, F, 0, 21, 1, 1, 2, 20, 20, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 3, 4, 2, 0, 0
INVAR-1, Run: 056, F, 0, 15, 1, 0, 0, 17, 16, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 3, 2, 0, 1
INVAR-1, Run: 057, F, 0, 23, 1, 0, 8, 34, 36, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 1, 1
INVAR-1, Run: 058, F, 0, 23, 1, 0, 4, 18, 21, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0
INVAR-1, Run: 059, F, 0, 18, 1, 1, 3, 17, 15, 1, 3, 0, 4, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0
INVAR-1, Run: 060, F, 0, 23, 1, 1, 3, 28, 27, 1, 1, 0, 1, 1, 0, 2, 0, 1, 2, 0, 0, 1, 1, 0, 3, 0, 0, 0, 0
INVAR-1, Run: 061, F, 0, 13, 1, 2, 0, 17, 19, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 062, F, 0, 22, 1, 1, 2, 22, 19, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 063, F, 0, 15, 1, 0, 6, 30, 26, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0
INVAR-1, Run: 064, F, 0, 18, 1, 2, 2, 19, 20, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 2, 2, 2, 2, 0, 1
INVAR-1, Run: 065, F, 0, 22, 1, 0, 1, 28, 26, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 066, F, 0, 14, 1, 2, 4, 17, 19, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 067, F, 0, 13, 1, 1, 1, 13, 5, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 068, F, 0, 14, 1, 2, 7, 23, 28, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 069, F, 0, 25, 1, 0, 2, 33, 23, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 070, F, 1, 14, 1, 1, 4, 12, 19, 1, 1, 0, 2, 1, 0, 3, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 071, F, 0, 16, 1, 4, 2, 19, 6, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0
INVAR-1, Run: 072, F, 1, 15, 1, 5, 3, 17, 26, 1, 2, 0, 4, 0, 0, 7, 0, 0, 0, 0, 1, 1, 1, 2, 3, 2, 0, 2, 0
INVAR-1, Run: 073, F, 0, 20, 1, 1, 4, 24, 19, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0
INVAR-1, Run: 074, F, 1, 14, 1, 3, 0, 11, 21, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 0, 0, 0, 1, 1, 0
INVAR-1, Run: 075, F, 0, 13, 1, 0, 4, 14, 10, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 3, 4, 0, 0, 1, 0
INVAR-1, Run: 076, F, 0, 36, 1, 1, 5, 49, 46, 1, 1, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 1, 2, 2, 0, 2, 0, 0
INVAR-1, Run: 077, F, 0, 17, 1, 1, 2, 19, 14, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 2
INVAR-1, Run: 078, F, 0, 18, 1, 0, 1, 19, 11, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1
INVAR-1, Run: 079, F, 0, 27, 1, 1, 2, 29, 24, 1, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 080, F, 0, 12, 1, 1, 5, 19, 17, 1, 2, 0, 0, 0, 1, 6, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0
INVAR-1, Run: 081, F, 1, 11, 1, 5, 4, 16, 12, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0
INVAR-1, Run: 082, F, 1, 12, 1, 0, 0, 14, 7, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0
INVAR-1, Run: 083, F, 0, 23, 1, 0, 4, 21, 33, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1
INVAR-1, Run: 084, F, 0, 16, 1, 0, 7, 24, 29, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 085, F, 0, 6, 1, 0, 2, 14, 7, 1, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 086, F, 0, 21, 1, 2, 3, 27, 22, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0
INVAR-1, Run: 087, F, 0, 13, 1, 0, 5, 16, 12, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 088, F, 0, 13, 1, 2, 3, 11, 7, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 2, 3, 1, 0, 0, 0
INVAR-1, Run: 089, F, 0, 11, 1, 1, 4, 16, 23, 1, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 2, 1, 1, 4, 0, 1, 0, 0
INVAR-1, Run: 090, F, 0, 29, 1, 0, 2, 28, 35, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1
INVAR-1, Run: 091, F, 0, 25, 1, 0, 1, 26, 22, 1, 2, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 5, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 092, F, 0, 8, 1, 4, 1, 6, 4, 1, 3, 0, 5, 3, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0
INVAR-1, Run: 093, F, 0, 12, 1, 4, 4, 18, 10, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 3, 1, 1, 0, 0
INVAR-1, Run: 094, F, 1, 20, 1, 0, 3, 16, 22, 1, 1, 0, 0, 1, 1, 1, 0, 0, 2, 0, 1, 1, 1, 3, 1, 2, 0, 2, 0
INVAR-1, Run: 095, F, 0, 18, 1, 3, 3, 14, 12, 1, 3, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 096, F, 0, 17, 1, 1, 2, 22, 21, 1, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2
INVAR-1, Run: 097, F, 0, 11, 1, 1, 3, 12, 14, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 098, F, 0, 6, 1, 0, 2, 7, 11, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 099, F, 0, 20, 1, 1, 4, 16, 26, 1, 2, 0, 2, 1, 0, 5, 0, 1, 1, 0, 0, 1, 1, 2, 3, 1, 0, 1, 0
INVAR-1, Run: 100, F, 0, 20, 1, 0, 6, 25, 33, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0
