Input Number, Run_Number, Result@ 100, H, B, PE, X1, M, PO, CE, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-3, Run: 083, P, 0, 0, 1, 0, 0, 0, 74, 74, 0, 0, 476, 16, 164, 657, 3633, 82, 48, 49, 74, 164, 254, 731, 3633
INVAR-3, Run: 084, P, 0, 0, 1, 0, 0, 0, 73, 73, 0, 0, 474, 18, 164, 604, 2867, 82, 61, 38, 73, 164, 255, 677, 2867
INVAR-3, Run: 085, P, 0, 0, 1, 0, 0, 0, 73, 73, 0, 0, 474, 18, 164, 738, 3962, 82, 64, 35, 73, 164, 255, 811, 3962
INVAR-3, Run: 086, P, 0, 0, 1, 0, 0, 0, 71, 71, 0, 0, 470, 22, 164, 647, 3914, 82, 63, 40, 71, 164, 257, 718, 3914
INVAR-3, Run: 087, P, 0, 0, 1, 0, 0, 0, 72, 72, 0, 0, 472, 20, 164, 676, 3765, 82, 67, 34, 72, 164, 256, 748, 3765
INVAR-3, Run: 088, P, 0, 0, 1, 0, 0, 0, 73, 73, 0, 0, 474, 18, 164, 558, 3233, 82, 68, 31, 73, 164, 255, 631, 3233
INVAR-3, Run: 089, P, 0, 0, 1, 0, 0, 0, 76, 76, 0, 0, 480, 12, 164, 621, 3662, 82, 68, 25, 76, 164, 252, 697, 3662
INVAR-3, Run: 090, P, 0, 0, 1, 0, 0, 0, 75, 75, 0, 0, 478, 14, 164, 679, 2951, 82, 61, 34, 75, 164, 253, 754, 2951
INVAR-3, Run: 091, P, 0, 0, 1, 0, 0, 0, 71, 71, 0, 0, 470, 22, 164, 544, 3780, 82, 61, 42, 71, 164, 257, 615, 3780
INVAR-3, Run: 092, P, 0, 0, 1, 0, 0, 0, 75, 75, 0, 0, 478, 14, 164, 598, 3747, 82, 53, 42, 75, 164, 253, 673, 3747
INVAR-3, Run: 093, P, 0, 0, 1, 0, 0, 0, 75, 75, 0, 0, 478, 14, 164, 533, 3388, 82, 57, 38, 75, 164, 253, 608, 3388
INVAR-3, Run: 094, P, 0, 0, 1, 0, 0, 0, 70, 70, 0, 0, 468, 24, 164, 709, 3330, 82, 61, 44, 70, 164, 258, 779, 3330
INVAR-3, Run: 095, P, 0, 0, 1, 0, 0, 0, 71, 71, 0, 0, 470, 22, 164, 676, 3022, 82, 64, 39, 71, 164, 257, 747, 3022
INVAR-3, Run: 096, P, 0, 0, 1, 0, 0, 0, 74, 74, 0, 0, 476, 16, 164, 719, 4237, 82, 59, 38, 74, 164, 254, 793, 4237
INVAR-3, Run: 097, P, 0, 0, 1, 0, 0, 0, 75, 75, 0, 0, 478, 14, 164, 630, 3207, 82, 46, 49, 75, 164, 253, 705, 3207
INVAR-3, Run: 098, P, 0, 0, 1, 0, 0, 0, 72, 72, 0, 0, 472, 20, 164, 693, 3582, 82, 45, 56, 72, 164, 256, 765, 3582
INVAR-3, Run: 099, P, 0, 0, 1, 0, 0, 0, 71, 71, 0, 0, 470, 22, 164, 613, 2388, 82, 63, 40, 71, 164, 257, 684, 2388
INVAR-3, Run: 100, P, 0, 0, 1, 0, 0, 0, 75, 75, 0, 0, 478, 14, 164, 673, 4491, 82, 58, 37, 75, 164, 253, 748, 4491
INVAR-4, Run: 001, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 120, 651, 19, 13, 15, 15, 39, 63, 120, 759
INVAR-4, Run: 002, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 77, 501, 19, 16, 12, 15, 39, 63, 77, 609
INVAR-4, Run: 003, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 56, 456, 19, 21, 3, 17, 39, 61, 56, 568
INVAR-4, Run: 004, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 91, 453, 19, 15, 13, 15, 39, 63, 91, 561
INVAR-4, Run: 005, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 103, 538, 19, 18, 10, 15, 39, 63, 103, 646
INVAR-4, Run: 006, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 115, 411, 19, 18, 6, 17, 39, 61, 115, 523
INVAR-4, Run: 007, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 117, 469, 19, 19, 7, 16, 39, 62, 117, 579
INVAR-4, Run: 008, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 100, 616, 19, 20, 10, 14, 39, 64, 100, 722
INVAR-4, Run: 009, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 93, 411, 19, 15, 11, 16, 39, 62, 93, 521
INVAR-4, Run: 010, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 82, 537, 19, 19, 9, 15, 39, 63, 82, 645
INVAR-4, Run: 011, P, 0, 0, 0, 0, 0, 1, 0, 104, 13, 104, 0, 13, 39, 146, 583, 19, 14, 18, 13, 39, 65, 146, 687
INVAR-4, Run: 012, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 67, 376, 19, 13, 15, 15, 39, 63, 67, 484
INVAR-4, Run: 013, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 113, 648, 19, 14, 10, 17, 39, 61, 113, 760
INVAR-4, Run: 014, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 72, 343, 19, 15, 11, 16, 39, 62, 72, 453
INVAR-4, Run: 015, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 104, 451, 19, 17, 13, 14, 39, 64, 104, 557
INVAR-4, Run: 016, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 63, 336, 19, 17, 13, 14, 39, 64, 63, 442
INVAR-4, Run: 017, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 150, 1075, 19, 13, 17, 14, 39, 64, 150, 1181
INVAR-4, Run: 018, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 68, 548, 19, 17, 9, 16, 39, 62, 68, 658
INVAR-4, Run: 019, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 93, 525, 19, 17, 9, 16, 39, 62, 93, 635
INVAR-4, Run: 020, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 74, 591, 19, 12, 12, 17, 39, 61, 74, 703
INVAR-4, Run: 021, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 109, 516, 19, 16, 12, 15, 39, 63, 109, 624
INVAR-4, Run: 022, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 80, 373, 19, 22, 8, 14, 39, 64, 80, 479
INVAR-4, Run: 023, P, 0, 0, 0, 0, 0, 1, 0, 114, 18, 114, 0, 3, 39, 106, 427, 19, 9, 13, 18, 39, 60, 106, 541
INVAR-4, Run: 024, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 87, 750, 19, 17, 11, 15, 39, 63, 87, 858
INVAR-4, Run: 025, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 81, 378, 19, 16, 10, 16, 39, 62, 81, 488
INVAR-4, Run: 026, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 50, 303, 19, 20, 8, 15, 39, 63, 50, 411
INVAR-4, Run: 027, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 108, 502, 19, 15, 11, 16, 39, 62, 108, 612
INVAR-4, Run: 028, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 103, 605, 19, 21, 7, 15, 39, 63, 103, 713
INVAR-4, Run: 029, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 64, 395, 19, 14, 14, 15, 39, 63, 64, 503
INVAR-4, Run: 030, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 123, 616, 19, 14, 10, 17, 39, 61, 123, 728
INVAR-4, Run: 031, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 105, 607, 19, 13, 11, 17, 39, 61, 105, 719
INVAR-4, Run: 032, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 95, 469, 19, 14, 14, 15, 39, 63, 95, 577
INVAR-4, Run: 033, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 70, 273, 19, 16, 10, 16, 39, 62, 70, 383
INVAR-4, Run: 034, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 57, 296, 19, 11, 13, 17, 39, 61, 57, 408
INVAR-4, Run: 035, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 76, 449, 19, 22, 4, 16, 39, 62, 76, 559
INVAR-4, Run: 036, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 132, 653, 19, 19, 9, 15, 39, 63, 132, 761
INVAR-4, Run: 037, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 34, 146, 19, 18, 10, 15, 39, 63, 34, 254
INVAR-4, Run: 038, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 91, 470, 19, 10, 14, 17, 39, 61, 91, 582
INVAR-4, Run: 039, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 61, 390, 19, 19, 11, 14, 39, 64, 61, 496
INVAR-4, Run: 040, P, 0, 0, 0, 0, 0, 1, 0, 114, 18, 114, 0, 3, 39, 74, 240, 19, 16, 6, 18, 39, 60, 74, 354
INVAR-4, Run: 041, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 98, 522, 19, 17, 13, 14, 39, 64, 98, 628
INVAR-4, Run: 042, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 112, 549, 19, 17, 7, 17, 39, 61, 112, 661
INVAR-4, Run: 043, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 74, 305, 19, 18, 10, 15, 39, 63, 74, 413
INVAR-4, Run: 044, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 97, 611, 19, 9, 17, 16, 39, 62, 97, 721
INVAR-4, Run: 045, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 86, 315, 19, 17, 7, 17, 39, 61, 86, 427
INVAR-4, Run: 046, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 101, 541, 19, 21, 5, 16, 39, 62, 101, 651
INVAR-4, Run: 047, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 102, 415, 19, 16, 14, 14, 39, 64, 102, 521
INVAR-4, Run: 048, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 88, 698, 19, 23, 7, 14, 39, 64, 88, 804
INVAR-4, Run: 049, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 119, 651, 19, 12, 12, 17, 39, 61, 119, 763
INVAR-4, Run: 050, P, 0, 0, 0, 0, 0, 1, 0, 104, 13, 104, 0, 13, 39, 83, 687, 19, 17, 15, 13, 39, 65, 83, 791
INVAR-4, Run: 051, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 105, 784, 19, 19, 11, 14, 39, 64, 105, 890
INVAR-4, Run: 052, P, 0, 0, 0, 0, 0, 1, 0, 102, 12, 102, 0, 15, 39, 64, 360, 19, 18, 16, 12, 39, 66, 64, 462
INVAR-4, Run: 053, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 98, 499, 19, 15, 11, 16, 39, 62, 98, 609
INVAR-4, Run: 054, P, 0, 0, 0, 0, 0, 1, 0, 106, 14, 106, 0, 11, 39, 85, 359, 19, 16, 14, 14, 39, 64, 85, 465
INVAR-4, Run: 055, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 84, 490, 19, 16, 8, 17, 39, 61, 84, 602
INVAR-4, Run: 056, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 117, 533, 19, 16, 10, 16, 39, 62, 117, 643
INVAR-4, Run: 057, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 89, 559, 19, 19, 5, 17, 39, 61, 89, 671
INVAR-4, Run: 058, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 41, 150, 19, 23, 5, 15, 39, 63, 41, 258
INVAR-4, Run: 059, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 114, 623, 19, 12, 12, 17, 39, 61, 114, 735
INVAR-4, Run: 060, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 119, 929, 19, 18, 10, 15, 39, 63, 119, 1037
INVAR-4, Run: 061, P, 0, 0, 0, 0, 0, 1, 0, 104, 13, 104, 0, 13, 39, 101, 771, 19, 22, 10, 13, 39, 65, 101, 875
INVAR-4, Run: 062, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 64, 305, 19, 16, 12, 15, 39, 63, 64, 413
INVAR-4, Run: 063, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 95, 566, 19, 14, 12, 16, 39, 62, 95, 676
INVAR-4, Run: 064, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 69, 472, 19, 11, 13, 17, 39, 61, 69, 584
INVAR-4, Run: 065, P, 0, 0, 0, 0, 0, 1, 0, 112, 17, 112, 0, 5, 39, 68, 369, 19, 12, 12, 17, 39, 61, 68, 481
INVAR-4, Run: 066, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 93, 521, 19, 18, 10, 15, 39, 63, 93, 629
INVAR-4, Run: 067, P, 0, 0, 0, 0, 0, 1, 0, 108, 15, 108, 0, 9, 39, 90, 548, 19, 14, 14, 15, 39, 63, 90, 656
INVAR-4, Run: 068, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 101, 596, 19, 15, 11, 16, 39, 62, 101, 706
INVAR-4, Run: 069, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 65, 529, 19, 18, 8, 16, 39, 62, 65, 639
INVAR-4, Run: 070, P, 0, 0, 0, 0, 0, 1, 0, 110, 16, 110, 0, 7, 39, 94, 473, 19, 15, 11, 16, 39, 62, 94, 583
