Input Number, Run_Number, Result@ 100, prey_g616, prey_mrna595, predator_H2, predator_Q2b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 037, F, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 79, 3, 92, 85, 85, 103, 103, 89, 60, 55, 9, 78, 9, 29, 28, 9, 21, 91, 0, 0, 0, 90, 96, 79, 79, 11, 11, 13, 13, 17, 13, 17, 0, 96, 0, 9, 24, 4, 26, 24, 8, 8, 83, 62, 90, 4, 4
INVAR-1, Run: 038, F, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 104, 97, 97, 105, 105, 107, 68, 70, 0, 94, 0, 39, 39, 1, 31, 100, 0, 0, 0, 99, 106, 127, 126, 4, 4, 3, 3, 1, 1, 0, 0, 106, 0, 0, 31, 0, 31, 31, 0, 0, 100, 69, 104, 0, 0
INVAR-1, Run: 039, F, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 101, 3, 109, 90, 88, 105, 104, 122, 74, 63, 3, 100, 3, 47, 38, 1, 29, 112, 0, 0, 0, 110, 88, 118, 117, 2, 2, 0, 0, 0, 0, 0, 0, 89, 0, 0, 25, 0, 25, 25, 0, 0, 112, 83, 107, 1, 1
INVAR-1, Run: 040, F, 0, 0, 0, 1, 1, 1, 0, 5, 6, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 93, 0, 113, 141, 135, 108, 106, 131, 81, 52, 0, 92, 0, 49, 23, 1, 25, 98, 0, 0, 0, 97, 76, 111, 111, 2, 2, 1, 1, 1, 0, 0, 0, 76, 0, 0, 29, 1, 29, 29, 0, 0, 66, 41, 118, 0, 0
INVAR-1, Run: 041, F, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 104, 2, 88, 86, 86, 95, 94, 92, 71, 80, 4, 101, 4, 21, 47, 1, 21, 84, 0, 0, 0, 83, 109, 85, 85, 2, 2, 3, 3, 1, 1, 0, 0, 110, 0, 0, 32, 0, 32, 32, 0, 0, 96, 73, 86, 4, 4
INVAR-1, Run: 042, F, 0, 2, 0, 1, 1, 1, 0, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 107, 2, 100, 101, 99, 83, 83, 101, 61, 60, 2, 106, 2, 40, 30, 1, 32, 104, 1, 1, 1, 102, 127, 90, 89, 5, 5, 4, 4, 0, 0, 0, 1, 127, 1, 0, 30, 0, 30, 30, 0, 0, 110, 78, 100, 3, 3
INVAR-1, Run: 043, F, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 86, 3, 102, 111, 111, 108, 107, 123, 70, 89, 4, 85, 4, 50, 48, 2, 36, 91, 0, 0, 0, 90, 85, 102, 102, 1, 1, 1, 1, 1, 0, 2, 0, 86, 0, 1, 40, 1, 41, 41, 1, 1, 102, 64, 100, 6, 6
INVAR-1, Run: 044, F, 0, 1, 0, 1, 1, 1, 0, 1, 3, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 109, 4, 100, 100, 97, 100, 99, 91, 51, 89, 11, 108, 11, 40, 41, 7, 37, 70, 17, 17, 20, 88, 129, 76, 76, 6, 6, 10, 10, 12, 12, 10, 8, 129, 8, 4, 48, 0, 48, 48, 6, 6, 100, 63, 97, 5, 5
INVAR-1, Run: 045, F, 0, 2, 0, 3, 1, 2, 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 109, 0, 91, 77, 77, 85, 84, 74, 47, 50, 0, 107, 0, 25, 21, 1, 20, 100, 0, 0, 0, 97, 90, 85, 84, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 25, 0, 28, 26, 0, 0, 75, 54, 93, 0, 0
INVAR-1, Run: 046, F, 0, 1, 0, 0, 1, 2, 0, 1, 2, 1, 4, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 97, 82, 80, 109, 105, 120, 66, 63, 0, 95, 0, 54, 31, 1, 40, 85, 0, 0, 0, 83, 97, 89, 87, 1, 1, 0, 0, 1, 1, 0, 0, 98, 0, 0, 32, 0, 32, 32, 0, 0, 91, 50, 98, 0, 0
INVAR-1, Run: 047, F, 0, 1, 0, 2, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 99, 0, 83, 80, 80, 111, 110, 111, 78, 90, 0, 98, 0, 31, 46, 1, 33, 109, 0, 0, 0, 107, 102, 84, 84, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 40, 0, 43, 42, 0, 0, 110, 76, 84, 0, 0
INVAR-1, Run: 048, F, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 88, 6, 90, 86, 85, 103, 102, 107, 58, 46, 5, 88, 5, 48, 23, 2, 41, 117, 0, 0, 0, 116, 75, 108, 108, 4, 4, 4, 4, 4, 4, 1, 0, 76, 0, 0, 23, 0, 23, 23, 1, 1, 104, 63, 87, 8, 8
INVAR-1, Run: 049, F, 0, 1, 0, 3, 1, 1, 0, 2, 2, 1, 0, 0, 3, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 112, 115, 113, 91, 91, 72, 45, 53, 1, 94, 1, 27, 25, 1, 13, 98, 0, 0, 0, 96, 78, 87, 87, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 26, 0, 26, 26, 0, 0, 70, 54, 114, 0, 0
INVAR-1, Run: 050, F, 0, 3, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 114, 10, 108, 96, 95, 108, 108, 133, 84, 61, 5, 113, 5, 49, 25, 6, 27, 105, 0, 0, 0, 101, 116, 118, 113, 4, 4, 6, 6, 7, 2, 8, 0, 116, 0, 3, 36, 5, 36, 36, 5, 5, 97, 70, 98, 10, 10
INVAR-1, Run: 051, F, 0, 2, 0, 2, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 1, 1, 94, 0, 89, 102, 101, 113, 113, 136, 68, 50, 1, 93, 1, 68, 28, 2, 30, 93, 0, 0, 0, 90, 88, 96, 93, 2, 2, 1, 1, 4, 3, 1, 0, 87, 0, 0, 19, 1, 21, 19, 1, 1, 84, 53, 90, 1, 1
INVAR-1, Run: 052, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 105, 0, 101, 88, 88, 99, 98, 96, 54, 80, 0, 105, 0, 38, 45, 1, 33, 107, 0, 0, 0, 106, 118, 103, 103, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 35, 0, 35, 35, 0, 0, 104, 71, 101, 0, 0
