Input Number, Run_Number, Result@ 100, X, Y, V
4, Run: 056, P, 0, 0, 1
4, Run: 057, P, 1, 1, 1
4, Run: 058, P, 0, 0, 3
4, Run: 059, P, 1, 1, 1
4, Run: 060, P, 0, 0, 2
4, Run: 061, P, 0, 0, 4
4, Run: 062, P, 1, 1, 1
4, Run: 063, P, 0, 0, 1
4, Run: 064, F, 1, 1, 0
4, Run: 065, F, 1, 1, 0
4, Run: 066, P, 1, 1, 1
4, Run: 067, P, 0, 0, 1
4, Run: 068, F, 1, 1, 0
4, Run: 069, P, 1, 1, 3
4, Run: 070, F, 2, 2, 0
4, Run: 071, P, 0, 0, 2
4, Run: 072, P, 1, 1, 1
4, Run: 073, P, 0, 0, 1
4, Run: 074, F, 1, 1, 0
4, Run: 075, F, 1, 1, 0
4, Run: 076, P, 0, 0, 1
4, Run: 077, F, 1, 1, 0
4, Run: 078, P, 0, 0, 2
4, Run: 079, P, 2, 2, 1
4, Run: 080, P, 1, 1, 2
4, Run: 081, F, 1, 1, 0
4, Run: 082, P, 0, 0, 2
4, Run: 083, P, 1, 1, 1
4, Run: 084, P, 0, 0, 2
4, Run: 085, F, 2, 2, 0
4, Run: 086, F, 1, 1, 0
4, Run: 087, P, 0, 0, 2
4, Run: 088, P, 0, 0, 1
4, Run: 089, P, 0, 0, 2
4, Run: 090, P, 0, 0, 1
4, Run: 091, P, 1, 1, 1
4, Run: 092, P, 0, 0, 1
4, Run: 093, P, 1, 1, 1
4, Run: 094, P, 0, 0, 2
4, Run: 095, F, 2, 2, 0
4, Run: 096, P, 0, 0, 2
4, Run: 097, P, 1, 1, 1
4, Run: 098, P, 0, 0, 2
4, Run: 099, P, 0, 0, 3
4, Run: 100, P, 0, 0, 3
5, Run: 001, P, 0, 0, 2
5, Run: 002, P, 0, 0, 3
5, Run: 003, F, 1, 1, 0
5, Run: 004, F, 1, 1, 0
5, Run: 005, P, 0, 0, 1
5, Run: 006, P, 1, 1, 1
5, Run: 007, F, 1, 1, 0
5, Run: 008, P, 0, 0, 2
5, Run: 009, P, 0, 0, 2
5, Run: 010, P, 0, 0, 2
5, Run: 011, F, 2, 2, 0
5, Run: 012, F, 1, 1, 0
5, Run: 013, P, 1, 1, 2
5, Run: 014, F, 1, 1, 0
5, Run: 015, F, 1, 1, 0
5, Run: 016, P, 2, 2, 1
5, Run: 017, P, 0, 0, 2
5, Run: 018, P, 0, 0, 2
5, Run: 019, P, 0, 0, 1
5, Run: 020, P, 0, 0, 2
5, Run: 021, F, 2, 2, 0
5, Run: 022, F, 1, 1, 0
5, Run: 023, P, 0, 0, 2
5, Run: 024, F, 2, 2, 0
5, Run: 025, P, 0, 0, 2
5, Run: 026, P, 0, 0, 3
5, Run: 027, P, 1, 1, 1
5, Run: 028, P, 0, 0, 2
5, Run: 029, F, 1, 1, 0
5, Run: 030, P, 0, 0, 5
5, Run: 031, P, 0, 0, 2
5, Run: 032, P, 3, 3, 1
5, Run: 033, P, 0, 0, 3
5, Run: 034, P, 1, 1, 1
5, Run: 035, P, 1, 1, 1
5, Run: 036, F, 2, 2, 0
5, Run: 037, F, 2, 2, 0
5, Run: 038, P, 0, 0, 2
5, Run: 039, P, 0, 0, 1
5, Run: 040, P, 0, 0, 2
5, Run: 041, P, 0, 0, 1
5, Run: 042, P, 1, 1, 1
5, Run: 043, F, 1, 1, 0
5, Run: 044, F, 1, 1, 0
5, Run: 045, P, 0, 0, 1
5, Run: 046, F, 1, 1, 0
5, Run: 047, P, 1, 1, 1
5, Run: 048, P, 1, 1, 1
5, Run: 049, P, 0, 0, 2
5, Run: 050, P, 1, 1, 1
5, Run: 051, P, 1, 1, 1
5, Run: 052, P, 0, 0, 2
5, Run: 053, P, 0, 0, 1
5, Run: 054, P, 1, 1, 2
5, Run: 055, P, 1, 1, 1
5, Run: 056, F, 1, 1, 0
5, Run: 057, P, 2, 2, 1
5, Run: 058, P, 0, 0, 3
5, Run: 059, P, 0, 0, 2
5, Run: 060, F, 2, 2, 0
5, Run: 061, F, 1, 1, 0
5, Run: 062, P, 0, 0, 2
5, Run: 063, P, 1, 1, 3
5, Run: 064, F, 2, 2, 0
5, Run: 065, P, 1, 1, 1
5, Run: 066, P, 0, 0, 1
5, Run: 067, P, 0, 0, 2
5, Run: 068, P, 0, 0, 1
5, Run: 069, P, 1, 1, 2
5, Run: 070, P, 0, 0, 2
5, Run: 071, F, 2, 2, 0
5, Run: 072, P, 0, 0, 2
5, Run: 073, P, 0, 0, 1
5, Run: 074, P, 1, 1, 3
5, Run: 075, P, 1, 1, 2
5, Run: 076, P, 1, 1, 1
5, Run: 077, F, 2, 2, 0
5, Run: 078, P, 0, 0, 3
5, Run: 079, P, 0, 0, 1
5, Run: 080, P, 0, 0, 2
5, Run: 081, F, 1, 1, 0
5, Run: 082, F, 1, 1, 0
5, Run: 083, P, 0, 0, 1
5, Run: 084, F, 2, 2, 0
5, Run: 085, F, 1, 1, 0
5, Run: 086, P, 0, 0, 3
5, Run: 087, P, 0, 0, 2
5, Run: 088, P, 0, 0, 1
5, Run: 089, P, 1, 1, 1
5, Run: 090, P, 0, 0, 2
5, Run: 091, F, 1, 1, 0
5, Run: 092, F, 1, 1, 0
5, Run: 093, F, 1, 1, 0
5, Run: 094, P, 1, 1, 3
5, Run: 095, F, 1, 1, 0
5, Run: 096, F, 1, 1, 0
5, Run: 097, P, 0, 0, 1
5, Run: 098, P, 0, 0, 1
5, Run: 099, F, 1, 1, 0
5, Run: 100, P, 0, 0, 3
6, Run: 001, P, 0, 0, 2
6, Run: 002, P, 0, 0, 1
6, Run: 003, F, 1, 1, 0
6, Run: 004, P, 1, 1, 1
6, Run: 005, P, 0, 0, 2
6, Run: 006, P, 0, 0, 2
6, Run: 007, P, 0, 0, 2
6, Run: 008, F, 1, 1, 0
6, Run: 009, P, 0, 0, 2
6, Run: 010, P, 0, 0, 2
6, Run: 011, P, 1, 1, 1
6, Run: 012, P, 1, 1, 1
6, Run: 013, P, 1, 1, 1
6, Run: 014, P, 0, 0, 2
6, Run: 015, P, 1, 1, 3
6, Run: 016, P, 1, 1, 1
6, Run: 017, P, 1, 1, 1
6, Run: 018, P, 1, 1, 1
6, Run: 019, P, 1, 1, 1
6, Run: 020, P, 0, 0, 2
6, Run: 021, P, 1, 1, 1
6, Run: 022, P, 1, 1, 2
6, Run: 023, P, 1, 1, 1
6, Run: 024, P, 1, 1, 1
6, Run: 025, P, 0, 0, 1
6, Run: 026, F, 1, 1, 0
6, Run: 027, P, 0, 0, 2
6, Run: 028, F, 2, 2, 0
6, Run: 029, P, 0, 0, 2
6, Run: 030, P, 0, 0, 1
6, Run: 031, P, 0, 0, 2
6, Run: 032, F, 1, 1, 0
6, Run: 033, P, 0, 0, 2
6, Run: 034, P, 1, 1, 2
6, Run: 035, P, 0, 0, 1
6, Run: 036, F, 2, 2, 0
6, Run: 037, P, 0, 0, 3
6, Run: 038, P, 0, 0, 2
6, Run: 039, P, 1, 1, 2
6, Run: 040, P, 1, 1, 1
6, Run: 041, P, 0, 0, 3
6, Run: 042, P, 0, 0, 1
6, Run: 043, F, 2, 2, 0
6, Run: 044, F, 1, 1, 0
6, Run: 045, P, 0, 3, 2
6, Run: 046, P, 1, 1, 2
6, Run: 047, P, 1, 1, 1
6, Run: 048, P, 2, 2, 3
6, Run: 049, F, 1, 1, 0
6, Run: 050, P, 1, 1, 1
6, Run: 051, P, 3, 0, 1
6, Run: 052, P, 1, 1, 1
6, Run: 053, P, 0, 0, 3
6, Run: 054, P, 0, 0, 1
6, Run: 055, P, 0, 0, 2
6, Run: 056, P, 0, 0, 1
6, Run: 057, P, 1, 1, 1
6, Run: 058, P, 0, 0, 2
6, Run: 059, P, 0, 0, 2
6, Run: 060, P, 0, 0, 1
6, Run: 061, F, 2, 2, 0
6, Run: 062, P, 0, 0, 2
6, Run: 063, F, 1, 1, 0
6, Run: 064, P, 0, 0, 1
6, Run: 065, F, 1, 1, 0
6, Run: 066, P, 1, 1, 1
6, Run: 067, P, 0, 0, 3
6, Run: 068, P, 0, 0, 3
6, Run: 069, P, 0, 0, 3
6, Run: 070, F, 1, 1, 0
6, Run: 071, P, 1, 1, 2
6, Run: 072, P, 1, 1, 1
6, Run: 073, P, 0, 0, 2
6, Run: 074, P, 1, 1, 1
6, Run: 075, P, 1, 1, 1
6, Run: 076, P, 2, 2, 2
6, Run: 077, P, 0, 0, 1
6, Run: 078, P, 0, 0, 1
6, Run: 079, F, 2, 2, 0
6, Run: 080, P, 0, 0, 3
6, Run: 081, F, 1, 1, 0
6, Run: 082, F, 1, 1, 0
6, Run: 083, P, 0, 0, 2
6, Run: 084, P, 1, 1, 2
6, Run: 085, P, 1, 1, 1
6, Run: 086, P, 0, 0, 1
6, Run: 087, F, 1, 1, 0
6, Run: 088, P, 0, 0, 1
6, Run: 089, F, 1, 1, 0
6, Run: 090, P, 0, 0, 1
6, Run: 091, P, 1, 1, 1
6, Run: 092, P, 1, 1, 2
6, Run: 093, P, 0, 0, 1
6, Run: 094, P, 1, 1, 2
6, Run: 095, F, 1, 1, 0
6, Run: 096, P, 0, 0, 1
6, Run: 097, P, 0, 0, 2
6, Run: 098, F, 1, 1, 0
6, Run: 099, P, 0, 0, 2
6, Run: 100, P, 0, 0, 2
