Input Number, Run_Number, Result@ 100, X1, H, M, PE, PO, CE, Y, D, CO, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-5, Run: 012, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 205, 841, 26, 45, 34, 26, 53, 79, 205, 1001
INVAR-5, Run: 013, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 221, 1097, 26, 41, 38, 26, 53, 79, 221, 1257
INVAR-5, Run: 014, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 162, 720, 26, 34, 45, 26, 53, 79, 162, 880
INVAR-5, Run: 015, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 173, 528, 26, 45, 34, 26, 53, 79, 173, 688
INVAR-5, Run: 016, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 178, 793, 26, 30, 49, 26, 53, 79, 178, 953
INVAR-5, Run: 017, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 198, 815, 26, 42, 37, 26, 53, 79, 198, 975
INVAR-5, Run: 018, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 188, 566, 26, 28, 51, 26, 53, 79, 188, 726
INVAR-5, Run: 019, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 236, 874, 26, 34, 45, 26, 53, 79, 236, 1034
INVAR-5, Run: 020, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 163, 450, 26, 28, 51, 26, 53, 79, 163, 610
INVAR-5, Run: 021, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 153, 297, 26, 32, 47, 26, 53, 79, 153, 457
INVAR-5, Run: 022, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 195, 922, 26, 34, 45, 26, 53, 79, 195, 1082
INVAR-5, Run: 023, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 168, 590, 26, 41, 38, 26, 53, 79, 168, 750
INVAR-5, Run: 024, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 166, 529, 26, 36, 43, 26, 53, 79, 166, 689
INVAR-5, Run: 025, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 220, 639, 26, 34, 45, 26, 53, 79, 220, 799
INVAR-5, Run: 026, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 173, 704, 26, 46, 33, 26, 53, 79, 173, 864
INVAR-5, Run: 027, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 190, 434, 26, 31, 48, 26, 53, 79, 190, 594
INVAR-5, Run: 028, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 172, 452, 26, 42, 37, 26, 53, 79, 172, 612
INVAR-5, Run: 029, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 168, 700, 26, 36, 43, 26, 53, 79, 168, 860
INVAR-5, Run: 030, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 207, 1351, 26, 43, 36, 26, 53, 79, 207, 1511
INVAR-5, Run: 031, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 224, 796, 26, 30, 49, 26, 53, 79, 224, 956
INVAR-5, Run: 032, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 207, 1136, 26, 46, 33, 26, 53, 79, 207, 1296
INVAR-5, Run: 033, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 185, 857, 26, 31, 48, 26, 53, 79, 185, 1017
INVAR-5, Run: 034, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 214, 831, 26, 32, 47, 26, 53, 79, 214, 991
INVAR-5, Run: 035, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 227, 690, 26, 32, 47, 26, 53, 79, 227, 850
INVAR-5, Run: 036, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 220, 926, 26, 34, 45, 26, 53, 79, 220, 1086
INVAR-5, Run: 037, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 153, 665, 26, 35, 44, 26, 53, 79, 153, 825
INVAR-5, Run: 038, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 188, 923, 26, 40, 39, 26, 53, 79, 188, 1083
INVAR-5, Run: 039, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 164, 572, 26, 40, 39, 26, 53, 79, 164, 732
INVAR-5, Run: 040, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 229, 723, 26, 33, 46, 26, 53, 79, 229, 883
INVAR-5, Run: 041, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 238, 534, 26, 42, 37, 26, 53, 79, 238, 694
INVAR-5, Run: 042, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 171, 725, 26, 41, 38, 26, 53, 79, 171, 885
INVAR-5, Run: 043, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 199, 465, 26, 34, 45, 26, 53, 79, 199, 625
INVAR-5, Run: 044, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 241, 857, 26, 39, 40, 26, 53, 79, 241, 1017
INVAR-5, Run: 045, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 178, 649, 26, 43, 36, 26, 53, 79, 178, 809
INVAR-5, Run: 046, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 166, 728, 26, 41, 38, 26, 53, 79, 166, 888
INVAR-5, Run: 047, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 249, 828, 26, 30, 49, 26, 53, 79, 249, 988
INVAR-5, Run: 048, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 186, 795, 26, 37, 42, 26, 53, 79, 186, 955
