Input Number, Run_Number, Result@ 100, C, F, D, X1, A, B, PO, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 070, P, 0, 1, 73, 0, 0, 0, 0, 0, 0, 1, 0, 9, 9, 18, 160, 6, 6, 160, 9, 6, 2, 9, 4, 18, 48, 19
INVAR-1, Run: 071, P, 0, 0, 66, 0, 0, 0, 0, 0, 2, 1, 2, 8, 6, 18, 173, 8, 6, 173, 9, 6, 2, 8, 6, 18, 54, 24
INVAR-1, Run: 072, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 113, 9, 9, 113, 9, 3, 5, 9, 5, 18, 62, 27
INVAR-1, Run: 073, P, 0, 1, 73, 0, 0, 0, 0, 0, 0, 1, 0, 9, 9, 18, 217, 5, 5, 217, 9, 7, 1, 9, 4, 18, 18, 4
INVAR-1, Run: 074, P, 0, 0, 62, 0, 0, 0, 0, 0, 2, 1, 2, 8, 4, 18, 78, 8, 6, 78, 9, 6, 2, 8, 7, 18, 56, 26
INVAR-1, Run: 075, P, 0, 0, 62, 0, 0, 0, 0, 0, 2, 1, 2, 8, 4, 18, 104, 13, 11, 104, 9, 6, 2, 8, 7, 18, 112, 54
INVAR-1, Run: 076, P, 0, 0, 62, 0, 0, 0, 0, 0, 2, 1, 2, 8, 4, 18, 83, 8, 6, 83, 9, 5, 3, 8, 7, 18, 32, 14
INVAR-1, Run: 077, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 94, 7, 7, 94, 9, 8, 0, 9, 5, 18, 20, 6
INVAR-1, Run: 078, P, 0, 1, 65, 0, 0, 0, 0, 0, 0, 1, 0, 9, 5, 18, 128, 8, 8, 128, 9, 3, 5, 9, 6, 18, 48, 21
INVAR-1, Run: 079, P, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 0, 9, 4, 18, 81, 9, 9, 81, 9, 8, 0, 9, 7, 18, 28, 12
INVAR-1, Run: 080, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 94, 3, 3, 94, 9, 7, 1, 9, 5, 18, 22, 7
INVAR-1, Run: 081, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 102, 14, 14, 102, 9, 5, 3, 9, 4, 18, 90, 40
INVAR-1, Run: 082, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 178, 4, 4, 178, 9, 5, 3, 9, 4, 18, 48, 19
INVAR-1, Run: 083, P, 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 0, 9, 2, 18, 71, 8, 8, 71, 9, 5, 3, 9, 8, 18, 60, 29
INVAR-1, Run: 084, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 141, 5, 5, 141, 9, 7, 1, 9, 5, 18, 18, 5
INVAR-1, Run: 085, P, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 0, 9, 4, 18, 133, 6, 6, 133, 9, 7, 1, 9, 7, 18, 30, 13
INVAR-1, Run: 086, P, 0, 1, 69, 0, 0, 0, 0, 0, 0, 1, 0, 9, 7, 18, 165, 5, 5, 165, 9, 8, 0, 9, 5, 18, 34, 13
INVAR-1, Run: 087, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 218, 7, 7, 218, 9, 5, 3, 9, 6, 18, 22, 8
INVAR-1, Run: 088, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 192, 9, 9, 192, 9, 5, 3, 9, 6, 18, 134, 64
INVAR-1, Run: 089, P, 0, 0, 66, 0, 0, 0, 0, 0, 2, 1, 2, 8, 6, 18, 108, 17, 15, 108, 9, 5, 3, 8, 6, 18, 66, 30
INVAR-1, Run: 090, P, 0, 0, 70, 0, 0, 0, 0, 0, 2, 1, 2, 8, 8, 18, 144, 6, 4, 144, 9, 5, 3, 8, 5, 18, 60, 26
INVAR-1, Run: 091, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 121, 9, 9, 121, 9, 6, 2, 9, 6, 18, 50, 22
INVAR-1, Run: 092, P, 0, 0, 70, 0, 0, 0, 0, 0, 2, 1, 2, 8, 8, 18, 173, 11, 9, 173, 9, 4, 4, 8, 5, 18, 216, 104
INVAR-1, Run: 093, P, 0, 0, 70, 0, 0, 0, 0, 0, 2, 1, 2, 8, 8, 18, 67, 4, 2, 67, 9, 7, 1, 8, 5, 18, 14, 3
INVAR-1, Run: 094, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 100, 9, 9, 100, 9, 6, 2, 9, 5, 18, 22, 7
INVAR-1, Run: 095, P, 0, 1, 65, 0, 0, 0, 0, 0, 0, 1, 0, 9, 5, 18, 371, 5, 5, 371, 9, 7, 1, 9, 6, 18, 150, 72
INVAR-1, Run: 096, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 168, 7, 7, 168, 9, 5, 3, 9, 4, 18, 30, 10
INVAR-1, Run: 097, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 117, 15, 15, 117, 9, 5, 3, 9, 6, 18, 12, 3
INVAR-1, Run: 098, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 52, 3, 3, 52, 9, 5, 3, 9, 6, 18, 20, 7
INVAR-1, Run: 099, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 434, 12, 12, 434, 9, 5, 3, 9, 4, 18, 102, 46
INVAR-1, Run: 100, P, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 0, 9, 4, 18, 168, 6, 6, 168, 9, 4, 4, 9, 7, 18, 74, 35
INVAR-10, Run: 001, P, 0, 0, 772, 0, 0, 0, 0, 0, 0, 1, 0, 100, 86, 200, 6430, 64, 64, 6430, 100, 57, 42, 100, 57, 200, 1666, 790
INVAR-10, Run: 002, P, 0, 0, 784, 0, 0, 0, 0, 0, 2, 1, 2, 99, 92, 200, 7575, 70, 68, 7575, 100, 64, 35, 99, 54, 200, 1598, 753
INVAR-10, Run: 003, P, 0, 0, 768, 0, 0, 0, 0, 0, 2, 1, 2, 99, 84, 200, 7747, 66, 64, 7747, 100, 67, 32, 99, 58, 200, 1332, 624
INVAR-10, Run: 004, P, 0, 0, 780, 0, 0, 0, 0, 0, 0, 1, 0, 100, 90, 200, 7565, 57, 57, 7565, 100, 69, 30, 100, 55, 200, 1294, 602
INVAR-10, Run: 005, P, 0, 0, 772, 0, 0, 0, 0, 0, 0, 1, 0, 100, 86, 200, 5663, 63, 63, 5663, 100, 67, 32, 100, 57, 200, 1394, 654
INVAR-10, Run: 006, P, 0, 0, 776, 0, 0, 0, 0, 0, 0, 1, 0, 100, 88, 200, 6982, 63, 63, 6982, 100, 58, 41, 100, 56, 200, 2696, 1304
INVAR-10, Run: 007, P, 0, 0, 792, 0, 0, 0, 0, 0, 0, 1, 0, 100, 96, 200, 6962, 73, 73, 6962, 100, 71, 28, 100, 52, 200, 3578, 1741
INVAR-10, Run: 008, P, 0, 0, 780, 0, 0, 0, 0, 0, 0, 1, 0, 100, 90, 200, 7779, 87, 87, 7779, 100, 59, 40, 100, 55, 200, 2878, 1394
INVAR-10, Run: 009, P, 0, 0, 780, 0, 0, 0, 0, 0, 0, 1, 0, 100, 90, 200, 6964, 57, 57, 6964, 100, 64, 35, 100, 55, 200, 1748, 829
INVAR-10, Run: 010, P, 0, 0, 760, 0, 0, 0, 0, 0, 0, 1, 0, 100, 80, 200, 6506, 62, 62, 6506, 100, 68, 31, 100, 60, 200, 1502, 711
INVAR-10, Run: 011, P, 0, 0, 760, 0, 0, 0, 0, 0, 0, 1, 0, 100, 80, 200, 7242, 58, 58, 7242, 100, 61, 38, 100, 60, 200, 2250, 1085
INVAR-10, Run: 012, P, 0, 0, 780, 0, 0, 0, 0, 0, 0, 1, 0, 100, 90, 200, 6978, 73, 73, 6978, 100, 61, 38, 100, 55, 200, 1416, 663
INVAR-10, Run: 013, P, 0, 0, 776, 0, 0, 0, 0, 0, 0, 1, 0, 100, 88, 200, 6089, 67, 67, 6089, 100, 63, 36, 100, 56, 200, 1396, 654
INVAR-10, Run: 014, P, 0, 0, 756, 0, 0, 0, 0, 0, 0, 1, 0, 100, 78, 200, 5727, 60, 60, 5727, 100, 65, 34, 100, 61, 200, 1328, 625
INVAR-10, Run: 015, P, 0, 0, 744, 0, 0, 0, 0, 0, 0, 1, 0, 100, 72, 200, 6045, 55, 55, 6045, 100, 65, 34, 100, 64, 200, 2046, 987
INVAR-10, Run: 016, P, 0, 0, 768, 0, 0, 0, 0, 0, 0, 1, 0, 100, 84, 200, 6613, 70, 70, 6613, 100, 66, 33, 100, 58, 200, 3988, 1952
INVAR-10, Run: 017, P, 0, 0, 780, 0, 0, 0, 0, 0, 0, 1, 0, 100, 90, 200, 7761, 65, 65, 7761, 100, 64, 35, 100, 55, 200, 1828, 869
INVAR-10, Run: 018, P, 0, 0, 804, 0, 0, 0, 0, 0, 0, 1, 0, 100, 102, 200, 7759, 63, 63, 7759, 100, 62, 37, 100, 49, 200, 1612, 755
INVAR-10, Run: 019, P, 0, 0, 756, 0, 0, 0, 0, 0, 0, 1, 0, 100, 78, 200, 5735, 54, 54, 5735, 100, 63, 36, 100, 61, 200, 2286, 1104
INVAR-10, Run: 020, P, 0, 0, 760, 0, 0, 0, 0, 0, 2, 1, 2, 99, 80, 200, 5587, 71, 69, 5587, 100, 59, 40, 99, 60, 200, 1144, 532
INVAR-10, Run: 021, P, 0, 0, 748, 0, 0, 0, 0, 0, 0, 1, 0, 100, 74, 200, 5355, 53, 53, 5355, 100, 56, 43, 100, 63, 200, 1898, 912
INVAR-10, Run: 022, P, 0, 1, 767, 0, 0, 0, 0, 0, 0, 1, 0, 100, 83, 200, 7228, 62, 62, 7228, 100, 62, 37, 100, 58, 200, 2182, 1049
INVAR-10, Run: 023, P, 0, 0, 760, 0, 0, 0, 0, 0, 2, 1, 2, 99, 80, 200, 6636, 64, 62, 6636, 100, 61, 38, 99, 60, 200, 2486, 1203
INVAR-10, Run: 024, P, 0, 0, 760, 0, 0, 0, 0, 0, 0, 1, 0, 100, 80, 200, 5448, 59, 59, 5448, 100, 56, 43, 100, 60, 200, 1934, 927
INVAR-10, Run: 025, P, 0, 0, 752, 0, 0, 0, 0, 0, 0, 1, 0, 100, 76, 200, 7436, 62, 62, 7436, 100, 58, 41, 100, 62, 200, 2116, 1020
