Input Number, Run_Number, Result@ 100, X1, Y, X2, NEW_REACTION, Reaction1, Reaction2
INVAR-10, Run: 065, P, 3, 187, 0, 91, 229, 42
INVAR-10, Run: 066, P, 0, 236, 0, 114, 278, 42
INVAR-10, Run: 067, P, 2, 220, 0, 107, 262, 42
INVAR-10, Run: 068, P, 4, 208, 0, 102, 250, 42
INVAR-10, Run: 069, P, 0, 220, 0, 106, 262, 42
INVAR-10, Run: 070, P, 3, 179, 0, 87, 221, 42
INVAR-10, Run: 071, P, 0, 194, 0, 93, 236, 42
INVAR-10, Run: 072, P, 1, 215, 0, 104, 257, 42
INVAR-10, Run: 073, P, 0, 188, 0, 90, 230, 42
INVAR-10, Run: 074, P, 1, 193, 0, 93, 235, 42
INVAR-10, Run: 075, P, 4, 204, 0, 100, 246, 42
INVAR-10, Run: 076, P, 6, 200, 0, 99, 242, 42
INVAR-10, Run: 077, P, 2, 200, 0, 97, 242, 42
INVAR-10, Run: 078, P, 1, 209, 0, 101, 251, 42
INVAR-10, Run: 079, P, 0, 198, 0, 95, 240, 42
INVAR-10, Run: 080, P, 0, 204, 0, 98, 246, 42
INVAR-10, Run: 081, P, 6, 216, 0, 107, 258, 42
INVAR-10, Run: 082, P, 3, 195, 0, 95, 237, 42
INVAR-10, Run: 083, P, 0, 170, 0, 81, 212, 42
INVAR-10, Run: 084, P, 2, 182, 0, 88, 224, 42
INVAR-10, Run: 085, P, 2, 218, 0, 106, 260, 42
INVAR-10, Run: 086, P, 1, 237, 0, 115, 279, 42
INVAR-10, Run: 087, P, 0, 194, 0, 93, 236, 42
INVAR-10, Run: 088, P, 2, 216, 0, 105, 258, 42
INVAR-10, Run: 089, P, 1, 173, 0, 83, 215, 42
INVAR-10, Run: 090, P, 0, 216, 0, 104, 258, 42
INVAR-10, Run: 091, P, 0, 186, 0, 89, 228, 42
INVAR-10, Run: 092, P, 4, 188, 0, 92, 230, 42
INVAR-10, Run: 093, P, 2, 210, 0, 102, 252, 42
INVAR-10, Run: 094, P, 1, 207, 0, 100, 249, 42
INVAR-10, Run: 095, P, 0, 202, 0, 97, 244, 42
INVAR-10, Run: 096, P, 0, 240, 0, 116, 282, 42
INVAR-10, Run: 097, P, 4, 176, 0, 86, 218, 42
INVAR-10, Run: 098, P, 2, 200, 0, 97, 242, 42
INVAR-10, Run: 099, P, 7, 187, 0, 93, 229, 42
INVAR-10, Run: 100, P, 0, 166, 0, 79, 208, 42
INVAR-11, Run: 001, P, 3, 209, 0, 85, 267, 58
INVAR-11, Run: 002, P, 2, 252, 0, 106, 310, 58
INVAR-11, Run: 003, P, 6, 260, 0, 112, 318, 58
INVAR-11, Run: 004, P, 0, 226, 0, 92, 284, 58
INVAR-11, Run: 005, P, 3, 267, 0, 114, 325, 58
INVAR-11, Run: 006, P, 1, 247, 0, 103, 305, 58
INVAR-11, Run: 007, P, 6, 246, 0, 105, 304, 58
INVAR-11, Run: 008, P, 2, 252, 0, 106, 310, 58
INVAR-11, Run: 009, P, 1, 247, 0, 103, 305, 58
INVAR-11, Run: 010, P, 0, 278, 0, 118, 336, 58
INVAR-11, Run: 011, P, 2, 228, 0, 94, 286, 58
