Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, A, PE, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 067, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 73, 142, 9, 29, 121, 9, 18, 27, 82, 142
INVAR-1, Run: 068, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 27, 71, 9, 19, 60, 9, 18, 27, 36, 71
INVAR-1, Run: 069, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 38, 81, 9, 22, 67, 9, 18, 27, 47, 81
INVAR-1, Run: 070, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 32, 52, 9, 11, 49, 9, 18, 27, 41, 52
INVAR-1, Run: 071, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 123, 217, 9, 55, 170, 9, 18, 27, 132, 217
INVAR-1, Run: 072, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 51, 140, 9, 26, 122, 9, 18, 27, 60, 140
INVAR-1, Run: 073, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 105, 179, 9, 37, 150, 9, 18, 27, 114, 179
INVAR-1, Run: 074, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 56, 99, 9, 20, 87, 9, 18, 27, 65, 99
INVAR-1, Run: 075, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 91, 167, 9, 43, 132, 9, 18, 27, 100, 167
INVAR-1, Run: 076, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 163, 244, 9, 67, 185, 9, 18, 27, 172, 244
INVAR-1, Run: 077, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 55, 119, 9, 23, 104, 9, 18, 27, 64, 119
INVAR-1, Run: 078, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 97, 176, 9, 51, 133, 9, 18, 27, 106, 176
INVAR-1, Run: 079, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 55, 94, 9, 22, 80, 9, 18, 27, 64, 94
INVAR-1, Run: 080, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 109, 181, 9, 33, 156, 9, 18, 27, 118, 181
INVAR-1, Run: 081, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 152, 243, 9, 53, 198, 9, 18, 27, 161, 243
INVAR-1, Run: 082, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 73, 113, 9, 25, 96, 9, 18, 27, 82, 113
INVAR-1, Run: 083, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 67, 143, 9, 29, 122, 9, 18, 27, 76, 143
INVAR-1, Run: 084, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 52, 105, 9, 30, 83, 9, 18, 27, 61, 105
INVAR-1, Run: 085, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 69, 74, 9, 18, 64, 9, 18, 27, 78, 74
INVAR-1, Run: 086, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 102, 162, 9, 27, 143, 9, 18, 27, 111, 162
INVAR-1, Run: 087, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 72, 138, 9, 28, 118, 9, 18, 27, 81, 138
INVAR-1, Run: 088, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 65, 102, 9, 24, 86, 9, 18, 27, 74, 102
