Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 027, P, 0, 10, 0, 0, 0, 0, 0, 24, 2, 1, 2, 3, 4, 1, 1, 6, 0, 37, 0, 9, 0, 1, 9, 43, 34, 68, 48077, 46056, 44231, 42438, 40743, 2020, 301, 1823, 1790, 1691, 1678, 39064, 39027, 225, 169, 126, 92, 76, 56
INVAR-1, Run: 028, P, 0, 10, 0, 0, 0, 0, 0, 7, 4, 5, 5, 6, 3, 5, 1, 6, 0, 22, 0, 9, 0, 1, 9, 38, 15, 22, 43776, 38352, 33528, 29295, 25556, 5419, 228, 4819, 4227, 3736, 3068, 22483, 22461, 135, 82, 44, 29, 93, 53
INVAR-1, Run: 029, P, 0, 10, 0, 0, 0, 0, 0, 12, 0, 3, 4, 4, 4, 4, 1, 6, 0, 31, 0, 10, 1, 2, 10, 31, 27, 42, 46562, 42969, 39614, 36491, 33699, 3590, 263, 3351, 3119, 2788, 2590, 31105, 31074, 175, 112, 81, 54, 88, 63
INVAR-1, Run: 030, P, 0, 10, 0, 0, 0, 0, 0, 15, 0, 6, 1, 3, 0, 5, 1, 6, 0, 35, 0, 9, 0, 1, 9, 36, 28, 50, 46999, 43996, 41236, 38604, 36198, 2997, 250, 2759, 2629, 2406, 2252, 33941, 33906, 165, 129, 93, 65, 85, 36
INVAR-1, Run: 031, P, 10, 0, 0, 0, 0, 0, 0, 100, 1, 0, 0, 1, 1, 3, 1, 6, 0, 44, 0, 0, 1, 2, 0, 0, 0, 0, 49870, 49377, 48850, 48339, 47851, 493, 100, 527, 510, 487, 473, 47375, 47331, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 032, P, 0, 0, 0, 10, 0, 0, 0, 11, 6, 5, 1, 5, 2, 2, 1, 6, 0, 29, 0, 11, 12, 3, 11, 37, 15, 53, 46105, 42297, 38710, 35421, 32541, 3803, 247, 3586, 3284, 2878, 2686, 29853, 29824, 158, 116, 79, 64, 89, 42
INVAR-1, Run: 033, P, 0, 10, 0, 0, 0, 0, 0, 33, 1, 1, 0, 3, 0, 1, 1, 6, 0, 44, 0, 9, 0, 1, 9, 43, 28, 113, 48600, 47124, 45696, 44324, 42960, 1475, 333, 1428, 1369, 1364, 1241, 41718, 41674, 266, 217, 174, 146, 67, 49
INVAR-1, Run: 034, P, 0, 10, 0, 0, 0, 0, 0, 33, 0, 0, 1, 1, 2, 1, 1, 6, 0, 45, 0, 9, 0, 1, 9, 28, 18, 21, 48532, 47046, 45658, 44349, 43041, 1486, 218, 1387, 1308, 1306, 1244, 41796, 41751, 151, 100, 72, 54, 67, 51
INVAR-1, Run: 035, P, 0, 10, 0, 0, 0, 0, 0, 49, 0, 1, 1, 0, 0, 1, 1, 6, 0, 47, 0, 9, 0, 1, 9, 32, 32, 94, 49219, 48247, 47201, 46188, 45262, 971, 296, 1045, 1013, 926, 920, 44341, 44294, 245, 207, 175, 143, 51, 38
INVAR-1, Run: 036, P, 0, 10, 0, 0, 0, 0, 0, 16, 3, 2, 3, 2, 1, 0, 1, 6, 0, 39, 0, 9, 0, 1, 9, 27, 11, 16, 47377, 44585, 41884, 39390, 37063, 2790, 197, 2698, 2492, 2326, 2239, 34824, 34785, 113, 70, 43, 32, 84, 43
INVAR-1, Run: 037, P, 0, 10, 0, 0, 0, 0, 0, 16, 7, 2, 0, 1, 3, 2, 1, 6, 0, 35, 0, 9, 0, 1, 9, 36, 14, 31, 47056, 44248, 41668, 39222, 36916, 2806, 228, 2580, 2445, 2303, 2201, 34713, 34678, 144, 97, 61, 47, 84, 47
INVAR-1, Run: 038, P, 0, 0, 0, 10, 0, 0, 0, 4, 13, 6, 7, 5, 3, 4, 1, 6, 0, 12, 0, 9, 10, 1, 9, 53, 19, 38, 39488, 31781, 25415, 20301, 16284, 7701, 268, 6359, 5109, 4014, 3164, 13116, 13104, 172, 114, 61, 42, 96, 58
INVAR-1, Run: 039, P, 0, 10, 0, 0, 0, 0, 0, 7, 7, 2, 5, 6, 2, 1, 1, 6, 0, 27, 0, 9, 0, 1, 9, 44, 21, 30, 43790, 38380, 33544, 29326, 25628, 5408, 253, 4831, 4212, 3696, 3322, 22305, 22278, 160, 102, 58, 37, 93, 58
INVAR-1, Run: 040, P, 0, 10, 0, 0, 0, 0, 0, 5, 10, 9, 7, 5, 3, 1, 1, 6, 0, 15, 0, 9, 0, 1, 9, 43, 28, 57, 41843, 34782, 28876, 24103, 20051, 7052, 284, 5899, 4768, 4049, 3384, 16666, 16651, 189, 133, 90, 62, 95, 56
INVAR-1, Run: 041, P, 0, 10, 0, 0, 0, 0, 0, 5, 7, 12, 8, 4, 2, 4, 1, 6, 0, 13, 0, 10, 1, 2, 10, 24, 8, 14, 41641, 34715, 28914, 24058, 20057, 6914, 208, 5793, 4852, 3999, 3343, 16710, 16697, 113, 51, 27, 19, 95, 62
INVAR-1, Run: 042, P, 0, 10, 0, 0, 0, 0, 0, 17, 4, 4, 2, 1, 1, 0, 1, 6, 0, 38, 0, 9, 0, 1, 9, 25, 17, 25, 47289, 44637, 42173, 39769, 37500, 2648, 218, 2462, 2403, 2268, 2077, 35423, 35385, 135, 84, 59, 42, 83, 51
INVAR-1, Run: 043, P, 0, 10, 0, 0, 0, 0, 0, 36, 2, 0, 0, 1, 2, 1, 1, 6, 0, 44, 0, 9, 0, 1, 9, 30, 27, 75, 49109, 47764, 46460, 45159, 43931, 1345, 279, 1304, 1300, 1226, 1127, 42803, 42759, 215, 168, 138, 111, 64, 47
INVAR-1, Run: 044, P, 0, 10, 0, 0, 0, 0, 0, 22, 1, 3, 4, 0, 3, 5, 1, 6, 0, 34, 0, 9, 0, 1, 9, 35, 19, 56, 47500, 45411, 43426, 41573, 39762, 2086, 279, 1981, 1853, 1808, 1626, 38131, 38097, 201, 132, 97, 78, 78, 69
INVAR-1, Run: 045, P, 0, 10, 0, 0, 0, 0, 0, 2, 18, 10, 5, 4, 7, 2, 1, 6, 0, 4, 0, 9, 0, 1, 9, 49, 29, 49, 33339, 22250, 14910, 9984, 6590, 11079, 293, 7335, 4922, 3387, 2252, 4336, 4332, 195, 129, 80, 51, 98, 66
INVAR-1, Run: 046, P, 0, 10, 0, 0, 0, 0, 0, 16, 2, 2, 2, 2, 5, 3, 1, 6, 0, 34, 0, 9, 0, 1, 9, 26, 19, 21, 46925, 44214, 41632, 39283, 36994, 2709, 224, 2580, 2347, 2284, 2185, 34806, 34772, 140, 82, 56, 37, 84, 58
INVAR-1, Run: 047, P, 0, 0, 0, 10, 0, 0, 0, 16, 6, 2, 5, 2, 3, 2, 1, 6, 0, 30, 0, 9, 10, 1, 9, 26, 15, 22, 46807, 44011, 41438, 39062, 36780, 2794, 207, 2568, 2374, 2279, 2209, 34569, 34539, 123, 79, 53, 38, 84, 44
INVAR-1, Run: 048, P, 0, 10, 0, 0, 0, 0, 0, 9, 5, 4, 5, 2, 4, 2, 1, 6, 0, 28, 0, 9, 0, 1, 9, 25, 16, 13, 45169, 40545, 36434, 32747, 29448, 4620, 213, 4106, 3685, 3295, 2977, 26469, 26441, 122, 63, 38, 22, 91, 59
INVAR-1, Run: 049, P, 10, 0, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 0, 0, 1, 6, 0, 48, 0, 0, 1, 2, 0, 0, 0, 0, 49490, 48995, 48500, 48035, 47554, 495, 100, 494, 465, 481, 495, 47059, 47011, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 050, P, 0, 10, 0, 0, 0, 0, 0, 14, 6, 5, 1, 1, 4, 1, 1, 6, 0, 32, 0, 9, 0, 1, 9, 40, 25, 68, 46506, 43384, 40531, 37825, 35334, 3117, 289, 2852, 2705, 2487, 2295, 33038, 33006, 203, 147, 107, 82, 86, 56
INVAR-1, Run: 051, P, 0, 10, 0, 0, 0, 0, 0, 20, 2, 3, 4, 4, 2, 2, 1, 6, 0, 33, 0, 9, 0, 1, 9, 48, 27, 56, 47607, 45329, 43122, 41082, 39028, 2275, 295, 2203, 2036, 2052, 1890, 37136, 37103, 215, 151, 103, 76, 80, 64
INVAR-1, Run: 052, P, 0, 10, 0, 0, 0, 0, 0, 21, 3, 2, 4, 0, 2, 1, 1, 6, 0, 38, 0, 9, 0, 1, 9, 28, 20, 15, 47550, 45356, 43332, 41360, 39455, 2192, 212, 2020, 1972, 1903, 1800, 37654, 37616, 133, 84, 56, 36, 79, 49
INVAR-1, Run: 053, P, 0, 10, 0, 0, 0, 0, 0, 11, 3, 3, 2, 3, 4, 1, 1, 6, 0, 34, 0, 9, 0, 1, 9, 32, 11, 23, 45619, 41792, 38316, 35091, 32186, 3824, 208, 3474, 3222, 2901, 2657, 29528, 29494, 119, 77, 45, 34, 89, 42
INVAR-1, Run: 054, P, 0, 10, 0, 0, 0, 0, 0, 8, 5, 7, 8, 1, 4, 6, 1, 6, 0, 19, 0, 9, 0, 1, 9, 23, 25, 24, 44200, 39244, 34861, 30899, 27510, 4949, 223, 4375, 3961, 3385, 3155, 24349, 24330, 131, 80, 57, 32, 92, 51
INVAR-1, Run: 055, P, 0, 10, 0, 0, 0, 0, 0, 18, 1, 3, 1, 2, 0, 2, 1, 6, 0, 41, 0, 9, 0, 1, 9, 23, 16, 8, 47546, 45010, 42668, 40505, 38336, 2533, 181, 2341, 2161, 2169, 2050, 36284, 36243, 99, 65, 42, 26, 82, 34
INVAR-1, Run: 056, P, 0, 10, 0, 0, 0, 0, 0, 19, 3, 1, 3, 3, 1, 5, 1, 6, 0, 34, 0, 9, 0, 1, 9, 23, 14, 14, 47509, 45109, 42807, 40695, 38652, 2399, 202, 2299, 2109, 2042, 1928, 36719, 36685, 121, 70, 47, 33, 81, 51
INVAR-1, Run: 057, P, 0, 10, 0, 0, 0, 0, 0, 32, 2, 1, 0, 3, 0, 1, 1, 6, 0, 43, 0, 9, 0, 1, 9, 28, 22, 27, 48577, 47145, 45675, 44246, 42865, 1431, 230, 1470, 1426, 1381, 1366, 41498, 41455, 162, 109, 81, 59, 68, 53
INVAR-1, Run: 058, P, 0, 10, 0, 0, 0, 0, 0, 25, 0, 1, 3, 2, 0, 3, 1, 6, 0, 41, 0, 9, 0, 1, 9, 43, 27, 109, 48068, 46200, 44432, 42713, 41045, 1867, 342, 1765, 1717, 1668, 1573, 39469, 39428, 267, 204, 161, 134, 75, 63
INVAR-1, Run: 059, P, 0, 10, 0, 0, 0, 0, 0, 13, 5, 1, 2, 5, 0, 4, 1, 6, 0, 33, 0, 9, 0, 1, 9, 24, 21, 13, 46541, 43246, 40150, 37193, 34554, 3294, 203, 3094, 2952, 2639, 2519, 32031, 31998, 116, 71, 47, 26, 87, 45
INVAR-1, Run: 060, P, 0, 10, 0, 0, 0, 0, 0, 10, 4, 3, 4, 3, 2, 1, 1, 6, 0, 33, 0, 9, 0, 1, 9, 48, 24, 61, 45697, 41452, 37619, 34278, 31126, 4242, 291, 3829, 3338, 3150, 2804, 28321, 28288, 201, 143, 95, 71, 90, 58
INVAR-1, Run: 061, P, 0, 10, 0, 0, 0, 0, 0, 5, 12, 6, 1, 2, 3, 6, 1, 6, 0, 20, 0, 9, 0, 1, 9, 47, 32, 32, 41451, 34493, 28826, 23933, 19951, 6952, 264, 5666, 4891, 3979, 3392, 16553, 16533, 169, 116, 69, 37, 95, 53
INVAR-1, Run: 062, P, 0, 10, 0, 0, 0, 0, 0, 7, 2, 3, 8, 5, 5, 2, 1, 6, 0, 25, 0, 9, 0, 1, 9, 26, 10, 17, 43654, 38181, 33511, 29381, 25691, 5470, 203, 4662, 4125, 3685, 3272, 22417, 22392, 110, 60, 34, 24, 93, 50
INVAR-1, Run: 063, P, 0, 10, 0, 0, 0, 0, 0, 6, 9, 6, 5, 7, 3, 3, 1, 6, 0, 17, 0, 9, 0, 1, 9, 22, 11, 20, 42876, 36703, 31545, 26997, 23153, 6167, 184, 5153, 4541, 3841, 3381, 19769, 19752, 90, 59, 37, 26, 94, 31
INVAR-1, Run: 064, P, 0, 10, 0, 0, 0, 0, 0, 32, 1, 1, 1, 1, 0, 3, 1, 6, 0, 43, 0, 9, 0, 1, 9, 21, 8, 9, 48779, 47311, 45881, 44424, 43085, 1467, 174, 1429, 1456, 1339, 1341, 41741, 41698, 106, 70, 49, 41, 68, 36
INVAR-1, Run: 065, P, 0, 10, 0, 0, 0, 0, 0, 9, 8, 6, 4, 4, 3, 5, 1, 6, 0, 20, 0, 9, 0, 1, 9, 25, 13, 21, 44983, 40498, 36438, 32717, 29482, 4479, 211, 4056, 3717, 3232, 2946, 26531, 26511, 120, 68, 43, 30, 91, 52
INVAR-1, Run: 066, P, 0, 10, 0, 0, 0, 0, 0, 13, 3, 4, 1, 3, 3, 2, 1, 6, 0, 34, 0, 9, 0, 1, 9, 36, 14, 24, 46264, 42884, 39781, 36923, 34330, 3376, 221, 3102, 2855, 2590, 2388, 31940, 31906, 134, 87, 51, 37, 87, 47
INVAR-1, Run: 067, P, 0, 0, 0, 10, 0, 0, 0, 8, 10, 4, 5, 6, 8, 1, 1, 6, 0, 16, 0, 8, 9, 0, 8, 28, 12, 27, 44208, 39163, 34819, 30984, 27578, 5041, 225, 4339, 3829, 3398, 3038, 24539, 24523, 133, 75, 47, 35, 92, 58
INVAR-1, Run: 068, P, 0, 10, 0, 0, 0, 0, 0, 15, 0, 3, 6, 6, 3, 5, 1, 6, 0, 27, 0, 9, 0, 1, 9, 39, 18, 28, 46387, 43448, 40686, 38244, 35856, 2936, 216, 2756, 2436, 2385, 2272, 33579, 33552, 131, 100, 61, 43, 85, 31
INVAR-1, Run: 069, P, 10, 0, 0, 0, 0, 0, 0, 19, 1, 5, 5, 2, 2, 1, 1, 6, 0, 34, 0, 5, 6, 7, 5, 32, 15, 38, 47713, 45180, 42943, 40806, 38809, 2528, 249, 2232, 2135, 1995, 1953, 36855, 36821, 168, 104, 72, 57, 81, 64
INVAR-1, Run: 070, P, 0, 0, 0, 10, 0, 0, 0, 25, 3, 3, 3, 1, 2, 2, 1, 6, 0, 36, 0, 10, 11, 2, 10, 45, 27, 44, 48147, 46239, 44527, 42797, 41230, 1905, 279, 1709, 1729, 1565, 1562, 39666, 39630, 204, 141, 96, 69, 75, 63
INVAR-1, Run: 071, P, 0, 10, 0, 0, 0, 0, 0, 19, 1, 1, 3, 1, 1, 1, 1, 6, 0, 42, 0, 9, 0, 1, 9, 29, 17, 20, 47558, 45179, 42983, 40832, 38815, 2378, 221, 2193, 2150, 2016, 1914, 36900, 36858, 140, 85, 56, 39, 81, 55
INVAR-1, Run: 072, P, 0, 10, 0, 0, 0, 0, 0, 30, 2, 3, 1, 1, 0, 1, 1, 6, 0, 42, 0, 9, 0, 1, 9, 32, 16, 29, 48564, 46973, 45436, 43927, 42522, 1588, 233, 1536, 1508, 1405, 1405, 41116, 41074, 163, 107, 75, 59, 70, 56
INVAR-1, Run: 073, P, 0, 10, 0, 0, 0, 0, 0, 6, 7, 8, 4, 7, 3, 3, 1, 6, 0, 18, 0, 9, 0, 1, 9, 31, 33, 39, 43055, 36822, 31431, 27038, 23137, 6225, 264, 5387, 4386, 3898, 3312, 19822, 19804, 170, 109, 78, 45, 94, 61
INVAR-1, Run: 074, P, 0, 10, 0, 0, 0, 0, 0, 19, 6, 3, 0, 3, 3, 2, 1, 6, 0, 33, 0, 9, 0, 1, 9, 19, 12, 10, 47568, 45116, 42836, 40700, 38696, 2449, 178, 2280, 2133, 2001, 1933, 36761, 36728, 97, 60, 41, 29, 81, 37
INVAR-1, Run: 075, P, 0, 10, 0, 0, 0, 0, 0, 27, 0, 4, 1, 2, 4, 2, 1, 6, 0, 37, 0, 9, 0, 1, 9, 29, 19, 38, 48347, 46592, 44937, 43303, 41831, 1751, 238, 1654, 1632, 1468, 1478, 40351, 40314, 165, 113, 84, 65, 73, 52
INVAR-1, Run: 076, P, 0, 10, 0, 0, 0, 0, 0, 26, 0, 2, 2, 1, 1, 0, 1, 6, 0, 44, 0, 9, 0, 1, 9, 33, 21, 27, 48142, 46312, 44610, 42993, 41431, 1828, 219, 1700, 1616, 1561, 1565, 39866, 39822, 145, 107, 74, 53, 74, 38
INVAR-1, Run: 077, P, 0, 10, 0, 0, 0, 0, 0, 11, 1, 5, 3, 4, 2, 1, 1, 6, 0, 34, 0, 9, 0, 1, 9, 27, 15, 53, 45922, 42105, 38600, 35275, 32340, 3812, 249, 3502, 3321, 2933, 2771, 29568, 29534, 160, 106, 79, 64, 89, 54
INVAR-1, Run: 078, P, 0, 10, 0, 0, 0, 0, 0, 2, 16, 12, 12, 4, 3, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 46, 19, 38, 33167, 22240, 14813, 9911, 6581, 10915, 265, 7415, 4898, 3327, 2208, 4373, 4370, 167, 105, 59, 40, 98, 62
INVAR-1, Run: 079, P, 0, 10, 0, 0, 0, 0, 0, 23, 3, 1, 2, 2, 0, 1, 1, 6, 0, 41, 0, 9, 0, 1, 9, 27, 13, 9, 47955, 45953, 44047, 42218, 40420, 2001, 188, 1904, 1827, 1798, 1643, 38776, 38735, 111, 72, 45, 32, 77, 39
INVAR-1, Run: 080, P, 0, 10, 0, 0, 0, 0, 0, 19, 2, 4, 1, 1, 2, 1, 1, 6, 0, 39, 0, 9, 0, 1, 9, 27, 18, 18, 47305, 44966, 42736, 40617, 38595, 2335, 212, 2229, 2118, 2020, 1972, 36622, 36583, 131, 82, 55, 37, 81, 49
INVAR-1, Run: 081, P, 0, 10, 0, 0, 0, 0, 0, 21, 2, 2, 2, 1, 1, 0, 1, 6, 0, 42, 0, 9, 0, 1, 9, 32, 35, 35, 47576, 45350, 43297, 41279, 39415, 2224, 256, 2051, 2017, 1863, 1855, 37560, 37518, 177, 123, 91, 56, 79, 54
INVAR-1, Run: 082, P, 0, 0, 0, 10, 0, 0, 0, 11, 3, 5, 2, 4, 0, 1, 1, 6, 0, 35, 0, 9, 10, 1, 9, 35, 16, 5, 45440, 41734, 38204, 34993, 32096, 3701, 214, 3528, 3207, 2897, 2676, 29419, 29384, 125, 67, 32, 16, 89, 58
INVAR-1, Run: 083, P, 10, 0, 0, 0, 0, 0, 0, 55, 0, 2, 0, 1, 2, 2, 1, 6, 0, 43, 0, 2, 3, 4, 2, 25, 24, 68, 49012, 48123, 47236, 46423, 45627, 887, 247, 887, 812, 794, 829, 44796, 44753, 202, 172, 147, 123, 45, 30
