Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
3, Run: 019, P, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0
3, Run: 020, F, 0, 100, 0, 0, 0, 0, 0, 19, 455, 455, 0, 0
3, Run: 021, P, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0
3, Run: 022, P, 0, 101, 0, 0, 0, 0, 0, 472, 0, 2, 1, 2
3, Run: 023, P, 0, 93, 0, 0, 0, 0, 0, 480, 0, 2, 1, 2
3, Run: 024, F, 0, 92, 0, 0, 0, 0, 0, 328, 154, 154, 0, 0
3, Run: 025, P, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0
3, Run: 026, F, 0, 102, 0, 0, 0, 0, 0, 89, 383, 383, 0, 0
3, Run: 027, P, 0, 96, 0, 0, 0, 0, 0, 478, 0, 0, 1, 0
3, Run: 028, F, 0, 106, 0, 0, 0, 0, 0, 174, 294, 294, 0, 0
3, Run: 029, F, 0, 104, 0, 0, 0, 0, 0, 214, 256, 256, 0, 0
3, Run: 030, F, 0, 94, 0, 0, 0, 0, 0, 449, 31, 31, 0, 0
3, Run: 031, P, 0, 103, 0, 0, 0, 0, 0, 470, 0, 2, 1, 2
3, Run: 032, F, 0, 100, 0, 0, 0, 0, 0, 13, 461, 461, 0, 0
3, Run: 033, F, 0, 94, 0, 0, 0, 0, 0, 19, 461, 461, 0, 0
3, Run: 034, F, 0, 100, 0, 0, 0, 0, 0, 113, 361, 361, 0, 0
3, Run: 035, F, 0, 98, 0, 0, 0, 0, 0, 432, 44, 44, 0, 0
3, Run: 036, F, 0, 102, 0, 0, 0, 0, 0, 338, 134, 134, 0, 0
3, Run: 037, P, 0, 96, 0, 0, 0, 0, 0, 478, 0, 0, 1, 0
3, Run: 038, F, 0, 96, 0, 0, 0, 0, 0, 428, 50, 50, 0, 0
3, Run: 039, F, 0, 102, 0, 0, 0, 0, 0, 40, 432, 432, 0, 0
3, Run: 040, F, 0, 102, 0, 0, 0, 0, 0, 312, 160, 160, 0, 0
3, Run: 041, F, 0, 106, 0, 0, 0, 0, 0, 41, 427, 427, 0, 0
3, Run: 042, P, 0, 108, 0, 0, 0, 0, 0, 466, 0, 0, 1, 0
3, Run: 043, F, 0, 98, 0, 0, 0, 0, 0, 305, 171, 171, 0, 0
3, Run: 044, F, 0, 98, 0, 0, 0, 0, 0, 174, 302, 302, 0, 0
3, Run: 045, P, 0, 100, 0, 0, 0, 0, 0, 474, 0, 0, 1, 0
3, Run: 046, F, 0, 96, 0, 0, 0, 0, 0, 75, 403, 403, 0, 0
3, Run: 047, F, 0, 98, 0, 0, 0, 0, 0, 324, 152, 152, 0, 0
3, Run: 048, F, 0, 110, 0, 0, 0, 0, 0, 25, 439, 439, 0, 0
3, Run: 049, P, 0, 100, 0, 0, 0, 0, 0, 474, 0, 0, 1, 0
3, Run: 050, F, 0, 104, 0, 0, 0, 0, 0, 6, 464, 464, 0, 0
3, Run: 051, F, 0, 96, 0, 0, 0, 0, 0, 12, 466, 466, 0, 0
3, Run: 052, P, 0, 93, 0, 0, 0, 0, 0, 480, 0, 2, 1, 2
3, Run: 053, F, 0, 102, 0, 0, 0, 0, 0, 41, 431, 431, 0, 0
3, Run: 054, P, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0
3, Run: 055, P, 0, 95, 0, 0, 0, 0, 0, 478, 0, 2, 1, 2
3, Run: 056, F, 0, 102, 0, 0, 0, 0, 0, 131, 341, 341, 0, 0
3, Run: 057, F, 0, 98, 0, 0, 0, 0, 0, 201, 275, 275, 0, 0
