Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 028, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 107, 9, 6, 2, 9, 18, 27, 28, 107
INVAR-1, Run: 029, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 168, 9, 3, 5, 9, 18, 27, 24, 168
INVAR-1, Run: 030, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 53, 9, 3, 5, 9, 18, 27, 24, 53
INVAR-1, Run: 031, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 126, 9, 3, 5, 9, 18, 27, 23, 126
INVAR-1, Run: 032, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 22, 88, 9, 3, 5, 9, 18, 27, 31, 88
INVAR-1, Run: 033, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 8, 61, 9, 5, 3, 9, 18, 27, 17, 61
INVAR-1, Run: 034, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 76, 9, 4, 4, 9, 18, 27, 23, 76
INVAR-1, Run: 035, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 98, 9, 6, 2, 9, 18, 27, 23, 98
INVAR-1, Run: 036, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 98, 9, 6, 2, 9, 18, 27, 24, 98
INVAR-1, Run: 037, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 17, 88, 9, 5, 3, 9, 18, 27, 26, 88
INVAR-1, Run: 038, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 50, 9, 6, 2, 9, 18, 27, 23, 50
INVAR-1, Run: 039, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 17, 70, 9, 5, 3, 9, 18, 27, 26, 70
INVAR-1, Run: 040, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 111, 9, 5, 3, 9, 18, 27, 24, 111
INVAR-1, Run: 041, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 108, 9, 6, 2, 9, 18, 27, 28, 108
INVAR-1, Run: 042, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 13, 114, 9, 4, 4, 9, 18, 27, 22, 114
INVAR-1, Run: 043, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 114, 9, 6, 2, 9, 18, 27, 27, 114
INVAR-1, Run: 044, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 23, 125, 9, 6, 2, 9, 18, 27, 32, 125
INVAR-1, Run: 045, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 60, 9, 5, 3, 9, 18, 27, 25, 60
INVAR-1, Run: 046, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 8, 74, 9, 7, 1, 9, 18, 27, 17, 74
INVAR-1, Run: 047, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 16, 96, 9, 6, 2, 9, 18, 27, 25, 96
INVAR-1, Run: 048, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 12, 102, 9, 6, 2, 9, 18, 27, 21, 102
INVAR-1, Run: 049, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 15, 72, 9, 5, 3, 9, 18, 27, 24, 72
INVAR-1, Run: 050, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 17, 94, 9, 4, 4, 9, 18, 27, 26, 94
INVAR-1, Run: 051, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 7, 56, 9, 7, 1, 9, 18, 27, 16, 56
INVAR-1, Run: 052, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 29, 175, 9, 4, 4, 9, 18, 27, 38, 175
