Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-4, Run: 062, P, 0, 123, 0, 0, 0, 22, 22, 0, 0, 1, 1, 5, 39, 86, 468, 17, 10, 6, 22, 39, 58, 108, 468
INVAR-4, Run: 063, P, 0, 129, 0, 0, 0, 25, 25, 0, 0, 1, 1, 11, 39, 55, 329, 14, 9, 4, 25, 39, 58, 80, 329
INVAR-4, Run: 064, P, 0, 18, 0, 0, 0, 0, 105, 22, 105, 0, 1, 5, 39, 49, 216, 17, 12, 5, 22, 39, 58, 49, 321
INVAR-4, Run: 065, P, 0, 117, 0, 0, 0, 1, 13, 24, 12, 0, 1, 11, 39, 126, 473, 14, 9, 5, 25, 39, 58, 127, 485
INVAR-4, Run: 066, P, 0, 127, 0, 0, 0, 24, 24, 0, 0, 1, 1, 9, 39, 74, 296, 15, 10, 4, 24, 39, 58, 98, 296
INVAR-4, Run: 067, P, 0, 20, 0, 0, 0, 0, 103, 22, 103, 0, 1, 5, 39, 53, 188, 17, 11, 6, 22, 39, 58, 53, 291
INVAR-4, Run: 068, P, 0, 10, 0, 0, 0, 0, 117, 24, 117, 0, 1, 9, 39, 52, 191, 15, 8, 7, 24, 39, 58, 52, 308
INVAR-4, Run: 069, P, 0, 127, 0, 0, 0, 24, 24, 0, 0, 1, 1, 9, 39, 56, 288, 15, 7, 7, 24, 39, 58, 80, 288
INVAR-4, Run: 070, P, 0, 129, 0, 0, 0, 25, 25, 0, 0, 1, 1, 11, 39, 107, 324, 14, 8, 5, 25, 39, 58, 132, 324
INVAR-4, Run: 071, P, 0, 127, 0, 0, 0, 24, 24, 0, 0, 1, 1, 9, 39, 70, 408, 15, 11, 3, 24, 39, 58, 94, 408
INVAR-4, Run: 072, P, 0, 123, 0, 0, 0, 22, 22, 0, 0, 1, 1, 5, 39, 65, 341, 17, 6, 10, 22, 39, 58, 87, 341
INVAR-4, Run: 073, P, 0, 92, 0, 0, 0, 0, 35, 24, 35, 0, 1, 9, 39, 79, 360, 15, 10, 5, 24, 39, 58, 79, 395
INVAR-4, Run: 074, P, 0, 15, 0, 0, 0, 0, 112, 24, 112, 0, 1, 9, 39, 58, 286, 15, 9, 6, 24, 39, 58, 58, 398
INVAR-4, Run: 075, P, 0, 7, 0, 0, 0, 0, 120, 24, 120, 0, 1, 9, 39, 34, 272, 15, 9, 6, 24, 39, 58, 34, 392
INVAR-4, Run: 076, P, 0, 9, 0, 0, 0, 0, 124, 27, 124, 0, 1, 15, 39, 29, 85, 12, 8, 4, 27, 39, 58, 29, 209
INVAR-4, Run: 077, P, 0, 127, 0, 0, 0, 24, 24, 0, 0, 1, 1, 9, 39, 32, 263, 15, 10, 4, 24, 39, 58, 56, 263
INVAR-4, Run: 078, P, 0, 29, 0, 0, 0, 0, 98, 24, 98, 0, 1, 9, 39, 44, 259, 15, 9, 6, 24, 39, 58, 44, 357
INVAR-4, Run: 079, P, 0, 123, 0, 0, 0, 22, 22, 0, 0, 1, 1, 5, 39, 87, 406, 17, 9, 7, 22, 39, 58, 109, 406
INVAR-4, Run: 080, P, 0, 41, 0, 0, 0, 0, 86, 24, 86, 0, 1, 9, 39, 36, 245, 15, 11, 4, 24, 39, 58, 36, 331
INVAR-4, Run: 081, P, 0, 123, 0, 0, 0, 22, 22, 0, 0, 1, 1, 5, 39, 65, 286, 17, 7, 9, 22, 39, 58, 87, 286
INVAR-4, Run: 082, P, 0, 16, 0, 0, 0, 0, 113, 25, 113, 0, 1, 11, 39, 25, 173, 14, 11, 3, 25, 39, 58, 25, 286
INVAR-4, Run: 083, P, 0, 125, 0, 0, 0, 23, 23, 0, 0, 1, 1, 7, 39, 50, 282, 16, 9, 6, 23, 39, 58, 73, 282
INVAR-4, Run: 084, P, 0, 89, 0, 0, 0, 0, 38, 24, 38, 0, 1, 9, 39, 41, 134, 15, 12, 3, 24, 39, 58, 41, 172
INVAR-4, Run: 085, P, 0, 11, 0, 0, 0, 0, 120, 26, 120, 0, 1, 13, 39, 42, 162, 13, 7, 6, 26, 39, 58, 42, 282
INVAR-4, Run: 086, P, 0, 125, 0, 0, 0, 23, 23, 0, 0, 1, 1, 7, 39, 69, 395, 16, 14, 1, 23, 39, 58, 92, 395
INVAR-4, Run: 087, P, 0, 77, 0, 0, 0, 0, 54, 26, 54, 0, 1, 13, 39, 45, 160, 13, 11, 2, 26, 39, 58, 45, 214
INVAR-4, Run: 088, P, 0, 19, 0, 0, 0, 0, 106, 23, 106, 0, 1, 7, 39, 106, 505, 16, 10, 6, 23, 39, 58, 106, 611
INVAR-4, Run: 089, P, 0, 20, 0, 0, 0, 0, 109, 25, 109, 0, 1, 11, 39, 44, 211, 14, 11, 3, 25, 39, 58, 44, 320
INVAR-4, Run: 090, P, 0, 129, 0, 0, 0, 25, 25, 0, 0, 1, 1, 11, 39, 74, 395, 14, 9, 4, 25, 39, 58, 99, 395
INVAR-4, Run: 091, P, 0, 87, 0, 0, 0, 0, 42, 25, 42, 0, 1, 11, 39, 37, 291, 14, 12, 2, 25, 39, 58, 37, 333
INVAR-4, Run: 092, P, 0, 9, 0, 0, 0, 0, 120, 25, 120, 0, 1, 11, 39, 49, 180, 14, 10, 4, 25, 39, 58, 49, 300
INVAR-4, Run: 093, P, 0, 19, 0, 0, 0, 0, 112, 26, 112, 0, 1, 13, 39, 64, 352, 13, 10, 3, 26, 39, 58, 64, 464
INVAR-4, Run: 094, P, 0, 86, 0, 0, 0, 0, 41, 24, 41, 0, 1, 9, 39, 58, 285, 15, 13, 2, 24, 39, 58, 58, 326
INVAR-4, Run: 095, P, 0, 50, 0, 0, 0, 0, 73, 22, 73, 0, 1, 5, 39, 69, 369, 17, 13, 4, 22, 39, 58, 69, 442
INVAR-4, Run: 096, P, 0, 123, 0, 0, 0, 22, 22, 0, 0, 1, 1, 5, 39, 57, 277, 17, 8, 8, 22, 39, 58, 79, 277
INVAR-4, Run: 097, P, 0, 123, 0, 0, 0, 22, 22, 0, 0, 1, 1, 5, 39, 61, 190, 17, 10, 6, 22, 39, 58, 83, 190
