Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
INVAR-10, Run: 032, F, 299, 3, 0, 0, 0, 0, 198, 0, 1, 600, 0
INVAR-10, Run: 033, F, 281, 1, 0, 0, 0, 0, 190, 0, 1, 600, 0
INVAR-10, Run: 034, F, 281, 1, 0, 0, 0, 0, 190, 0, 1, 600, 0
INVAR-10, Run: 035, F, 291, 1, 0, 0, 0, 0, 195, 0, 1, 600, 0
INVAR-10, Run: 036, F, 298, 2, 0, 0, 0, 0, 198, 0, 1, 600, 0
INVAR-10, Run: 037, F, 275, 1, 0, 0, 0, 0, 187, 0, 1, 600, 0
INVAR-10, Run: 038, F, 308, 0, 0, 0, 0, 0, 204, 0, 1, 600, 0
INVAR-10, Run: 039, F, 272, 0, 0, 0, 0, 0, 186, 0, 1, 600, 0
INVAR-10, Run: 040, F, 303, 1, 0, 0, 0, 0, 201, 0, 1, 600, 0
INVAR-10, Run: 041, F, 289, 1, 0, 0, 0, 0, 194, 0, 1, 600, 0
INVAR-10, Run: 042, F, 298, 2, 0, 0, 0, 0, 198, 0, 1, 600, 0
INVAR-10, Run: 043, F, 290, 2, 0, 0, 0, 0, 194, 0, 1, 600, 0
INVAR-10, Run: 044, F, 313, 3, 0, 0, 0, 0, 205, 0, 1, 600, 0
INVAR-10, Run: 045, F, 346, 0, 0, 0, 0, 0, 223, 0, 1, 600, 0
INVAR-10, Run: 046, F, 330, 0, 0, 0, 0, 0, 215, 0, 1, 600, 0
INVAR-10, Run: 047, F, 303, 1, 0, 0, 0, 0, 201, 0, 1, 600, 0
INVAR-10, Run: 048, F, 305, 1, 0, 0, 0, 0, 202, 0, 1, 600, 0
INVAR-10, Run: 049, F, 318, 2, 0, 0, 0, 0, 208, 0, 1, 600, 0
INVAR-10, Run: 050, F, 314, 2, 0, 0, 0, 0, 206, 0, 1, 600, 0
INVAR-10, Run: 051, F, 277, 1, 0, 0, 0, 0, 188, 0, 1, 600, 0
INVAR-10, Run: 052, F, 286, 0, 0, 0, 0, 0, 193, 0, 1, 600, 0
INVAR-10, Run: 053, F, 271, 3, 0, 0, 0, 0, 184, 0, 1, 600, 0
INVAR-10, Run: 054, F, 284, 2, 0, 0, 0, 0, 191, 0, 1, 600, 0
INVAR-10, Run: 055, F, 296, 0, 0, 0, 0, 0, 198, 0, 1, 600, 0
INVAR-10, Run: 056, F, 290, 0, 0, 0, 0, 0, 195, 0, 1, 600, 0
INVAR-10, Run: 057, F, 273, 1, 0, 0, 0, 0, 186, 0, 1, 600, 0
INVAR-10, Run: 058, F, 305, 1, 0, 0, 0, 0, 202, 0, 1, 600, 0
INVAR-10, Run: 059, F, 307, 1, 0, 0, 0, 0, 203, 0, 1, 600, 0
INVAR-10, Run: 060, F, 316, 2, 0, 0, 0, 0, 207, 0, 1, 600, 0
INVAR-10, Run: 061, F, 292, 0, 0, 0, 0, 0, 196, 0, 1, 600, 0
INVAR-10, Run: 062, F, 290, 0, 0, 0, 0, 0, 195, 0, 1, 600, 0
INVAR-10, Run: 063, F, 271, 1, 0, 0, 0, 0, 185, 0, 1, 600, 0
INVAR-10, Run: 064, F, 278, 2, 0, 0, 0, 0, 188, 0, 1, 600, 0
INVAR-10, Run: 065, F, 282, 4, 0, 0, 0, 0, 189, 0, 1, 600, 0
INVAR-10, Run: 066, F, 291, 1, 0, 0, 0, 0, 195, 0, 1, 600, 0
INVAR-10, Run: 067, F, 285, 1, 0, 0, 0, 0, 192, 0, 1, 600, 0
INVAR-10, Run: 068, F, 298, 0, 0, 0, 0, 0, 199, 0, 1, 600, 0
INVAR-10, Run: 069, F, 361, 3, 0, 0, 0, 0, 229, 0, 1, 600, 0
INVAR-10, Run: 070, F, 305, 3, 0, 0, 0, 0, 201, 0, 1, 600, 0
INVAR-10, Run: 071, F, 320, 2, 0, 0, 0, 0, 209, 0, 1, 600, 0
INVAR-10, Run: 072, F, 325, 1, 0, 0, 0, 0, 212, 0, 1, 600, 0
INVAR-10, Run: 073, F, 308, 2, 0, 0, 0, 0, 203, 0, 1, 600, 0
INVAR-10, Run: 074, F, 295, 1, 0, 0, 0, 0, 197, 0, 1, 600, 0
INVAR-10, Run: 075, F, 284, 2, 0, 0, 0, 0, 191, 0, 1, 600, 0
INVAR-10, Run: 076, F, 297, 1, 0, 0, 0, 0, 198, 0, 1, 600, 0
INVAR-10, Run: 077, F, 282, 0, 0, 0, 0, 0, 191, 0, 1, 600, 0
INVAR-10, Run: 078, F, 327, 1, 0, 0, 0, 0, 213, 0, 1, 600, 0
INVAR-10, Run: 079, F, 314, 0, 0, 0, 0, 0, 207, 0, 1, 600, 0
INVAR-10, Run: 080, F, 320, 0, 0, 0, 0, 0, 210, 0, 1, 600, 0
INVAR-10, Run: 081, F, 328, 0, 0, 0, 0, 0, 214, 0, 1, 600, 0
INVAR-10, Run: 082, F, 329, 1, 0, 0, 0, 0, 214, 0, 1, 600, 0
INVAR-10, Run: 083, F, 289, 1, 0, 0, 0, 0, 194, 0, 1, 600, 0
INVAR-10, Run: 084, F, 330, 0, 0, 0, 0, 0, 215, 0, 1, 600, 0
