Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
4, Run: 094, P, 2, 253, 0, 1, 0, 1, 2, 118, 0, 0, 1
4, Run: 095, P, 0, 207, 0, 1, 0, 1, 24, 118, 0, 0, 1
4, Run: 096, P, 0, 207, 0, 1, 0, 1, 24, 118, 0, 0, 1
4, Run: 097, P, 1, 230, 0, 1, 0, 1, 13, 118, 0, 0, 1
4, Run: 098, P, 0, 217, 0, 1, 0, 1, 19, 118, 0, 0, 1
4, Run: 099, P, 0, 217, 0, 1, 0, 1, 19, 118, 0, 0, 1
4, Run: 100, P, 0, 243, 0, 1, 0, 1, 6, 118, 0, 0, 1
5, Run: 001, P, 0, 242, 0, 1, 0, 1, 52, 160, 0, 0, 1
5, Run: 002, P, 0, 192, 0, 1, 0, 1, 77, 160, 0, 0, 1
5, Run: 003, P, 0, 254, 0, 1, 0, 1, 46, 160, 0, 0, 1
5, Run: 004, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 005, P, 0, 214, 0, 1, 0, 1, 66, 160, 0, 0, 1
5, Run: 006, P, 0, 222, 0, 1, 0, 1, 62, 160, 0, 0, 1
5, Run: 007, P, 0, 212, 0, 1, 0, 1, 67, 160, 0, 0, 1
5, Run: 008, P, 0, 252, 0, 1, 0, 1, 47, 160, 0, 0, 1
5, Run: 009, P, 0, 206, 0, 1, 0, 1, 70, 160, 0, 0, 1
5, Run: 010, P, 0, 260, 0, 1, 0, 1, 43, 160, 0, 0, 1
5, Run: 011, P, 0, 242, 0, 1, 0, 1, 52, 160, 0, 0, 1
5, Run: 012, P, 0, 238, 0, 1, 0, 1, 54, 160, 0, 0, 1
5, Run: 013, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 014, P, 0, 216, 0, 1, 0, 1, 65, 160, 0, 0, 1
5, Run: 015, P, 0, 244, 0, 1, 0, 1, 51, 160, 0, 0, 1
5, Run: 016, P, 0, 200, 0, 1, 0, 1, 73, 160, 0, 0, 1
5, Run: 017, P, 0, 192, 0, 1, 0, 1, 77, 160, 0, 0, 1
5, Run: 018, P, 0, 204, 0, 1, 0, 1, 71, 160, 0, 0, 1
5, Run: 019, P, 0, 240, 0, 1, 0, 1, 53, 160, 0, 0, 1
5, Run: 020, P, 0, 232, 0, 1, 0, 1, 57, 160, 0, 0, 1
5, Run: 021, P, 0, 196, 0, 1, 0, 1, 75, 160, 0, 0, 1
5, Run: 022, P, 0, 236, 0, 1, 0, 1, 55, 160, 0, 0, 1
5, Run: 023, P, 0, 214, 0, 1, 0, 1, 66, 160, 0, 0, 1
5, Run: 024, P, 0, 212, 0, 1, 0, 1, 67, 160, 0, 0, 1
5, Run: 025, P, 0, 210, 0, 1, 0, 1, 68, 160, 0, 0, 1
5, Run: 026, P, 0, 218, 0, 1, 0, 1, 64, 160, 0, 0, 1
5, Run: 027, P, 0, 216, 0, 1, 0, 1, 65, 160, 0, 0, 1
5, Run: 028, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 029, P, 0, 224, 0, 1, 0, 1, 61, 160, 0, 0, 1
5, Run: 030, P, 0, 284, 0, 1, 0, 1, 31, 160, 0, 0, 1
5, Run: 031, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 032, P, 0, 224, 0, 1, 0, 1, 61, 160, 0, 0, 1
5, Run: 033, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 034, P, 0, 236, 0, 1, 0, 1, 55, 160, 0, 0, 1
5, Run: 035, P, 0, 230, 0, 1, 0, 1, 58, 160, 0, 0, 1
5, Run: 036, P, 0, 218, 0, 1, 0, 1, 64, 160, 0, 0, 1
5, Run: 037, P, 0, 232, 0, 1, 0, 1, 57, 160, 0, 0, 1
5, Run: 038, P, 0, 200, 0, 1, 0, 1, 73, 160, 0, 0, 1
5, Run: 039, P, 0, 206, 0, 1, 0, 1, 70, 160, 0, 0, 1
5, Run: 040, P, 0, 214, 0, 1, 0, 1, 66, 160, 0, 0, 1
5, Run: 041, P, 0, 204, 0, 1, 0, 1, 71, 160, 0, 0, 1
5, Run: 042, P, 0, 214, 0, 1, 0, 1, 66, 160, 0, 0, 1
5, Run: 043, P, 0, 254, 0, 1, 0, 1, 46, 160, 0, 0, 1
5, Run: 044, P, 0, 236, 0, 1, 0, 1, 55, 160, 0, 0, 1
5, Run: 045, P, 0, 220, 0, 1, 0, 1, 63, 160, 0, 0, 1
5, Run: 046, P, 0, 204, 0, 1, 0, 1, 71, 160, 0, 0, 1
5, Run: 047, P, 0, 222, 0, 1, 0, 1, 62, 160, 0, 0, 1
5, Run: 048, P, 0, 224, 0, 1, 0, 1, 61, 160, 0, 0, 1
5, Run: 049, P, 0, 280, 0, 1, 0, 1, 33, 160, 0, 0, 1
5, Run: 050, P, 0, 230, 0, 1, 0, 1, 58, 160, 0, 0, 1
5, Run: 051, P, 0, 224, 0, 1, 0, 1, 61, 160, 0, 0, 1
5, Run: 052, P, 0, 252, 0, 1, 0, 1, 47, 160, 0, 0, 1
5, Run: 053, P, 0, 218, 0, 1, 0, 1, 64, 160, 0, 0, 1
5, Run: 054, P, 0, 212, 0, 1, 0, 1, 67, 160, 0, 0, 1
5, Run: 055, P, 0, 252, 0, 1, 0, 1, 47, 160, 0, 0, 1
5, Run: 056, P, 0, 222, 0, 1, 0, 1, 62, 160, 0, 0, 1
5, Run: 057, P, 0, 236, 0, 1, 0, 1, 55, 160, 0, 0, 1
5, Run: 058, P, 0, 208, 0, 1, 0, 1, 69, 160, 0, 0, 1
5, Run: 059, P, 0, 214, 0, 1, 0, 1, 66, 160, 0, 0, 1
5, Run: 060, P, 0, 206, 0, 1, 0, 1, 70, 160, 0, 0, 1
5, Run: 061, P, 0, 258, 0, 1, 0, 1, 44, 160, 0, 0, 1
5, Run: 062, P, 0, 260, 0, 1, 0, 1, 43, 160, 0, 0, 1
5, Run: 063, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 064, P, 0, 216, 0, 1, 0, 1, 65, 160, 0, 0, 1
5, Run: 065, P, 0, 220, 0, 1, 0, 1, 63, 160, 0, 0, 1
5, Run: 066, P, 0, 204, 0, 1, 0, 1, 71, 160, 0, 0, 1
5, Run: 067, P, 0, 226, 0, 1, 0, 1, 60, 160, 0, 0, 1
5, Run: 068, P, 0, 206, 0, 1, 0, 1, 70, 160, 0, 0, 1
5, Run: 069, P, 0, 222, 0, 1, 0, 1, 62, 160, 0, 0, 1
5, Run: 070, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 071, P, 0, 230, 0, 1, 0, 1, 58, 160, 0, 0, 1
5, Run: 072, P, 0, 224, 0, 1, 0, 1, 61, 160, 0, 0, 1
5, Run: 073, P, 0, 212, 0, 1, 0, 1, 67, 160, 0, 0, 1
5, Run: 074, P, 0, 244, 0, 1, 0, 1, 51, 160, 0, 0, 1
5, Run: 075, P, 0, 244, 0, 1, 0, 1, 51, 160, 0, 0, 1
5, Run: 076, P, 0, 252, 0, 1, 0, 1, 47, 160, 0, 0, 1
5, Run: 077, P, 0, 236, 0, 1, 0, 1, 55, 160, 0, 0, 1
5, Run: 078, P, 0, 256, 0, 1, 0, 1, 45, 160, 0, 0, 1
5, Run: 079, P, 0, 226, 0, 1, 0, 1, 60, 160, 0, 0, 1
5, Run: 080, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 081, P, 0, 196, 0, 1, 0, 1, 75, 160, 0, 0, 1
5, Run: 082, P, 0, 224, 0, 1, 0, 1, 61, 160, 0, 0, 1
5, Run: 083, P, 0, 190, 0, 1, 0, 1, 78, 160, 0, 0, 1
5, Run: 084, P, 0, 200, 0, 1, 0, 1, 73, 160, 0, 0, 1
