Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 045, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 63, 32, 9, 3, 5, 9, 18, 27, 91, 51
INVAR-1, Run: 046, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 59, 22, 9, 3, 5, 9, 18, 27, 82, 36
INVAR-1, Run: 047, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 55, 20, 9, 7, 1, 9, 18, 27, 89, 45
INVAR-1, Run: 048, F, 36, 0, 0, 0, 0, 0, 0, 18, 27, 1, 0, 9, 18, 10, 6, 9, 3, 5, 9, 18, 27, 28, 15
INVAR-1, Run: 049, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 73, 38, 9, 6, 2, 9, 18, 27, 103, 59
INVAR-1, Run: 050, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0, 13, 18, 10, 8, 9, 6, 2, 9, 18, 27, 32, 21
INVAR-1, Run: 051, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 32, 12, 9, 7, 1, 9, 18, 27, 64, 35
INVAR-1, Run: 052, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 17, 12, 9, 7, 1, 9, 18, 27, 40, 26
INVAR-1, Run: 053, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 42, 21, 9, 8, 0, 9, 18, 27, 73, 43
INVAR-1, Run: 054, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 75, 22, 9, 4, 4, 9, 18, 27, 105, 43
INVAR-1, Run: 055, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 63, 17, 9, 5, 3, 9, 18, 27, 97, 42
INVAR-1, Run: 056, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 22, 23, 9, 5, 3, 9, 18, 27, 56, 48
INVAR-1, Run: 057, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 45, 18, 9, 8, 0, 9, 18, 27, 73, 37
INVAR-1, Run: 058, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0, 15, 18, 9, 10, 9, 6, 2, 9, 18, 27, 33, 25
INVAR-1, Run: 059, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 23, 17, 9, 7, 1, 9, 18, 27, 55, 40
INVAR-1, Run: 060, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 35, 22, 9, 5, 3, 9, 18, 27, 66, 44
INVAR-1, Run: 061, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 22, 21, 9, 6, 2, 9, 18, 27, 52, 42
INVAR-1, Run: 062, F, 30, 0, 0, 0, 0, 0, 0, 21, 33, 1, 0, 12, 18, 28, 22, 9, 5, 3, 9, 18, 27, 49, 34
INVAR-1, Run: 063, F, 38, 0, 0, 0, 0, 0, 0, 17, 25, 1, 0, 8, 18, 9, 11, 9, 5, 3, 9, 18, 27, 26, 19
INVAR-1, Run: 064, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 21, 10, 9, 5, 3, 9, 18, 27, 47, 27
INVAR-1, Run: 065, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0, 26, 18, 46, 30, 9, 8, 0, 9, 18, 27, 81, 56
INVAR-1, Run: 066, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 63, 21, 9, 6, 2, 9, 18, 27, 96, 45
INVAR-1, Run: 067, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 61, 23, 9, 2, 6, 9, 18, 27, 94, 47
INVAR-1, Run: 068, F, 0, 0, 0, 0, 0, 0, 0, 36, 63, 1, 0, 27, 18, 54, 16, 9, 7, 1, 9, 18, 27, 90, 43
INVAR-1, Run: 069, F, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0, 14, 18, 28, 12, 9, 6, 2, 9, 18, 27, 51, 26
INVAR-1, Run: 070, F, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0, 13, 18, 27, 22, 9, 3, 5, 9, 18, 27, 49, 35
INVAR-1, Run: 071, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 31, 16, 9, 7, 1, 9, 18, 27, 63, 39
INVAR-1, Run: 072, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 34, 34, 9, 6, 2, 9, 18, 27, 66, 57
INVAR-1, Run: 073, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 51, 29, 9, 7, 1, 9, 18, 27, 83, 52
INVAR-1, Run: 074, F, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0, 15, 18, 28, 14, 9, 6, 2, 9, 18, 27, 52, 29
INVAR-1, Run: 075, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 30, 11, 9, 5, 3, 9, 18, 27, 58, 30
INVAR-1, Run: 076, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 50, 40, 9, 4, 4, 9, 18, 27, 80, 61
INVAR-1, Run: 077, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 26, 17, 9, 7, 1, 9, 18, 27, 57, 39
INVAR-1, Run: 078, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0, 20, 18, 47, 31, 9, 8, 0, 9, 18, 27, 76, 51
INVAR-1, Run: 079, F, 32, 0, 0, 0, 0, 0, 0, 20, 31, 1, 0, 11, 18, 9, 3, 9, 4, 4, 9, 18, 27, 29, 14
INVAR-1, Run: 080, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 47, 14, 9, 6, 2, 9, 18, 27, 73, 31
INVAR-1, Run: 081, F, 30, 0, 0, 0, 0, 0, 0, 21, 33, 1, 0, 12, 18, 21, 18, 9, 5, 3, 9, 18, 27, 42, 30
INVAR-1, Run: 082, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 29, 20, 9, 4, 4, 9, 18, 27, 61, 43
INVAR-1, Run: 083, F, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0, 16, 18, 22, 10, 9, 5, 3, 9, 18, 27, 47, 26
INVAR-1, Run: 084, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 30, 18, 9, 6, 2, 9, 18, 27, 60, 39
INVAR-1, Run: 085, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 88, 30, 9, 6, 2, 9, 18, 27, 122, 55
INVAR-1, Run: 086, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 45, 16, 9, 6, 2, 9, 18, 27, 78, 40
INVAR-1, Run: 087, F, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0, 24, 18, 33, 23, 9, 7, 1, 9, 18, 27, 66, 47
INVAR-1, Run: 088, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 56, 24, 9, 7, 1, 9, 18, 27, 87, 46
INVAR-1, Run: 089, F, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0, 17, 18, 21, 21, 9, 5, 3, 9, 18, 27, 47, 38
INVAR-1, Run: 090, F, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0, 23, 18, 29, 21, 9, 4, 4, 9, 18, 27, 61, 44
INVAR-1, Run: 091, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0, 20, 18, 36, 17, 9, 6, 2, 9, 18, 27, 65, 37
INVAR-1, Run: 092, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 21, 15, 9, 7, 1, 9, 18, 27, 55, 40
INVAR-1, Run: 093, F, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0, 18, 18, 13, 13, 9, 7, 1, 9, 18, 27, 40, 31
INVAR-1, Run: 094, F, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0, 21, 18, 23, 12, 9, 2, 6, 9, 18, 27, 53, 33
INVAR-1, Run: 095, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 31, 17, 9, 4, 4, 9, 18, 27, 62, 39
INVAR-1, Run: 096, F, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0, 19, 18, 33, 25, 9, 4, 4, 9, 18, 27, 61, 44
INVAR-1, Run: 097, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 43, 18, 9, 5, 3, 9, 18, 27, 77, 43
INVAR-1, Run: 098, F, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0, 22, 18, 27, 22, 9, 4, 4, 9, 18, 27, 58, 44
INVAR-1, Run: 099, F, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0, 20, 18, 67, 29, 9, 2, 6, 9, 18, 27, 96, 49
INVAR-1, Run: 100, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0, 25, 18, 50, 27, 9, 7, 1, 9, 18, 27, 84, 52
INVAR-10, Run: 001, F, 46, 0, 0, 0, 0, 0, 0, 377, 654, 1, 0, 277, 200, 1789, 682, 100, 68, 31, 100, 200, 300, 2166, 959
INVAR-10, Run: 002, F, 110, 0, 0, 0, 0, 0, 0, 345, 590, 1, 0, 245, 200, 1667, 851, 100, 54, 45, 100, 200, 300, 2012, 1096
INVAR-10, Run: 003, F, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0, 293, 200, 2219, 739, 100, 63, 36, 100, 200, 300, 2612, 1032
INVAR-10, Run: 004, F, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0, 291, 200, 2342, 833, 100, 69, 30, 100, 200, 300, 2733, 1124
INVAR-10, Run: 005, F, 54, 0, 0, 0, 0, 0, 0, 373, 646, 1, 0, 273, 200, 3154, 947, 100, 55, 44, 100, 200, 300, 3527, 1220
INVAR-10, Run: 006, F, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0, 291, 200, 1731, 765, 100, 62, 37, 100, 200, 300, 2122, 1056
INVAR-10, Run: 007, F, 26, 0, 0, 0, 0, 0, 0, 387, 674, 1, 0, 287, 200, 2188, 725, 100, 71, 28, 100, 200, 300, 2575, 1012
INVAR-10, Run: 008, F, 34, 0, 0, 0, 0, 0, 0, 383, 666, 1, 0, 283, 200, 2432, 780, 100, 62, 37, 100, 200, 300, 2815, 1063
INVAR-10, Run: 009, F, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0, 295, 200, 1902, 708, 100, 57, 42, 100, 200, 300, 2297, 1003
INVAR-10, Run: 010, F, 34, 0, 0, 0, 0, 0, 0, 383, 666, 1, 0, 283, 200, 3272, 916, 100, 71, 28, 100, 200, 300, 3655, 1199
INVAR-10, Run: 011, F, 70, 0, 0, 0, 0, 0, 0, 365, 630, 1, 0, 265, 200, 1975, 760, 100, 61, 38, 100, 200, 300, 2340, 1025
INVAR-10, Run: 012, F, 78, 0, 0, 0, 0, 0, 0, 361, 622, 1, 0, 261, 200, 1768, 750, 100, 61, 38, 100, 200, 300, 2129, 1011
INVAR-10, Run: 013, F, 26, 0, 0, 0, 0, 0, 0, 387, 674, 1, 0, 287, 200, 2859, 794, 100, 60, 39, 100, 200, 300, 3246, 1081
INVAR-10, Run: 014, F, 34, 0, 0, 0, 0, 0, 0, 383, 666, 1, 0, 283, 200, 2274, 884, 100, 73, 26, 100, 200, 300, 2657, 1167
INVAR-10, Run: 015, F, 26, 0, 0, 0, 0, 0, 0, 387, 674, 1, 0, 287, 200, 2264, 879, 100, 56, 43, 100, 200, 300, 2651, 1166
INVAR-10, Run: 016, F, 84, 0, 0, 0, 0, 0, 0, 358, 616, 1, 0, 258, 200, 1471, 592, 100, 67, 32, 100, 200, 300, 1829, 850
INVAR-10, Run: 017, F, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0, 296, 200, 2131, 770, 100, 70, 29, 100, 200, 300, 2527, 1066
INVAR-10, Run: 018, F, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0, 297, 200, 1771, 643, 100, 64, 35, 100, 200, 300, 2168, 940
INVAR-10, Run: 019, F, 126, 0, 0, 0, 0, 0, 0, 337, 574, 1, 0, 237, 200, 1635, 632, 100, 60, 39, 100, 200, 300, 1972, 869
INVAR-10, Run: 020, F, 92, 0, 0, 0, 0, 0, 0, 354, 608, 1, 0, 254, 200, 2138, 912, 100, 72, 27, 100, 200, 300, 2492, 1166
