Input Number, Run_Number, Result@ 1000, A, B, H, C, T2, L5, L4, L1, Y, T1, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 024, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 94, 73, 197, 7665, 7548, 7479, 7401, 7337, 73, 745, 69, 78, 64, 47, 7290, 7284, 575, 464, 370, 319, 170, 111
INVAR-1, Run: 025, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 1, 0, 0, 0, 0, 1, 6, 0, 5, 0, 9, 0, 1, 9, 22, 153, 98, 221, 7050, 6954, 6889, 6840, 6768, 52, 1134, 65, 49, 72, 82, 6686, 6681, 809, 572, 419, 343, 325, 237
INVAR-1, Run: 026, F, 0, 10, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 0, 8, 0, 9, 0, 1, 9, 21, 69, 48, 122, 12525, 12382, 12281, 12168, 12070, 101, 603, 101, 113, 98, 94, 11976, 11968, 452, 339, 270, 243, 151, 113
INVAR-1, Run: 027, F, 0, 10, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0, 9, 0, 1, 9, 24, 59, 49, 65, 7652, 7538, 7476, 7416, 7354, 66, 541, 62, 60, 62, 78, 7276, 7274, 370, 273, 214, 189, 171, 97
INVAR-1, Run: 028, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 1, 6, 0, 5, 0, 9, 0, 1, 9, 22, 102, 76, 104, 8477, 8353, 8300, 8217, 8146, 80, 896, 53, 83, 71, 71, 8074, 8069, 561, 382, 280, 226, 335, 179
INVAR-1, Run: 029, F, 0, 10, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 1, 1, 6, 0, 7, 0, 9, 0, 1, 9, 21, 77, 44, 68, 10198, 10073, 9979, 9905, 9821, 83, 712, 94, 74, 84, 77, 9743, 9736, 436, 289, 212, 189, 276, 147
INVAR-1, Run: 030, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 121, 73, 91, 5328, 5227, 5190, 5141, 5103, 55, 943, 37, 49, 38, 44, 5059, 5055, 591, 385, 264, 214, 352, 206
INVAR-1, Run: 031, F, 10, 0, 0, 0, 0, 0, 0, 0, 122, 1, 0, 0, 0, 0, 1, 6, 0, 5, 0, 0, 1, 2, 0, 22, 0, 0, 0, 11600, 11452, 11364, 11269, 11171, 104, 100, 88, 95, 98, 88, 11083, 11078, 100, 100, 100, 122, 0, 0
INVAR-1, Run: 032, F, 10, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0, 10, 11, 12, 10, 24, 92, 77, 113, 5874, 5771, 5719, 5664, 5617, 55, 951, 52, 55, 47, 56, 5561, 5559, 608, 382, 290, 237, 343, 226
INVAR-1, Run: 033, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 69, 47, 96, 9131, 9004, 8919, 8846, 8764, 83, 581, 85, 73, 82, 81, 8683, 8677, 401, 312, 243, 218, 180, 89
INVAR-1, Run: 034, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 47, 29, 36, 11106, 10963, 10860, 10758, 10684, 99, 449, 103, 102, 74, 77, 10607, 10601, 299, 212, 165, 158, 150, 87
INVAR-1, Run: 035, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 102, 106, 229, 7183, 7079, 7029, 6980, 6924, 58, 1040, 50, 49, 56, 66, 6858, 6854, 734, 537, 435, 352, 306, 197
INVAR-1, Run: 036, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 96, 76, 261, 8237, 8118, 8038, 7979, 7912, 73, 900, 80, 59, 67, 66, 7846, 7842, 665, 533, 437, 384, 235, 132
INVAR-1, Run: 037, F, 10, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 0, 1, 2, 0, 22, 0, 0, 0, 10566, 10421, 10327, 10237, 10156, 101, 100, 94, 90, 81, 90, 10066, 10060, 100, 100, 100, 122, 0, 0
INVAR-1, Run: 038, F, 0, 10, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0, 9, 0, 1, 9, 24, 80, 66, 96, 6486, 6365, 6310, 6248, 6200, 73, 767, 55, 62, 48, 57, 6143, 6141, 510, 342, 262, 220, 257, 168
INVAR-1, Run: 039, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 36, 35, 58, 8934, 8804, 8749, 8670, 8595, 86, 457, 55, 79, 75, 83, 8512, 8506, 321, 229, 193, 180, 136, 92
INVAR-1, Run: 040, F, 0, 0, 0, 10, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 8, 9, 0, 8, 23, 122, 96, 292, 10682, 10531, 10443, 10340, 10255, 105, 1020, 88, 103, 85, 95, 10160, 10156, 765, 610, 488, 415, 255, 155
INVAR-1, Run: 041, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 75, 59, 151, 8371, 8238, 8168, 8084, 8013, 87, 647, 70, 84, 71, 79, 7934, 7930, 488, 385, 310, 274, 159, 103
INVAR-1, Run: 042, F, 10, 0, 0, 0, 1, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 0, 7, 0, 0, 1, 2, 0, 21, 0, 0, 0, 10695, 10551, 10462, 10358, 10267, 101, 100, 89, 104, 91, 86, 10181, 10174, 100, 100, 100, 121, 0, 0
INVAR-1, Run: 043, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 1, 0, 0, 0, 0, 1, 6, 0, 5, 0, 9, 0, 1, 9, 22, 80, 46, 75, 7482, 7371, 7312, 7234, 7171, 67, 694, 59, 78, 63, 55, 7116, 7111, 439, 301, 221, 197, 255, 138
INVAR-1, Run: 044, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 0, 1, 6, 0, 5, 0, 9, 0, 1, 9, 22, 75, 63, 87, 9423, 9295, 9224, 9146, 9052, 84, 730, 71, 78, 93, 80, 8972, 8967, 472, 325, 250, 209, 258, 147
INVAR-1, Run: 045, F, 0, 10, 0, 0, 1, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 23, 69, 47, 58, 5653, 5567, 5529, 5495, 5449, 39, 579, 38, 34, 46, 44, 5405, 5402, 382, 274, 205, 181, 197, 108
INVAR-1, Run: 046, F, 10, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 0, 8, 0, 7, 8, 9, 7, 21, 68, 48, 129, 11443, 11298, 11214, 11126, 11031, 103, 542, 84, 88, 95, 108, 10923, 10915, 421, 345, 277, 250, 121, 76
INVAR-1, Run: 047, F, 0, 10, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 0, 8, 0, 9, 0, 1, 9, 21, 71, 60, 117, 12814, 12647, 12532, 12435, 12310, 125, 673, 115, 97, 125, 96, 12214, 12206, 474, 348, 277, 238, 199, 126
INVAR-1, Run: 048, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 25, 22, 38, 8161, 8044, 7953, 7894, 7826, 71, 336, 91, 59, 68, 71, 7755, 7751, 242, 185, 160, 161, 94, 57
INVAR-1, Run: 049, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 61, 37, 47, 7782, 7659, 7584, 7514, 7441, 77, 552, 75, 70, 73, 53, 7388, 7384, 353, 245, 184, 170, 199, 108
INVAR-1, Run: 050, F, 0, 10, 0, 0, 0, 0, 0, 0, 121, 0, 0, 1, 0, 0, 1, 6, 0, 7, 0, 9, 0, 1, 9, 21, 44, 37, 56, 10882, 10748, 10659, 10567, 10470, 92, 441, 89, 91, 97, 96, 10374, 10367, 312, 237, 193, 177, 129, 75
INVAR-1, Run: 051, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 1, 0, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 23, 47, 44, 72, 5301, 5204, 5151, 5107, 5073, 51, 592, 53, 43, 34, 46, 5027, 5024, 382, 263, 216, 195, 210, 119
INVAR-1, Run: 052, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 1, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 23, 115, 89, 138, 7286, 7174, 7096, 7031, 6967, 66, 945, 78, 65, 63, 56, 6911, 6908, 623, 442, 327, 261, 322, 181
INVAR-1, Run: 053, F, 10, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 0, 1, 2, 0, 23, 0, 0, 0, 10638, 10507, 10416, 10323, 10227, 85, 100, 91, 93, 96, 76, 10151, 10147, 100, 100, 100, 123, 0, 0
INVAR-1, Run: 054, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 39, 33, 25, 5912, 5806, 5754, 5704, 5654, 60, 529, 52, 50, 50, 53, 5601, 5597, 318, 197, 158, 148, 211, 121
INVAR-1, Run: 055, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 53, 42, 40, 9754, 9611, 9541, 9477, 9388, 99, 540, 70, 64, 89, 80, 9308, 9302, 343, 235, 182, 162, 197, 108
INVAR-1, Run: 056, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 1, 0, 0, 1, 1, 6, 0, 4, 0, 9, 0, 1, 9, 22, 113, 70, 108, 8429, 8310, 8223, 8150, 8069, 75, 860, 86, 73, 81, 91, 7977, 7973, 560, 391, 278, 230, 300, 169
INVAR-1, Run: 057, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 97, 61, 95, 7368, 7252, 7181, 7117, 7048, 72, 899, 71, 64, 69, 66, 6982, 6976, 559, 353, 256, 217, 340, 206
INVAR-1, Run: 058, F, 0, 10, 0, 0, 1, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 0, 7, 0, 9, 0, 1, 9, 21, 90, 72, 167, 9749, 9621, 9537, 9450, 9375, 85, 783, 84, 87, 75, 90, 9285, 9278, 568, 429, 339, 288, 215, 139
INVAR-1, Run: 059, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 47, 33, 39, 9475, 9333, 9254, 9161, 9091, 98, 461, 79, 93, 70, 68, 9023, 9017, 292, 219, 172, 161, 169, 73
INVAR-1, Run: 060, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 140, 61, 101, 8083, 7981, 7905, 7842, 7786, 56, 957, 76, 63, 56, 60, 7726, 7722, 602, 402, 262, 224, 355, 200
INVAR-1, Run: 061, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 58, 32, 30, 8175, 8060, 7983, 7897, 7838, 69, 508, 77, 86, 59, 74, 7764, 7760, 312, 220, 162, 153, 196, 92
