Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
10, Run: 027, P, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0
10, Run: 028, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
10, Run: 029, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
10, Run: 030, P, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0
10, Run: 031, P, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0
10, Run: 032, P, 80, 0, 0, 0, 0, 0, 0, 360, 620, 1, 0
10, Run: 033, P, 78, 0, 0, 0, 0, 0, 0, 361, 622, 1, 0
10, Run: 034, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
10, Run: 035, P, 32, 0, 0, 0, 0, 0, 0, 384, 668, 1, 0
10, Run: 036, P, 26, 0, 0, 0, 0, 0, 0, 387, 674, 1, 0
10, Run: 037, P, 76, 0, 0, 0, 0, 0, 0, 362, 624, 1, 0
10, Run: 038, P, 2, 0, 0, 0, 0, 0, 0, 399, 698, 1, 0
10, Run: 039, P, 22, 0, 0, 0, 0, 0, 0, 389, 678, 1, 0
10, Run: 040, P, 30, 0, 0, 0, 0, 0, 0, 385, 670, 1, 0
10, Run: 041, P, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0
10, Run: 042, P, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0
10, Run: 043, P, 80, 0, 0, 0, 0, 0, 0, 360, 620, 1, 0
10, Run: 044, P, 78, 0, 0, 0, 0, 0, 0, 361, 622, 1, 0
10, Run: 045, P, 56, 0, 0, 0, 0, 0, 0, 372, 644, 1, 0
10, Run: 046, P, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0
10, Run: 047, P, 2, 0, 0, 0, 0, 0, 0, 399, 698, 1, 0
10, Run: 048, P, 40, 0, 0, 0, 0, 0, 0, 380, 660, 1, 0
10, Run: 049, P, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0
10, Run: 050, P, 42, 0, 0, 0, 0, 0, 0, 379, 658, 1, 0
10, Run: 051, P, 38, 0, 0, 0, 0, 0, 0, 381, 662, 1, 0
10, Run: 052, P, 68, 0, 0, 0, 0, 0, 0, 366, 632, 1, 0
10, Run: 053, P, 58, 0, 0, 0, 0, 0, 0, 371, 642, 1, 0
10, Run: 054, P, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0
10, Run: 055, P, 122, 0, 0, 0, 0, 0, 0, 339, 578, 1, 0
10, Run: 056, P, 22, 0, 0, 0, 0, 0, 0, 389, 678, 1, 0
10, Run: 057, P, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0
10, Run: 058, P, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0
