Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B
INVAR-1, Run: 023, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 024, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 025, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 026, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 027, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 028, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 029, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 030, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 031, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 032, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 033, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 034, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 035, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 036, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 037, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 038, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 039, P, 3, 0, 0, 0, 0, 15, 0, 0, 1, 90, 0
INVAR-1, Run: 040, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 041, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 042, P, 0, 0, 1, 0, 1, 99, 3, 88, 0, 0, 1
INVAR-1, Run: 043, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 044, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 045, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 046, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1
INVAR-1, Run: 047, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1
INVAR-1, Run: 048, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 049, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 050, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1
INVAR-1, Run: 051, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 052, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 053, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 054, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 055, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 056, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 057, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 058, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 059, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 060, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 061, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 062, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 063, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 064, P, 0, 0, 1, 0, 1, 99, 3, 88, 0, 0, 1
INVAR-1, Run: 065, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 066, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 067, P, 0, 0, 1, 0, 1, 99, 3, 88, 0, 0, 1
INVAR-1, Run: 068, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 069, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 070, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 071, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 072, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1
INVAR-1, Run: 073, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 074, P, 0, 0, 1, 0, 1, 99, 3, 88, 0, 0, 1
INVAR-1, Run: 075, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1
INVAR-1, Run: 076, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1
INVAR-1, Run: 077, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 078, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 079, P, 0, 0, 1, 0, 1, 99, 3, 88, 0, 0, 1
INVAR-1, Run: 080, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 081, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 082, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 083, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 084, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1
INVAR-1, Run: 085, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 086, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 087, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 088, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 089, P, 9, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 090, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 091, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1
INVAR-1, Run: 092, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 093, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 094, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 095, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 096, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 097, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 098, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 099, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 100, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-10, Run: 001, P, 0, 0, 1, 0, 1, 1005, 49, 904, 0, 0, 1
INVAR-10, Run: 002, P, 0, 0, 1, 0, 1, 1197, 25, 1048, 0, 0, 1
INVAR-10, Run: 003, P, 0, 0, 1, 0, 1, 1061, 42, 946, 0, 0, 1
INVAR-10, Run: 004, P, 59, 0, 0, 0, 0, 141, 0, 0, 1, 846, 0
INVAR-10, Run: 005, P, 47, 0, 0, 0, 0, 153, 0, 0, 1, 918, 0
INVAR-10, Run: 006, P, 0, 0, 1, 0, 1, 917, 60, 838, 0, 0, 1
INVAR-10, Run: 007, P, 40, 0, 0, 0, 0, 160, 0, 0, 1, 960, 0
INVAR-10, Run: 008, P, 26, 0, 0, 0, 0, 174, 0, 0, 1, 1044, 0
INVAR-10, Run: 009, P, 0, 0, 1, 0, 1, 1069, 41, 952, 0, 0, 1
INVAR-10, Run: 010, P, 48, 0, 0, 0, 0, 152, 0, 0, 1, 912, 0
INVAR-10, Run: 011, P, 39, 0, 0, 0, 0, 161, 0, 0, 1, 966, 0
INVAR-10, Run: 012, P, 34, 0, 0, 0, 0, 166, 0, 0, 1, 996, 0
INVAR-10, Run: 013, P, 0, 0, 1, 0, 1, 1149, 31, 1012, 0, 0, 1
INVAR-10, Run: 014, P, 0, 0, 1, 0, 1, 1021, 47, 916, 0, 0, 1
INVAR-10, Run: 015, P, 45, 0, 0, 0, 0, 155, 0, 0, 1, 930, 0
INVAR-10, Run: 016, P, 47, 0, 0, 0, 0, 153, 0, 0, 1, 918, 0
INVAR-10, Run: 017, P, 0, 0, 1, 0, 1, 965, 54, 874, 0, 0, 1
INVAR-10, Run: 018, P, 42, 0, 0, 0, 0, 158, 0, 0, 1, 948, 0
INVAR-10, Run: 019, P, 32, 0, 0, 0, 0, 168, 0, 0, 1, 1008, 0
INVAR-10, Run: 020, P, 0, 0, 1, 0, 1, 1149, 31, 1012, 0, 0, 1
INVAR-10, Run: 021, P, 54, 0, 0, 0, 0, 146, 0, 0, 1, 876, 0
INVAR-10, Run: 022, P, 45, 0, 0, 0, 0, 155, 0, 0, 1, 930, 0
INVAR-10, Run: 023, P, 40, 0, 0, 0, 0, 160, 0, 0, 1, 960, 0
INVAR-10, Run: 024, P, 32, 0, 0, 0, 0, 168, 0, 0, 1, 1008, 0
INVAR-10, Run: 025, P, 0, 0, 1, 0, 1, 997, 50, 898, 0, 0, 1
INVAR-10, Run: 026, P, 46, 0, 0, 0, 0, 154, 0, 0, 1, 924, 0
INVAR-10, Run: 027, P, 51, 0, 0, 0, 0, 149, 0, 0, 1, 894, 0
INVAR-10, Run: 028, P, 51, 0, 0, 0, 0, 149, 0, 0, 1, 894, 0
INVAR-10, Run: 029, P, 0, 0, 1, 0, 1, 1165, 29, 1024, 0, 0, 1
INVAR-10, Run: 030, P, 52, 0, 0, 0, 0, 148, 0, 0, 1, 888, 0
INVAR-10, Run: 031, P, 0, 0, 1, 0, 1, 997, 50, 898, 0, 0, 1
INVAR-10, Run: 032, P, 32, 0, 0, 0, 0, 168, 0, 0, 1, 1008, 0
INVAR-10, Run: 033, P, 0, 0, 1, 0, 1, 1061, 42, 946, 0, 0, 1
INVAR-10, Run: 034, P, 46, 0, 0, 0, 0, 154, 0, 0, 1, 924, 0
INVAR-10, Run: 035, P, 0, 0, 1, 0, 1, 1173, 28, 1030, 0, 0, 1
INVAR-10, Run: 036, P, 0, 0, 1, 0, 1, 1197, 25, 1048, 0, 0, 1
INVAR-10, Run: 037, P, 46, 0, 0, 0, 0, 154, 0, 0, 1, 924, 0
INVAR-10, Run: 038, P, 0, 0, 1, 0, 1, 1061, 42, 946, 0, 0, 1
INVAR-10, Run: 039, P, 0, 0, 1, 0, 1, 965, 54, 874, 0, 0, 1
INVAR-10, Run: 040, P, 51, 0, 0, 0, 0, 149, 0, 0, 1, 894, 0
INVAR-10, Run: 041, P, 33, 0, 0, 0, 0, 167, 0, 0, 1, 1002, 0
INVAR-10, Run: 042, P, 0, 0, 1, 0, 1, 1141, 32, 1006, 0, 0, 1
INVAR-10, Run: 043, P, 49, 0, 0, 0, 0, 151, 0, 0, 1, 906, 0
INVAR-10, Run: 044, P, 46, 0, 0, 0, 0, 154, 0, 0, 1, 924, 0
INVAR-10, Run: 045, P, 54, 0, 0, 0, 0, 146, 0, 0, 1, 876, 0
INVAR-10, Run: 046, P, 0, 0, 1, 0, 1, 965, 54, 874, 0, 0, 1
INVAR-10, Run: 047, P, 39, 0, 0, 0, 0, 161, 0, 0, 1, 966, 0
INVAR-10, Run: 048, P, 34, 0, 0, 0, 0, 166, 0, 0, 1, 996, 0
INVAR-10, Run: 049, P, 0, 0, 1, 0, 1, 1173, 28, 1030, 0, 0, 1
INVAR-10, Run: 050, P, 53, 0, 0, 0, 0, 147, 0, 0, 1, 882, 0
INVAR-10, Run: 051, P, 51, 0, 0, 0, 0, 149, 0, 0, 1, 894, 0
INVAR-10, Run: 052, P, 50, 0, 0, 0, 0, 150, 0, 0, 1, 900, 0
INVAR-10, Run: 053, P, 0, 0, 1, 0, 1, 1053, 43, 940, 0, 0, 1
INVAR-10, Run: 054, P, 0, 0, 1, 0, 1, 1133, 33, 1000, 0, 0, 1
INVAR-10, Run: 055, P, 35, 0, 0, 0, 0, 165, 0, 0, 1, 990, 0
INVAR-10, Run: 056, P, 56, 0, 0, 0, 0, 144, 0, 0, 1, 864, 0
INVAR-10, Run: 057, P, 0, 0, 1, 0, 1, 1061, 42, 946, 0, 0, 1
INVAR-10, Run: 058, P, 0, 0, 1, 0, 1, 1021, 47, 916, 0, 0, 1
INVAR-10, Run: 059, P, 49, 0, 0, 0, 0, 151, 0, 0, 1, 906, 0
INVAR-10, Run: 060, P, 0, 0, 1, 0, 1, 1061, 42, 946, 0, 0, 1
INVAR-10, Run: 061, P, 0, 0, 1, 0, 1, 1109, 36, 982, 0, 0, 1
INVAR-10, Run: 062, P, 0, 0, 1, 0, 1, 1125, 34, 994, 0, 0, 1
INVAR-10, Run: 063, P, 0, 0, 1, 0, 1, 1053, 43, 940, 0, 0, 1
INVAR-10, Run: 064, P, 54, 0, 0, 0, 0, 146, 0, 0, 1, 876, 0
INVAR-10, Run: 065, P, 0, 0, 1, 0, 1, 1149, 31, 1012, 0, 0, 1
INVAR-10, Run: 066, P, 38, 0, 0, 0, 0, 162, 0, 0, 1, 972, 0
INVAR-10, Run: 067, P, 46, 0, 0, 0, 0, 154, 0, 0, 1, 924, 0
INVAR-10, Run: 068, P, 47, 0, 0, 0, 0, 153, 0, 0, 1, 918, 0
INVAR-10, Run: 069, P, 0, 0, 1, 0, 1, 1253, 18, 1090, 0, 0, 1
INVAR-10, Run: 070, P, 0, 0, 1, 0, 1, 1053, 43, 940, 0, 0, 1
INVAR-10, Run: 071, P, 0, 0, 1, 0, 1, 1053, 43, 940, 0, 0, 1
INVAR-10, Run: 072, P, 51, 0, 0, 0, 0, 149, 0, 0, 1, 894, 0
INVAR-10, Run: 073, P, 28, 0, 0, 0, 0, 172, 0, 0, 1, 1032, 0
INVAR-10, Run: 074, P, 0, 0, 1, 0, 1, 1013, 48, 910, 0, 0, 1
INVAR-10, Run: 075, P, 57, 0, 0, 0, 0, 143, 0, 0, 1, 858, 0
INVAR-10, Run: 076, P, 22, 0, 0, 0, 0, 178, 0, 0, 1, 1068, 0
INVAR-10, Run: 077, P, 39, 0, 0, 0, 0, 161, 0, 0, 1, 966, 0
INVAR-10, Run: 078, P, 46, 0, 0, 0, 0, 154, 0, 0, 1, 924, 0
INVAR-10, Run: 079, P, 0, 0, 1, 0, 1, 1133, 33, 1000, 0, 0, 1
INVAR-10, Run: 080, P, 0, 0, 1, 0, 1, 1101, 37, 976, 0, 0, 1
INVAR-10, Run: 081, P, 0, 0, 1, 0, 1, 989, 51, 892, 0, 0, 1
INVAR-10, Run: 082, P, 0, 0, 1, 0, 1, 989, 51, 892, 0, 0, 1
INVAR-10, Run: 083, P, 49, 0, 0, 0, 0, 151, 0, 0, 1, 906, 0
INVAR-10, Run: 084, P, 54, 0, 0, 0, 0, 146, 0, 0, 1, 876, 0
INVAR-10, Run: 085, P, 30, 0, 0, 0, 0, 170, 0, 0, 1, 1020, 0
INVAR-10, Run: 086, P, 47, 0, 0, 0, 0, 153, 0, 0, 1, 918, 0
INVAR-10, Run: 087, P, 0, 0, 1, 0, 1, 1029, 46, 922, 0, 0, 1
INVAR-10, Run: 088, P, 0, 0, 1, 0, 1, 1045, 44, 934, 0, 0, 1
INVAR-10, Run: 089, P, 58, 0, 0, 0, 0, 142, 0, 0, 1, 852, 0
INVAR-10, Run: 090, P, 0, 0, 1, 0, 1, 1133, 33, 1000, 0, 0, 1
INVAR-10, Run: 091, P, 0, 0, 1, 0, 1, 1037, 45, 928, 0, 0, 1
INVAR-10, Run: 092, P, 0, 0, 1, 0, 1, 1077, 40, 958, 0, 0, 1
INVAR-10, Run: 093, P, 44, 0, 0, 0, 0, 156, 0, 0, 1, 936, 0
INVAR-10, Run: 094, P, 56, 0, 0, 0, 0, 144, 0, 0, 1, 864, 0
INVAR-10, Run: 095, P, 0, 0, 1, 0, 1, 1237, 20, 1078, 0, 0, 1
INVAR-10, Run: 096, P, 42, 0, 0, 0, 0, 158, 0, 0, 1, 948, 0
INVAR-10, Run: 097, P, 34, 0, 0, 0, 0, 166, 0, 0, 1, 996, 0
INVAR-10, Run: 098, P, 18, 0, 0, 0, 0, 182, 0, 0, 1, 1092, 0
INVAR-10, Run: 099, P, 30, 0, 0, 0, 0, 170, 0, 0, 1, 1020, 0
INVAR-10, Run: 100, P, 0, 0, 1, 0, 1, 1253, 18, 1090, 0, 0, 1
INVAR-2, Run: 001, P, 19, 0, 0, 0, 0, 37, 0, 0, 1, 222, 0
INVAR-2, Run: 002, P, 0, 0, 1, 0, 1, 269, 15, 244, 0, 0, 1
INVAR-2, Run: 003, P, 0, 0, 1, 0, 1, 277, 14, 250, 0, 0, 1
INVAR-2, Run: 004, P, 4, 0, 0, 0, 0, 52, 0, 0, 1, 312, 0
INVAR-2, Run: 005, P, 0, 0, 1, 0, 1, 293, 12, 262, 0, 0, 1
INVAR-2, Run: 006, P, 14, 0, 0, 0, 0, 42, 0, 0, 1, 252, 0
INVAR-2, Run: 007, P, 0, 0, 1, 0, 1, 261, 16, 238, 0, 0, 1
INVAR-2, Run: 008, P, 0, 0, 1, 0, 1, 309, 10, 274, 0, 0, 1
INVAR-2, Run: 009, P, 10, 0, 0, 0, 0, 46, 0, 0, 1, 276, 0
INVAR-2, Run: 010, P, 0, 0, 1, 0, 1, 285, 13, 256, 0, 0, 1
INVAR-2, Run: 011, P, 0, 0, 1, 0, 1, 221, 21, 208, 0, 0, 1
INVAR-2, Run: 012, P, 0, 0, 1, 0, 1, 261, 16, 238, 0, 0, 1
INVAR-2, Run: 013, P, 21, 0, 0, 0, 0, 35, 0, 0, 1, 210, 0
INVAR-2, Run: 014, P, 19, 0, 0, 0, 0, 37, 0, 0, 1, 222, 0
INVAR-2, Run: 015, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 016, P, 13, 0, 0, 0, 0, 43, 0, 0, 1, 258, 0
INVAR-2, Run: 017, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 018, P, 18, 0, 0, 0, 0, 38, 0, 0, 1, 228, 0
INVAR-2, Run: 019, P, 0, 0, 1, 0, 1, 277, 14, 250, 0, 0, 1
INVAR-2, Run: 020, P, 14, 0, 0, 0, 0, 42, 0, 0, 1, 252, 0
INVAR-2, Run: 021, P, 14, 0, 0, 0, 0, 42, 0, 0, 1, 252, 0
INVAR-2, Run: 022, P, 0, 0, 1, 0, 1, 285, 13, 256, 0, 0, 1
INVAR-2, Run: 023, P, 19, 0, 0, 0, 0, 37, 0, 0, 1, 222, 0
INVAR-2, Run: 024, P, 0, 0, 1, 0, 1, 293, 12, 262, 0, 0, 1
INVAR-2, Run: 025, P, 0, 0, 1, 0, 1, 293, 12, 262, 0, 0, 1
INVAR-2, Run: 026, P, 18, 0, 0, 0, 0, 38, 0, 0, 1, 228, 0
INVAR-2, Run: 027, P, 9, 0, 0, 0, 0, 47, 0, 0, 1, 282, 0
INVAR-2, Run: 028, P, 0, 0, 1, 0, 1, 301, 11, 268, 0, 0, 1
INVAR-2, Run: 029, P, 0, 0, 1, 0, 1, 261, 16, 238, 0, 0, 1
INVAR-2, Run: 030, P, 12, 0, 0, 0, 0, 44, 0, 0, 1, 264, 0
INVAR-2, Run: 031, P, 0, 0, 1, 0, 1, 333, 7, 292, 0, 0, 1
INVAR-2, Run: 032, P, 0, 0, 1, 0, 1, 277, 14, 250, 0, 0, 1
INVAR-2, Run: 033, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 034, P, 0, 0, 1, 0, 1, 317, 9, 280, 0, 0, 1
INVAR-2, Run: 035, P, 10, 0, 0, 0, 0, 46, 0, 0, 1, 276, 0
INVAR-2, Run: 036, P, 0, 0, 1, 0, 1, 277, 14, 250, 0, 0, 1
INVAR-2, Run: 037, P, 15, 0, 0, 0, 0, 41, 0, 0, 1, 246, 0
INVAR-2, Run: 038, P, 10, 0, 0, 0, 0, 46, 0, 0, 1, 276, 0
INVAR-2, Run: 039, P, 9, 0, 0, 0, 0, 47, 0, 0, 1, 282, 0
INVAR-2, Run: 040, P, 0, 0, 1, 0, 1, 293, 12, 262, 0, 0, 1
INVAR-2, Run: 041, P, 19, 0, 0, 0, 0, 37, 0, 0, 1, 222, 0
INVAR-2, Run: 042, P, 0, 0, 1, 0, 1, 253, 17, 232, 0, 0, 1
INVAR-2, Run: 043, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 044, P, 13, 0, 0, 0, 0, 43, 0, 0, 1, 258, 0
INVAR-2, Run: 045, P, 0, 0, 1, 0, 1, 261, 16, 238, 0, 0, 1
INVAR-2, Run: 046, P, 10, 0, 0, 0, 0, 46, 0, 0, 1, 276, 0
INVAR-2, Run: 047, P, 7, 0, 0, 0, 0, 49, 0, 0, 1, 294, 0
INVAR-2, Run: 048, P, 0, 0, 1, 0, 1, 261, 16, 238, 0, 0, 1
INVAR-2, Run: 049, P, 0, 0, 1, 0, 1, 341, 6, 298, 0, 0, 1
INVAR-2, Run: 050, P, 0, 0, 1, 0, 1, 309, 10, 274, 0, 0, 1
INVAR-2, Run: 051, P, 0, 0, 1, 0, 1, 293, 12, 262, 0, 0, 1
INVAR-2, Run: 052, P, 0, 0, 1, 0, 1, 261, 16, 238, 0, 0, 1
INVAR-2, Run: 053, P, 21, 0, 0, 0, 0, 35, 0, 0, 1, 210, 0
INVAR-2, Run: 054, P, 22, 0, 0, 0, 0, 34, 0, 0, 1, 204, 0
INVAR-2, Run: 055, P, 0, 0, 1, 0, 1, 245, 18, 226, 0, 0, 1
INVAR-2, Run: 056, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 057, P, 15, 0, 0, 0, 0, 41, 0, 0, 1, 246, 0
INVAR-2, Run: 058, P, 14, 0, 0, 0, 0, 42, 0, 0, 1, 252, 0
INVAR-2, Run: 059, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 060, P, 17, 0, 0, 0, 0, 39, 0, 0, 1, 234, 0
INVAR-2, Run: 061, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 062, P, 19, 0, 0, 0, 0, 37, 0, 0, 1, 222, 0
INVAR-2, Run: 063, P, 14, 0, 0, 0, 0, 42, 0, 0, 1, 252, 0
INVAR-2, Run: 064, P, 14, 0, 0, 0, 0, 42, 0, 0, 1, 252, 0
INVAR-2, Run: 065, P, 12, 0, 0, 0, 0, 44, 0, 0, 1, 264, 0
INVAR-2, Run: 066, P, 18, 0, 0, 0, 0, 38, 0, 0, 1, 228, 0
INVAR-2, Run: 067, P, 0, 0, 1, 0, 1, 245, 18, 226, 0, 0, 1
INVAR-2, Run: 068, P, 20, 0, 0, 0, 0, 36, 0, 0, 1, 216, 0
INVAR-2, Run: 069, P, 0, 0, 1, 0, 1, 285, 13, 256, 0, 0, 1
INVAR-2, Run: 070, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 071, P, 0, 0, 1, 0, 1, 341, 6, 298, 0, 0, 1
INVAR-2, Run: 072, P, 19, 0, 0, 0, 0, 37, 0, 0, 1, 222, 0
INVAR-2, Run: 073, P, 0, 0, 1, 0, 1, 261, 16, 238, 0, 0, 1
INVAR-2, Run: 074, P, 0, 0, 1, 0, 1, 301, 11, 268, 0, 0, 1
INVAR-2, Run: 075, P, 0, 0, 1, 0, 1, 277, 14, 250, 0, 0, 1
INVAR-2, Run: 076, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 077, P, 17, 0, 0, 0, 0, 39, 0, 0, 1, 234, 0
INVAR-2, Run: 078, P, 0, 0, 1, 0, 1, 253, 17, 232, 0, 0, 1
INVAR-2, Run: 079, P, 0, 0, 1, 0, 1, 341, 6, 298, 0, 0, 1
INVAR-2, Run: 080, P, 0, 0, 1, 0, 1, 317, 9, 280, 0, 0, 1
INVAR-2, Run: 081, P, 14, 0, 0, 0, 0, 42, 0, 0, 1, 252, 0
INVAR-2, Run: 082, P, 15, 0, 0, 0, 0, 41, 0, 0, 1, 246, 0
INVAR-2, Run: 083, P, 0, 0, 1, 0, 1, 293, 12, 262, 0, 0, 1
INVAR-2, Run: 084, P, 16, 0, 0, 0, 0, 40, 0, 0, 1, 240, 0
INVAR-2, Run: 085, P, 18, 0, 0, 0, 0, 38, 0, 0, 1, 228, 0
INVAR-2, Run: 086, P, 0, 0, 1, 0, 1, 277, 14, 250, 0, 0, 1
INVAR-2, Run: 087, P, 19, 0, 0, 0, 0, 37, 0, 0, 1, 222, 0
INVAR-2, Run: 088, P, 15, 0, 0, 0, 0, 41, 0, 0, 1, 246, 0
