Input Number, Run_Number, Result@ 100, prey_mrna595, predator_Q2b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 055, F, 1, 0, 1, 0, 1, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 0, 0, 1, 0, 49, 98, 43, 115, 116, 115, 103, 101, 107, 70, 69, 58, 98, 57, 36, 33, 43, 25, 89, 7, 7, 2, 41, 94, 49, 49, 97, 95, 92, 91, 104, 77, 81, 27, 142, 27, 35, 36, 25, 36, 36, 45, 44, 101, 76, 72, 34, 33
INVAR-1, Run: 056, F, 0, 2, 1, 2, 0, 0, 2, 1, 3, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 48, 83, 39, 99, 118, 116, 96, 93, 82, 46, 72, 67, 81, 66, 35, 34, 60, 21, 82, 16, 16, 15, 49, 69, 37, 37, 96, 95, 83, 83, 114, 98, 117, 31, 114, 31, 55, 38, 16, 38, 38, 62, 62, 79, 57, 60, 49, 49
INVAR-1, Run: 057, F, 0, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 2, 1, 2, 2, 0, 0, 0, 0, 1, 0, 42, 89, 19, 124, 115, 115, 105, 104, 102, 61, 74, 21, 88, 20, 40, 40, 24, 21, 77, 17, 17, 11, 46, 94, 43, 41, 95, 93, 111, 109, 94, 66, 50, 27, 133, 27, 23, 34, 28, 34, 34, 27, 26, 83, 61, 105, 20, 19
INVAR-1, Run: 058, F, 0, 3, 1, 0, 0, 1, 0, 1, 1, 0, 2, 2, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 3, 0, 1, 57, 102, 15, 99, 89, 89, 108, 107, 107, 65, 69, 47, 102, 47, 42, 29, 22, 19, 114, 13, 13, 14, 71, 112, 55, 55, 97, 96, 94, 94, 90, 66, 56, 28, 166, 28, 33, 34, 24, 38, 35, 23, 23, 99, 78, 85, 22, 22
INVAR-1, Run: 059, F, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 1, 3, 3, 0, 0, 0, 0, 1, 0, 53, 89, 9, 100, 112, 111, 115, 115, 88, 46, 73, 8, 88, 7, 42, 37, 24, 25, 88, 11, 11, 8, 42, 70, 46, 44, 94, 91, 83, 80, 93, 76, 61, 13, 122, 13, 35, 36, 17, 36, 36, 26, 25, 98, 71, 91, 5, 4
INVAR-1, Run: 060, F, 0, 1, 1, 2, 0, 2, 1, 1, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 49, 103, 22, 86, 100, 99, 111, 107, 90, 66, 66, 51, 101, 51, 24, 39, 35, 31, 90, 13, 13, 20, 61, 122, 42, 42, 104, 104, 81, 80, 80, 58, 65, 14, 170, 13, 29, 26, 22, 27, 27, 36, 35, 114, 83, 66, 31, 31
INVAR-1, Run: 061, F, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 52, 92, 16, 100, 94, 94, 88, 88, 89, 50, 66, 19, 92, 19, 39, 34, 26, 29, 79, 31, 31, 35, 62, 88, 59, 59, 77, 76, 78, 78, 67, 48, 49, 37, 140, 37, 23, 32, 17, 32, 32, 26, 26, 82, 52, 84, 14, 14
INVAR-1, Run: 062, F, 1, 1, 1, 1, 0, 4, 2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 49, 97, 64, 124, 150, 148, 106, 105, 109, 49, 71, 77, 96, 77, 59, 34, 50, 32, 63, 18, 18, 23, 36, 90, 31, 31, 106, 104, 122, 122, 110, 87, 95, 37, 138, 37, 45, 37, 23, 37, 37, 50, 50, 100, 67, 64, 38, 38
INVAR-1, Run: 063, F, 0, 2, 1, 0, 1, 2, 1, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 50, 96, 9, 104, 90, 89, 95, 95, 92, 55, 73, 30, 96, 27, 37, 43, 24, 35, 79, 23, 23, 20, 49, 97, 59, 59, 88, 88, 80, 79, 70, 50, 51, 19, 142, 18, 24, 28, 20, 29, 29, 27, 27, 109, 73, 97, 8, 7
INVAR-1, Run: 064, F, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 1, 0, 1, 52, 94, 36, 94, 90, 90, 83, 83, 76, 44, 86, 65, 92, 65, 32, 48, 40, 32, 61, 34, 34, 32, 41, 99, 52, 50, 102, 101, 110, 109, 110, 83, 79, 59, 151, 59, 39, 37, 27, 38, 37, 40, 40, 115, 83, 58, 34, 34
INVAR-1, Run: 065, F, 0, 2, 1, 3, 0, 1, 2, 1, 4, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 51, 104, 30, 99, 74, 72, 90, 86, 85, 51, 56, 40, 101, 40, 33, 31, 35, 27, 90, 24, 24, 23, 62, 103, 55, 55, 118, 117, 104, 102, 126, 83, 76, 26, 152, 26, 41, 23, 43, 24, 23, 35, 35, 87, 60, 70, 29, 29
INVAR-1, Run: 066, F, 2, 0, 1, 2, 0, 3, 2, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 47, 103, 12, 88, 90, 88, 96, 96, 100, 75, 74, 17, 101, 17, 25, 39, 46, 24, 93, 6, 6, 6, 50, 61, 51, 51, 103, 102, 99, 99, 107, 81, 77, 13, 108, 13, 31, 34, 26, 34, 34, 46, 46, 98, 72, 79, 20, 20
INVAR-1, Run: 067, F, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 66, 117, 52, 101, 107, 106, 107, 107, 82, 55, 95, 63, 116, 63, 27, 42, 30, 35, 101, 17, 17, 15, 50, 130, 53, 53, 89, 88, 83, 83, 97, 69, 56, 27, 195, 27, 26, 53, 27, 53, 53, 30, 30, 124, 89, 49, 36, 36
INVAR-1, Run: 068, F, 1, 1, 1, 0, 0, 0, 0, 1, 1, 3, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 3, 2, 6, 0, 0, 1, 1, 48, 96, 5, 109, 122, 122, 106, 105, 110, 63, 54, 6, 96, 6, 44, 34, 12, 25, 97, 8, 8, 13, 61, 80, 57, 57, 87, 86, 81, 78, 89, 62, 50, 13, 127, 13, 30, 20, 25, 20, 20, 14, 13, 78, 53, 104, 2, 2
INVAR-1, Run: 069, F, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 53, 103, 22, 102, 85, 84, 97, 97, 90, 70, 58, 29, 103, 29, 20, 30, 31, 22, 65, 27, 27, 34, 46, 98, 57, 55, 106, 105, 108, 107, 113, 79, 76, 46, 150, 45, 45, 27, 33, 28, 28, 31, 31, 82, 60, 81, 28, 28
INVAR-1, Run: 070, F, 2, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 0, 2, 1, 1, 3, 0, 1, 0, 0, 0, 1, 46, 84, 29, 89, 99, 99, 106, 105, 113, 70, 76, 57, 83, 55, 42, 44, 60, 35, 69, 25, 25, 29, 50, 82, 52, 50, 108, 107, 144, 141, 139, 104, 122, 20, 125, 20, 59, 32, 35, 32, 32, 62, 62, 108, 73, 60, 40, 40
INVAR-1, Run: 071, F, 1, 2, 1, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 2, 1, 0, 0, 0, 1, 3, 2, 2, 0, 1, 1, 0, 1, 57, 110, 37, 104, 136, 136, 81, 81, 85, 46, 60, 84, 109, 82, 39, 35, 48, 22, 95, 16, 16, 16, 53, 116, 37, 37, 112, 109, 138, 136, 136, 107, 101, 24, 169, 24, 48, 23, 27, 25, 24, 53, 53, 104, 82, 70, 37, 37
INVAR-1, Run: 072, F, 2, 1, 1, 0, 0, 1, 1, 1, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 2, 0, 0, 1, 57, 95, 26, 111, 98, 97, 123, 120, 133, 96, 44, 16, 95, 16, 36, 22, 19, 18, 101, 8, 8, 2, 44, 82, 55, 54, 76, 74, 58, 58, 76, 58, 54, 10, 138, 10, 35, 20, 17, 22, 22, 19, 19, 68, 50, 86, 16, 16
INVAR-1, Run: 073, F, 0, 1, 1, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 64, 110, 4, 92, 93, 90, 96, 95, 88, 61, 75, 27, 110, 27, 27, 37, 16, 28, 85, 27, 27, 30, 51, 112, 65, 65, 100, 100, 101, 100, 81, 66, 42, 27, 175, 26, 26, 35, 15, 38, 38, 16, 16, 101, 73, 89, 9, 9
INVAR-1, Run: 074, F, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 3, 1, 0, 0, 0, 1, 49, 102, 14, 82, 90, 90, 104, 104, 113, 70, 83, 26, 101, 26, 42, 45, 25, 35, 93, 18, 18, 17, 61, 108, 61, 61, 97, 96, 91, 89, 75, 62, 49, 21, 157, 21, 23, 38, 10, 38, 38, 25, 25, 117, 82, 69, 16, 16
INVAR-1, Run: 075, F, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 0, 1, 0, 1, 0, 0, 1, 51, 105, 16, 104, 95, 94, 98, 96, 81, 53, 90, 37, 104, 36, 27, 35, 23, 26, 69, 35, 34, 27, 44, 115, 43, 43, 91, 89, 78, 76, 80, 65, 59, 48, 165, 46, 35, 52, 14, 55, 55, 24, 24, 104, 78, 89, 16, 16
INVAR-1, Run: 076, F, 0, 1, 1, 0, 0, 4, 3, 1, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 2, 0, 1, 52, 103, 34, 100, 133, 130, 100, 98, 91, 34, 60, 54, 103, 54, 55, 30, 38, 29, 85, 23, 23, 21, 54, 109, 61, 61, 109, 107, 86, 85, 98, 73, 76, 23, 160, 23, 38, 28, 24, 30, 28, 38, 38, 113, 84, 70, 41, 41
INVAR-1, Run: 077, F, 0, 0, 1, 0, 0, 3, 3, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0, 0, 1, 55, 104, 39, 111, 93, 90, 104, 102, 104, 65, 69, 89, 104, 89, 39, 41, 44, 17, 79, 18, 18, 23, 47, 94, 38, 38, 84, 82, 114, 113, 86, 63, 75, 28, 149, 28, 31, 28, 21, 28, 28, 44, 44, 87, 70, 75, 40, 40
INVAR-1, Run: 078, F, 1, 4, 1, 2, 0, 2, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 59, 112, 17, 102, 120, 118, 81, 81, 90, 49, 89, 23, 110, 23, 41, 35, 25, 23, 77, 23, 23, 28, 45, 114, 61, 61, 95, 95, 78, 78, 92, 64, 62, 30, 169, 30, 37, 53, 28, 54, 54, 25, 25, 99, 75, 87, 13, 13
INVAR-1, Run: 079, F, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 1, 1, 0, 0, 1, 40, 104, 23, 103, 97, 96, 100, 99, 92, 54, 71, 34, 102, 34, 37, 30, 38, 20, 44, 40, 39, 39, 43, 92, 33, 32, 105, 105, 113, 110, 100, 83, 94, 38, 130, 37, 55, 39, 17, 41, 41, 38, 38, 91, 71, 80, 22, 22
INVAR-1, Run: 080, F, 1, 3, 1, 0, 0, 1, 1, 1, 2, 3, 1, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 1, 1, 50, 100, 49, 96, 102, 101, 120, 118, 131, 76, 59, 75, 100, 73, 52, 27, 37, 33, 61, 26, 25, 35, 45, 104, 54, 52, 101, 100, 117, 115, 103, 82, 73, 54, 149, 52, 33, 30, 20, 32, 32, 40, 39, 102, 68, 48, 45, 45
INVAR-1, Run: 081, F, 0, 0, 1, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 0, 0, 0, 1, 52, 62, 5, 93, 105, 105, 114, 112, 116, 69, 33, 19, 61, 19, 45, 14, 28, 21, 95, 9, 8, 7, 50, 68, 51, 51, 102, 101, 88, 86, 89, 64, 66, 12, 120, 11, 37, 18, 23, 19, 19, 28, 28, 70, 48, 90, 12, 12
INVAR-1, Run: 082, F, 0, 1, 1, 0, 1, 2, 6, 1, 2, 0, 1, 1, 1, 2, 0, 1, 1, 0, 1, 3, 2, 6, 4, 0, 0, 3, 0, 47, 96, 39, 76, 82, 76, 94, 92, 95, 63, 97, 92, 96, 89, 32, 52, 67, 41, 59, 29, 28, 34, 46, 104, 54, 54, 124, 121, 107, 103, 128, 88, 137, 51, 147, 49, 59, 42, 34, 44, 44, 74, 71, 109, 67, 39, 42, 41
INVAR-1, Run: 083, F, 1, 5, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 52, 102, 32, 82, 71, 71, 86, 84, 102, 63, 70, 62, 101, 61, 38, 29, 38, 33, 91, 9, 9, 5, 43, 135, 51, 51, 100, 100, 69, 69, 99, 74, 99, 13, 181, 13, 59, 39, 25, 40, 39, 40, 39, 90, 56, 51, 44, 43
INVAR-1, Run: 084, F, 1, 2, 1, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 2, 0, 0, 1, 54, 91, 21, 79, 86, 85, 76, 76, 85, 42, 71, 34, 90, 33, 42, 32, 35, 17, 79, 27, 26, 21, 45, 102, 46, 46, 96, 94, 107, 105, 95, 71, 66, 22, 153, 21, 30, 36, 23, 39, 39, 36, 36, 85, 68, 60, 26, 26
INVAR-1, Run: 085, F, 0, 1, 1, 1, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 50, 102, 25, 100, 126, 125, 82, 80, 73, 40, 69, 34, 101, 34, 33, 30, 34, 17, 80, 20, 20, 15, 45, 91, 48, 48, 71, 71, 95, 95, 77, 57, 79, 32, 140, 32, 45, 38, 20, 39, 38, 34, 34, 107, 90, 76, 17, 17
INVAR-1, Run: 086, F, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 52, 100, 39, 104, 97, 96, 108, 107, 142, 89, 71, 65, 99, 65, 53, 33, 37, 26, 94, 17, 17, 17, 59, 110, 58, 58, 102, 102, 97, 97, 103, 73, 69, 22, 161, 22, 32, 35, 30, 38, 36, 37, 37, 99, 73, 67, 39, 39
INVAR-1, Run: 087, F, 0, 2, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 59, 85, 38, 90, 68, 67, 100, 100, 105, 72, 69, 74, 84, 73, 33, 37, 36, 38, 86, 14, 14, 11, 38, 93, 51, 51, 100, 99, 78, 77, 89, 55, 72, 16, 149, 15, 34, 30, 34, 32, 32, 38, 37, 104, 66, 52, 44, 43
INVAR-1, Run: 088, F, 1, 3, 1, 3, 0, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 42, 98, 30, 99, 94, 93, 78, 77, 81, 44, 55, 48, 95, 48, 36, 22, 34, 17, 80, 15, 15, 18, 55, 113, 45, 44, 74, 73, 81, 80, 101, 83, 73, 23, 152, 23, 37, 32, 17, 32, 32, 35, 34, 94, 75, 69, 24, 24
INVAR-1, Run: 089, F, 0, 0, 1, 1, 0, 3, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 3, 1, 4, 1, 0, 0, 1, 1, 33, 98, 34, 85, 62, 60, 111, 111, 105, 79, 40, 53, 97, 52, 26, 22, 35, 21, 80, 11, 11, 9, 56, 98, 60, 60, 92, 89, 83, 81, 92, 73, 67, 14, 130, 13, 29, 17, 15, 18, 18, 37, 36, 70, 49, 54, 42, 42
INVAR-1, Run: 090, F, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 3, 0, 0, 0, 2, 0, 1, 52, 117, 17, 101, 100, 100, 112, 112, 108, 72, 64, 35, 116, 35, 35, 35, 29, 30, 80, 18, 18, 13, 41, 112, 54, 53, 111, 109, 100, 97, 87, 59, 53, 27, 162, 27, 24, 27, 28, 29, 27, 29, 29, 97, 67, 85, 25, 25
INVAR-1, Run: 091, F, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 2, 1, 1, 2, 0, 0, 1, 2, 2, 3, 0, 2, 0, 0, 0, 53, 94, 11, 99, 100, 100, 112, 111, 117, 71, 68, 21, 94, 19, 45, 28, 25, 19, 88, 32, 32, 17, 52, 101, 56, 56, 101, 99, 91, 87, 83, 63, 61, 47, 151, 45, 32, 36, 17, 40, 40, 29, 29, 88, 69, 88, 17, 16
INVAR-1, Run: 092, F, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 56, 80, 26, 100, 98, 98, 99, 99, 98, 60, 51, 65, 79, 63, 38, 22, 41, 16, 64, 25, 25, 35, 43, 96, 62, 62, 123, 122, 115, 114, 115, 86, 92, 39, 149, 39, 49, 29, 29, 29, 29, 43, 43, 79, 63, 74, 24, 24
INVAR-1, Run: 093, F, 2, 3, 1, 3, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 3, 1, 1, 0, 0, 0, 0, 0, 58, 107, 38, 105, 113, 113, 115, 115, 116, 64, 60, 39, 104, 37, 51, 30, 26, 30, 91, 19, 19, 16, 47, 104, 52, 50, 83, 80, 88, 87, 88, 61, 50, 25, 157, 25, 22, 30, 26, 30, 30, 28, 28, 99, 69, 67, 31, 30
INVAR-1, Run: 094, F, 0, 2, 1, 0, 0, 0, 0, 1, 3, 4, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 2, 1, 1, 0, 0, 1, 42, 114, 35, 97, 93, 93, 106, 103, 114, 69, 100, 61, 114, 61, 41, 50, 50, 32, 52, 50, 49, 38, 48, 113, 39, 39, 95, 94, 112, 108, 103, 89, 92, 59, 153, 58, 41, 48, 12, 50, 50, 50, 50, 118, 86, 62, 37, 37
INVAR-1, Run: 095, F, 0, 6, 1, 2, 1, 2, 1, 1, 4, 2, 0, 0, 1, 1, 1, 1, 0, 1, 1, 2, 5, 0, 0, 0, 0, 0, 0, 56, 78, 22, 89, 89, 88, 89, 85, 72, 50, 59, 62, 76, 60, 20, 25, 40, 18, 95, 19, 19, 22, 61, 80, 52, 51, 101, 99, 95, 89, 108, 82, 85, 34, 128, 33, 42, 33, 26, 34, 34, 43, 43, 79, 61, 69, 21, 20
INVAR-1, Run: 096, F, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 52, 102, 14, 82, 70, 70, 112, 111, 95, 63, 62, 26, 102, 26, 32, 20, 17, 45, 62, 34, 34, 24, 33, 109, 58, 57, 92, 91, 90, 90, 71, 51, 35, 55, 160, 55, 18, 42, 20, 42, 42, 17, 17, 109, 64, 68, 15, 15
INVAR-1, Run: 097, F, 0, 2, 1, 0, 0, 0, 1, 1, 4, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 52, 100, 32, 108, 118, 117, 102, 98, 103, 50, 69, 37, 100, 36, 53, 41, 38, 19, 79, 15, 15, 26, 53, 97, 55, 55, 102, 102, 88, 88, 94, 61, 72, 27, 146, 27, 32, 27, 33, 28, 27, 40, 39, 90, 71, 76, 25, 25
INVAR-1, Run: 098, F, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 3, 1, 0, 0, 0, 1, 52, 108, 56, 88, 73, 73, 110, 109, 144, 94, 65, 88, 108, 87, 49, 32, 42, 39, 82, 24, 24, 18, 48, 101, 43, 43, 98, 97, 119, 118, 101, 79, 95, 27, 152, 26, 50, 32, 19, 33, 33, 44, 44, 99, 60, 33, 56, 56
INVAR-1, Run: 099, F, 0, 2, 1, 1, 1, 0, 0, 1, 2, 2, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 45, 109, 33, 92, 107, 107, 105, 103, 93, 44, 78, 65, 108, 63, 47, 33, 41, 31, 68, 35, 35, 25, 48, 119, 51, 51, 100, 100, 126, 125, 111, 85, 74, 47, 160, 46, 31, 41, 26, 44, 43, 43, 43, 91, 59, 59, 30, 29
INVAR-1, Run: 100, F, 0, 4, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 42, 80, 28, 105, 107, 107, 81, 81, 87, 43, 57, 40, 80, 38, 42, 32, 25, 22, 74, 9, 8, 11, 43, 70, 30, 30, 108, 107, 95, 94, 89, 73, 54, 9, 106, 8, 26, 24, 16, 25, 25, 27, 27, 70, 48, 78, 28, 28
