Input Number, Run_Number, Result@ 100, CO, D, A, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 017, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 5, 103, 9, 6, 2, 9, 18, 27, 6, 111
INVAR-1, Run: 018, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 2, 54, 9, 4, 4, 9, 18, 27, 4, 61
INVAR-1, Run: 019, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 10, 119, 9, 3, 5, 9, 18, 27, 11, 127
INVAR-1, Run: 020, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 2, 98, 9, 4, 4, 9, 18, 27, 4, 105
INVAR-1, Run: 021, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 6, 178, 9, 6, 2, 9, 18, 27, 7, 186
INVAR-1, Run: 022, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 9, 108, 9, 5, 3, 9, 18, 27, 9, 117
INVAR-1, Run: 023, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 8, 63, 9, 8, 0, 9, 18, 27, 9, 71
INVAR-1, Run: 024, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 97, 9, 4, 4, 9, 18, 27, 4, 105
INVAR-1, Run: 025, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 7, 64, 9, 5, 3, 9, 18, 27, 8, 72
INVAR-1, Run: 026, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 55, 9, 4, 4, 9, 18, 27, 3, 63
INVAR-1, Run: 027, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 159, 9, 6, 2, 9, 18, 27, 2, 168
INVAR-1, Run: 028, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 102, 9, 6, 2, 9, 18, 27, 6, 111
INVAR-1, Run: 029, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 12, 137, 9, 5, 3, 9, 18, 27, 12, 146
INVAR-1, Run: 030, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 7, 49, 9, 5, 3, 9, 18, 27, 8, 57
INVAR-1, Run: 031, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 0, 137, 9, 7, 1, 9, 18, 27, 0, 146
INVAR-1, Run: 032, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 5, 124, 9, 5, 3, 9, 18, 27, 6, 132
INVAR-1, Run: 033, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 88, 9, 8, 0, 9, 18, 27, 4, 97
INVAR-1, Run: 034, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 8, 127, 9, 6, 2, 9, 18, 27, 8, 136
INVAR-1, Run: 035, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 5, 107, 9, 4, 4, 9, 18, 27, 6, 115
INVAR-1, Run: 036, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 9, 82, 9, 5, 3, 9, 18, 27, 9, 91
INVAR-1, Run: 037, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 72, 9, 5, 3, 9, 18, 27, 6, 81
INVAR-1, Run: 038, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 0, 86, 9, 6, 2, 9, 18, 27, 1, 94
INVAR-1, Run: 039, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 110, 9, 6, 2, 9, 18, 27, 2, 119
INVAR-1, Run: 040, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 57, 9, 6, 2, 9, 18, 27, 2, 66
INVAR-1, Run: 041, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 161, 9, 6, 2, 9, 18, 27, 6, 170
INVAR-1, Run: 042, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 8, 25, 9, 3, 5, 9, 18, 27, 10, 32
INVAR-1, Run: 043, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 80, 9, 5, 3, 9, 18, 27, 4, 88
INVAR-1, Run: 044, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 74, 9, 5, 3, 9, 18, 27, 6, 83
INVAR-1, Run: 045, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 2, 52, 9, 3, 5, 9, 18, 27, 4, 59
INVAR-1, Run: 046, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 210, 9, 6, 2, 9, 18, 27, 2, 219
INVAR-1, Run: 047, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 1, 75, 9, 4, 4, 9, 18, 27, 3, 82
INVAR-1, Run: 048, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 4, 79, 9, 5, 3, 9, 18, 27, 5, 87
INVAR-1, Run: 049, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 129, 9, 5, 3, 9, 18, 27, 6, 138
INVAR-1, Run: 050, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 71, 9, 6, 2, 9, 18, 27, 4, 79
INVAR-1, Run: 051, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 4, 125, 9, 5, 3, 9, 18, 27, 5, 133
INVAR-1, Run: 052, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 0, 63, 9, 6, 2, 9, 18, 27, 1, 71
INVAR-1, Run: 053, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 86, 9, 7, 1, 9, 18, 27, 6, 95
INVAR-1, Run: 054, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 106, 9, 7, 1, 9, 18, 27, 3, 115
INVAR-1, Run: 055, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 68, 9, 3, 5, 9, 18, 27, 4, 76
INVAR-1, Run: 056, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 0, 74, 9, 5, 3, 9, 18, 27, 1, 82
INVAR-1, Run: 057, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 59, 9, 5, 3, 9, 18, 27, 3, 67
INVAR-1, Run: 058, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 0, 123, 9, 4, 4, 9, 18, 27, 0, 132
INVAR-1, Run: 059, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 9, 138, 9, 3, 5, 9, 18, 27, 9, 147
INVAR-1, Run: 060, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 66, 9, 6, 2, 9, 18, 27, 5, 75
INVAR-1, Run: 061, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 16, 104, 9, 4, 4, 9, 18, 27, 17, 112
INVAR-1, Run: 062, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 7, 93, 9, 4, 4, 9, 18, 27, 8, 101
INVAR-1, Run: 063, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 70, 9, 6, 2, 9, 18, 27, 6, 79
INVAR-1, Run: 064, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 94, 9, 5, 3, 9, 18, 27, 3, 103
INVAR-1, Run: 065, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 162, 9, 3, 5, 9, 18, 27, 2, 171
INVAR-1, Run: 066, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 7, 56, 9, 5, 3, 9, 18, 27, 8, 64
INVAR-1, Run: 067, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 8, 136, 9, 6, 2, 9, 18, 27, 8, 145
INVAR-1, Run: 068, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 8, 92, 9, 3, 5, 9, 18, 27, 8, 101
INVAR-1, Run: 069, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 123, 9, 8, 0, 9, 18, 27, 2, 132
INVAR-1, Run: 070, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 9, 29, 9, 6, 2, 9, 18, 27, 9, 38
INVAR-1, Run: 071, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 8, 71, 9, 6, 2, 9, 18, 27, 8, 80
INVAR-1, Run: 072, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 94, 9, 7, 1, 9, 18, 27, 4, 103
INVAR-1, Run: 073, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 69, 9, 6, 2, 9, 18, 27, 4, 77
INVAR-1, Run: 074, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 6, 152, 9, 4, 4, 9, 18, 27, 7, 160
INVAR-1, Run: 075, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 8, 106, 9, 6, 2, 9, 18, 27, 8, 115
INVAR-1, Run: 076, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 105, 9, 5, 3, 9, 18, 27, 3, 114
INVAR-1, Run: 077, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 84, 9, 7, 1, 9, 18, 27, 2, 93
INVAR-1, Run: 078, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 140, 9, 6, 2, 9, 18, 27, 3, 149
INVAR-1, Run: 079, F, 0, 0, 54, 0, 0, 0, 0, 3, 9, 1, 0, 6, 18, 2, 25, 9, 7, 1, 9, 18, 27, 5, 31
INVAR-1, Run: 080, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 120, 9, 6, 2, 9, 18, 27, 4, 129
INVAR-1, Run: 081, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 86, 9, 7, 1, 9, 18, 27, 4, 95
INVAR-1, Run: 082, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 5, 53, 9, 8, 0, 9, 18, 27, 7, 60
INVAR-1, Run: 083, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 10, 175, 9, 4, 4, 9, 18, 27, 10, 184
INVAR-1, Run: 084, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 10, 118, 9, 7, 1, 9, 18, 27, 10, 127
INVAR-1, Run: 085, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 114, 9, 4, 4, 9, 18, 27, 4, 122
INVAR-1, Run: 086, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 1, 154, 9, 4, 4, 9, 18, 27, 3, 161
INVAR-1, Run: 087, F, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 7, 75, 9, 7, 1, 9, 18, 27, 9, 82
INVAR-1, Run: 088, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 101, 9, 6, 2, 9, 18, 27, 4, 109
INVAR-1, Run: 089, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 8, 94, 9, 3, 5, 9, 18, 27, 9, 102
INVAR-1, Run: 090, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 0, 98, 9, 8, 0, 9, 18, 27, 1, 106
INVAR-1, Run: 091, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 84, 9, 8, 0, 9, 18, 27, 3, 93
INVAR-1, Run: 092, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 120, 9, 5, 3, 9, 18, 27, 5, 129
INVAR-1, Run: 093, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 143, 9, 5, 3, 9, 18, 27, 3, 151
INVAR-1, Run: 094, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 13, 55, 9, 4, 4, 9, 18, 27, 13, 64
INVAR-1, Run: 095, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 107, 9, 5, 3, 9, 18, 27, 4, 116
INVAR-1, Run: 096, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 1, 161, 9, 7, 1, 9, 18, 27, 2, 169
INVAR-1, Run: 097, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 90, 9, 6, 2, 9, 18, 27, 3, 98
INVAR-1, Run: 098, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 9, 119, 9, 5, 3, 9, 18, 27, 9, 128
INVAR-1, Run: 099, F, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 109, 9, 6, 2, 9, 18, 27, 6, 118
INVAR-1, Run: 100, F, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 147, 9, 5, 3, 9, 18, 27, 3, 155
INVAR-10, Run: 001, F, 0, 0, 600, 0, 0, 0, 0, 2, 100, 1, 0, 98, 200, 130, 3388, 100, 64, 35, 100, 200, 300, 132, 3486
INVAR-10, Run: 002, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 87, 5152, 100, 69, 30, 100, 200, 300, 88, 5251
INVAR-10, Run: 003, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 105, 5726, 100, 60, 39, 100, 200, 300, 106, 5825
INVAR-10, Run: 004, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 78, 4091, 100, 59, 40, 100, 200, 300, 79, 4190
INVAR-10, Run: 005, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 99, 4638, 100, 71, 28, 100, 200, 300, 100, 4737
INVAR-10, Run: 006, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 97, 5348, 100, 54, 45, 100, 200, 300, 97, 5448
INVAR-10, Run: 007, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 83, 5098, 100, 57, 42, 100, 200, 300, 83, 5198
INVAR-10, Run: 008, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 109, 5117, 100, 60, 39, 100, 200, 300, 109, 5217
INVAR-10, Run: 009, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 71, 6599, 100, 59, 40, 100, 200, 300, 71, 6699
INVAR-10, Run: 010, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 126, 5229, 100, 57, 42, 100, 200, 300, 127, 5328
INVAR-10, Run: 011, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 75, 5334, 100, 57, 42, 100, 200, 300, 76, 5433
INVAR-10, Run: 012, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 107, 5558, 100, 59, 40, 100, 200, 300, 107, 5658
INVAR-10, Run: 013, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 95, 5206, 100, 61, 38, 100, 200, 300, 95, 5306
INVAR-10, Run: 014, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 125, 5283, 100, 61, 38, 100, 200, 300, 126, 5382
INVAR-10, Run: 015, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 73, 5165, 100, 61, 38, 100, 200, 300, 74, 5264
INVAR-10, Run: 016, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 70, 4838, 100, 64, 35, 100, 200, 300, 71, 4937
INVAR-10, Run: 017, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 111, 3427, 100, 53, 46, 100, 200, 300, 112, 3526
INVAR-10, Run: 018, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 98, 5554, 100, 51, 48, 100, 200, 300, 98, 5654
INVAR-10, Run: 019, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 87, 5140, 100, 63, 36, 100, 200, 300, 88, 5239
INVAR-10, Run: 020, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 114, 5798, 100, 57, 42, 100, 200, 300, 115, 5897
INVAR-10, Run: 021, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 111, 5096, 100, 63, 36, 100, 200, 300, 111, 5196
INVAR-10, Run: 022, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 122, 3851, 100, 56, 43, 100, 200, 300, 123, 3950
INVAR-10, Run: 023, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 80, 5493, 100, 69, 30, 100, 200, 300, 81, 5592
INVAR-10, Run: 024, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 91, 5180, 100, 63, 36, 100, 200, 300, 92, 5279
INVAR-10, Run: 025, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 106, 5787, 100, 67, 32, 100, 200, 300, 106, 5887
INVAR-10, Run: 026, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 103, 3934, 100, 63, 36, 100, 200, 300, 104, 4033
INVAR-10, Run: 027, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 80, 5536, 100, 74, 25, 100, 200, 300, 80, 5636
INVAR-10, Run: 028, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 105, 5575, 100, 68, 31, 100, 200, 300, 105, 5675
INVAR-10, Run: 029, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 66, 6005, 100, 66, 33, 100, 200, 300, 67, 6104
INVAR-10, Run: 030, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 82, 4250, 100, 63, 36, 100, 200, 300, 82, 4350
INVAR-10, Run: 031, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 100, 5168, 100, 60, 39, 100, 200, 300, 100, 5268
INVAR-10, Run: 032, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 109, 4095, 100, 57, 42, 100, 200, 300, 110, 4194
INVAR-10, Run: 033, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 77, 4470, 100, 66, 33, 100, 200, 300, 78, 4569
INVAR-10, Run: 034, F, 0, 0, 600, 0, 0, 0, 0, 2, 100, 1, 0, 98, 200, 87, 5359, 100, 69, 30, 100, 200, 300, 89, 5457
INVAR-10, Run: 035, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 131, 4632, 100, 62, 37, 100, 200, 300, 131, 4732
INVAR-10, Run: 036, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 93, 7465, 100, 65, 34, 100, 200, 300, 93, 7565
INVAR-10, Run: 037, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 109, 5244, 100, 63, 36, 100, 200, 300, 109, 5344
INVAR-10, Run: 038, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 87, 4652, 100, 67, 32, 100, 200, 300, 87, 4752
INVAR-10, Run: 039, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 63, 5990, 100, 69, 30, 100, 200, 300, 64, 6089
INVAR-10, Run: 040, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 81, 6097, 100, 62, 37, 100, 200, 300, 81, 6197
INVAR-10, Run: 041, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 106, 5091, 100, 70, 29, 100, 200, 300, 107, 5190
INVAR-10, Run: 042, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 78, 5257, 100, 64, 35, 100, 200, 300, 78, 5357
INVAR-10, Run: 043, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 151, 4393, 100, 60, 39, 100, 200, 300, 152, 4492
INVAR-10, Run: 044, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 73, 5848, 100, 72, 27, 100, 200, 300, 74, 5947
INVAR-10, Run: 045, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 90, 4504, 100, 61, 38, 100, 200, 300, 91, 4603
INVAR-10, Run: 046, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 151, 5582, 100, 56, 43, 100, 200, 300, 152, 5681
INVAR-10, Run: 047, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 97, 5113, 100, 50, 49, 100, 200, 300, 97, 5213
INVAR-10, Run: 048, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 119, 6669, 100, 64, 35, 100, 200, 300, 119, 6769
INVAR-10, Run: 049, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 70, 5129, 100, 65, 34, 100, 200, 300, 71, 5228
INVAR-10, Run: 050, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 83, 6133, 100, 61, 38, 100, 200, 300, 84, 6232
INVAR-10, Run: 051, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 112, 5441, 100, 68, 31, 100, 200, 300, 112, 5541
INVAR-10, Run: 052, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 92, 3920, 100, 62, 37, 100, 200, 300, 92, 4020
INVAR-10, Run: 053, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 99, 4793, 100, 66, 33, 100, 200, 300, 99, 4893
INVAR-10, Run: 054, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 104, 5342, 100, 63, 36, 100, 200, 300, 105, 5441
INVAR-10, Run: 055, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 69, 4653, 100, 64, 35, 100, 200, 300, 70, 4752
INVAR-10, Run: 056, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 101, 5832, 100, 62, 37, 100, 200, 300, 101, 5932
INVAR-10, Run: 057, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 108, 3887, 100, 62, 37, 100, 200, 300, 108, 3987
INVAR-10, Run: 058, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 108, 4983, 100, 67, 32, 100, 200, 300, 109, 5082
INVAR-10, Run: 059, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 85, 4861, 100, 70, 29, 100, 200, 300, 86, 4960
INVAR-10, Run: 060, F, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 92, 5094, 100, 65, 34, 100, 200, 300, 92, 5194
INVAR-10, Run: 061, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 121, 3982, 100, 71, 28, 100, 200, 300, 122, 4081
INVAR-10, Run: 062, F, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 112, 3842, 100, 60, 39, 100, 200, 300, 113, 3941
