Input Number, Run_Number, Result@ 100, CO, D, A, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 062, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 197, 9, 4, 4, 9, 18, 27, 3, 206
INVAR-1, Run: 063, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 1, 106, 9, 6, 2, 9, 18, 27, 1, 115
INVAR-1, Run: 064, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 102, 9, 6, 2, 9, 18, 27, 5, 111
INVAR-1, Run: 065, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 1, 123, 9, 6, 2, 9, 18, 27, 1, 132
INVAR-1, Run: 066, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 132, 9, 8, 0, 9, 18, 27, 6, 141
INVAR-1, Run: 067, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 6, 38, 9, 5, 3, 9, 18, 27, 6, 47
INVAR-1, Run: 068, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 5, 55, 9, 4, 4, 9, 18, 27, 6, 63
INVAR-1, Run: 069, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 117, 9, 6, 2, 9, 18, 27, 5, 126
INVAR-1, Run: 070, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 53, 9, 4, 4, 9, 18, 27, 3, 61
INVAR-1, Run: 071, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 5, 86, 9, 7, 1, 9, 18, 27, 6, 94
INVAR-1, Run: 072, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 121, 9, 6, 2, 9, 18, 27, 2, 130
INVAR-1, Run: 073, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 124, 9, 6, 2, 9, 18, 27, 3, 132
INVAR-1, Run: 074, P, 0, 0, 54, 0, 0, 0, 0, 3, 9, 1, 0, 6, 18, 3, 38, 9, 1, 7, 9, 18, 27, 6, 44
INVAR-1, Run: 075, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 173, 9, 6, 2, 9, 18, 27, 2, 182
INVAR-1, Run: 076, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 1, 115, 9, 6, 2, 9, 18, 27, 1, 124
INVAR-1, Run: 077, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 63, 9, 4, 4, 9, 18, 27, 5, 72
INVAR-1, Run: 078, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 110, 9, 8, 0, 9, 18, 27, 3, 119
INVAR-1, Run: 079, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 1, 73, 9, 6, 2, 9, 18, 27, 2, 81
INVAR-1, Run: 080, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 176, 9, 6, 2, 9, 18, 27, 5, 185
INVAR-1, Run: 081, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 95, 9, 4, 4, 9, 18, 27, 3, 104
INVAR-1, Run: 082, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 85, 9, 8, 0, 9, 18, 27, 3, 93
INVAR-1, Run: 083, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 3, 88, 9, 6, 2, 9, 18, 27, 3, 97
INVAR-1, Run: 084, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 6, 71, 9, 3, 5, 9, 18, 27, 7, 79
INVAR-1, Run: 085, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 7, 97, 9, 5, 3, 9, 18, 27, 7, 106
INVAR-1, Run: 086, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 5, 103, 9, 5, 3, 9, 18, 27, 6, 111
INVAR-1, Run: 087, P, 0, 0, 54, 0, 0, 0, 0, 2, 9, 1, 0, 7, 18, 5, 73, 9, 4, 4, 9, 18, 27, 7, 80
