Input Number, Run_Number, Result@ 100, X1, Y, X2
INVAR-10, Run: 092, P, 50, 5053, 0
INVAR-10, Run: 093, P, 50, 5150, 0
INVAR-10, Run: 094, P, 50, 4977, 0
INVAR-10, Run: 095, P, 50, 4926, 0
INVAR-10, Run: 096, P, 50, 4932, 0
INVAR-10, Run: 097, P, 50, 4958, 0
INVAR-10, Run: 098, P, 50, 4835, 0
INVAR-10, Run: 099, P, 50, 4931, 0
INVAR-10, Run: 100, P, 50, 5061, 0
INVAR-11, Run: 001, P, 100, 9909, 0
INVAR-11, Run: 002, P, 100, 10050, 0
INVAR-11, Run: 003, P, 100, 10049, 0
INVAR-11, Run: 004, P, 100, 10184, 0
INVAR-11, Run: 005, P, 100, 10122, 0
INVAR-11, Run: 006, P, 100, 9922, 0
INVAR-11, Run: 007, P, 100, 9890, 0
INVAR-11, Run: 008, P, 100, 9936, 0
INVAR-11, Run: 009, P, 100, 10205, 0
INVAR-11, Run: 010, P, 100, 9770, 0
INVAR-11, Run: 011, P, 100, 10138, 0
INVAR-11, Run: 012, P, 100, 9789, 0
INVAR-11, Run: 013, P, 100, 9881, 0
INVAR-11, Run: 014, P, 100, 9896, 0
INVAR-11, Run: 015, P, 100, 10035, 0
INVAR-11, Run: 016, P, 100, 10049, 0
INVAR-11, Run: 017, P, 100, 9787, 0
INVAR-11, Run: 018, P, 100, 10013, 0
INVAR-11, Run: 019, P, 100, 9939, 0
INVAR-11, Run: 020, P, 100, 9886, 0
INVAR-11, Run: 021, P, 100, 9725, 0
INVAR-11, Run: 022, P, 100, 9983, 0
INVAR-11, Run: 023, P, 100, 9964, 0
INVAR-11, Run: 024, P, 100, 9979, 0
INVAR-11, Run: 025, P, 100, 9852, 0
INVAR-11, Run: 026, P, 100, 9825, 0
INVAR-11, Run: 027, P, 100, 9845, 0
INVAR-11, Run: 028, P, 100, 10095, 0
INVAR-11, Run: 029, P, 100, 9955, 0
INVAR-11, Run: 030, P, 100, 10020, 0
INVAR-11, Run: 031, P, 100, 9990, 0
INVAR-11, Run: 032, P, 100, 9966, 0
INVAR-11, Run: 033, P, 100, 9829, 0
INVAR-11, Run: 034, P, 100, 9970, 0
INVAR-11, Run: 035, P, 100, 9954, 0
INVAR-11, Run: 036, P, 100, 9974, 0
INVAR-11, Run: 037, P, 100, 10205, 0
INVAR-11, Run: 038, P, 100, 9902, 0
INVAR-11, Run: 039, P, 100, 9986, 0
INVAR-11, Run: 040, P, 100, 10073, 0
INVAR-11, Run: 041, P, 100, 9835, 0
INVAR-11, Run: 042, P, 100, 10078, 0
INVAR-11, Run: 043, P, 100, 9865, 0
INVAR-11, Run: 044, P, 100, 9786, 0
INVAR-11, Run: 045, P, 100, 10091, 0
INVAR-11, Run: 046, P, 100, 10156, 0
INVAR-11, Run: 047, P, 100, 9832, 0
INVAR-11, Run: 048, P, 100, 9909, 0
INVAR-11, Run: 049, P, 100, 9942, 0
INVAR-11, Run: 050, P, 100, 10148, 0
INVAR-11, Run: 051, P, 100, 9861, 0
INVAR-11, Run: 052, P, 100, 9916, 0
INVAR-11, Run: 053, P, 100, 9913, 0
INVAR-11, Run: 054, P, 100, 10068, 0
INVAR-11, Run: 055, P, 100, 9961, 0
INVAR-11, Run: 056, P, 100, 9911, 0
INVAR-11, Run: 057, P, 100, 10080, 0
INVAR-11, Run: 058, P, 100, 9914, 0
INVAR-11, Run: 059, P, 100, 9900, 0
INVAR-11, Run: 060, P, 100, 9890, 0
INVAR-11, Run: 061, P, 100, 9747, 0
INVAR-11, Run: 062, P, 100, 9924, 0
INVAR-11, Run: 063, P, 100, 9989, 0
INVAR-11, Run: 064, P, 100, 10076, 0
INVAR-11, Run: 065, P, 100, 10188, 0
INVAR-11, Run: 066, P, 100, 9855, 0
INVAR-11, Run: 067, P, 100, 10013, 0
INVAR-11, Run: 068, P, 100, 10000, 0
INVAR-11, Run: 069, P, 100, 9834, 0
INVAR-11, Run: 070, P, 100, 10018, 0
INVAR-11, Run: 071, P, 100, 9829, 0
INVAR-11, Run: 072, P, 100, 9922, 0
INVAR-11, Run: 073, P, 100, 10008, 0
INVAR-11, Run: 074, P, 100, 10040, 0
INVAR-11, Run: 075, P, 100, 9753, 0
INVAR-11, Run: 076, P, 100, 10033, 0
INVAR-11, Run: 077, P, 100, 9881, 0
INVAR-11, Run: 078, P, 100, 9899, 0
INVAR-11, Run: 079, P, 100, 10017, 0
INVAR-11, Run: 080, P, 100, 9705, 0
INVAR-11, Run: 081, P, 100, 9867, 0
INVAR-11, Run: 082, P, 100, 10048, 0
INVAR-11, Run: 083, P, 100, 9793, 0
INVAR-11, Run: 084, P, 100, 9657, 0
INVAR-11, Run: 085, P, 100, 9942, 0
INVAR-11, Run: 086, P, 100, 9890, 0
INVAR-11, Run: 087, P, 100, 9856, 0
INVAR-11, Run: 088, P, 100, 9900, 0
INVAR-11, Run: 089, P, 100, 9857, 0
INVAR-11, Run: 090, P, 100, 10110, 0
INVAR-11, Run: 091, P, 100, 9987, 0
INVAR-11, Run: 092, P, 100, 9822, 0
INVAR-11, Run: 093, P, 100, 9968, 0
INVAR-11, Run: 094, P, 100, 10084, 0
INVAR-11, Run: 095, P, 100, 9956, 0
INVAR-11, Run: 096, P, 100, 9912, 0
INVAR-11, Run: 097, P, 100, 9876, 0
INVAR-11, Run: 098, P, 100, 9831, 0
INVAR-11, Run: 099, P, 100, 9855, 0
INVAR-11, Run: 100, P, 100, 10013, 0
INVAR-12, Run: 001, P, 200, 19869, 0
INVAR-12, Run: 002, P, 200, 20053, 0
INVAR-12, Run: 003, P, 200, 19870, 0
INVAR-12, Run: 004, P, 200, 19605, 0
INVAR-12, Run: 005, P, 200, 20012, 0
INVAR-12, Run: 006, P, 200, 19941, 0
INVAR-12, Run: 007, P, 200, 20089, 0
INVAR-12, Run: 008, P, 200, 20168, 0
INVAR-12, Run: 009, P, 200, 19846, 0
INVAR-12, Run: 010, P, 200, 19729, 0
INVAR-12, Run: 011, P, 200, 19939, 0
INVAR-12, Run: 012, P, 200, 19888, 0
INVAR-12, Run: 013, P, 200, 20128, 0
INVAR-12, Run: 014, P, 200, 19689, 0
INVAR-12, Run: 015, P, 200, 20164, 0
INVAR-12, Run: 016, P, 200, 19635, 0
INVAR-12, Run: 017, P, 200, 19759, 0
INVAR-12, Run: 018, P, 200, 19869, 0
INVAR-12, Run: 019, P, 200, 19918, 0
INVAR-12, Run: 020, P, 200, 19973, 0
INVAR-12, Run: 021, P, 200, 19917, 0
INVAR-12, Run: 022, P, 200, 19989, 0
INVAR-12, Run: 023, P, 200, 19884, 0
INVAR-12, Run: 024, P, 200, 19844, 0
INVAR-12, Run: 025, P, 200, 19877, 0
INVAR-12, Run: 026, P, 200, 19761, 0
INVAR-12, Run: 027, P, 200, 19874, 0
INVAR-12, Run: 028, P, 200, 20073, 0
INVAR-12, Run: 029, P, 200, 19939, 0
INVAR-12, Run: 030, P, 200, 19966, 0
INVAR-12, Run: 031, P, 200, 19987, 0
INVAR-12, Run: 032, P, 200, 19674, 0
INVAR-12, Run: 033, P, 200, 19937, 0
INVAR-12, Run: 034, P, 200, 20012, 0
INVAR-12, Run: 035, P, 200, 19716, 0
INVAR-12, Run: 036, P, 200, 19987, 0
